Gene	sample	counts
SPINK4	CM317	330.53596919465366
SPINK4	CMCD140	2208.594636250573
SPINK4	CMCD147	2778.3490788652193
SPINK4	CMCD152	9271
SPINK4	CMCD154	1245.1296687816662
SPINK4	CMCD159	5276.436972011724
SPINK4	CMCD161	20454.08182941904
SPINK4	CMCD174	9371.974071045037
SPINK4	CMCD196	30308.11915889021
SPINK4	CMCD198	3762.693471419382
SPINK4	CMCD203	1.0031991760872525
SPINK4	CMCD211	20.09359513338605
SPINK4	CMCD227	2798.464150623883
SPINK4	CMCD240	2886.706098070442
SPINK4	CMCD259	3160
SPINK4	CMCD270	26393.956598251993
SPINK4	CMCD275	5162.151604976318
SPINK4	CMCD282	28344.04620795885
SPINK4	CMCD286	6661.885682283695
SPINK4	CMCD287	815
SPINK4	CMCD294	10066.692085747334
SPINK4	CMCD327	1479.499054535348
SPINK4	CMCD335	2615.239797944287
SPINK4	CMCD337	1082.1858020606733
SPINK4	CMCD357	445.21075936516536
SPINK4	CMCD398	242.41158630700994
SPINK4	CMCD403	2072.743180644176
SPINK4	CMCD422	180.37553137490266
SPINK4	CMCD426	232.18289775757935
SPINK4	CMCD71	44160.930644943874
SPINK4	CMCD72	307.9865268827022
SPINK4	CMCD76	39386.00342199049
SPINK4	CMCD88	27716.985783170683
SPINK4	CMSA256	7655
SPINK4	CMSA316	6.048318000669681
SPINK4	CMUC110	4134
SPINK4	CMUC192	17102.829822964355
SPINK4	CMUC199	13114.843184599047
SPINK4	CMUC200	13397.295305602
SPINK4	CMUC208	3293.0380567098723
SPINK4	CMUC231	113
SPINK4	CMUC234	1590
SPINK4	CMUC285	703.6889295563315
SPINK4	CMUC291	3802.8392985907713
SPINK4	CMUC295	2380.139950083533
SPINK4	CMUC299	8203.07759959213
SPINK4	CMUC301	5974.223383483694
SPINK4	CMUC307	2822.8562182746855
SPINK4	CMUC313	541.9231845854534
SPINK4	CMUC314	545.1915366633289
SPINK4	CMUC323	458.743826044782
SPINK4	CMUC324	350.2888081239074
SPINK4	CMUC331	1574.0861178458463
SPINK4	CMUC333	919.8886740166465
SPINK4	CMUC334	1885.0379252999307
SPINK4	CMUC346	3382.9292145255454
SPINK4	CMUC352	425.5115112323273
SPINK4	CMUC360	4914.701635138162
SPINK4	CMUC363	1353.0441989044339
SPINK4	CMUC365	987.4644507007162
SPINK4	CMUC366	16.05320951857972
SPINK4	CMUC368	190
SPINK4	CMUC377	268.08339915929025
SPINK4	CMUC379	1105.916499577039
SPINK4	CMUC380	783.0651441241401
SPINK4	CMUC383	192.69230568515175
SPINK4	CMUC394	1334.0055706452433
SPINK4	CMUC419	4315.343011463315
SPINK4	CMUC427	173
SPINK4	CMUC428	61.382587308467365
SPINK4	CMUC431	5.009002998101856
SPINK4	CMUC435	504.44623644509653
SPINK4	CMUC439	603.8082351721873
SPINK4	CMUC89	4873
SPINK4	CS219	7617.032645408562
SPINK4	CS256	11607.249205070437
SPINK4	CS257	1218.2983339891791
SPINK4	CS259	13658.07750030688
SPINK4	CS261	11508.304679661544
SPINK4	CS266	1090.2698076139645
SPINK4	CS270	17688.593000147193
SPINK4	CS277	4789.5709542809245
SPINK4	CS288	3016.998392537872
SPINK4	CS290	8223.810018758579
SPINK4	CS292	1589.1591434057518
SPINK4	CS293	4558.28861783589
SPINK4	CS301	16029.129090189897
SPINK4	CS306	8406.05975749578
SPINK4	CS308	59.54081285205815
SPINK4	CS315	5746.038228579676
SPINK4	CS317	1.074639904418001
SPINK4	CS322	26.347198936594733
SPINK4	CS327	64.30398284781087
SPINK4	CS328	224.54063240396795
SPINK4	CS330	441.58376224282415
SPINK4	CS331	1487.0058273664133
SPINK4	CS335	12.127347341975357
SPINK4	CS338	1400.1663660182182
SPINK4	CS339	5.872772765470556
SPINK4	CS343	68.53896267979795
SPINK4	CS344	3607.656134888611
SPINK4	CS350	1863.4610101137916
SPINK4	CS351	109.90391040462197
SPINK4	CS361	15.360678160238118
SPINK4	CS388	1313.5996164168755
SPINK4	CS396	143.53084654751643
SPINK4	CS405	327.1328343052729
SPINK4	CS415	1360.7307783431565
SPINK4	CS424	1882.0018394404356
SPINK4	IM293	45311.91227584159
SPINK4	IM296	1351.658646613491
SPINK4	IM297	11.019019905718173
SPINK4	IM300	24728
SPINK4	IM305	36831.094055326415
SPINK4	IM309	2797.5885038841047
SPINK4	IM310	408.52986119896707
SPINK4	IM311	4539.745027837957
SPINK4	IM316	12192.23382267007
SPINK4	IM320	5573.416948192561
SPINK4	IM330	871.1331922877035
SPINK4	IM332	675.7198116632413
SPINK4	IM340	8719.508941824455
SPINK4	IM348	369.51457580147473
SPINK4	IM354	3935.204973921813
SPINK4	IM356	936.380087310258
SPINK4	IM364	1174.2162793911968
SPINK4	IM372	1637
SPINK4	IM374	2293.957248229658
SPINK4	IM376	639.8323930009196
SPINK4	IM381	1301.886128770568
SPINK4	IM382	7571.647424804432
SPINK4	IM385	160
SPINK4	IM390	9411.751377524073
SPINK4	IM397	1248.945513896681
SPINK4	IM404	1078.0182112728635
SPINK4	IM409	427.39437099795026
SPINK4	IM412	2098
SPINK4	IM421	9554.895632164802
SPINK4	IM425	134.09110804015555
SPINK4	IM432	1277.294791247711
SPINK4	IM438	139
SPINK4	IM442	768.3518232446347
SPINK4	IM445	5485.157851590747
SPINK4	IM448	1548.318623398707
SPINK4	IM449	2807.17284436941
SPINK4	IM451	895.5541701450538
SPINK4	IMSA256	50887.33531591243
SPINK4	IMSA276	143
SPINK4	IMSA286	26651
SPINK4	IMSA343	5613.84133184907
SPINK4	IS_238	16813
SPINK4	IS238	26634.55519544695
SPINK4	IS243	21438
SPINK4	IS253	6186
SPINK4	IS283	11633
SPINK4	IS322	1283.299544046848
SPINK4	IS399	1331.77227879317
SPINK4	IS418	540.0998055729452
SPINK4	IS430	1293.1321002896084
SPINK4	IS437	650.4202614119874
SPINK4	IS444	884.6060281248443
SPINK4	R276CMSA	1.0669696277752094
SPINK4	R286CMSA	7717
SPINK4	R292CMSA	6985.728288100097
SPINK4	R292IMSA	21619.592758072806
SPINK4	R308CMSA	966.2303694067404
SPINK4	R316IMSA	1573.9502177406443
SPINK4	R347CMSA	506.13480924517074
SPINK4	R347IMSA	7906.953508819205
SPINK4	R371CMSA	3285.165693354029
SPINK4	SRR10104064	524.3213922862369
SPINK4	SRR10104065	2164.6157505141887
SPINK4	SRR10104066	4458.2222564166
