Gene	sample	counts
SRF	CM317	344.22057938424126
SRF	CMCD140	723.7487907640132
SRF	CMCD147	491.15384465332716
SRF	CMCD152	2259
SRF	CMCD154	1996.4487876572214
SRF	CMCD159	328.5533949582558
SRF	CMCD161	1122.4617511215686
SRF	CMCD174	362.3975955041947
SRF	CMCD196	818.6472818604484
SRF	CMCD198	429.52181154718926
SRF	CMCD203	3432.947580570578
SRF	CMCD211	1127.6525588856252
SRF	CMCD227	918.29743132987
SRF	CMCD240	938.925400761284
SRF	CMCD259	1157
SRF	CMCD270	680.5312342238869
SRF	CMCD275	855.1483807423164
SRF	CMCD282	575.5342024852761
SRF	CMCD286	910.8009924438352
SRF	CMCD287	1258
SRF	CMCD294	342.05654276753404
SRF	CMCD327	826.1876513777554
SRF	CMCD335	897.1990547692079
SRF	CMCD337	1890.5534290883202
SRF	CMCD357	512.6050486268647
SRF	CMCD398	574.3444638228327
SRF	CMCD403	900.4044720582572
SRF	CMCD422	1511.146118407518
SRF	CMCD426	363.9020416777446
SRF	CMCD71	918.7824369079998
SRF	CMCD72	354.1268305355415
SRF	CMCD76	599.4001640543165
SRF	CMCD88	1004.1806338879678
SRF	CMSA256	1484
SRF	CMSA316	1596.755952176796
SRF	CMUC110	1751
SRF	CMUC192	526.9893048080982
SRF	CMUC199	428.0046100881151
SRF	CMUC200	965.2547792379713
SRF	CMUC208	735.7960224124951
SRF	CMUC231	2149
SRF	CMUC234	1345
SRF	CMUC285	700.6557876185886
SRF	CMUC291	1214.9356890945105
SRF	CMUC295	835.7514122454794
SRF	CMUC299	937.75248265297
SRF	CMUC301	1049.5662919568574
SRF	CMUC307	986.7461878445082
SRF	CMUC313	385.5991890319573
SRF	CMUC314	395.1582068063663
SRF	CMUC323	517.110786054944
SRF	CMUC324	875.7220203097686
SRF	CMUC331	597.3455011312442
SRF	CMUC333	455.3397774609652
SRF	CMUC334	574.5457542917399
SRF	CMUC346	1345.2879547455934
SRF	CMUC352	1027.0620637546244
SRF	CMUC360	495.67589840941116
SRF	CMUC363	431.1673471470882
SRF	CMUC365	601.9406131692439
SRF	CMUC366	1280.2434591067326
SRF	CMUC368	1243
SRF	CMUC377	991.0049249820954
SRF	CMUC379	353.97909297810173
SRF	CMUC380	505.0719265091983
SRF	CMUC383	604.4453378334234
SRF	CMUC394	521.9145661587886
SRF	CMUC419	541.3402494779355
SRF	CMUC427	1733
SRF	CMUC428	905.6447307806661
SRF	CMUC431	1182.124707552038
SRF	CMUC435	655.1771835900457
SRF	CMUC439	1285.1051938581386
SRF	CMUC89	1677
SRF	CS219	782.9563695793744
SRF	CS256	668.5118055247373
SRF	CS257	345.7333109969292
SRF	CS259	809.2488538716697
SRF	CS261	486.5982484279182
SRF	CS266	480.8794588715585
SRF	CS270	457.9439851117779
SRF	CS277	308.31216572678187
SRF	CS288	549.9211116833245
SRF	CS290	768.1470010166753
SRF	CS292	516.1978327974011
SRF	CS293	357.054073836286
SRF	CS301	421.2513894607947
SRF	CS306	344.1441904429317
SRF	CS308	439.370136218636
SRF	CS315	488.3464230766409
SRF	CS317	277.2570953398442
SRF	CS322	630.3060668677663
SRF	CS327	845.9992743415119
SRF	CS328	301.85886903363615
SRF	CS330	332.5374053075546
SRF	CS331	543.2310527664828
SRF	CS335	169.78286278765498
SRF	CS338	410.3580365797134
SRF	CS339	337.09715673800986
SRF	CS343	706.5560711549759
SRF	CS344	563.9181363503143
SRF	CS350	382.9309987816253
SRF	CS351	779.4103003924108
SRF	CS361	455.7001187537308
SRF	CS388	432.69081139657527
SRF	CS396	536.7245036389522
SRF	CS405	493.26298840387545
SRF	CS415	351.7828974939485
SRF	CS424	417.53020941228203
SRF	IM293	819.3381368657015
