Gene	sample	counts
SRPRA	CM317	1289.949002151563
SRPRA	CMCD140	1567.6181328619332
SRPRA	CMCD147	1253.7501922249478
SRPRA	CMCD152	3660
SRPRA	CMCD154	1691.5813726867923
SRPRA	CMCD159	1261.1991978103656
SRPRA	CMCD161	2205.7354228544923
SRPRA	CMCD174	1255.4312205930316
SRPRA	CMCD196	2081.9583858121114
SRPRA	CMCD198	1289.9581657723138
SRPRA	CMCD203	2938.4879473237106
SRPRA	CMCD211	3647.3392864579123
SRPRA	CMCD227	3805.5495162273664
SRPRA	CMCD240	3446.4541402795467
SRPRA	CMCD259	3415
SRPRA	CMCD270	1994.2985739745222
SRPRA	CMCD275	1737.7128213953913
SRPRA	CMCD282	1879.41325974624
SRPRA	CMCD286	4425.998029316269
SRPRA	CMCD287	3499
SRPRA	CMCD294	1325.684199101198
SRPRA	CMCD327	1981.1285497195838
SRPRA	CMCD335	1996.3496859787947
SRPRA	CMCD337	2084.822506619703
SRPRA	CMCD357	1457.1817123940825
SRPRA	CMCD398	1621.675800614593
SRPRA	CMCD403	2038.5343527514788
SRPRA	CMCD422	2221.625294767551
SRPRA	CMCD426	1337.9704003779289
SRPRA	CMCD71	1667.5820974889639
SRPRA	CMCD72	1503.3039580517402
SRPRA	CMCD76	2307.2881864700244
SRPRA	CMCD88	3953.7112009553157
SRPRA	CMSA256	3367
SRPRA	CMSA316	1972.958378924024
SRPRA	CMUC110	3971
SRPRA	CMUC192	1891.1171992265597
SRPRA	CMUC199	1432.2650557451586
SRPRA	CMUC200	2743.4084431716797
SRPRA	CMUC208	1805.4068615325662
SRPRA	CMUC231	3716
SRPRA	CMUC234	4230
SRPRA	CMUC285	2242.6795472525073
SRPRA	CMUC291	2576.9071855490733
SRPRA	CMUC295	2344.1075538669616
SRPRA	CMUC299	3774.0144227149626
SRPRA	CMUC301	4332.33750636148
SRPRA	CMUC307	3499.6330536214195
SRPRA	CMUC313	1359.8640191599177
SRPRA	CMUC314	1298.6912107881237
SRPRA	CMUC323	1443.9879187167933
SRPRA	CMUC324	2465.216441150438
SRPRA	CMUC331	1565.203222632018
SRPRA	CMUC333	1430.4877780973968
SRPRA	CMUC334	1605.7505773256212
SRPRA	CMUC346	1594.1094785538887
SRPRA	CMUC352	2010.0958230544347
SRPRA	CMUC360	1335.9212541606112
SRPRA	CMUC363	1324.0244823385835
SRPRA	CMUC365	1707.350210454559
SRPRA	CMUC366	2226.4314174079022
SRPRA	CMUC368	2710
SRPRA	CMUC377	2181.8699553676115
SRPRA	CMUC379	1258.1974804147114
SRPRA	CMUC380	2129.2160033247574
SRPRA	CMUC383	1455.5003764876
SRPRA	CMUC394	1387.4950714424197
SRPRA	CMUC419	1374.4569473285574
SRPRA	CMUC427	3964
SRPRA	CMUC428	2011.6877701820042
SRPRA	CMUC431	2798.191125148338
SRPRA	CMUC435	2117.5759271817524
SRPRA	CMUC439	1973.6212069672717
SRPRA	CMUC89	4281
SRPRA	CS219	2085.1532862449044
SRPRA	CS256	2335.33543379421
SRPRA	CS257	1275.0076618282337
SRPRA	CS259	1947.0046682258983
SRPRA	CS261	1295.1361401401684
SRPRA	CS266	1372.409328369291
SRPRA	CS270	1294.6261461927381
SRPRA	CS277	1115.2446349980628
SRPRA	CS288	1624.5153223308555
SRPRA	CS290	1782.1292664231423
