Gene	sample	counts
ST6GAL1	CM317	54.712355719315894
ST6GAL1	CMCD140	762.1066904769862
ST6GAL1	CMCD147	114.45022501638528
ST6GAL1	CMCD152	2742
ST6GAL1	CMCD154	245.40553645545702
ST6GAL1	CMCD159	49.96999405622465
ST6GAL1	CMCD161	1274.8930070250385
ST6GAL1	CMCD174	1.092629434806816
ST6GAL1	CMCD196	558.0819134047977
ST6GAL1	CMCD198	143.09990825407152
ST6GAL1	CMCD203	990.1972017782527
ST6GAL1	CMCD211	6103.26796458607
ST6GAL1	CMCD227	4775.639909216844
ST6GAL1	CMCD240	3683.5954802070387
ST6GAL1	CMCD259	8108
ST6GAL1	CMCD270	632.2650216884952
ST6GAL1	CMCD275	389.29608186803307
ST6GAL1	CMCD282	731.502088159992
ST6GAL1	CMCD286	6753.040008528762
ST6GAL1	CMCD287	2800
ST6GAL1	CMCD294	187.25555300305845
ST6GAL1	CMCD327	1699.6896892825046
ST6GAL1	CMCD335	1236.7923822042758
ST6GAL1	CMCD337	833.5263329218319
ST6GAL1	CMCD357	737.2706351426261
ST6GAL1	CMCD398	1373.193218262357
ST6GAL1	CMCD403	2371.911265182674
ST6GAL1	CMCD422	2343.8798215883185
ST6GAL1	CMCD426	81.32542816618552
ST6GAL1	CMCD71	400.5417470130402
ST6GAL1	CMCD72	245.1789763131858
ST6GAL1	CMCD76	1067.446532836914
ST6GAL1	CMCD88	3932.7074227564635
ST6GAL1	CMSA256	2902
ST6GAL1	CMSA316	584.7296166458527
ST6GAL1	CMUC110	6451
ST6GAL1	CMUC192	1244.5294322884326
ST6GAL1	CMUC199	517.1782649244901
ST6GAL1	CMUC200	2234.219006148949
ST6GAL1	CMUC208	2393.8431900831583
ST6GAL1	CMUC231	3183
ST6GAL1	CMUC234	11202
ST6GAL1	CMUC285	2481.3055044894736
ST6GAL1	CMUC291	2851.7101783830176
ST6GAL1	CMUC295	1243.1176694717192
ST6GAL1	CMUC299	4677.651678857982
ST6GAL1	CMUC301	5889.177497100155
ST6GAL1	CMUC307	6569.081986897971
ST6GAL1	CMUC313	259.46830710407625
ST6GAL1	CMUC314	134.09250713015587
ST6GAL1	CMUC323	697.4154415930044
ST6GAL1	CMUC324	2646.379322128201
ST6GAL1	CMUC331	863.838786958741
ST6GAL1	CMUC333	330.50611754324694
ST6GAL1	CMUC334	1104.3341517890492
ST6GAL1	CMUC346	726.8007070895662
ST6GAL1	CMUC352	2076.4953847769534
ST6GAL1	CMUC360	655.9433444341831
ST6GAL1	CMUC363	352.04681972258464
ST6GAL1	CMUC365	1226.1512714231444
ST6GAL1	CMUC366	2157.2003368305495
ST6GAL1	CMUC368	4610
ST6GAL1	CMUC377	1743.0861677488144
ST6GAL1	CMUC379	101.7266047994873
ST6GAL1	CMUC380	2965.2209477196047
ST6GAL1	CMUC383	984.8716833236654
ST6GAL1	CMUC394	885.6994682628082
ST6GAL1	CMUC419	172.19147438568058
ST6GAL1	CMUC427	8360
ST6GAL1	CMUC428	2977.780946457504
ST6GAL1	CMUC431	3864.168696633419
ST6GAL1	CMUC435	3183.901536455525
ST6GAL1	CMUC439	859.4964358745793
ST6GAL1	CMUC89	11716
ST6GAL1	CS219	996.462676215113
ST6GAL1	CS256	707.6166593385032
ST6GAL1	CS257	45.965941456468514
ST6GAL1	CS259	1711.6414495874794
ST6GAL1	CS261	167.90697785216415
ST6GAL1	CS266	270.3387431731207
ST6GAL1	CS270	350.50128840585865
