Gene	sample	counts
TCOF1	CM317	283.0312247787688
TCOF1	CMCD140	426.98162923412605
TCOF1	CMCD147	208.09131821160958
TCOF1	CMCD152	1338
TCOF1	CMCD154	807.9194615817515
TCOF1	CMCD159	87.99064170769992
TCOF1	CMCD161	2734.3495964990207
TCOF1	CMCD174	79.76194874089757
TCOF1	CMCD196	562.1186722721019
TCOF1	CMCD198	632.1103861007189
TCOF1	CMCD203	1836.931181819636
TCOF1	CMCD211	1664.6006611323335
TCOF1	CMCD227	1466.645136519685
TCOF1	CMCD240	1568.8527076771709
TCOF1	CMCD259	1632
TCOF1	CMCD270	786.0592161532643
TCOF1	CMCD275	1019.6330019911436
TCOF1	CMCD282	775.0680019977756
TCOF1	CMCD286	1322.3328865269857
TCOF1	CMCD287	1638
TCOF1	CMCD294	152.145136814985
TCOF1	CMCD327	975.9897624443004
TCOF1	CMCD335	914.2819397285873
TCOF1	CMCD337	938.2204616946224
TCOF1	CMCD357	544.2731974113847
TCOF1	CMCD398	497.97116706217344
TCOF1	CMCD403	1093.7985706957045
TCOF1	CMCD422	1018.119665982784
TCOF1	CMCD426	82.43947512736615
TCOF1	CMCD71	464.95047015081553
TCOF1	CMCD72	31.079025166460173
TCOF1	CMCD76	267.613356119677
TCOF1	CMCD88	1110.1997047964585
TCOF1	CMSA256	1135
TCOF1	CMSA316	820.6377723271106
TCOF1	CMUC110	2151
TCOF1	CMUC192	325.3208043685561
TCOF1	CMUC199	703.2801853048733
TCOF1	CMUC200	865.0206380917646
TCOF1	CMUC208	698.7054872227643
TCOF1	CMUC231	1335
TCOF1	CMUC234	2313
TCOF1	CMUC285	730.0336488351263
TCOF1	CMUC291	607.9890390904845
TCOF1	CMUC295	1202.0807737806238
TCOF1	CMUC299	1126.287057323652
TCOF1	CMUC301	1618.8734608066684
TCOF1	CMUC307	845.3268378804746
TCOF1	CMUC313	216.74460995039303
TCOF1	CMUC314	210.1134560543387
TCOF1	CMUC323	495.6667749354099
TCOF1	CMUC324	900.8099054142892
TCOF1	CMUC331	499.53294339319723
TCOF1	CMUC333	304.9251486931504
TCOF1	CMUC334	575.5123750591828
TCOF1	CMUC346	626.7266180744521
TCOF1	CMUC352	707.2559377413752
TCOF1	CMUC360	543.7820397370403
TCOF1	CMUC363	774.9135536167679
TCOF1	CMUC365	514.4197862867214
TCOF1	CMUC366	878.9337186342146
TCOF1	CMUC368	2487
TCOF1	CMUC377	1258.114613012249
TCOF1	CMUC379	394.0567428022245
TCOF1	CMUC380	567.1799683653228
TCOF1	CMUC383	2480.943498877122
TCOF1	CMUC394	934.0653095331322
TCOF1	CMUC419	743.0882079143953
TCOF1	CMUC427	3131
TCOF1	CMUC428	1259.946517392631
TCOF1	CMUC431	1317.4440850590993
TCOF1	CMUC435	1394.9669610480646
TCOF1	CMUC439	672.2993198644251
TCOF1	CMUC89	1568
TCOF1	CS219	1228.034988293273
TCOF1	CS256	540.234248418489
TCOF1	CS257	271.41794002867124
TCOF1	CS259	1313.0262963190085
TCOF1	CS261	1040.2042042548705
TCOF1	CS266	755.0840757594061
TCOF1	CS270	1451.6426193225302
TCOF1	CS277	473.6895465259938
TCOF1	CS288	462.12920349536137
