Gene	sample	counts
TMEM41A	CM317	388.4323969198319
TMEM41A	CMCD140	600.6004609547947
TMEM41A	CMCD147	437.04367532711314
TMEM41A	CMCD152	1289
TMEM41A	CMCD154	531.1745383448146
TMEM41A	CMCD159	552.6659756251455
TMEM41A	CMCD161	645.9922857214389
TMEM41A	CMCD174	532.1003970242859
TMEM41A	CMCD196	555.1861960829182
TMEM41A	CMCD198	536.6447573527232
TMEM41A	CMCD203	485.54840122623017
TMEM41A	CMCD211	462.1526880678792
TMEM41A	CMCD227	471.8914284542036
TMEM41A	CMCD240	704.8933495288288
TMEM41A	CMCD259	590
TMEM41A	CMCD270	501.60278563917217
TMEM41A	CMCD275	981.2020925262663
TMEM41A	CMCD282	564.3882936343289
TMEM41A	CMCD286	564.9989558935824
TMEM41A	CMCD287	631
TMEM41A	CMCD294	470.9937442468849
TMEM41A	CMCD327	462.34345454229623
TMEM41A	CMCD335	480.2476463378291
TMEM41A	CMCD337	460.05480143416526
TMEM41A	CMCD357	431.93612663180033
TMEM41A	CMCD398	417.4307399062619
TMEM41A	CMCD403	482.43147887685143
TMEM41A	CMCD422	458.9555187205857
TMEM41A	CMCD426	404.0875432127103
TMEM41A	CMCD71	837.2694277190096
TMEM41A	CMCD72	418.7232556495165
TMEM41A	CMCD76	555.2971419499856
TMEM41A	CMCD88	635.1142455367127
TMEM41A	CMSA256	1169
TMEM41A	CMSA316	430.438631047659
TMEM41A	CMUC110	624
TMEM41A	CMUC192	483.41134306435157
TMEM41A	CMUC199	487.67832976386194
TMEM41A	CMUC200	594.3884569970062
TMEM41A	CMUC208	570.3922844042366
TMEM41A	CMUC231	594
TMEM41A	CMUC234	606
TMEM41A	CMUC285	432.7282497846406
TMEM41A	CMUC291	498.25448724257063
TMEM41A	CMUC295	615.5534353664309
TMEM41A	CMUC299	605.7780743555015
TMEM41A	CMUC301	577.3114875682619
TMEM41A	CMUC307	521.4512374788051
TMEM41A	CMUC313	384.55702906160064
TMEM41A	CMUC314	390.93191582448003
TMEM41A	CMUC323	390.13704848897754
TMEM41A	CMUC324	472.3894783842409
TMEM41A	CMUC331	418.74726852950397
TMEM41A	CMUC333	401.1082983476367
TMEM41A	CMUC334	399.9488112914231
TMEM41A	CMUC346	522.5498667193627
TMEM41A	CMUC352	431.5471355051263
TMEM41A	CMUC360	389.5311605682039
TMEM41A	CMUC363	462.9916037222304
TMEM41A	CMUC365	406.66222026818485
TMEM41A	CMUC366	476.5796575828354
TMEM41A	CMUC368	468
TMEM41A	CMUC377	472.91116480908505
TMEM41A	CMUC379	392.5949940302583
TMEM41A	CMUC380	461.285449009409
TMEM41A	CMUC383	475.64574403334825
TMEM41A	CMUC394	439.29488580160586
TMEM41A	CMUC419	431.6368277087326
TMEM41A	CMUC427	563
TMEM41A	CMUC428	445.7784619287056
TMEM41A	CMUC431	476.85708541929665
TMEM41A	CMUC435	453.19771441581383
TMEM41A	CMUC439	434.7419293239749
TMEM41A	CMUC89	596
TMEM41A	CS219	557.39275478378
TMEM41A	CS256	1195.70402397453
TMEM41A	CS257	486.2217675290147
TMEM41A	CS259	529.817628339249
TMEM41A	CS261	575.7225591926106
TMEM41A	CS266	555.4986852481796
TMEM41A	CS270	622.0743514571496
TMEM41A	CS277	434.1737776848669
TMEM41A	CS288	528.7314908661689
TMEM41A	CS290	589.7191543238256
TMEM41A	CS292	565.8907479389977
TMEM41A	CS293	538.1242309384481
TMEM41A	CS301	580.5049635252415
TMEM41A	CS306	526.0935358432732
TMEM41A	CS308	394.2012437101781
TMEM41A	CS315	557.2289711737671
TMEM41A	CS317	395.4674848258244
TMEM41A	CS322	416.4884139592475
TMEM41A	CS327	391.85239547884754
TMEM41A	CS328	400.3601841919806
TMEM41A	CS330	415.6717566344433
TMEM41A	CS331	481.06014428851756
TMEM41A	CS335	206.67021095283002
TMEM41A	CS338	393.8612310890717
TMEM41A	CS339	420.49053000769175
TMEM41A	CS343	420.3051093746433
TMEM41A	CS344	402.65377721416326
TMEM41A	CS350	435.14886225184694
TMEM41A	CS351	489.02198666276746
TMEM41A	CS361	396.30549653414346
TMEM41A	CS388	395.42557405141565
TMEM41A	CS396	382.07507038705074
TMEM41A	CS405	392.7645001220048
TMEM41A	CS415	408.9745955527806
TMEM41A	CS424	420.64610649744833
TMEM41A	IM293	576.0500029742907
TMEM41A	IM296	467.3060352611516
TMEM41A	IM297	515.6901315876105
TMEM41A	IM300	1329
TMEM41A	IM305	753.448217985398
TMEM41A	IM309	447.69984480228015
TMEM41A	IM310	382.173095960324
