Gene	sample	counts
TMEM71	CM317	138.88521067210957
TMEM71	CMCD140	175.63783330198092
TMEM71	CMCD147	110.28839865215308
TMEM71	CMCD152	921
TMEM71	CMCD154	294.8906034773393
TMEM71	CMCD159	85.81803327047277
TMEM71	CMCD161	489.4947186689369
TMEM71	CMCD174	86.31772534973847
TMEM71	CMCD196	96.88221281529943
TMEM71	CMCD198	89.56612962664909
TMEM71	CMCD203	463.4965625345013
TMEM71	CMCD211	616.9948396475058
TMEM71	CMCD227	489.15574900740614
TMEM71	CMCD240	420.3446495969658
TMEM71	CMCD259	469
TMEM71	CMCD270	178.92396480214967
TMEM71	CMCD275	217.844439594547
TMEM71	CMCD282	195.54003187656298
TMEM71	CMCD286	266.72858651969847
TMEM71	CMCD287	246
TMEM71	CMCD294	113.84286460981394
TMEM71	CMCD327	354.81399190817507
TMEM71	CMCD335	354.66101618043007
TMEM71	CMCD337	228.5150695329177
TMEM71	CMCD357	142.9610649861048
TMEM71	CMCD398	181.08042438624489
TMEM71	CMCD403	227.6229069771908
TMEM71	CMCD422	338.7051644706506
TMEM71	CMCD426	94.69399170035301
TMEM71	CMCD71	287.82648152193343
TMEM71	CMCD72	97.84137552404128
TMEM71	CMCD76	298.68456975154965
TMEM71	CMCD88	382.06872723625867
TMEM71	CMSA256	549
TMEM71	CMSA316	215.7450654520905
TMEM71	CMUC110	427
TMEM71	CMUC192	137.83062116549416
TMEM71	CMUC199	157.31267302872166
TMEM71	CMUC200	305.7141304959307
TMEM71	CMUC208	224.54810493242354
TMEM71	CMUC231	336
TMEM71	CMUC234	429
TMEM71	CMUC285	212.3366568634024
TMEM71	CMUC291	999.558138769621
TMEM71	CMUC295	231.20787572300088
TMEM71	CMUC299	332.97177473860415
TMEM71	CMUC301	416.2245733594401
TMEM71	CMUC307	212.58515970422377
TMEM71	CMUC313	177.1470369786866
TMEM71	CMUC314	103.47295825791555
TMEM71	CMUC323	150.54342131302738
TMEM71	CMUC324	277.2492708886201
TMEM71	CMUC331	362.28752864274304
TMEM71	CMUC333	193.39212450672963
TMEM71	CMUC334	148.19189904522167
TMEM71	CMUC346	207.22412371816563
TMEM71	CMUC352	246.48322154571397
TMEM71	CMUC360	212.30532674816308
TMEM71	CMUC363	161.14096412957954
TMEM71	CMUC365	179.1912367104431
TMEM71	CMUC366	406.35634251924307
TMEM71	CMUC368	376
TMEM71	CMUC377	218.88985286246634
TMEM71	CMUC379	88.87692840376259
TMEM71	CMUC380	105.90074813284302
TMEM71	CMUC383	137.94289282391193
TMEM71	CMUC394	215.63104233019448
TMEM71	CMUC419	139.3930983122176
TMEM71	CMUC427	479
TMEM71	CMUC428	227.43443524819057
TMEM71	CMUC431	475.88284441298265
TMEM71	CMUC435	261.30505034041556
TMEM71	CMUC439	265.6991324015093
TMEM71	CMUC89	218
TMEM71	CS219	159.39392909275952
TMEM71	CS256	275.6297185808617
TMEM71	CS257	86.4597470252622
TMEM71	CS259	252.3894940292831
TMEM71	CS261	164.83550874511235
TMEM71	CS266	245.48000816869583
TMEM71	CS270	114.47007395913882
TMEM71	CS277	82.00328198515169
TMEM71	CS288	145.29826485443675
TMEM71	CS290	211.6782499710746
TMEM71	CS292	108.49580985277323
TMEM71	CS293	91.51637325627728
TMEM71	CS301	137.5839430502737
TMEM71	CS306	97.65298529524902
TMEM71	CS308	180.6774842762924
TMEM71	CS315	120.27813906267384
TMEM71	CS317	84.71157834401598
TMEM71	CS322	251.3278456556882
TMEM71	CS327	184.8759094114068
TMEM71	CS328	97.209913494339
TMEM71	CS330	114.1473389599647
TMEM71	CS331	80.48516874138431
TMEM71	CS335	84.80842763776256
TMEM71	CS338	201.01237692537515
TMEM71	CS339	99.51415578179476
TMEM71	CS343	372.98919742242435
TMEM71	CS344	232.23605764489992
TMEM71	CS350	141.20684666040074
TMEM71	CS351	232.9200476393926
TMEM71	CS361	143.3586551375461
TMEM71	CS388	227.69192213039318
TMEM71	CS396	189.03900992365277
TMEM71	CS405	167.13571014307496
TMEM71	CS415	85.07500755215587
TMEM71	CS424	119.32652556819698
TMEM71	IM293	238.2640439155615
TMEM71	IM296	97.14218780706521
TMEM71	IM297	99.98805977687819
TMEM71	IM300	452
TMEM71	IM305	166.65826409747905
TMEM71	IM309	119.64325886750375
TMEM71	IM310	259.52250365100855
TMEM71	IM311	336.14233995171776
TMEM71	IM316	159.82462979963515
TMEM71	IM320	130.95121727602532
TMEM71	IM330	120.26074292428196
TMEM71	IM332	109.24440225281815
TMEM71	IM340	96.12149335652983
TMEM71	IM348	125.47233698749805
TMEM71	IM354	204.47148398115084
TMEM71	IM356	100.86100524478087
TMEM71	IM364	142.4341356876123
TMEM71	IM372	137.99871906582396
TMEM71	IM374	135.37924739281866
TMEM71	IM376	176.64027653355075
TMEM71	IM381	275.41517515169943
TMEM71	IM382	172.31738046467768
TMEM71	IM385	822
TMEM71	IM390	130.64538250426904
TMEM71	IM397	178.00370041010902
TMEM71	IM404	262.7552189969474
TMEM71	IM409	297.69578120165613
TMEM71	IM412	294
TMEM71	IM421	184.89352040411657
TMEM71	IM425	95.94251631825449
TMEM71	IM432	138.58791045437692
TMEM71	IM438	414
TMEM71	IM442	200.18106779880162
TMEM71	IM445	156.79099355797632
TMEM71	IM448	203.58209267168942
TMEM71	IM449	344.88873234779743
TMEM71	IM451	213.09950639951353
TMEM71	IMSA256	255.04120215169283
TMEM71	IMSA276	445
TMEM71	IMSA286	378
TMEM71	IMSA343	232.8797809824625
TMEM71	IS_238	243
