Gene	sample	counts
TOP1MT	CM317	230.4231904332727
TOP1MT	CMCD140	926.6409825932096
TOP1MT	CMCD147	370.4025464166651
TOP1MT	CMCD152	672
TOP1MT	CMCD154	648.3553679193556
TOP1MT	CMCD159	39.10695187008886
TOP1MT	CMCD161	932.848541725638
TOP1MT	CMCD174	48.075695131499906
TOP1MT	CMCD196	1549.1062153279647
TOP1MT	CMCD198	627.9924031293787
TOP1MT	CMCD203	529.7103571822872
TOP1MT	CMCD211	489.25762675173314
TOP1MT	CMCD227	442.2954503629992
TOP1MT	CMCD240	727.233442444308
TOP1MT	CMCD259	689
TOP1MT	CMCD270	713.6854775816082
TOP1MT	CMCD275	717.0712803320506
TOP1MT	CMCD282	970.6080338743385
TOP1MT	CMCD286	518.3771116107214
TOP1MT	CMCD287	634
TOP1MT	CMCD294	209.59854512274157
TOP1MT	CMCD327	688.5200692835692
TOP1MT	CMCD335	1000.6866065600802
TOP1MT	CMCD337	545.617478796658
TOP1MT	CMCD357	286.94328043639604
TOP1MT	CMCD398	367.19086056099655
TOP1MT	CMCD403	796.6801744201678
TOP1MT	CMCD422	590.2288221100982
TOP1MT	CMCD426	40.10569060250245
TOP1MT	CMCD71	432.74610858192784
TOP1MT	CMCD72	34.53225018495575
TOP1MT	CMCD76	404.92807442827535
TOP1MT	CMCD88	658.1183835640268
TOP1MT	CMSA256	674
TOP1MT	CMSA316	399.22918653751327
TOP1MT	CMUC110	915
TOP1MT	CMUC192	342.5496320142429
TOP1MT	CMUC199	249.849539516205
TOP1MT	CMUC200	748.7490343621647
TOP1MT	CMUC208	806.9697521008972
TOP1MT	CMUC231	576
TOP1MT	CMUC234	638
TOP1MT	CMUC285	345.80541260611244
TOP1MT	CMUC291	395.595517156557
TOP1MT	CMUC295	1164.0465777742427
TOP1MT	CMUC299	521.5220568195006
TOP1MT	CMUC301	643.3471169954807
TOP1MT	CMUC307	478.3166093345035
TOP1MT	CMUC313	143.80171237093384
TOP1MT	CMUC314	326.25657246628475
TOP1MT	CMUC323	243.73696784013956
TOP1MT	CMUC324	562.5057409364783
TOP1MT	CMUC331	412.74540171276294
TOP1MT	CMUC333	239.43786843690336
TOP1MT	CMUC334	424.275436992484
TOP1MT	CMUC346	629.7591662264252
TOP1MT	CMUC352	695.1832901554627
TOP1MT	CMUC360	375.5400826913262
TOP1MT	CMUC363	186.80035332218776
TOP1MT	CMUC365	420.7973985672203
TOP1MT	CMUC366	648.1634500430396
TOP1MT	CMUC368	582
TOP1MT	CMUC377	729.9675368395093
TOP1MT	CMUC379	93.16015386900416
TOP1MT	CMUC380	303.44637445756945
TOP1MT	CMUC383	508.157274299852
TOP1MT	CMUC394	495.749873020821
TOP1MT	CMUC419	202.9399519545521
TOP1MT	CMUC427	1172
TOP1MT	CMUC428	438.7673175584561
TOP1MT	CMUC431	820.5222096299638
TOP1MT	CMUC435	459.29387694449963
TOP1MT	CMUC439	424.7160373993823
TOP1MT	CMUC89	801
TOP1MT	CS219	1147.8367849761612
TOP1MT	CS256	402.9205340709324
TOP1MT	CS257	53.626931699213266
TOP1MT	CS259	898.3864132709006
TOP1MT	CS261	543.6500319481656
TOP1MT	CS266	370.80946381600467
TOP1MT	CS270	662.5082156573167
TOP1MT	CS277	255.65729089488465
TOP1MT	CS288	668.9774277673026
TOP1MT	CS290	676.3624082409098
TOP1MT	CS292	702.6878152146902
TOP1MT	CS293	383.3519190846281
TOP1MT	CS301	382.976199684717
TOP1MT	CS306	329.3191099850419
TOP1MT	CS308	177.59775443067377
TOP1MT	CS315	198.4075285392825
TOP1MT	CS317	1.0722984600508352
TOP1MT	CS322	428.67612384014564
TOP1MT	CS327	370.7565792000495
TOP1MT	CS328	47.548327252665814
TOP1MT	CS330	67.84228636299788
TOP1MT	CS331	139.5755457920209
TOP1MT	CS335	110.55384317065477
TOP1MT	CS338	328.8356319958701
TOP1MT	CS339	21.073585930262418
TOP1MT	CS343	611.9038995551665
TOP1MT	CS344	211.9534325230746
TOP1MT	CS350	167.81103516163566
TOP1MT	CS351	717.9180689144914
TOP1MT	CS361	161.79048222665915
TOP1MT	CS388	275.30023312129356
TOP1MT	CS396	245.64962252111027
TOP1MT	CS405	269.672955629624
TOP1MT	CS415	175.53450925318236
TOP1MT	CS424	168.09475775693838
TOP1MT	IM293	472.50675375659875
TOP1MT	IM296	102.47967065360726
TOP1MT	IM297	7.691389213606015
TOP1MT	IM300	1002
TOP1MT	IM305	413.1104849446602
TOP1MT	IM309	5.341216913727846
TOP1MT	IM310	513.9762084025833
TOP1MT	IM311	674.3096337585663
TOP1MT	IM316	366.89301809350206
TOP1MT	IM320	266.0928735048834
TOP1MT	IM330	323.3902330736994
TOP1MT	IM332	52.56098598956345
TOP1MT	IM340	172.17366392433365
TOP1MT	IM348	134.8049901518574
TOP1MT	IM354	316.27608852256833
TOP1MT	IM356	167.42926870633625
TOP1MT	IM364	265.5379243890486
TOP1MT	IM372	138.99870978369225
TOP1MT	IM374	452.31360950623906
TOP1MT	IM376	221.30793266847164
TOP1MT	IM381	589.3074703613568
TOP1MT	IM382	328.125311303997
TOP1MT	IM385	600
TOP1MT	IM390	378.56299812260636
TOP1MT	IM397	345.8935542060073
TOP1MT	IM404	637.8332797025136
TOP1MT	IM409	589.3571884600356
TOP1MT	IM412	832
TOP1MT	IM421	324.07160993908343
TOP1MT	IM425	29.52077425177061
TOP1MT	IM432	221.9490595998668
TOP1MT	IM438	1156
TOP1MT	IM442	182.45670242078273
TOP1MT	IM445	294.36244597013615
TOP1MT	IM448	356.01290577762774
TOP1MT	IM449	482.03746801826657
TOP1MT	IM451	592.0547607043088
TOP1MT	IMSA256	308.25846086838465
TOP1MT	IMSA276	518
TOP1MT	IMSA286	663
TOP1MT	IMSA343	612.5750760625644
TOP1MT	IS_238	531
