Gene	sample	counts
TRAV24	CM317	1.052160686909921
TRAV24	CMCD140	1.0094128350688558
TRAV24	CMCD147	1.0404565910580479
TRAV24	CMCD152	10
TRAV24	CMCD154	1.0098993269771894
TRAV24	CMCD159	1.0863042186135794
TRAV24	CMCD161	3.0091888442762516
TRAV24	CMCD174	1.092629434806816
TRAV24	CMCD196	4.036758867304143
TRAV24	CMCD198	1.029495742835047
TRAV24	CMCD203	1.0032393128452408
TRAV24	CMCD211	10.443923066949969
TRAV24	CMCD227	10.687436532934925
TRAV24	CMCD240	8.369694350382062
TRAV24	CMCD259	24
TRAV24	CMCD270	1.0051908134952228
TRAV24	CMCD275	1.008539072196977
TRAV24	CMCD282	1.0131607869251968
TRAV24	CMCD286	6.597526875045546
TRAV24	CMCD287	2
TRAV24	CMCD294	1.0639520056991958
TRAV24	CMCD327	8.041110298202268
TRAV24	CMCD335	2.0094108565463458
TRAV24	CMCD337	2.0133486302459707
TRAV24	CMCD357	3.0634513925593887
TRAV24	CMCD398	3.0180070731040813
TRAV24	CMCD403	5.035905021619266
TRAV24	CMCD422	4.0083451416645035
TRAV24	CMCD426	1.1140469611806236
TRAV24	CMCD71	1.0063862990277392
TRAV24	CMCD72	1.1510750061651915
TRAV24	CMCD76	2.004594427862749
TRAV24	CMCD88	1.0001799142310437
TRAV24	CMSA256	28
TRAV24	CMSA316	1.0081545114583668
TRAV24	CMUC110	16
TRAV24	CMUC192	1.0134604497462807
TRAV24	CMUC199	1.0281874054164815
TRAV24	CMUC200	3.0070242343862037
TRAV24	CMUC208	2.004893794039496
TRAV24	CMUC231	4
TRAV24	CMUC234	16
TRAV24	CMUC285	4.044507749779093
TRAV24	CMUC291	1.0066043693551068
TRAV24	CMUC295	2.0017997898095317
TRAV24	CMUC299	3.00878109703558
TRAV24	CMUC301	6.003239038838078
TRAV24	CMUC307	2.0055203745681487
TRAV24	CMUC313	1.0420413939922741
TRAV24	CMUC314	1.055846512835873
TRAV24	CMUC323	2.0482098137826856
TRAV24	CMUC324	4.003599579619063
TRAV24	CMUC331	6.0549447684023905
TRAV24	CMUC333	2.046477508007721
TRAV24	CMUC334	1.0150130071590526
TRAV24	CMUC346	1.0108493839910517
TRAV24	CMUC352	2.01210793098542
TRAV24	CMUC360	1.0014402205102033
TRAV24	CMUC363	1.0263755677043285
TRAV24	CMUC365	2.0133846821398103
TRAV24	CMUC366	12.04018792649609
TRAV24	CMUC368	11
TRAV24	CMUC377	3.012245681593573
TRAV24	CMUC379	1.0708063663103926
TRAV24	CMUC380	1.01827642435426
TRAV24	CMUC383	1.0142859766464112
TRAV24	CMUC394	1.0076216931317499
TRAV24	CMUC419	1.0249492522957178
