Gene	sample	counts
TTC39B	CM317	429.4862274885946
TTC39B	CMCD140	875.1606716769866
TTC39B	CMCD147	498.437905908779
TTC39B	CMCD152	659
TTC39B	CMCD154	526.1253507179628
TTC39B	CMCD159	4596.483753968976
TTC39B	CMCD161	638.970630441858
TTC39B	CMCD174	2189.7135680011766
TTC39B	CMCD196	418.9132206807473
TTC39B	CMCD198	1351.3971624698136
TTC39B	CMCD203	558.7819410805996
TTC39B	CMCD211	483.8537708119361
TTC39B	CMCD227	561.5014732303503
TTC39B	CMCD240	804.6600008510308
TTC39B	CMCD259	630
TTC39B	CMCD270	495.5714896194627
TTC39B	CMCD275	794.6425990860204
TTC39B	CMCD282	499.53936941063574
TTC39B	CMCD286	795.5336469270843
TTC39B	CMCD287	907
TTC39B	CMCD294	752.3112747472867
TTC39B	CMCD327	508.57779999652587
TTC39B	CMCD335	486.27585947177676
TTC39B	CMCD337	469.1149616374639
TTC39B	CMCD357	446.2318849600396
TTC39B	CMCD398	454.6474564762178
TTC39B	CMCD403	511.6392302076003
TTC39B	CMCD422	530.1036449851307
TTC39B	CMCD426	436.4591972269881
TTC39B	CMCD71	608.8317353004818
TTC39B	CMCD72	444.1004226585781
TTC39B	CMCD76	754.763082830937
TTC39B	CMCD88	730.1313373886619
TTC39B	CMSA256	635
TTC39B	CMSA316	480.8412810532397
TTC39B	CMUC110	605
TTC39B	CMUC192	427.6720896711874
TTC39B	CMUC199	647.1512013111163
TTC39B	CMUC200	521.2175339602753
TTC39B	CMUC208	573.3996250952958
TTC39B	CMUC231	633
TTC39B	CMUC234	567
TTC39B	CMUC285	423.6288239714122
TTC39B	CMUC291	434.84027977533435
TTC39B	CMUC295	589.5300380989071
TTC39B	CMUC299	529.5543431452066
TTC39B	CMUC301	606.3271429226459
TTC39B	CMUC307	493.3730939222541
TTC39B	CMUC313	452.2974271347823
TTC39B	CMUC314	411.0067979884398
TTC39B	CMUC323	417.78455586221213
TTC39B	CMUC324	504.4158836984267
TTC39B	CMUC331	468.18971710286706
TTC39B	CMUC333	446.130658366249
TTC39B	CMUC334	466.9453126752656
TTC39B	CMUC346	479.08827238873874
TTC39B	CMUC352	460.71931949032125
TTC39B	CMUC360	429.5857786214897
TTC39B	CMUC363	749.4099128985105
TTC39B	CMUC365	430.8203719672849
TTC39B	CMUC366	509.6894022149061
TTC39B	CMUC368	506
TTC39B	CMUC377	447.80972294023763
TTC39B	CMUC379	512.7333528591898
TTC39B	CMUC380	428.70016342817036
TTC39B	CMUC383	579.0910870853771
TTC39B	CMUC394	488.66518260041016
TTC39B	CMUC419	963.7496865705668
TTC39B	CMUC427	589
TTC39B	CMUC428	486.0293388522908
TTC39B	CMUC431	471.8480824211948
TTC39B	CMUC435	445.1587305680832
TTC39B	CMUC439	440.78001167569676
TTC39B	CMUC89	715
TTC39B	CS219	548.3702101919562
TTC39B	CS256	521.1786189997952
TTC39B	CS257	1016.3461777243061
TTC39B	CS259	534.8253563953856
TTC39B	CS261	1347.1088351214999
TTC39B	CS266	2325.632555404692
TTC39B	CS270	787.2178682120608
TTC39B	CS277	1755.2328675394954
TTC39B	CS288	639.7247427655554
TTC39B	CS290	531.2512723566771
TTC39B	CS292	925.9108474342382
TTC39B	CS293	1344.8019533093166
TTC39B	CS301	1641.8529764837804
TTC39B	CS306	983.566175706989
TTC39B	CS308	440.3967019574646
TTC39B	CS315	515.076964129257
TTC39B	CS317	531.9467526869105
TTC39B	CS322	436.7554900643204
TTC39B	CS327	427.0186360987441
TTC39B	CS328	638.669817639588
TTC39B	CS330	527.9571142707604
TTC39B	CS331	807.2026149925972
TTC39B	CS335	256.1902125992294
TTC39B	CS338	428.91694275668544
TTC39B	CS339	452.2035029412328
TTC39B	CS343	463.6459240103979
TTC39B	CS344	423.9528435151643
TTC39B	CS350	462.7936135007878
TTC39B	CS351	754.2029814922681
TTC39B	CS361	427.0268528546197
TTC39B	CS388	421.30421109666537
TTC39B	CS396	451.8189324418299
TTC39B	CS405	421.478353916825
TTC39B	CS415	425.16092519207274
TTC39B	CS424	595.1363432667603
TTC39B	IM293	503.66675652725945
TTC39B	IM296	3968.3585740369185
TTC39B	IM297	2331.6246120499654
TTC39B	IM300	585
TTC39B	IM305	548.4214240832052
TTC39B	IM309	675.8339762445903
TTC39B	IM310	403.461252499228
TTC39B	IM311	456.6068259489115
TTC39B	IM316	444.26771225228123
TTC39B	IM320	401.5460291869358
TTC39B	IM330	395.1427821165801
TTC39B	IM332	971.7985688347684
TTC39B	IM340	501.94889949293076
TTC39B	IM348	389.2358593414411
TTC39B	IM354	441.1619602195429
TTC39B	IM356	459.10877125664587
TTC39B	IM364	383.60445175951577
TTC39B	IM372	446
TTC39B	IM374	532.7697319525591
TTC39B	IM376	448.89828207366105
TTC39B	IM381	425.1883157726583
TTC39B	IM382	428.3890499378104
TTC39B	IM385	514
TTC39B	IM390	433.18545205396686
TTC39B	IM397	444.9684421980078
TTC39B	IM404	436.2213227011122
TTC39B	IM409	475.6647940753658
TTC39B	IM412	411
TTC39B	IM421	427.70984169499
TTC39B	IM425	498.3543542909718
TTC39B	IM432	470.63721474895226
TTC39B	IM438	432
TTC39B	IM442	401.9231684092179
TTC39B	IM445	409.71761894029
TTC39B	IM448	507.5783458068464
TTC39B	IM449	417.4459617704511
TTC39B	IM451	433.2029711925008
TTC39B	IMSA256	453.8402076279556
TTC39B	IMSA276	593
TTC39B	IMSA286	542
TTC39B	IMSA343	470.7729881532583
TTC39B	IS_238	581
TTC39B	IS238	556.1229638388558
TTC39B	IS243	705
TTC39B	IS253	663
TTC39B	IS283	537
TTC39B	IS322	568.8957821247051
TTC39B	IS399	391.87550412295246
TTC39B	IS418	405.07485417970895
TTC39B	IS430	400.97961765282815
TTC39B	IS437	394.5882919232724
TTC39B	IS444	419.46107436905766
TTC39B	R276CMSA	820.4996437591361
TTC39B	R286CMSA	592
TTC39B	R292CMSA	586.4115739902913
TTC39B	R292IMSA	2081.047626263595
TTC39B	R308CMSA	430.6259517755096
TTC39B	R316IMSA	413.1236799643298
TTC39B	R347CMSA	484.7337602284616
TTC39B	R347IMSA	405.5942674610283
TTC39B	R371CMSA	493.9796824969995
TTC39B	SRR10104064	212.4116514592431
TTC39B	SRR10104065	1256.322059661813
TTC39B	SRR10104066	941.3613722415308
TTC39B	SRR10104067	730.7946639399476
TTC39B	SRR10104068	1088.09247067755
TTC39B	SRR10104069	1147.0501190643208
TTC39B	SRR10104070	328.4682250294069
TTC39B	SRR10104071	1.1645245250191503
TTC39B	SRR10104072	483.4370477462525
TTC39B	SRR10104073	366.3912171812409
TTC39B	SRR10104074	190.94502925038853
TTC39B	SRR10104075	97.50701114287894
