Gene	sample	counts
TUBB4A	CM317	4.208642747639684
TUBB4A	CMCD140	10.094128350688559
TUBB4A	CMCD147	19.76867523010291
TUBB4A	CMCD152	69
TUBB4A	CMCD154	67.6632549074717
TUBB4A	CMCD159	1.0863042186135794
TUBB4A	CMCD161	30.091888442762517
TUBB4A	CMCD174	2.185258869613632
TUBB4A	CMCD196	55.505434425431964
TUBB4A	CMCD198	8.235965942680377
TUBB4A	CMCD203	311.0041869820247
TUBB4A	CMCD211	48.2027218474614
TUBB4A	CMCD227	24.663315076003673
TUBB4A	CMCD240	2.7898981167940207
TUBB4A	CMCD259	18
TUBB4A	CMCD270	9.046717321457006
TUBB4A	CMCD275	30.25617216590931
TUBB4A	CMCD282	6.078964721551181
TUBB4A	CMCD286	7.540030714337766
TUBB4A	CMCD287	24
TUBB4A	CMCD294	2.1279040113983916
TUBB4A	CMCD327	34.17471876735964
TUBB4A	CMCD335	32.15057370474153
TUBB4A	CMCD337	105.70080308791346
TUBB4A	CMCD357	7.1480532493052396
TUBB4A	CMCD398	83.49819568921292
TUBB4A	CMCD403	1.0071810043238532
TUBB4A	CMCD422	69.14395369371269
TUBB4A	CMCD426	4.4561878447224945
TUBB4A	CMCD71	4.025545196110957
TUBB4A	CMCD72	1.1510750061651915
TUBB4A	CMCD76	4.009188855725498
TUBB4A	CMCD88	4.000719656924175
TUBB4A	CMSA256	58
TUBB4A	CMSA316	1.0081545114583668
TUBB4A	CMUC110	63
TUBB4A	CMUC192	5.067302248731403
TUBB4A	CMUC199	6.169124432498888
TUBB4A	CMUC200	13.030438349006882
TUBB4A	CMUC208	15.03670345529622
TUBB4A	CMUC231	351
TUBB4A	CMUC234	52
TUBB4A	CMUC285	15.166904061671598
TUBB4A	CMUC291	10.066043693551068
TUBB4A	CMUC295	24.02159747771438
TUBB4A	CMUC299	5.014635161725967
TUBB4A	CMUC301	57.030770868961746
TUBB4A	CMUC307	26.071764869385934
TUBB4A	CMUC313	1.0420413939922741
TUBB4A	CMUC314	5.279232564179365
TUBB4A	CMUC323	5.120524534456713
TUBB4A	CMUC324	21.018897793000082
TUBB4A	CMUC331	6.0549447684023905
TUBB4A	CMUC333	5.1161937700193025
TUBB4A	CMUC334	5.075065035795263
TUBB4A	CMUC346	18.195288911838933
TUBB4A	CMUC352	10.060539654927101
TUBB4A	CMUC360	14.020163087142844
TUBB4A	CMUC363	6.15825340622597
TUBB4A	CMUC365	4.0267693642796205
TUBB4A	CMUC366	120.40187926496091
TUBB4A	CMUC368	29
TUBB4A	CMUC377	91.37145234167173
TUBB4A	CMUC379	10.708063663103927
TUBB4A	CMUC380	8.14621139483408
TUBB4A	CMUC383	5.071429883232057
TUBB4A	CMUC394	6.0457301587905
TUBB4A	CMUC419	1.0249492522957178
TUBB4A	CMUC427	79
TUBB4A	CMUC428	15.095205879304682
TUBB4A	CMUC431	117.21745851856625
TUBB4A	CMUC435	18.090349638951846
TUBB4A	CMUC439	92.59212189749567
TUBB4A	CMUC89	37
TUBB4A	CS219	6.014865248783378
TUBB4A	CS256	20.045797714971762
TUBB4A	CS257	1.0944271775349645
TUBB4A	CS259	3.004636833681942
TUBB4A	CS261	1.0238230356839277
TUBB4A	CS266	2.0715612503687413
TUBB4A	CS270	1.0130095040631752
TUBB4A	CS277	112.87510579132643
TUBB4A	CS288	9.081141553402297
TUBB4A	CS290	5.039958332644633
TUBB4A	CS292	6.083877188005975
TUBB4A	CS293	12.202183100836969
TUBB4A	CS301	1.0267458436587589
TUBB4A	CS306	4.155446182776554
TUBB4A	CS308	1.0265766152062068
TUBB4A	CS315	13.364237673630427
TUBB4A	CS317	1.0722984600508352
TUBB4A	CS322	5.067093662413069
TUBB4A	CS327	5.023801886179532
TUBB4A	CS328	1.0566294945036847
TUBB4A	CS330	49.53563766187147
TUBB4A	CS331	18.338392877783768
TUBB4A	CS335	16.153986216716678
TUBB4A	CS338	3.092498106544233
TUBB4A	CS339	1.1707547739034676
TUBB4A	CS343	9.072710207572484
TUBB4A	CS344	59.833744109384696
TUBB4A	CS350	7.162666134947863
TUBB4A	CS351	4.0332475781713
TUBB4A	CS361	35.839663784386524
TUBB4A	CS388	1.034963282410878
TUBB4A	CS396	11.119941760214868
TUBB4A	CS405	56.395485017601985
TUBB4A	CS415	9.692089467967124
TUBB4A	CS424	1.0376219614625826
TUBB4A	IM293	7.037334630417428
TUBB4A	IM296	1.0674965693084089
TUBB4A	IM297	8.790159101264017
TUBB4A	IM300	74
TUBB4A	IM305	7.070350598074869
TUBB4A	IM309	1.068243382745569
TUBB4A	IM310	11.151357578754274
TUBB4A	IM311	32.399261682093275
TUBB4A	IM316	56.29043565270169
TUBB4A	IM320	12.571316858498431
TUBB4A	IM330	42.44496809092304
TUBB4A	IM332	24.734581642147507
TUBB4A	IM340	15.844202201625796
TUBB4A	IM348	125.47233698749805
TUBB4A	IM354	23.166719859933348
TUBB4A	IM356	24.206641258747407
TUBB4A	IM364	136.32981558671463
TUBB4A	IM372	12.999879332287763
TUBB4A	IM374	1.0494515301768887
TUBB4A	IM376	7.106218021464685
TUBB4A	IM381	37.46456426695911
TUBB4A	IM382	27.8596962427922
TUBB4A	IM385	366
TUBB4A	IM390	1.028703799246213
TUBB4A	IM397	86.97908088221236
TUBB4A	IM404	309.8906972139571
TUBB4A	IM409	30.17186971638407
TUBB4A	IM412	18
TUBB4A	IM421	8.127187710071057
TUBB4A	IM425	27.412147519501282
TUBB4A	IM432	3.1260430929558707
TUBB4A	IM438	21
TUBB4A	IM442	31.278291843562755
TUBB4A	IM445	11.127102768630577
TUBB4A	IM448	1.0230255913150224
TUBB4A	IM449	13.10980561555955
TUBB4A	IM451	86.44602618093474
TUBB4A	IMSA256	3.01229766320897
TUBB4A	IMSA276	58
TUBB4A	IMSA286	31
TUBB4A	IMSA343	24.300498885126522
TUBB4A	IS_238	18
TUBB4A	IS238	101.85443471463805
TUBB4A	IS243	23
TUBB4A	IS253	49
TUBB4A	IS283	50
TUBB4A	IS322	14.148956135264207
TUBB4A	IS399	143.02992035226427
TUBB4A	IS418	2.1895022055724715
TUBB4A	IS430	16.271322597456244
TUBB4A	IS437	6.493430272346261
TUBB4A	IS444	40.47613918332292
TUBB4A	R276CMSA	1.0649255307900556
TUBB4A	R286CMSA	15
TUBB4A	R292CMSA	6.025245724497168
TUBB4A	R292IMSA	1.0768750693977573
TUBB4A	R308CMSA	1.070354522560454
TUBB4A	R316IMSA	7.139055377845488
TUBB4A	R347CMSA	1.0679448775774594
TUBB4A	R347IMSA	8.523267930224957
TUBB4A	R371CMSA	42.16784418833984
TUBB4A	SRR10104064	1.1130827181735787
TUBB4A	SRR10104065	1.0058655806218886
TUBB4A	SRR10104066	1.0187563340359607
TUBB4A	SRR10104067	1.0232571372704031
TUBB4A	SRR10104068	3.0140144296275695
TUBB4A	SRR10104069	1.011490802424949
TUBB4A	SRR10104070	1.0295865545572511
TUBB4A	SRR10104071	1.1619835297694339
TUBB4A	SRR10104072	1.071723239794756
TUBB4A	SRR10104073	1.0458357877247761
TUBB4A	SRR10104074	1.099722320793923
TUBB4A	SRR10104075	1.1547542285600578
TUBB4A	SRR10104076	1.0278239688724724
TUBB4A	SRR10104077	1.1040752320803593
TUBB4A	SRR10104078	1.0419214016168303
TUBB4A	SRR10104079	1.092856600461782
TUBB4A	SRR10104080	1.1254280913603063
TUBB4A	SRR10104081	1.0158936181922817
TUBB4A	SRR10104082	1.085647260281074
TUBB4A	SRR10104083	1.065596706440916
TUBB4A	SRR10104084	1.0701241548355385
TUBB4A	SRR10104085	1.0224852129879336
TUBB4A	SRR10104086	1.0249330155513252
TUBB4A	SRR10104087	1.0032098048981044
TUBB4A	SRR10104088	1.0091188297931257
TUBB4A	SRR10104089	1.1387124115642702
TUBB4A	SRR10104090	1.0265054935122315
TUBB4A	SRR10104091	1.0429313075146665
TUBB4A	SRR10104092	1.0127653613232732
TUBB4A	SRR10104093	1.0347712127539488
TUBB4A	SRR10104094	1.0344440824548444
TUBB4A	SRR10104095	1.0555296586127236
TUBB4A	SRR10104096	1.1499993829134103
