Gene	sample	counts
UBE2M	CM317	291.58746327044287
UBE2M	CMCD140	1056.8549287725548
UBE2M	CMCD147	407.9074303053056
UBE2M	CMCD152	917
UBE2M	CMCD154	1054.2703764866662
UBE2M	CMCD159	479.77499065096293
UBE2M	CMCD161	1207.7247080879076
UBE2M	CMCD174	366.7770226401971
UBE2M	CMCD196	1028.608606924534
UBE2M	CMCD198	1470.8804481759862
UBE2M	CMCD203	428.3660481892568
UBE2M	CMCD211	464.5639194838855
UBE2M	CMCD227	424.20901930726313
UBE2M	CMCD240	531.4672079780852
UBE2M	CMCD259	567
UBE2M	CMCD270	664.4477781713283
UBE2M	CMCD275	874.3085449334767
UBE2M	CMCD282	1262.5274934800245
UBE2M	CMCD286	453.5108676068889
UBE2M	CMCD287	510
UBE2M	CMCD294	697.9658427188
UBE2M	CMCD327	642.2553640272332
UBE2M	CMCD335	609.8542287177034
UBE2M	CMCD337	807.3609425606139
UBE2M	CMCD357	508.5205462473678
UBE2M	CMCD398	265.5463020126582
UBE2M	CMCD403	589.1908458099334
UBE2M	CMCD422	571.1891826871918
UBE2M	CMCD426	156.27695041375534
UBE2M	CMCD71	786.9527553801269
UBE2M	CMCD72	132.65337300191294
UBE2M	CMCD76	607.4188953460131
UBE2M	CMCD88	928.1669604064085
UBE2M	CMSA256	708
UBE2M	CMSA316	558.4613620618339
UBE2M	CMUC110	734
UBE2M	CMUC192	757.0404051762488
UBE2M	CMUC199	858.0669346478077
UBE2M	CMUC200	964.2524378265093
UBE2M	CMUC208	867.116565922082
UBE2M	CMUC231	573
UBE2M	CMUC234	747
UBE2M	CMUC285	647.070280051799
UBE2M	CMUC291	892.8317781498185
UBE2M	CMUC295	807.72621518814594
UBE2M	CMUC299	661.9429289315083
UBE2M	CMUC301	726.3919236994075
UBE2M	CMUC307	697.9424255485545
UBE2M	CMUC313	233.44383335988766
UBE2M	CMUC314	307.46266893222617
UBE2M	CMUC323	299.0026723327597
UBE2M	CMUC324	557.459617500047
UBE2M	CMUC331	343.0700513253767
UBE2M	CMUC333	303.90093012563295
UBE2M	CMUC334	489.27747980321305
UBE2M	CMUC346	881.3607036349792
UBE2M	CMUC352	541.1943097943075
UBE2M	CMUC360	363.4956588335682
UBE2M	CMUC363	500.97539382804536
UBE2M	CMUC365	404.6490409599265
UBE2M	CMUC366	597.9820545670946
UBE2M	CMUC368	785
UBE2M	CMUC377	692.7997955801883
UBE2M	CMUC379	298.2005692360978
UBE2M	CMUC380	731.1323452290411
UBE2M	CMUC383	1353.9169899456715
UBE2M	CMUC394	922.9222830143829
UBE2M	CMUC419	685.9027024635204
UBE2M	CMUC427	966
UBE2M	CMUC428	458.8599969288708
UBE2M	CMUC431	626.125374762732
UBE2M	CMUC435	372.8078759385076
UBE2M	CMUC439	469.9640763756858
UBE2M	CMUC89	681
UBE2M	CS219	856.1392312686118
UBE2M	CS256	557.2602156997809
UBE2M	CS257	214.02538299809902
UBE2M	CS259	934.4420552750839
UBE2M	CS261	888.1698555515896
UBE2M	CS266	503.6797780421927
UBE2M	CS270	490.36479821703654
UBE2M	CS277	386.36587856900513
UBE2M	CS288	592.3003533176357
