Gene	sample	counts
UTP6	CM317	294.7454502372708
UTP6	CMCD140	552.1486590626432
UTP6	CMCD147	248.69866286471438
UTP6	CMCD152	1256
UTP6	CMCD154	550.3614513268516
UTP6	CMCD159	50.04455684794625
UTP6	CMCD161	620.9149454372216
UTP6	CMCD174	125.90853016006766
UTP6	CMCD196	580.4219322685053
UTP6	CMCD198	246.17676968771758
UTP6	CMCD203	842.6873079132921
UTP6	CMCD211	1042.4557155200682
UTP6	CMCD227	1070.3878742985594
UTP6	CMCD240	1270.8593060949652
UTP6	CMCD259	1450
UTP6	CMCD270	640.3225940924904
UTP6	CMCD275	521.3581519384169
UTP6	CMCD282	563.3750291933336
UTP6	CMCD286	1028.9027808831293
UTP6	CMCD287	1123
UTP6	CMCD294	152.38032902105098
UTP6	CMCD327	714.6221656077665
UTP6	CMCD335	712.3338519948135
UTP6	CMCD337	556.6965102693509
UTP6	CMCD357	519.7529277909844
UTP6	CMCD398	465.71188572674527
UTP6	CMCD403	1061.5506862968714
UTP6	CMCD422	838.7462208932975
UTP6	CMCD426	90.41737845367274
UTP6	CMCD71	516.2490581969374
UTP6	CMCD72	29.991197374345536
UTP6	CMCD76	543.2690450124408
UTP6	CMCD88	1134.2040227380035
UTP6	CMSA256	1081
UTP6	CMSA316	610.8801180676378
UTP6	CMUC110	1531
UTP6	CMUC192	283.7634718197452
UTP6	CMUC199	130.66486894516976
UTP6	CMUC200	712.6647435495303
UTP6	CMUC208	582.4216471684736
UTP6	CMUC231	1169
UTP6	CMUC234	1240
UTP6	CMUC285	545.9655487937055
UTP6	CMUC291	736.8126962859833
UTP6	CMUC295	995.8953954302419
UTP6	CMUC299	926.7201005041115
UTP6	CMUC301	961.5187860538989
UTP6	CMUC307	774.1545294877645
UTP6	CMUC313	207.38983410097163
UTP6	CMUC314	136.29788416583222
UTP6	CMUC323	326.65017970599433
UTP6	CMUC324	790.6518811939625
UTP6	CMUC331	435.90077109577277
UTP6	CMUC333	318.2262264951914
UTP6	CMUC334	487.2472827915815
UTP6	CMUC346	464.9379858624891
UTP6	CMUC352	611.6099263102955
UTP6	CMUC360	438.598067683479
UTP6	CMUC363	230.9825074002258
UTP6	CMUC365	493.2289305232935
UTP6	CMUC366	662.1948926414135
UTP6	CMUC368	1366
UTP6	CMUC377	853.4490235408116
UTP6	CMUC379	160.89958771731898
UTP6	CMUC380	368.62104313776166
UTP6	CMUC383	679.4939200476404
UTP6	CMUC394	519.8994520037353
UTP6	CMUC419	255.2911403787991
UTP6	CMUC427	1916
UTP6	CMUC428	950.9269673196994
UTP6	CMUC431	966.7375786336581
UTP6	CMUC435	1054.1117570336778
UTP6	CMUC439	562.5480057687545
UTP6	CMUC89	1077
UTP6	CS219	802.0039637176691
UTP6	CS256	560.2670154247797
UTP6	CS257	69.14666219938584
UTP6	CS259	988.5255182813588
UTP6	CS261	221.27415086406384
UTP6	CS266	162.71136862679887
UTP6	CS270	271.5243097565409
UTP6	CS277	188.3045822318636
UTP6	CS288	511.5779882999
UTP6	CS290	678.4290442050163
UTP6	CS292	369.14736962328885
UTP6	CS293	189.20814169102334
UTP6	CS301	209.59825231707833
UTP6	CS306	172.59195049403826
UTP6	CS308	236.11011993057542
UTP6	CS315	177.8609077731766
UTP6	CS317	40.83631636788404
UTP6	CS322	543.157639615953
UTP6	CS327	933.4125010252548
UTP6	CS328	84.73231411470488
UTP6	CS330	47.50534361536494
UTP6	CS331	284.35546664511946
UTP6	CS335	59.12081829212986
UTP6	CS338	309.31510294953273
UTP6	CS339	27.014754721164554
UTP6	CS343	559.3988865777627
UTP6	CS344	294.1299632043006
UTP6	CS350	107.50736596810336
UTP6	CS351	780.4185931484166
UTP6	CS361	301.0692919406671
UTP6	CS388	391.2849921241757
UTP6	CS396	546.8323097338478
UTP6	CS405	217.4048930179243
UTP6	CS415	129.49063711433686
UTP6	CS424	122.55861868320717
UTP6	IM293	470.49110190570343
UTP6	IM296	58.81426073080855
UTP6	IM297	111.29210104775355
UTP6	IM300	1332
UTP6	IM305	348.4445512130862
UTP6	IM309	69.61839691901486
