Gene	sample	counts
VGLL4	CM317	60.00175236973013
VGLL4	CMCD140	75.70594045648673
VGLL4	CMCD147	1.0405801793502694
VGLL4	CMCD152	699
VGLL4	CMCD154	69.67878925055552
VGLL4	CMCD159	17.406802381894348
VGLL4	CMCD161	146.45166725982932
VGLL4	CMCD174	1.0948567840005883
VGLL4	CMCD196	183.71615943107471
VGLL4	CMCD198	97.8526908800551
VGLL4	CMCD203	1124.58627639381
VGLL4	CMCD211	1091.4840876455303
VGLL4	CMCD227	951.1818514312083
VGLL4	CMCD240	1199.9970116978873
VGLL4	CMCD259	1005
VGLL4	CMCD270	163.850208535441
VGLL4	CMCD275	155.29817291782632
VGLL4	CMCD282	64.84892422369307
VGLL4	CMCD286	867.339534298175
VGLL4	CMCD287	1321
VGLL4	CMCD294	19.180740715936487
VGLL4	CMCD327	148.75398102665184
VGLL4	CMCD335	224.04858814505417
VGLL4	CMCD337	219.4572138132342
VGLL4	CMCD357	56.16190771808279
VGLL4	CMCD398	142.83172305226313
VGLL4	CMCD403	103.73787541610793
VGLL4	CMCD422	456.9513461497535
VGLL4	CMCD426	40.18550153496566
VGLL4	CMCD71	74.46867506154653
VGLL4	CMCD72	24.223659417740624
VGLL4	CMCD76	314.7352031990893
VGLL4	CMCD88	559.1005720551534
VGLL4	CMSA256	838
VGLL4	CMSA316	778.2169160861657
VGLL4	CMUC110	1299
VGLL4	CMUC192	51.685489510025015
VGLL4	CMUC199	54.52943349680313
VGLL4	CMUC200	273.63920532914454
VGLL4	CMUC208	66.16149520330336
VGLL4	CMUC231	2054
VGLL4	CMUC234	805
VGLL4	CMUC285	65.71807531776084
VGLL4	CMUC291	112.73636883064225
VGLL4	CMUC295	459.4130517612875
VGLL4	CMUC299	648.9046591192209
VGLL4	CMUC301	902.4869355053245
VGLL4	CMUC307	312.87074248728305
VGLL4	CMUC313	374.13542935803423
VGLL4	CMUC314	95.09154709244109
VGLL4	CMUC323	115.70993826575975
VGLL4	CMUC324	780.6436295332794
VGLL4	CMUC331	82.7404241431791
VGLL4	CMUC333	551.5239102280005
VGLL4	CMUC334	292.34836967494886
VGLL4	CMUC346	81.86951490187307
