Gene	sample	counts
VIM-AS1	CM317	1.052160686909921
VIM-AS1	CMCD140	51.48005458851165
VIM-AS1	CMCD147	42.65872023337997
VIM-AS1	CMCD152	207
VIM-AS1	CMCD154	29.287080482338492
VIM-AS1	CMCD159	1.0863042186135794
VIM-AS1	CMCD161	196.60033782604845
VIM-AS1	CMCD174	1.092629434806816
VIM-AS1	CMCD196	8.073517734608286
VIM-AS1	CMCD198	8.235965942680377
VIM-AS1	CMCD203	24.07774350828578
VIM-AS1	CMCD211	107.65274545933045
VIM-AS1	CMCD227	156.20099548135659
VIM-AS1	CMCD240	70.67741895878186
VIM-AS1	CMCD259	178
VIM-AS1	CMCD270	40.20763253980891
VIM-AS1	CMCD275	31.264711238106283
VIM-AS1	CMCD282	28.36850203390551
VIM-AS1	CMCD286	53.72271883965658
VIM-AS1	CMCD287	54
VIM-AS1	CMCD294	1.0639520056991958
VIM-AS1	CMCD327	133.68345870761271
VIM-AS1	CMCD335	114.53641882314172
VIM-AS1	CMCD337	49.32704144102628
VIM-AS1	CMCD357	41.86716903164498
VIM-AS1	CMCD398	62.372146177484346
VIM-AS1	CMCD403	177.26385676099815
VIM-AS1	CMCD422	97.20236968536422
VIM-AS1	CMCD426	1.1140469611806236
VIM-AS1	CMCD71	49.31292865235922
VIM-AS1	CMCD72	12.661825067817109
VIM-AS1	CMCD76	50.114860696568734
VIM-AS1	CMCD88	87.0156525381008
VIM-AS1	CMSA256	189
VIM-AS1	CMSA316	67.54635226771057
VIM-AS1	CMUC110	109
VIM-AS1	CMUC192	40.538417989851226
VIM-AS1	CMUC199	12.338248864997777
VIM-AS1	CMUC200	69.16155739088268
VIM-AS1	CMUC208	184.4502290516336
VIM-AS1	CMUC231	50
VIM-AS1	CMUC234	131
VIM-AS1	CMUC285	58.64536237179685
VIM-AS1	CMUC291	206.3538957177969
VIM-AS1	CMUC295	43.03869548090493
VIM-AS1	CMUC299	61.17854897305679
VIM-AS1	CMUC301	74.03994814566963
VIM-AS1	CMUC307	133.3671049087819
VIM-AS1	CMUC313	9.378372545930468
VIM-AS1	CMUC314	21.11693025671746
VIM-AS1	CMUC323	39.94009136876237
VIM-AS1	CMUC324	134.1205859172386
VIM-AS1	CMUC331	77.70512452783068
VIM-AS1	CMUC333	21.48801383408107
VIM-AS1	CMUC334	29.435377207612525
VIM-AS1	CMUC346	46.49907166358838
VIM-AS1	CMUC352	69.417723618997
VIM-AS1	CMUC360	55.07921212806118
VIM-AS1	CMUC363	24.63301362490388
VIM-AS1	CMUC365	62.41492514633411
VIM-AS1	CMUC366	106.35499335071547
VIM-AS1	CMUC368	126
VIM-AS1	CMUC377	112.45717211282674
VIM-AS1	CMUC379	17.13290186096628
VIM-AS1	CMUC380	74.33417897786097
VIM-AS1	CMUC383	104.47145559458036
VIM-AS1	CMUC394	53.40394973598275
VIM-AS1	CMUC419	12.299391027548612
VIM-AS1	CMUC427	215
VIM-AS1	CMUC428	99.6283588034109
VIM-AS1	CMUC431	172.31968260849055
VIM-AS1	CMUC435	86.43167049721437
VIM-AS1	CMUC439	51.32824148665521
VIM-AS1	CMUC89	89
VIM-AS1	CS219	37.09166903416416
VIM-AS1	CS256	62.141972916412456
VIM-AS1	CS257	3.283281532604894
VIM-AS1	CS259	131.20247507077812
VIM-AS1	CS261	15.357345535258915
VIM-AS1	CS266	31.073418755531115
VIM-AS1	CS270	15.19514256094763
VIM-AS1	CS277	11.576933927315531
VIM-AS1	CS288	27.243424660206895
VIM-AS1	CS290	37.29569166157029
VIM-AS1	CS292	13.181733907346281
