Gene	sample	counts
VIM	CM317	786.3387547401475
VIM	CMCD140	2460.9477711055288
VIM	CMCD147	2574.3953637125664
VIM	CMCD152	13870
VIM	CMCD154	9761.089520229996
VIM	CMCD159	1.0879251488683968
VIM	CMCD161	6081.756565728391
VIM	CMCD174	1.0948567840005883
VIM	CMCD196	616.7613923757509
VIM	CMCD198	38.11104802696883
VIM	CMCD203	6017.188658171341
VIM	CMCD211	5342.485074064683
VIM	CMCD227	5789.302158840595
VIM	CMCD240	2832.6269786621456
VIM	CMCD259	4659
VIM	CMCD270	2216.5012872432358
VIM	CMCD275	3315.716834765019
VIM	CMCD282	1983.97177546861
VIM	CMCD286	1473.910319722389
VIM	CMCD287	1924
VIM	CMCD294	1.065596706440916
VIM	CMCD327	6853.739166356343
VIM	CMCD335	5089.821289429796
VIM	CMCD337	4345.856844182257
VIM	CMCD357	2015.701924281735
VIM	CMCD398	3890.65566736728
VIM	CMCD403	5581.701995690001
VIM	CMCD422	9966.750194748789
VIM	CMCD426	323.7165401427789
VIM	CMCD71	6557.268739203206
VIM	CMCD72	1.153507591320982
VIM	CMCD76	1791.1841022827152
VIM	CMCD88	3353.6032524166894
VIM	CMSA256	7762
VIM	CMSA316	15427.243113708135
VIM	CMUC110	7809
VIM	CMUC192	3077.8202282734505
VIM	CMUC199	1030.9149502603157
VIM	CMUC200	6840.980133228613
VIM	CMUC208	7023.142960520354
VIM	CMUC231	19896
VIM	CMUC234	8157
VIM	CMUC285	4173.603306334104
VIM	CMUC291	11283.702630281246
VIM	CMUC295	4106.692268794254
VIM	CMUC299	6382.734545030483
VIM	CMUC301	6624.574279357819
VIM	CMUC307	9361.052503585857
VIM	CMUC313	1937.3753848929962
VIM	CMUC314	3924.1111766814024
VIM	CMUC323	1500.1332704366196
VIM	CMUC324	11584.551297240652
VIM	CMUC331	2754.6507062302308
VIM	CMUC333	2932.5928139396096
VIM	CMUC334	1914.4757819685888
VIM	CMUC346	15452.112886664638
VIM	CMUC352	8556.503344071338
VIM	CMUC360	3010.104546704424
VIM	CMUC363	5035.418661324923
VIM	CMUC365	3507.9649446401586
VIM	CMUC366	12240.572257917036
VIM	CMUC368	7073
VIM	CMUC377	11032.58573019581
VIM	CMUC379	213.4601197049765
VIM	CMUC380	3828.7710557955356
VIM	CMUC383	1858.9736648467535
VIM	CMUC394	2305.290593380904
VIM	CMUC419	2361.1867320978886
VIM	CMUC427	10198
VIM	CMUC428	3859.0528250487273
VIM	CMUC431	9755.534239103174
VIM	CMUC435	3245.7397285212387
VIM	CMUC439	9090.33298051728
VIM	CMUC89	11378
VIM	CS219	1924.8095129224057
VIM	CS256	3120.055847973774
VIM	CS257	1.097566066656918
VIM	CS259	3594.5471986948296
VIM	CS261	2153.325301464177
VIM	CS266	599.0265673012086
VIM	CS270	1917.8937252579549
VIM	CS277	0.9756714105277907
VIM	CS288	2412.589684467576
VIM	CS290	2945.5715708277235
VIM	CS292	1454.278373735704
VIM	CS293	658.1595036241512
VIM	CS301	1008.9484498792692
VIM	CS306	436.67842896081964
VIM	CS308	1106.6378664572187
VIM	CS315	1253.2511362745795
VIM	CS317	1.074639904418001
VIM	CS322	3630.846684223805
VIM	CS327	2949.945213143324
VIM	CS328	1.059153926433811
VIM	CS330	1.0796669003492032
VIM	CS331	754.2044635031842
VIM	CS335	185.95265924362212
VIM	CS338	1201.1736497873521
VIM	CS339	1.174554553094111
VIM	CS343	5353.094570476572
VIM	CS344	4386.5934167537935
VIM	CS350	756.6470804802703
VIM	CS351	3622.795872328502
VIM	CS361	1114.161189222605
VIM	CS388	1243.2097236537963
VIM	CS396	1590.9686793365552
VIM	CS405	4084.5457023131726
VIM	CS415	1638.0565594963614
VIM	CS424	502.6980630734938
VIM	IM293	5092.965645842508
VIM	IM296	654.4423194046333
VIM	IM297	1.1019019905718173
VIM	IM300	8170
VIM	IM305	2573.439757944764
VIM	IM309	1.0710522602925363
VIM	IM310	2427.8635671750026
VIM	IM311	10324.781399172947
VIM	IM316	4595.456969270203
VIM	IM320	754.864597949331
VIM	IM330	3671.492909026945
VIM	IM332	1.0316333002492235
VIM	IM340	570.7815544866871
VIM	IM348	1487.3999638300936
VIM	IM354	5795.538628089611
VIM	IM356	249.23047582503634
VIM	IM364	3387.3188856960955
VIM	IM372	987
VIM	IM374	940.4909469379495
VIM	IM376	4727.650459395683
VIM	IM381	5498.089864193588
VIM	IM382	3360.0153193917417
VIM	IM385	9328
VIM	IM390	3779.311556755868
VIM	IM397	3367.60207390765
VIM	IM404	12401.722064010699
VIM	IM409	8171.7803734808085
VIM	IM412	4718
VIM	IM421	3412.5352927635904
VIM	IM425	1.0558354963791774
VIM	IM432	1317.9929095962898
VIM	IM438	9040
VIM	IM442	2038.8466179303962
VIM	IM445	3422.4066787037063
VIM	IM448	2304.569424913343
VIM	IM449	6569.2281181992485
VIM	IM451	12563.891275884593
VIM	IMSA256	3815.470772093432
VIM	IMSA276	10205
VIM	IMSA286	5451
VIM	IMSA343	8612.61464563391
VIM	IS_238	2237
VIM	IS238	16651.45731744548
VIM	IS243	2547
VIM	IS253	3630
VIM	IS283	7523
VIM	IS322	4867.444018640683
VIM	IS399	3406.9998841743577
VIM	IS418	71.35464911024683
VIM	IS430	1.0866656304954692
VIM	IS437	203.79834857575605
VIM	IS444	466.18322374184874
VIM	R276CMSA	1622.8608038460936
VIM	R286CMSA	2997
VIM	R292CMSA	6453.539702115758
VIM	R292IMSA	667.7908142338856
VIM	R308CMSA	596.6633212411912
VIM	R316IMSA	2740.897106331245
VIM	R347CMSA	23.541153918380036
VIM	R347IMSA	362.90013404407796
VIM	R371CMSA	8464.924193358136
VIM	SRR10104064	624.9374377142994
VIM	SRR10104065	13631.44639914883
VIM	SRR10104066	4199.449757986569
