Gene	sample	counts
VPS29	CM317	567.3849917067463
VPS29	CMCD140	812.5770942329576
VPS29	CMCD147	506.76254734358116
VPS29	CMCD152	1458
VPS29	CMCD154	802.8208326694441
VPS29	CMCD159	399.26852963470157
VPS29	CMCD161	1033.1864197097548
VPS29	CMCD174	453.2707085762436
VPS29	CMCD196	709.6289015387117
VPS29	CMCD198	611.8368250816077
VPS29	CMCD203	741.3641911284795
VPS29	CMCD211	1034.418277466714
VPS29	CMCD227	1062.1667692732249
VPS29	CMCD240	1485.3109865071751
VPS29	CMCD259	1443
VPS29	CMCD270	914.7465629892719
VPS29	CMCD275	676.6563248562433
VPS29	CMCD282	609.985193479113
VPS29	CMCD286	1250.9341431490018
VPS29	CMCD287	1285
VPS29	CMCD294	456.07539035671203
VPS29	CMCD327	982.9823881355776
VPS29	CMCD335	967.5282079985972
VPS29	CMCD337	847.6283212419412
VPS29	CMCD357	639.2246223912696
VPS29	CMCD398	650.7896113719313
VPS29	CMCD403	845.0104609137335
VPS29	CMCD422	873.8192408828619
VPS29	CMCD426	491.15612987180253
VPS29	CMCD71	919.7887703547774
VPS29	CMCD72	441.79340747593614
VPS29	CMCD76	1833.282441564122
VPS29	CMCD88	1543.2776076585003
VPS29	CMSA256	1365
VPS29	CMSA316	826.6034600915232
VPS29	CMUC110	1302
VPS29	CMUC192	654.6828671269835
VPS29	CMUC199	498.995759357538
VPS29	CMUC200	1063.484237561254
VPS29	CMUC208	1034.52519772438
VPS29	CMUC231	1001
VPS29	CMUC234	1266
VPS29	CMUC285	733.0093016211786
VPS29	CMUC291	935.1079164613093
VPS29	CMUC295	1080.9718864971471
VPS29	CMUC299	1143.3559681544234
VPS29	CMUC301	1182.6380906511015
VPS29	CMUC307	1116.1062063729041
VPS29	CMUC313	526.2907850301038
VPS29	CMUC314	592.7373102095495
VPS29	CMUC323	581.6216365924914
VPS29	CMUC324	921.7599779489107
VPS29	CMUC331	759.7992607294373
VPS29	CMUC333	655.8939266347836
VPS29	CMUC334	800.912721088662
VPS29	CMUC346	915.7256851987285
VPS29	CMUC352	831.9102122674578
VPS29	CMUC360	854.1647299863187
VPS29	CMUC363	728.8781344629348
VPS29	CMUC365	696.5600406573859
VPS29	CMUC366	887.9431514964408
VPS29	CMUC368	1174
VPS29	CMUC377	889.5950998319519
VPS29	CMUC379	528.8233116309217
VPS29	CMUC380	643.5593902294623
VPS29	CMUC383	796.1234734886533
VPS29	CMUC394	717.3806391989526
VPS29	CMUC419	757.6712961443073
VPS29	CMUC427	1381
VPS29	CMUC428	881.4942046265149
VPS29	CMUC431	998.79519782151
VPS29	CMUC435	791.8399090014663
VPS29	CMUC439	790.9887880755654
VPS29	CMUC89	1121
VPS29	CS219	1002.5049546470864
VPS29	CS256	1020.307373349599
VPS29	CS257	445.61182306270877
VPS29	CS259	1078.6646232918172
VPS29	CS261	508.1110130952577
VPS29	CS266	618.7177520394837
VPS29	CS270	795.3230714883754
VPS29	CS277	380.5118501058384
VPS29	CS288	1094.7970755530405
VPS29	CS290	1056.4541431305456
VPS29	CS292	708.8846466117552
VPS29	CS293	566.6071769994624
VPS29	CS301	566.1207697387753
VPS29	CS306	520.8949831175491
VPS29	CS308	590.2752998264385
VPS29	CS315	579.8471212952115
VPS29	CS317	420.18420262743837
VPS29	CS322	836.016889334256
VPS29	CS327	988.6737362850922
VPS29	CS328	422.6024166470906
VPS29	CS330	396.2377524281576
VPS29	CS331	842.8744477258559
VPS29	CS335	210.71266006682183
VPS29	CS338	621.7233569285609
VPS29	CS339	456.90172115360923
VPS29	CS343	905.1174777420376
VPS29	CS344	616.6586814766026
VPS29	CS350	524.2263940539897
VPS29	CS351	951.8283616693866
VPS29	CS361	543.7680068724294
VPS29	CS388	608.6655433042733
VPS29	CS396	628.7055391025015
VPS29	CS405	555.818169885448
VPS29	CS415	515.8043711721085
VPS29	CS424	553.5910487978764
VPS29	IM293	814.311522529102
VPS29	IM296	413.8385255058711
VPS29	IM297	398.88852058699786
VPS29	IM300	1317
VPS29	IM305	661.5396552016564
VPS29	IM309	409.1419634317488
VPS29	IM310	708.5914962235186
VPS29	IM311	861.5796205820924
VPS29	IM316	736.7607083278782
VPS29	IM320	590.2621786742686
VPS29	IM330	659.9187639952092
VPS29	IM332	409.5584201989417
VPS29	IM340	526.3050697214907
VPS29	IM348	555.3098259937893
VPS29	IM354	644.6202158459074
VPS29	IM356	464.15392258913647
VPS29	IM364	624.7563219637736
VPS29	IM372	506
VPS29	IM374	572.7011911521591
VPS29	IM376	536.2404817531517
VPS29	IM381	741.0424932037758
VPS29	IM382	637.9383924375104
VPS29	IM385	1262
VPS29	IM390	663.6689229805431
VPS29	IM397	728.1301781421945
VPS29	IM404	827.3163016745231
VPS29	IM409	822.6084599442901
VPS29	IM412	775
VPS29	IM421	808.6865415420714
VPS29	IM425	386.43579167477895
VPS29	IM432	526.9884555392924
VPS29	IM438	1290
VPS29	IM442	495.87923375163246
VPS29	IM445	650.4899480953246
VPS29	IM448	499.39159829383277
VPS29	IM449	681.626739509239
VPS29	IM451	762.8794782717125
VPS29	IMSA256	969.932833116383
VPS29	IMSA276	978
VPS29	IMSA286	1103
VPS29	IMSA343	890.9252248921878
VPS29	IS_238	1152
VPS29	IS238	1832.0849434286501
VPS29	IS243	1366
VPS29	IS253	1134
VPS29	IS283	1097
VPS29	IS322	649.7335486788372
VPS29	IS399	552.0508387130538
VPS29	IS418	463.25633730037174
VPS29	IS430	467.26622111305176
VPS29	IS437	484.56309475193063
VPS29	IS444	516.0201830728258
VPS29	R276CMSA	471.6005754766426
VPS29	R286CMSA	1133
VPS29	R292CMSA	857.5265140200493
VPS29	R292IMSA	433.68644155415507
VPS29	R308CMSA	533.4619999607058
VPS29	R316IMSA	566.132450321489
VPS29	R347CMSA	467.61292101509434
VPS29	R347IMSA	569.9666811162872
VPS29	R371CMSA	873.5006580739625
VPS29	SRR10104064	517.6136559243661
VPS29	SRR10104065	1513.8228180872927
VPS29	SRR10104066	1177.7205046658112
VPS29	SRR10104067	1173.979663220056
VPS29	SRR10104068	1464.855791549278
VPS29	SRR10104069	1442.410467183176
VPS29	SRR10104070	991.5827608254509
VPS29	SRR10104071	379.634995156243
VPS29	SRR10104072	773.499276394004
VPS29	SRR10104073	596.6942679808781
VPS29	SRR10104074	615.8804989694613
VPS29	SRR10104075	489.8566512177965
VPS29	SRR10104076	995.1602056109313
VPS29	SRR10104077	653.4101489818343
VPS29	SRR10104078	958.1048522284292
VPS29	SRR10104079	587.8634062952937
VPS29	SRR10104080	593.0745972681423
VPS29	SRR10104081	1036.2167365337434
VPS29	SRR10104082	583.9247808203343
VPS29	SRR10104083	659.0445340908892
VPS29	SRR10104084	500.9281346781077
VPS29	SRR10104085	895.8245793783851
VPS29	SRR10104086	1005.6145004986203
VPS29	SRR10104087	2041.566149322843
VPS29	SRR10104088	1308.8213366679713
VPS29	SRR10104089	590.7541571613475
VPS29	SRR10104090	910.5568483810782
VPS29	SRR10104091	704.4106042210661
VPS29	SRR10104092	1195.0805968608267
VPS29	SRR10104093	918.6026678885917
VPS29	SRR10104094	872.6635547426076
VPS29	SRR10104095	509.5782681080204
VPS29	SRR10104096	605.8881490873559
VPS29	SRR10104097	601.3855678808154
VPS29	SRR10104098	865.2776385087351
VPS29	SRR10104099	713.5857548890614
VPS29	SRR10104100	886.4416150366546
VPS29	SRR10104101	1762.7796668724504
VPS29	SRR10104102	1207.294205697701
VPS29	SRR10104103	730.5734563202681
VPS29	SRR10104104	1176.0017675973
VPS29	SRR10104105	578.4394268742739
VPS29	SRR10104106	492.8573017735579
VPS29	SRR10104107	1446.9189894461865
VPS29	SRR10104108	1693.5666188708108
VPS29	SRR10104109	529.2875369065393
VPS29	SRR10104110	390.6313950856724
VPS29	SRR10104111	1086.7334584199082
VPS29	SRR10104112	502.3835855247716
VPS29	SRR10104113	757.8764822825119
VPS29	SRR10104114	445.9549210066654
VPS29	SRR10104115	545.8089095919204
VPS29	SRR10104116	738.1326220701553
VPS29	SRR10104117	696.6529427671836
VPS29	SRR10104118	536.2466440525968
VPS29	SRR10104119	392.3260557960473
VPS29	SRR10104120	739.9096505927018
VPS29	SRR10104121	507.908961121634
VPS29	SRR10104122	561.8811310583797
VPS29	SRR10104123	540.0985920217515
VPS29	SRR10104124	456.2756066514362
VPS29	SRR10104125	710.1842230265935
VPS29	SRR10104126	738.3355933257399
VPS29	SRR10104127	448.1262954835416
VPS29	SRR10104128	968.5186255230824
VPS29	SRR10104129	824.2757913184402
VPS29	SRR10104130	719.5403283547636
VPS29	SRR10104131	1494.8717880580232
VPS29	SRR10104132	1630.7147499490725
VPS29	SRR10104133	508.4335054741581
VPS29	SRR10104134	792.5781447796336
VPS29	SRR10104135	586.6639607093438
VPS29	SRR10104136	980.5923261080104
VPS29	SRR10104137	575.7080438347967
VPS29	SRR10104138	453.6222882659873
VPS29	SRR10104139	1262.2080574535003
VPS29	SRR10104140	587.5602387873967
VPS29	SRR10104141	619.7122523682821
VPS29	SRR10104142	537.7362559166643
VPS29	SRR10104143	1429.6376516855526
VPS29	SRR10104144	640.938983300883
VPS29	SRR10104145	675.6918118211383
VPS29	SRR10104146	1458.922337192855
VPS29	SRR10104147	2323.0021383995504
VPS29	SRR10104148	765.9193345059595
VPS29	SRR10104149	694.4570911713499
VPS29	SRR10104150	951.9618886683971
VPS29	SRR10104151	1764.4224852668287
VPS29	SRR10104152	2032.3644055921625
VPS29	SRR10104153	527.905327617254
VPS29	SRR10104154	873.1091707906074
VPS29	SRR10104155	517.7125123614511
