Gene	sample	counts
VPS4A	CM317	417.90694194355893
VPS4A	CMCD140	2150.0487089642234
VPS4A	CMCD147	842.8699452737181
VPS4A	CMCD152	828
VPS4A	CMCD154	1185.5492547848144
VPS4A	CMCD159	1042.232292615924
VPS4A	CMCD161	1339.1299711772065
VPS4A	CMCD174	693.0443442723724
VPS4A	CMCD196	1692.8131833291886
VPS4A	CMCD198	1844.780730170302
VPS4A	CMCD203	554.7691443762507
VPS4A	CMCD211	454.11525001452475
VPS4A	CMCD227	460.3818814187352
VPS4A	CMCD240	613.5182857010177
VPS4A	CMCD259	592
VPS4A	CMCD270	786.0789145688029
VPS4A	CMCD275	1572.1418933694235
VPS4A	CMCD282	1426.6763329212476
VPS4A	CMCD286	531.9304551305801
VPS4A	CMCD287	601
VPS4A	CMCD294	1162.5660067270394
VPS4A	CMCD327	773.922739125148
VPS4A	CMCD335	755.5360461214383
VPS4A	CMCD337	706.6924958572954
VPS4A	CMCD357	643.3091247707665
VPS4A	CMCD398	430.5068835659762
VPS4A	CMCD403	747.3155685315736
VPS4A	CMCD422	520.0827821309693
VPS4A	CMCD426	348.27434663636905
VPS4A	CMCD71	1548.7471745908124
VPS4A	CMCD72	326.4426483438379
VPS4A	CMCD76	580.3556772365373
VPS4A	CMCD88	835.1502283829215
VPS4A	CMSA256	775
VPS4A	CMSA316	517.1311890572578
VPS4A	CMUC110	675
VPS4A	CMUC192	848.2500925468811
VPS4A	CMUC199	1301.504403272754
VPS4A	CMUC200	839.9621028052129
VPS4A	CMUC208	1440.5161910173779
VPS4A	CMUC231	597
VPS4A	CMUC234	607
VPS4A	CMUC285	633.9266649882469
VPS4A	CMUC291	847.5359156732212
VPS4A	CMUC295	770.6929190766697
VPS4A	CMUC299	560.6456019283531
VPS4A	CMUC301	597.3222843643888
VPS4A	CMUC307	637.7749750702309
VPS4A	CMUC313	343.9127902176916
VPS4A	CMUC314	403.6107887701388
VPS4A	CMUC323	421.8804828804691
VPS4A	CMUC324	561.4629181643202
VPS4A	CMUC331	451.0362145365982
VPS4A	CMUC333	394.968885617826
VPS4A	CMUC334	476.0811992276077
VPS4A	CMUC346	1249.2681533174707
VPS4A	CMUC352	538.176497657908
VPS4A	CMUC360	539.7359782680255
VPS4A	CMUC363	669.3359769997655
VPS4A	CMUC365	498.26187879393933
VPS4A	CMUC366	518.7193325691072
VPS4A	CMUC368	650
VPS4A	CMUC377	602.4346048523377
VPS4A	CMUC379	494.498066251227
VPS4A	CMUC380	699.5653498222163
VPS4A	CMUC383	1396.5121312023894
VPS4A	CMUC394	972.2925798131872
VPS4A	CMUC419	929.9159209781959
VPS4A	CMUC427	794
VPS4A	CMUC428	501.12341769863525
VPS4A	CMUC431	595.0695561745005
VPS4A	CMUC435	480.32928490190466
VPS4A	CMUC439	516.2560410722201
VPS4A	CMUC89	582
VPS4A	CS219	994.4849150099096
VPS4A	CS256	818.8517917746781
VPS4A	CS257	583.9051474614804
VPS4A	CS259	962.4853323894487
VPS4A	CS261	1504.8691093486564
VPS4A	CS266	1315.1638648879477
VPS4A	CS270	1065.834230835377
VPS4A	CS277	825.4180133065109
VPS4A	CS288	994.9031488435925
VPS4A	CS290	1084.6800171836517
