Gene	sample	counts
WBP1L	CM317	629.1920907721327
WBP1L	CMCD140	1650.3899853375792
WBP1L	CMCD147	795.9492921594067
WBP1L	CMCD152	1699
WBP1L	CMCD154	1621.8983191253662
WBP1L	CMCD159	746.290998187529
WBP1L	CMCD161	1534.6863105808884
WBP1L	CMCD174	681.8007673194533
WBP1L	CMCD196	1293.7812169709778
WBP1L	CMCD198	996.5518790643255
WBP1L	CMCD203	1719.552182216743
WBP1L	CMCD211	1226.7592710178924
WBP1L	CMCD227	1173.1516871152414
WBP1L	CMCD240	1201.5161222992915
WBP1L	CMCD259	1356
WBP1L	CMCD270	985.0869972253184
WBP1L	CMCD275	1386.7412242708433
WBP1L	CMCD282	1371.8197054967163
WBP1L	CMCD286	1104.6144996504827
WBP1L	CMCD287	1211
WBP1L	CMCD294	853.289508570755
WBP1L	CMCD327	1238.3309859231492
WBP1L	CMCD335	1130.2936068073195
WBP1L	CMCD337	1215.0558983534434
WBP1L	CMCD357	817.9415218133568
WBP1L	CMCD398	783.6758366493598
WBP1L	CMCD403	1106.8919237519146
WBP1L	CMCD422	1106.303259099403
WBP1L	CMCD426	638.3489087564973
WBP1L	CMCD71	1241.8806930002302
WBP1L	CMCD72	652.6595284956636
WBP1L	CMCD76	1033.3684275632472
WBP1L	CMCD88	1488.267712375793
WBP1L	CMSA256	1871
WBP1L	CMSA316	1237.0055855594162
WBP1L	CMUC110	1536
WBP1L	CMUC192	973.9354922061757
WBP1L	CMUC199	987.0599091998222
WBP1L	CMUC200	1597.732209870536
WBP1L	CMUC208	1371.3473551230152
WBP1L	CMUC231	2577
WBP1L	CMUC234	1434
WBP1L	CMUC285	1006.0713027575493
WBP1L	CMUC291	1366.968733584235
WBP1L	CMUC295	1151.0348791404806
WBP1L	CMUC299	1334.8958800514522
WBP1L	CMUC301	1498.808680029907
WBP1L	CMUC307	1223.3674284865706
WBP1L	CMUC313	692.9575270048623
WBP1L	CMUC314	689.4677728818251
WBP1L	CMUC323	733.2591133342014
WBP1L	CMUC324	1066.9592879684803
WBP1L	CMUC331	746.7765214362948
WBP1L	CMUC333	756.1734392088529
WBP1L	CMUC334	764.3047943907666
WBP1L	CMUC346	1421.2542338914188
WBP1L	CMUC352	1057.3627177328383
WBP1L	CMUC360	672.9678281828566
WBP1L	CMUC363	862.1554768716359
WBP1L	CMUC365	867.7687980022581
WBP1L	CMUC366	1183.9518127721155
WBP1L	CMUC368	1059
WBP1L	CMUC377	1175.7798977153582
WBP1L	CMUC379	672.4663980429266
WBP1L	CMUC380	954.1250096199415
WBP1L	CMUC383	1053.8431297356212
WBP1L	CMUC394	947.1643915438449
WBP1L	CMUC419	978.8265359424104
WBP1L	CMUC427	1687
WBP1L	CMUC428	986.220117447906
WBP1L	CMUC431	1158.1485645082273
WBP1L	CMUC435	895.4723071281164
WBP1L	CMUC439	948.0628133417491
WBP1L	CMUC89	1688
WBP1L	CS219	1109.7426384005332
WBP1L	CS256	1342.0661570173595
WBP1L	CS257	700.4333936223774
WBP1L	CS259	1140.7604511879106
WBP1L	CS261	1274.65967942649
WBP1L	CS266	977.7769101740458
WBP1L	CS270	1040.360760672881
WBP1L	CS277	652.1672779054417
WBP1L	CS288	1111.9353324277035
WBP1L	CS290	1173.3022998396707
WBP1L	CS292	1133.62911603178
WBP1L	CS293	1094.1290847083817
WBP1L	CS301	942.5526844787406
WBP1L	CS306	1016.0065916888675
WBP1L	CS308	691.9126386489834
WBP1L	CS315	728.8649623541518
WBP1L	CS317	587.6195561078576
WBP1L	CS322	813.7752421835388
WBP1L	CS327	837.970154614746
WBP1L	CS328	649.8271391197661
WBP1L	CS330	675.1922785650742
WBP1L	CS331	1221.5407255812631
WBP1L	CS335	334.1855898583263
WBP1L	CS338	765.9086977207884
WBP1L	CS339	663.8179568032662
WBP1L	CS343	860.8993908074335
WBP1L	CS344	756.5419170440845
WBP1L	CS350	826.7763195768391
WBP1L	CS351	1378.3623598400418
WBP1L	CS361	732.1531315953247
WBP1L	CS388	783.4672047850347
WBP1L	CS396	765.2541738620596
WBP1L	CS405	739.2935399580188
WBP1L	CS415	656.9082861622162
WBP1L	CS424	714.9215314477193
WBP1L	IM293	1213.4375569876909
WBP1L	IM296	729.1001568376432
WBP1L	IM297	563.6689523685551
WBP1L	IM300	1866
WBP1L	IM305	1134.2862459482967
WBP1L	IM309	606.7622413994833
WBP1L	IM310	711.6593654805
WBP1L	IM311	1078.2879278571668
WBP1L	IM316	810.1801988585279
WBP1L	IM320	656.851305856543
WBP1L	IM330	733.6915912859554
WBP1L	IM332	558.5893020851645
WBP1L	IM340	647.4997299731075
WBP1L	IM348	661.5814132068078
WBP1L	IM354	967.965990669389
WBP1L	IM356	657.6137541959713
WBP1L	IM364	710.1359050710955
WBP1L	IM372	664.9938273824125
WBP1L	IM374	802.8304205853199
WBP1L	IM376	777.6232863488499
WBP1L	IM381	934.58899509198
WBP1L	IM382	849.2048151043697
WBP1L	IM385	1373
WBP1L	IM390	881.5991559540045
WBP1L	IM397	754.4929574201212
WBP1L	IM404	1225.522433642251
WBP1L	IM409	1201.8461437026322
WBP1L	IM412	928
WBP1L	IM421	776.1464263117861
WBP1L	IM425	559.8403974175069
WBP1L	IM432	723.1579688371247
WBP1L	IM438	1204
WBP1L	IM442	704.8041762082808
WBP1L	IM445	788.0011869784745
WBP1L	IM448	875.709906165659
WBP1L	IM449	841.0444525674358
WBP1L	IM451	1169.0317261445011
WBP1L	IMSA256	1159.7346003354535
WBP1L	IMSA276	1777
WBP1L	IMSA286	1408
WBP1L	IMSA343	1025.6835571097154
WBP1L	IS_238	1366
WBP1L	IS238	2702.9812549145904
WBP1L	IS243	1715
WBP1L	IS253	1524
WBP1L	IS283	1626
WBP1L	IS322	1223.884705700354
WBP1L	IS399	724.2148784033662
WBP1L	IS418	604.3026087380022
WBP1L	IS430	625.9035425821503
WBP1L	IS437	629.8627364175873
WBP1L	IS444	643.4668280425695
