Gene	sample	counts
WDR86-AS1	CM317	1.0526623222759672
WDR86-AS1	CMCD140	9.084712854778408
WDR86-AS1	CMCD147	1.0405801793502694
WDR86-AS1	CMCD152	64
WDR86-AS1	CMCD154	35.34431338796295
WDR86-AS1	CMCD159	1.0879251488683968
WDR86-AS1	CMCD161	76.23511446402074
WDR86-AS1	CMCD174	55.837695984030006
WDR86-AS1	CMCD196	7.0660061319644125
WDR86-AS1	CMCD198	1.0300283250532116
WDR86-AS1	CMCD203	72.23034067828218
WDR86-AS1	CMCD211	51.43960354146829
WDR86-AS1	CMCD227	37.81708311653896
WDR86-AS1	CMCD240	23.30996526219672
WDR86-AS1	CMCD259	30
WDR86-AS1	CMCD270	5.0260800164245705
WDR86-AS1	CMCD275	22.185453273975188
WDR86-AS1	CMCD282	7.09285108696643
WDR86-AS1	CMCD286	3.7792572300574077
WDR86-AS1	CMCD287	20
WDR86-AS1	CMCD294	1.065596706440916
WDR86-AS1	CMCD327	27.137550592699995
WDR86-AS1	CMCD335	52.244513827546264
WDR86-AS1	CMCD337	7.0467912692322905
WDR86-AS1	CMCD357	3.0633767846226974
WDR86-AS1	CMCD398	6.035143227560414
WDR86-AS1	CMCD403	5.035819194956695
WDR86-AS1	CMCD422	16.033380566658014
WDR86-AS1	CMCD426	1.116263931526824
WDR86-AS1	CMCD71	12.076001361331869
WDR86-AS1	CMCD72	1.153507591320982
WDR86-AS1	CMCD76	15.035121171931017
WDR86-AS1	CMCD88	17.003058541927743
WDR86-AS1	CMSA256	41
WDR86-AS1	CMSA316	45.36238500502261
WDR86-AS1	CMUC110	9
WDR86-AS1	CMUC192	2.0268819415696084
WDR86-AS1	CMUC199	3.0865717073662147
WDR86-AS1	CMUC200	14.03277976046895
WDR86-AS1	CMUC208	18.044044146355464
WDR86-AS1	CMUC231	91
WDR86-AS1	CMUC234	18
WDR86-AS1	CMUC285	3.033141937742808
WDR86-AS1	CMUC291	27.177517485958397
WDR86-AS1	CMUC295	17.01529821338102
WDR86-AS1	CMUC299	16.047101307430502
WDR86-AS1	CMUC301	13.007017917482504
WDR86-AS1	CMUC307	19.053025984802495
WDR86-AS1	CMUC313	1.0421599703566413
WDR86-AS1	CMUC314	6.339436472829406
WDR86-AS1	CMUC323	1.0239817545642456
WDR86-AS1	CMUC324	9.007426494614762
WDR86-AS1	CMUC331	3.027088688165089
WDR86-AS1	CMUC333	12.278825459621533
WDR86-AS1	CMUC334	5.075492529078974
WDR86-AS1	CMUC346	36.386451067499145
WDR86-AS1	CMUC352	33.195933500394325
WDR86-AS1	CMUC360	4.005461805328575
WDR86-AS1	CMUC363	9.239300296009032
WDR86-AS1	CMUC365	19.12520342845424
WDR86-AS1	CMUC366	57.18955890994025
WDR86-AS1	CMUC368	23
WDR86-AS1	CMUC377	17.068980470816232
WDR86-AS1	CMUC379	1.0726639181154598
WDR86-AS1	CMUC380	4.073160697654825
WDR86-AS1	CMUC383	3.042510089765554
WDR86-AS1	CMUC394	7.052899542686332
WDR86-AS1	CMUC419	2.0505312480224824
WDR86-AS1	CMUC427	30
WDR86-AS1	CMUC428	7.043903461627403
WDR86-AS1	CMUC431	19.034211392787054
WDR86-AS1	CMUC435	5.024364904831638
WDR86-AS1	CMUC439	13.082511762064058
WDR86-AS1	CMUC89	31
WDR86-AS1	CS219	13.032564410412123
WDR86-AS1	CS256	22.04986464999133
WDR86-AS1	CS257	3.2926981999707543
WDR86-AS1	CS259	21.03245783577359
WDR86-AS1	CS261	4.097669460445627
WDR86-AS1	CS266	15.545672161796071
WDR86-AS1	CS270	7.092052866775322
WDR86-AS1	CS277	12.683728336861279
WDR86-AS1	CS288	1.0090295627216963
WDR86-AS1	CS290	9.0726023742127
WDR86-AS1	CS292	1.0141411253387056
WDR86-AS1	CS293	5.086240368038262
WDR86-AS1	CS301	5.137212066595057
WDR86-AS1	CS306	1.0397105451448088
WDR86-AS1	CS308	2.053131477657178
WDR86-AS1	CS315	11.309075060722211
WDR86-AS1	CS317	1.074639904418001
WDR86-AS1	CS322	5.066769026268218
WDR86-AS1	CS327	4.0189989279881795
WDR86-AS1	CS328	1.059153926433811
WDR86-AS1	CS330	1.0796669003492032
WDR86-AS1	CS331	1.019195220950249
WDR86-AS1	CS335	4.042449113991785
WDR86-AS1	CS338	8.248402745320874
WDR86-AS1	CS339	4.698218212376444
WDR86-AS1	CS343	33.26155541813724
WDR86-AS1	CS344	10.142412524286229
WDR86-AS1	CS350	10.238796758866986
WDR86-AS1	CS351	5.041463780028531
WDR86-AS1	CS361	3.0721356320476234
WDR86-AS1	CS388	8.281163854479908
WDR86-AS1	CS396	2.0215612189791043
WDR86-AS1	CS405	9.22945300547792
WDR86-AS1	CS415	1.079088642619474
WDR86-AS1	CS424	1.0386323617220947
WDR86-AS1	IM293	10.053228673198792
WDR86-AS1	IM296	1.06935019510561
WDR86-AS1	IM297	4.407607962287269
WDR86-AS1	IM300	23
WDR86-AS1	IM305	4.03993682565897
WDR86-AS1	IM309	1.0710522602925363
WDR86-AS1	IM310	16.219547839164946
WDR86-AS1	IM311	42.522143436483994
WDR86-AS1	IM316	4.020522282826074
WDR86-AS1	IM320	1.0484230527074043
WDR86-AS1	IM330	13.137739558863277
WDR86-AS1	IM332	1.0316333002492235
WDR86-AS1	IM340	38.1227012273112
WDR86-AS1	IM348	8.30369833261741
WDR86-AS1	IM354	12.086629047110764
WDR86-AS1	IM356	14.12642373097372
WDR86-AS1	IM364	3.0525553190412396
WDR86-AS1	IM372	6
WDR86-AS1	IM374	21.016557473473732
WDR86-AS1	IM376	3.046820919051998
WDR86-AS1	IM381	17.21000325746474
WDR86-AS1	IM382	18.580729876820694
WDR86-AS1	IM385	97
WDR86-AS1	IM390	7.202608466455506
WDR86-AS1	IM397	7.079043398604669
WDR86-AS1	IM404	42.11792081252118
WDR86-AS1	IM409	21.118310096369306
WDR86-AS1	IM412	20
WDR86-AS1	IM421	11.175316528847722
WDR86-AS1	IM425	1.0558354963791774
WDR86-AS1	IM432	3.1306244883522325
WDR86-AS1	IM438	33
WDR86-AS1	IM442	19.8351693500653
WDR86-AS1	IM445	4.046593767311506
WDR86-AS1	IM448	10.233434391267064
WDR86-AS1	IM449	25.208089478891974
WDR86-AS1	IM451	10.051113020707675
WDR86-AS1	IMSA256	7.0284987906984275
WDR86-AS1	IMSA276	22
WDR86-AS1	IMSA286	8
WDR86-AS1	IMSA343	10.12415028286577
WDR86-AS1	IS_238	10
