Gene	sample	counts
XXYLT1-AS2	CM317	7.365124808369447
XXYLT1-AS2	CMCD140	1.0094128350688558
XXYLT1-AS2	CMCD147	1.0404565910580479
XXYLT1-AS2	CMCD152	14
XXYLT1-AS2	CMCD154	8.079194615817515
XXYLT1-AS2	CMCD159	1.0863042186135794
XXYLT1-AS2	CMCD161	10.030629480920839
XXYLT1-AS2	CMCD174	1.092629434806816
XXYLT1-AS2	CMCD196	3.027569150478107
XXYLT1-AS2	CMCD198	4.117982971340188
XXYLT1-AS2	CMCD203	1.0032393128452408
XXYLT1-AS2	CMCD211	32.93852659576529
XXYLT1-AS2	CMCD227	34.52864110640514
XXYLT1-AS2	CMCD240	10.229626428244742
XXYLT1-AS2	CMCD259	40
XXYLT1-AS2	CMCD270	11.057098948447452
XXYLT1-AS2	CMCD275	6.051234433181861
XXYLT1-AS2	CMCD282	10.131607869251967
XXYLT1-AS2	CMCD286	26.390107500182182
XXYLT1-AS2	CMCD287	10
XXYLT1-AS2	CMCD294	1.0639520056991958
XXYLT1-AS2	CMCD327	18.092498170955103
XXYLT1-AS2	CMCD335	32.15057370474153
XXYLT1-AS2	CMCD337	12.080091781475824
XXYLT1-AS2	CMCD357	5.105752320932314
XXYLT1-AS2	CMCD398	13.078030650117686
XXYLT1-AS2	CMCD403	16.11489606918165
XXYLT1-AS2	CMCD422	20.04172570832252
XXYLT1-AS2	CMCD426	1.1140469611806236
XXYLT1-AS2	CMCD71	9.057476691249652
XXYLT1-AS2	CMCD72	5.755375030825959
XXYLT1-AS2	CMCD76	31.071213631872613
XXYLT1-AS2	CMCD88	40.00719656924175
XXYLT1-AS2	CMSA256	27
XXYLT1-AS2	CMSA316	10.081545114583669
XXYLT1-AS2	CMUC110	28
XXYLT1-AS2	CMUC192	20.269208994925613
XXYLT1-AS2	CMUC199	6.169124432498888
XXYLT1-AS2	CMUC200	20.046828229241356
XXYLT1-AS2	CMUC208	8.019575176157984
XXYLT1-AS2	CMUC231	7
