Gene	sample	counts
XXbac-BPG283O16.9	CM317	32.63253199055498
XXbac-BPG283O16.9	CMCD140	319.9837749960839
XXbac-BPG283O16.9	CMCD147	78.0435134512702
XXbac-BPG283O16.9	CMCD152	241
XXbac-BPG283O16.9	CMCD154	289.8233697812962
XXbac-BPG283O16.9	CMCD159	1.0879251488683968
XXbac-BPG283O16.9	CMCD161	228.70534339206222
XXbac-BPG283O16.9	CMCD174	22.991992464012355
XXbac-BPG283O16.9	CMCD196	167.56528827229891
XXbac-BPG283O16.9	CMCD198	160.68441870830102
XXbac-BPG283O16.9	CMCD203	516.647575684935
XXbac-BPG283O16.9	CMCD211	239.51565398996172
XXbac-BPG283O16.9	CMCD227	256.4984767904382
XXbac-BPG283O16.9	CMCD240	341.25789143856
XXbac-BPG283O16.9	CMCD259	364
XXbac-BPG283O16.9	CMCD270	148.7719684861673
XXbac-BPG283O16.9	CMCD275	156.30660261209792
XXbac-BPG283O16.9	CMCD282	215.82532593197854
XXbac-BPG283O16.9	CMCD286	353.3605510103676
XXbac-BPG283O16.9	CMCD287	283
XXbac-BPG283O16.9	CMCD294	34.09909460610931
XXbac-BPG283O16.9	CMCD327	187.9526652161074
XXbac-BPG283O16.9	CMCD335	220.02977938908907
XXbac-BPG283O16.9	CMCD337	281.87165076929165
XXbac-BPG283O16.9	CMCD357	62.28866128732818
XXbac-BPG283O16.9	CMCD398	125.73215057417528
XXbac-BPG283O16.9	CMCD403	257.8339427817828
XXbac-BPG283O16.9	CMCD422	103.21488739786098
XXbac-BPG283O16.9	CMCD426	18.976486835956006
XXbac-BPG283O16.9	CMCD71	101.63967812454324
XXbac-BPG283O16.9	CMCD72	11.535075913209822
XXbac-BPG283O16.9	CMCD76	133.31140772445502
XXbac-BPG283O16.9	CMCD88	184.03310421851202
XXbac-BPG283O16.9	CMSA256	214
XXbac-BPG283O16.9	CMSA316	145.15963201607235
XXbac-BPG283O16.9	CMUC110	315
XXbac-BPG283O16.9	CMUC192	88.16936445827797
XXbac-BPG283O16.9	CMUC199	80.25086439152159
XXbac-BPG283O16.9	CMUC200	171.4003813600136
XXbac-BPG283O16.9	CMUC208	272.66555598937146
XXbac-BPG283O16.9	CMUC231	275
XXbac-BPG283O16.9	CMUC234	255
XXbac-BPG283O16.9	CMUC285	74.81750113098926
XXbac-BPG283O16.9	CMUC291	84.55227662298168
XXbac-BPG283O16.9	CMUC295	302.2717682612393
XXbac-BPG283O16.9	CMUC299	105.30910233001268
XXbac-BPG283O16.9	CMUC301	169.09123292727253
XXbac-BPG283O16.9	CMUC307	124.34606432186891
XXbac-BPG283O16.9	CMUC313	89.62575745067114
XXbac-BPG283O16.9	CMUC314	48.602346291692115
XXbac-BPG283O16.9	CMUC323	113.66197475663125
XXbac-BPG283O16.9	CMUC324	173.1427537298171
XXbac-BPG283O16.9	CMUC331	130.1648135910988
XXbac-BPG283O16.9	CMUC333	89.02148458225611
XXbac-BPG283O16.9	CMUC334	105.57024460484266
XXbac-BPG283O16.9	CMUC346	99.05200568374768
XXbac-BPG283O16.9	CMUC352	208.22903741156443
XXbac-BPG283O16.9	CMUC360	79.10787065523937
XXbac-BPG283O16.9	CMUC363	91.36641403831155
XXbac-BPG283O16.9	CMUC365	103.67873437530454
XXbac-BPG283O16.9	CMUC366	189.62853743822293
XXbac-BPG283O16.9	CMUC368	298
XXbac-BPG283O16.9	CMUC377	253.0225340379818
XXbac-BPG283O16.9	CMUC379	24.671270116655577
XXbac-BPG283O16.9	CMUC380	67.20715151130462
XXbac-BPG283O16.9	CMUC383	168.35222496702733
XXbac-BPG283O16.9	CMUC394	121.91440638072089
XXbac-BPG283O16.9	CMUC419	47.1622187045171
XXbac-BPG283O16.9	CMUC427	335
XXbac-BPG283O16.9	CMUC428	74.46412230863254
XXbac-BPG283O16.9	CMUC431	162.29169713850013
XXbac-BPG283O16.9	CMUC435	285.38392659443707
XXbac-BPG283O16.9	CMUC439	114.72356468271559
XXbac-BPG283O16.9	CMUC89	369
XXbac-BPG283O16.9	CS219	273.68385261865456
XXbac-BPG283O16.9	CS256	104.23572379995903
XXbac-BPG283O16.9	CS257	4.390264266627672
XXbac-BPG283O16.9	CS259	224.34621691491833
XXbac-BPG283O16.9	CS261	95.27081495536082
XXbac-BPG283O16.9	CS266	18.654806594155286
XXbac-BPG283O16.9	CS270	183.38022412661905
XXbac-BPG283O16.9	CS277	59.515956042195235
XXbac-BPG283O16.9	CS288	168.5079369745233
XXbac-BPG283O16.9	CS290	185.48431520612633
XXbac-BPG283O16.9	CS292	227.16761207587007
XXbac-BPG283O16.9	CS293	80.36259781500455
XXbac-BPG283O16.9	CS301	109.93633822513422
XXbac-BPG283O16.9	CS306	67.58118543441256
XXbac-BPG283O16.9	CS308	58.514247113229565
XXbac-BPG283O16.9	CS315	50.376788906853484
XXbac-BPG283O16.9	CS317	1.074639904418001
XXbac-BPG283O16.9	CS322	134.7760560987346
XXbac-BPG283O16.9	CS327	161.76470685152424
XXbac-BPG283O16.9	CS328	22.24223245511003
XXbac-BPG283O16.9	CS330	68.01901472199981
XXbac-BPG283O16.9	CS331	43.82539450086071
XXbac-BPG283O16.9	CS335	38.403266582921965
XXbac-BPG283O16.9	CS338	94.85663157119005
XXbac-BPG283O16.9	CS339	7.047327318564666
XXbac-BPG283O16.9	CS343	143.1254808901663
XXbac-BPG283O16.9	CS344	97.36716023314779
XXbac-BPG283O16.9	CS350	31.740269952487658
XXbac-BPG283O16.9	CS351	232.9156266373181
XXbac-BPG283O16.9	CS361	68.61102911573026
XXbac-BPG283O16.9	CS388	70.38989276307923
XXbac-BPG283O16.9	CS396	126.34757618619403
XXbac-BPG283O16.9	CS405	51.27473891932177
XXbac-BPG283O16.9	CS415	11.869975068814213
XXbac-BPG283O16.9	CS424	61.279309341603586
XXbac-BPG283O16.9	IM293	147.78246149602222
XXbac-BPG283O16.9	IM296	36.35790663359074
