Gene	sample	counts
YIPF6	CM317	404.2223317539714
YIPF6	CMCD140	583.4404477846577
YIPF6	CMCD147	498.437905908779
YIPF6	CMCD152	1284
YIPF6	CMCD154	754.3486314516664
YIPF6	CMCD159	444.96138588717423
YIPF6	CMCD161	762.3511446402074
YIPF6	CMCD174	410.57129400022063
YIPF6	CMCD196	508.7524415014377
YIPF6	CMCD198	561.3654371540003
YIPF6	CMCD203	1371.3732737112741
YIPF6	CMCD211	1028.792070829366
YIPF6	CMCD227	1042.4361172124218
YIPF6	CMCD240	1468.5278115183935
YIPF6	CMCD259	949
YIPF6	CMCD270	673.4947222008925
YIPF6	CMCD275	723.0440907927368
YIPF6	CMCD282	594.786226864185
YIPF6	CMCD286	1405.8836895813556
YIPF6	CMCD287	1326
YIPF6	CMCD294	501.8960487336714
YIPF6	CMCD327	586.975168375437
YIPF6	CMCD335	562.6332258351136
YIPF6	CMCD337	760.0467726100542
YIPF6	CMCD357	419.6826194933096
YIPF6	CMCD398	480.7997437956463
YIPF6	CMCD403	593.2195011658988
YIPF6	CMCD422	690.4374506517108
YIPF6	CMCD426	426.4128218432467
YIPF6	CMCD71	728.5854154670228
YIPF6	CMCD72	407.18817973630667
YIPF6	CMCD76	1065.488920384178
YIPF6	CMCD88	1465.263574348479
YIPF6	CMSA256	1121
YIPF6	CMSA316	677.4116160750043
YIPF6	CMUC110	1236
YIPF6	CMUC192	605.0242595585281
YIPF6	CMUC199	520.6017613091016
YIPF6	CMUC200	875.0440522063852
YIPF6	CMUC208	789.9281548515614
YIPF6	CMUC231	1611
YIPF6	CMUC234	1159
YIPF6	CMUC285	539.8992649182198
YIPF6	CMUC291	714.6680524085357
YIPF6	CMUC295	848.7631108792414
YIPF6	CMUC299	1134.3294736689936
YIPF6	CMUC301	1155.6235149763302
YIPF6	CMUC307	890.4782670791902
YIPF6	CMUC313	418.9483080833698
YIPF6	CMUC314	389.8753430790085
YIPF6	CMUC323	420.8565011259049
YIPF6	CMUC324	727.5998957316591
YIPF6	CMUC331	486.3522492318576
YIPF6	CMUC333	470.6883092854921
YIPF6	CMUC334	519.7304349776869
YIPF6	CMUC346	653.9453844631097
YIPF6	CMUC352	588.4733665978995
YIPF6	CMUC360	441.6021640374754
YIPF6	CMUC363	584.1290964921267
YIPF6	CMUC365	497.25528913981015
YIPF6	CMUC366	734.4343354750222
YIPF6	CMUC368	615
YIPF6	CMUC377	616.4914122988922
YIPF6	CMUC379	406.5396249657593
YIPF6	CMUC380	575.3339485437441
YIPF6	CMUC383	475.64574403334825
YIPF6	CMUC394	443.3251141117123
YIPF6	CMUC419	533.1381244858455
YIPF6	CMUC427	884
YIPF6	CMUC428	536.3429350067722
YIPF6	CMUC431	646.1613867551393
YIPF6	CMUC435	555.6947584743792
YIPF6	CMUC439	615.8843998756311
YIPF6	CMUC89	1270
YIPF6	CS219	689.7234087971954
YIPF6	CS256	753.7044643997037
YIPF6	CS257	423.6605017295704
YIPF6	CS259	645.9969192416174
YIPF6	CS261	472.2564053163585
YIPF6	CS266	582.4445169952928
YIPF6	CS270	670.7055711150376
YIPF6	CS277	395.14692126375525
YIPF6	CS288	624.58929932473
YIPF6	CS290	728.8323907284203
YIPF6	CS292	577.0463003177235
YIPF6	CS293	509.64128487743386
YIPF6	CS301	514.7486490728247
YIPF6	CS306	496.98164057921855
YIPF6	CS308	442.4498334351218
YIPF6	CS315	436.9415364369945
YIPF6	CS317	378.27324635513634
YIPF6	CS322	464.11604280616876
YIPF6	CS327	548.5933536703865
YIPF6	CS328	384.4728752954734
YIPF6	CS330	378.96308202257035
YIPF6	CS331	747.0700969565326
YIPF6	CS335	199.09061886409543
YIPF6	CS338	394.8922814322368
YIPF6	CS339	411.09409358293885
YIPF6	CS343	486.8282202109178
YIPF6	CS344	593.3311326707443
YIPF6	CS350	417.74290776177304
YIPF6	CS351	542.4615027310699
YIPF6	CS361	415.7623555371117
YIPF6	CS388	395.42557405141565
YIPF6	CS396	448.78659061336117
YIPF6	CS405	437.8862703710079
YIPF6	CS415	393.86735455610795
YIPF6	CS424	438.3028566467239
YIPF6	IM293	655.4705094925612
YIPF6	IM296	430.94812862756083
YIPF6	IM297	412.1113444738597
YIPF6	IM300	1155
YIPF6	IM305	613.0604132937488
YIPF6	IM309	379.1525001435578
YIPF6	IM310	416.6396351185495
YIPF6	IM311	542.6635448084623
YIPF6	IM316	470.4011070906507
YIPF6	IM320	432.99872076815797
YIPF6	IM330	453.757312456124
YIPF6	IM332	403.36862039744636
YIPF6	IM340	442.64691980600224
YIPF6	IM348	391.31178392459543
YIPF6	IM354	563.0354697779097
YIPF6	IM356	388.4766526017773
YIPF6	IM364	429.39278154513437
YIPF6	IM372	378
YIPF6	IM374	430.8394282062115
YIPF6	IM376	445.85146115460907
YIPF6	IM381	508.20127266160586
YIPF6	IM382	445.93751704369663
YIPF6	IM385	1124
YIPF6	IM390	403.34607412150837
YIPF6	IM397	428.7877715726257
YIPF6	IM404	669.8755024467654
YIPF6	IM409	642.6000072180946
YIPF6	IM412	489
YIPF6	IM421	458.1879776827565
YIPF6	IM425	364.2632462508162
YIPF6	IM432	471.6807562450697
YIPF6	IM438	643
YIPF6	IM442	458.29680761466665
YIPF6	IM445	520.9989475413564
YIPF6	IM448	437.99099194623034
YIPF6	IM449	515.2533489485519
YIPF6	IM451	639.2507881170081
YIPF6	IMSA256	765.1022969303145
YIPF6	IMSA276	1188
YIPF6	IMSA286	966
YIPF6	IMSA343	511.2695892847214
YIPF6	IS_238	1238
YIPF6	IS238	1414.6090110528394
YIPF6	IS243	1494
YIPF6	IS253	1203
YIPF6	IS283	902
YIPF6	IS322	472.9009343416732
YIPF6	IS399	537.9473501327933
YIPF6	IS418	459.9630458029757
YIPF6	IS430	389.026295717378
YIPF6	IS437	409.76476468955207
YIPF6	IS444	402.8487545920653
YIPF6	R276CMSA	496.1408769154724
YIPF6	R286CMSA	1026
YIPF6	R292CMSA	620.5519738458905
YIPF6	R292IMSA	501.652227170851
YIPF6	R308CMSA	411.3441927407853
YIPF6	R316IMSA	463.1065449476685
YIPF6	R347CMSA	384.14882984992875
YIPF6	R347IMSA	385.3145540879769
YIPF6	R371CMSA	593.378033243347
YIPF6	SRR10104064	403.58213777256185
YIPF6	SRR10104065	1068.2258025307008
YIPF6	SRR10104066	1064.6348852731599
YIPF6	SRR10104067	694.9713960997541
YIPF6	SRR10104068	1192.5814983326425
YIPF6	SRR10104069	1138.9580547322973
YIPF6	SRR10104070	473.6532398543172
YIPF6	SRR10104071	227.0822823787343
YIPF6	SRR10104072	487.7342659484414
YIPF6	SRR10104073	438.6226285683998
YIPF6	SRR10104074	405.06835684909015
YIPF6	SRR10104075	330.8273592347678
YIPF6	SRR10104076	663.0974510527383
YIPF6	SRR10104077	522.7281191854673
YIPF6	SRR10104078	623.4458124402619
YIPF6	SRR10104079	380.5757499710203
YIPF6	SRR10104080	441.6993667273212
YIPF6	SRR10104081	956.9766331517511
YIPF6	SRR10104082	346.4329856359446
YIPF6	SRR10104083	420.84853554588386
YIPF6	SRR10104084	503.0734371820825
YIPF6	SRR10104085	512.3380299869531
YIPF6	SRR10104086	673.4849407009109
YIPF6	SRR10104087	1416.5559719134421
YIPF6	SRR10104088	1150.3903807258962
YIPF6	SRR10104089	422.4579147142195
YIPF6	SRR10104090	612.855060297073
YIPF6	SRR10104091	533.2649166769849
YIPF6	SRR10104092	966.1922791569734
YIPF6	SRR10104093	467.0685492872095
YIPF6	SRR10104094	450.30681650419257
YIPF6	SRR10104095	611.0710352000742
