Gene	sample	counts
YJEFN3	CM317	23.14753511201826
YJEFN3	CMCD140	1524.2133809539723
YJEFN3	CMCD147	81.15561410252774
YJEFN3	CMCD152	288
YJEFN3	CMCD154	217.12835530009573
YJEFN3	CMCD159	617.0207961725131
YJEFN3	CMCD161	424.2956270429515
YJEFN3	CMCD174	409.736038052556
YJEFN3	CMCD196	462.20889030632435
YJEFN3	CMCD198	1171.5661553462835
YJEFN3	CMCD203	272.8810930939055
YJEFN3	CMCD211	149.42843772713033
YJEFN3	CMCD227	194.840189100429
YJEFN3	CMCD240	239.93123804428578
YJEFN3	CMCD259	148
YJEFN3	CMCD270	215.11083408797768
YJEFN3	CMCD275	513.3463877482612
YJEFN3	CMCD282	667.6729585837047
YJEFN3	CMCD286	183.78824866198303
YJEFN3	CMCD287	531
YJEFN3	CMCD294	528.7841468325003
YJEFN3	CMCD327	156.80165081494422
YJEFN3	CMCD335	199.93638022636142
YJEFN3	CMCD337	72.48055068885495
YJEFN3	CMCD357	84.75548852747642
YJEFN3	CMCD398	136.81632064738503
YJEFN3	CMCD403	298.1255772798605
YJEFN3	CMCD422	113.23575025202224
YJEFN3	CMCD426	13.368563534167484
YJEFN3	CMCD71	250.59018845790706
YJEFN3	CMCD72	1.1510750061651915
YJEFN3	CMCD76	89.20445203989235
YJEFN3	CMCD88	200.03598284620873
YJEFN3	CMSA256	181
YJEFN3	CMSA316	205.66352033750684
YJEFN3	CMUC110	215
YJEFN3	CMUC192	129.72293756752393
YJEFN3	CMUC199	194.327419623715
YJEFN3	CMUC200	58.13580186479994
YJEFN3	CMUC208	342.8368387807538
YJEFN3	CMUC231	111
YJEFN3	CMUC234	113
YJEFN3	CMUC285	51.567473809683435
YJEFN3	CMUC291	122.80573306132302
YJEFN3	CMUC295	472.42475039504944
YJEFN3	CMUC299	55.16098677898563
YJEFN3	CMUC301	55.02969118934905
YJEFN3	CMUC307	78.2152946081578
YJEFN3	CMUC313	1.0420413939922741
YJEFN3	CMUC314	1.055846512835873
YJEFN3	CMUC323	63.49450422726325
YJEFN3	CMUC324	157.14128350004822
YJEFN3	CMUC331	50.45787307001992
YJEFN3	CMUC333	1.0232387540038606
YJEFN3	CMUC334	27.40535119329442
YJEFN3	CMUC346	71.77030626336467
YJEFN3	CMUC352	82.49642517040223
YJEFN3	CMUC360	87.12529918438769
YJEFN3	CMUC363	144.7189550463103
YJEFN3	CMUC365	59.3948481231244
YJEFN3	CMUC366	74.24782554672589
YJEFN3	CMUC368	239
YJEFN3	CMUC377	130.53064620238817
YJEFN3	CMUC379	35.336610088242956
YJEFN3	CMUC380	68.22452043173541
YJEFN3	CMUC383	542.6429975058301
YJEFN3	CMUC394	598.5272857202594
YJEFN3	CMUC419	115.8192655094161
YJEFN3	CMUC427	244
YJEFN3	CMUC428	96.60931762754997
YJEFN3	CMUC431	191.35499638500985
YJEFN3	CMUC435	149.74789423354585
YJEFN3	CMUC439	83.5341969292624
YJEFN3	CMUC89	73
YJEFN3	CS219	535.3230071417206
YJEFN3	CS256	130.29768514731646
YJEFN3	CS257	146.65324178968527
YJEFN3	CS259	272.4204062538294
YJEFN3	CS261	937.8219006864778
YJEFN3	CS266	847.2685514008151
YJEFN3	CS270	1316.912355282128
YJEFN3	CS277	789.160996045342
YJEFN3	CS288	327.93011165063854
YJEFN3	CS290	281.22967496157054
YJEFN3	CS292	639.8210842719618
YJEFN3	CS293	855.1696656503243
YJEFN3	CS301	1031.8795728770526
YJEFN3	CS306	729.2808050772852
YJEFN3	CS308	25.66441538015517
YJEFN3	CS315	82.24146260695647
YJEFN3	CS317	18.229073820864198
YJEFN3	CS322	104.38212944570921
YJEFN3	CS327	289.3709886439411
YJEFN3	CS328	23.245848879081066
YJEFN3	CS330	29.07526558414195
YJEFN3	CS331	206.81631967722805
YJEFN3	CS335	61.08226038195995
YJEFN3	CS338	75.250787259243
YJEFN3	CS339	1.1707547739034676
YJEFN3	CS343	135.08257420163477
YJEFN3	CS344	47.66416903628951
YJEFN3	CS350	188.27579554720097
YJEFN3	CS351	427.52424328615785
YJEFN3	CS361	26.623750239829988
YJEFN3	CS388	115.91588763001835
YJEFN3	CS396	69.75236195043873
YJEFN3	CS405	38.964153284888646
YJEFN3	CS415	2.1537976595482498
YJEFN3	CS424	89.2354886857821
YJEFN3	IM293	189.0027015026395
YJEFN3	IM296	793.1499509961478
YJEFN3	IM297	1243.8075128288585
YJEFN3	IM300	432
YJEFN3	IM305	401.9999340048283
YJEFN3	IM309	96.14190444710123
YJEFN3	IM310	96.30717908924144
YJEFN3	IM311	52.64880023340157
YJEFN3	IM316	97.50307604128686
YJEFN3	IM320	9.428487643873822
YJEFN3	IM330	67.7098300498058
YJEFN3	IM332	181.38693204241505
YJEFN3	IM340	1.056280146775053
YJEFN3	IM348	61.180726299689134
YJEFN3	IM354	49.355185788553655
YJEFN3	IM356	243.07502263992188
YJEFN3	IM364	55.95626759156197
YJEFN3	IM372	64.99939666143882
YJEFN3	IM374	193.09908155254755
YJEFN3	IM376	153.29127446302394
YJEFN3	IM381	114.41880438287512
YJEFN3	IM382	14.445768422188548
YJEFN3	IM385	127
YJEFN3	IM390	38.06204057210988
YJEFN3	IM397	78.88800359084377
YJEFN3	IM404	138.39778710526238
YJEFN3	IM409	194.10569517540418
