Gene	sample	counts
ZFP1	CM317	14.737272511863539
ZFP1	CMCD140	49.46121443157133
ZFP1	CMCD147	41.62320717401077
ZFP1	CMCD152	213
ZFP1	CMCD154	115.12147789222217
ZFP1	CMCD159	1.0879251488683968
ZFP1	CMCD161	78.24130168675813
ZFP1	CMCD174	1.0948567840005883
ZFP1	CMCD196	9.084865026811388
ZFP1	CMCD198	14.420396550744963
ZFP1	CMCD203	283.90536683269244
ZFP1	CMCD211	249.16057965398704
ZFP1	CMCD227	122.4944648774849
ZFP1	CMCD240	164.10215544586492
ZFP1	CMCD259	197
ZFP1	CMCD270	42.21907213796639
ZFP1	CMCD275	63.53107073911077
ZFP1	CMCD282	13.172437732937656
ZFP1	CMCD286	117.15697413177963
ZFP1	CMCD287	138
ZFP1	CMCD294	1.065596706440916
ZFP1	CMCD327	57.29038458458888
ZFP1	CMCD335	26.122256913773132
ZFP1	CMCD337	71.4745971593561
ZFP1	CMCD357	29.612642251352742
ZFP1	CMCD398	40.23428818373609
ZFP1	CMCD403	53.379683466540975
ZFP1	CMCD422	87.18150683120297
ZFP1	CMCD426	17.860222904429182
ZFP1	CMCD71	52.3293392324381
ZFP1	CMCD72	5.767537956604911
ZFP1	CMCD76	122.28565219837228
ZFP1	CMCD88	156.0280666200428
ZFP1	CMSA256	140
ZFP1	CMSA316	103.8294590114962
ZFP1	CMUC110	210
ZFP1	CMUC192	21.28226038648089
ZFP1	CMUC199	12.346286829464859
ZFP1	CMUC200	90.2107270315861
ZFP1	CMUC208	107.26181798111303
ZFP1	CMUC231	290
ZFP1	CMUC234	158
ZFP1	CMUC285	39.430845190656505
ZFP1	CMUC291	49.32216136340598
ZFP1	CMUC295	61.05489358919071
ZFP1	CMUC299	105.30910233001268
ZFP1	CMUC301	111.05992221850445
ZFP1	CMUC307	55.1534962717967
ZFP1	CMUC313	64.61391816211176
ZFP1	CMUC314	23.244600400374487
ZFP1	CMUC323	43.00723369169831
ZFP1	CMUC324	134.11057225315312
ZFP1	CMUC331	55.496625949693296
ZFP1	CMUC333	96.18413276703534
ZFP1	CMUC334	46.69453126752656
ZFP1	CMUC346	115.2237617137473
ZFP1	CMUC352	107.63529953158161
ZFP1	CMUC360	59.080561628596485
ZFP1	CMUC363	53.382623932496635
ZFP1	CMUC365	49.32289305232935
ZFP1	CMUC366	99.32923389621202
ZFP1	CMUC368	79
ZFP1	CMUC377	113.45851724719026
ZFP1	CMUC379	17.162622689847357
ZFP1	CMUC380	23.420674011515246
ZFP1	CMUC383	48.680161436248866
ZFP1	CMUC394	27.20404109321871
ZFP1	CMUC419	13.328453112146137
ZFP1	CMUC427	202
ZFP1	CMUC428	88.55192923188736
