Gene	sample	counts
ZNF281	CM317	19.9910530512885
ZNF281	CMCD140	104.97893484716101
ZNF281	CMCD147	27.051871367509246
ZNF281	CMCD152	439
ZNF281	CMCD154	139.36610712285213
ZNF281	CMCD159	10.863042186135793
ZNF281	CMCD161	160.49007169473342
ZNF281	CMCD174	50.26095400111354
ZNF281	CMCD196	12.110276601912428
ZNF281	CMCD198	100.89058279783461
ZNF281	CMCD203	633.044006405347
ZNF281	CMCD211	771.2435495593824
ZNF281	CMCD227	784.2934194169168
ZNF281	CMCD240	505.9015251786491
ZNF281	CMCD259	630
ZNF281	CMCD270	119.61770680593152
ZNF281	CMCD275	62.52942247621257
ZNF281	CMCD282	81.05286295401574
ZNF281	CMCD286	557.9622728609946
ZNF281	CMCD287	316
ZNF281	CMCD294	22.34299211968311
ZNF281	CMCD327	214.09456168963538
ZNF281	CMCD335	96.4517211142246
ZNF281	CMCD337	139.92772980209497
ZNF281	CMCD357	44.93062042420436
ZNF281	CMCD398	105.63024755864285
ZNF281	CMCD403	198.41465785179906
ZNF281	CMCD422	306.6384033373346
ZNF281	CMCD426	13.368563534167484
ZNF281	CMCD71	97.6194710056907
ZNF281	CMCD72	17.266125092477875
ZNF281	CMCD76	216.49619820917692
ZNF281	CMCD88	306.0550537546994
ZNF281	CMSA256	321
ZNF281	CMSA316	279.25879967396764
ZNF281	CMUC110	611
ZNF281	CMUC192	101.34604497462807
ZNF281	CMUC199	68.88855616290425
ZNF281	CMUC200	224.5244761675032
ZNF281	CMUC208	153.37437524402145
ZNF281	CMUC231	513
ZNF281	CMUC234	804
ZNF281	CMUC285	146.61340592949213
ZNF281	CMUC291	313.0539588694382
ZNF281	CMUC295	127.11428665290525
ZNF281	CMUC299	406.1854480998033
ZNF281	CMUC301	449.24238807304954
ZNF281	CMUC307	410.1289165991864
ZNF281	CMUC313	84.4053529133742
ZNF281	CMUC314	50.680632616121905
ZNF281	CMUC323	148.4952114992447
ZNF281	CMUC324	433.3896544937636
ZNF281	CMUC331	117.06226552244622
ZNF281	CMUC333	114.60274044843237
ZNF281	CMUC334	133.98171694499493
ZNF281	CMUC346	103.10663716708729
ZNF281	CMUC352	248.4953294766994
ZNF281	CMUC360	106.15266337408154
ZNF281	CMUC363	95.45292779650254
ZNF281	CMUC365	126.84323497480804
ZNF281	CMUC366	260.8707384074153
ZNF281	CMUC368	621
ZNF281	CMUC377	218.88985286246634
ZNF281	CMUC379	8.56645093048314
ZNF281	CMUC380	118.12006522509414
ZNF281	CMUC383	231.25720267538176
ZNF281	CMUC394	128.97557672086398
ZNF281	CMUC419	111.71946850023323
ZNF281	CMUC427	847
ZNF281	CMUC428	375.36745286537644
ZNF281	CMUC431	318.59104110174417
ZNF281	CMUC435	330.6513906230643
ZNF281	CMUC439	255.63477132569457
ZNF281	CMUC89	895
ZNF281	CS219	100.24775414638964
ZNF281	CS256	98.22440880336163
ZNF281	CS257	1.0944271775349645
ZNF281	CS259	178.27511879846188
ZNF281	CS261	34.80998321325354
ZNF281	CS266	73.54042438809032
ZNF281	CS270	36.46834214627431
ZNF281	CS277	73.32058153966503
ZNF281	CS288	85.76633689324392
ZNF281	CS290	104.83113331900837
ZNF281	CS292	58.8108128173911
ZNF281	CS293	37.623397894247326
ZNF281	CS301	55.44427555757298
ZNF281	CS306	11.427477002635523
ZNF281	CS308	44.14279445386689
ZNF281	CS315	9.252164543282603
ZNF281	CS317	48.25343070228758
ZNF281	CS322	116.54315423550058
ZNF281	CS327	303.43763392524374
ZNF281	CS328	22.18921938457738
ZNF281	CS330	17.22978701282486
ZNF281	CS331	68.25957348952846
ZNF281	CS335	17.163610355261472
ZNF281	CS338	38.140809980712206
ZNF281	CS339	7.024528643420806
ZNF281	CS343	119.9613905223473
ZNF281	CS344	62.87613787765849
ZNF281	CS350	40.92952077113065
ZNF281	CS351	110.91430839971076
ZNF281	CS361	89.08716426404649
ZNF281	CS388	43.46845786125688
ZNF281	CS396	177.91906816343788
ZNF281	CS405	38.964153284888646
ZNF281	CS415	33.38386372299787
ZNF281	CS424	31.128658843877474
ZNF281	IM293	112.59735408667885
ZNF281	IM296	103.54716722291566
ZNF281	IM297	3.2963096629740063
ZNF281	IM300	316
ZNF281	IM305	76.7638064933843
ZNF281	IM309	59.82162943375187
ZNF281	IM310	118.60989424674999
ZNF281	IM311	124.53466209054604
ZNF281	IM316	71.36823091681822
ZNF281	IM320	60.76136481607575
ZNF281	IM330	36.381401220791176
ZNF281	IM332	104.09136441070409
ZNF281	IM340	23.238163229051167
ZNF281	IM348	25.924036567664885
ZNF281	IM354	87.63063599192179
ZNF281	IM356	129.10208671331952
ZNF281	IM364	47.817174123698415
ZNF281	IM372	66.9993780971754
ZNF281	IM374	85.00557394432799
ZNF281	IM376	57.86491817478387
ZNF281	IM381	100.24302330889059
ZNF281	IM382	116.59798797909329
ZNF281	IM385	329
ZNF281	IM390	50.40648616306443
ZNF281	IM397	41.466771118264035
ZNF281	IM404	150.43237728832867
ZNF281	IM409	159.9109094968356
ZNF281	IM412	131
ZNF281	IM421	28.4451569852487
ZNF281	IM425	241.4377608448382
ZNF281	IM432	40.63856020842632
ZNF281	IM438	361
ZNF281	IM442	34.40612102791903
ZNF281	IM445	53.612404248856414
ZNF281	IM448	96.1644055836121
ZNF281	IM449	92.77708589472913
ZNF281	IM451	134.69497102610762
ZNF281	IMSA256	134.54929562333402
ZNF281	IMSA276	592
ZNF281	IMSA286	355
ZNF281	IMSA343	190.3539079334911
ZNF281	IS_238	196
ZNF281	IS238	640.8128254408383
ZNF281	IS243	268
ZNF281	IS253	354
ZNF281	IS283	248
ZNF281	IS322	83.88309708763781
ZNF281	IS399	32.23209472727082
ZNF281	IS418	31.747781980800838
ZNF281	IS430	26.034116155929993
ZNF281	IS437	47.618488663872576
ZNF281	IS444	68.49808169485418
ZNF281	R276CMSA	48.98657441634256
ZNF281	R286CMSA	307
ZNF281	R292CMSA	153.6437659746778
ZNF281	R292IMSA	1.0768750693977573
ZNF281	R308CMSA	16.05531783840681
ZNF281	R316IMSA	94.8474500199472
ZNF281	R347CMSA	27.766566817013942
ZNF281	R347IMSA	34.09307172089983
ZNF281	R371CMSA	129.51552143561523
ZNF281	SRR10104064	56.76721862685252
ZNF281	SRR10104065	465.71576382793444
ZNF281	SRR10104066	200.69499780508426
ZNF281	SRR10104067	193.3955989441062
ZNF281	SRR10104068	446.0741355848803
ZNF281	SRR10104069	329.74600159053335
ZNF281	SRR10104070	194.59185881132046
ZNF281	SRR10104071	8.133884708386038
ZNF281	SRR10104072	76.09235002542768
ZNF281	SRR10104073	87.8502061688812
ZNF281	SRR10104074	87.97778566351384
ZNF281	SRR10104075	46.19016914240231
ZNF281	SRR10104076	116.14410848258939
ZNF281	SRR10104077	57.41191206817868
ZNF281	SRR10104078	160.45589584899187
ZNF281	SRR10104079	63.38568282678335
ZNF281	SRR10104080	52.895120293934404
ZNF281	SRR10104081	178.79727680184158
ZNF281	SRR10104082	73.82401369911304
ZNF281	SRR10104083	78.85415627662779
ZNF281	SRR10104084	60.9970768256257
ZNF281	SRR10104085	230.0591729222851
ZNF281	SRR10104086	208.061402156919
ZNF281	SRR10104087	592.8969946947798
ZNF281	SRR10104088	276.4985593633164
ZNF281	SRR10104089	74.01630675167756
ZNF281	SRR10104090	144.73727458522464
ZNF281	SRR10104091	105.33606205898133
ZNF281	SRR10104092	216.73178732318044
ZNF281	SRR10104093	280.42299865632015
ZNF281	SRR10104094	354.81432028201164
ZNF281	SRR10104095	27.443771123930812
ZNF281	SRR10104096	45.99997531653641
ZNF281	SRR10104097	117.19762557148528
ZNF281	SRR10104098	146.25524926650945
ZNF281	SRR10104099	102.73485231149955
ZNF281	SRR10104100	139.98208761516145
ZNF281	SRR10104101	340.89121909284694
ZNF281	SRR10104102	290.3912349830233
ZNF281	SRR10104103	96.90449249636004
ZNF281	SRR10104104	255.91003274739788
ZNF281	SRR10104105	85.6195670875551
ZNF281	SRR10104106	71.42379534818409
ZNF281	SRR10104107	436.1421146793981
ZNF281	SRR10104108	464.16238641776044
ZNF281	SRR10104109	57.2376949555052
ZNF281	SRR10104110	20.28441764969822
ZNF281	SRR10104111	118.79167759331688
ZNF281	SRR10104112	17.84808586603803
ZNF281	SRR10104113	90.15683135509548
ZNF281	SRR10104114	29.382772060334787
ZNF281	SRR10104115	33.295467307010576
ZNF281	SRR10104116	91.14321763803326
ZNF281	SRR10104117	89.37917754998594
ZNF281	SRR10104118	28.699755884679078
ZNF281	SRR10104119	14.306516220797572
ZNF281	SRR10104120	171.58243033225924
ZNF281	SRR10104121	32.53701036914383
ZNF281	SRR10104122	54.65475530070622
ZNF281	SRR10104123	80.29503648328082
ZNF281	SRR10104124	40.29845783405306
ZNF281	SRR10104125	73.91655799430121
ZNF281	SRR10104126	142.52918090153364
ZNF281	SRR10104127	36.87946467165203
ZNF281	SRR10104128	148.16996895756333
ZNF281	SRR10104129	153.963789671671
ZNF281	SRR10104130	112.54704549132869
ZNF281	SRR10104131	352.96245689952116
ZNF281	SRR10104132	396.8509027053333
ZNF281	SRR10104133	44.37679563605697
ZNF281	SRR10104134	94.79868260176166
ZNF281	SRR10104135	89.48819434170352
ZNF281	SRR10104136	244.627881081005
ZNF281	SRR10104137	61.11348843552308
ZNF281	SRR10104138	8.390987776951597
ZNF281	SRR10104139	278.13068280292777
ZNF281	SRR10104140	45.83009143642586
ZNF281	SRR10104141	99.7545115246737
ZNF281	SRR10104142	121.06639098752743
ZNF281	SRR10104143	350.8513419846898
ZNF281	SRR10104144	132.63540145407913
ZNF281	SRR10104145	113.90472763222346
