Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
[Candida] glabrata	[Candida] glabrata	4.013404588654946	-0.09441403888058997	1.215775274204287	-0.07765747575544586	0.9381005213352112	0.9575514106801641
Aspergillus fumigatus	Aspergillus fumigatus	8.021488420459	-0.09442997020484425	1.5715019719289052	-0.060088992499919225	0.9520847568347699	0.9575514106801641
Aspergillus oryzae	Aspergillus oryzae	25.44624249891471	-0.457150233220137	1.4558981802942907	-0.3139987668146752	0.753521975375018	0.9575514106801641
Botrytis cinerea	Botrytis cinerea	16.324921084758525	-0.5162787772608521	1.3747740148432213	-0.37553719497653465	0.7072609895352231	0.9575514106801641
Candida albicans	Candida albicans	3.471098689595778	0.9037499655980036	1.2941543174655818	0.6983324580393705	0.4849693050704972	0.9575514106801641
Candida dubliniensis	Candida dubliniensis	2.0765609063340524	0.05946119893971515	0.7978450910409638	0.07452724796756596	0.94059086070748	0.9575514106801641
Candida orthopsilosis	Candida orthopsilosis	2.3081190332276935	0.22089437299973855	1.196322171739878	0.18464455329660867	0.8535078382620891	0.9575514106801641
Cercospora beticola	Cercospora beticola	4.036601032120146	1.3539344580091885	1.1794372638473234	1.147949534503137	0.2509893976079824	0.9575514106801641
Colletotrichum higginsianum	Colletotrichum higginsianum	29.879562212615017	-0.2129383848879174	1.4416946589294821	-0.14770005810109121	0.8825794857816962	0.9575514106801641
Cryptococcus gattii VGI	Cryptococcus gattii VGI	6.071836067613523	-0.09442991047125564	1.5696086001457694	-0.060161437993195205	0.9520270580802057	0.9575514106801641
Cryptococcus neoformans	Cryptococcus neoformans	2.5233743949978247	-0.41017265088785937	1.1799186924730305	-0.34762789462057336	0.7281196544756234	0.9575514106801641
Debaryomyces hansenii	Debaryomyces hansenii	2.1921321460917	-0.09441493361527205	1.230319619498097	-0.07674016744834823	0.9388302497365706	0.9575514106801641
Encephalitozoon cuniculi	Encephalitozoon cuniculi	1.4925314527120936	-0.09440863077978454	1.13625257893809	-0.08308771529303477	0.9337817938454858	0.9575514106801641
Encephalitozoon hellem	Encephalitozoon hellem	1.5372842595178675	-0.09440844124940566	1.1336964478809655	-0.0832748849357939	0.933632969835367	0.9575514106801641
Encephalitozoon intestinalis	Encephalitozoon intestinalis	1.4484424186820253	-0.09440874263330121	1.1377681803924706	-0.08297713388392979	0.9338697214182446	0.9575514106801641
Encephalitozoon romaleae	Encephalitozoon romaleae	1.4275167647998086	-0.09440769756472878	1.12379980059586	-0.08400757636250872	0.933050407998475	0.9575514106801641
Eremothecium cymbalariae	Eremothecium cymbalariae	2.192434898966334	-0.09441133012177173	1.1742687283129274	-0.08040010590881744	0.9359190426758613	0.9575514106801641
