DGE	Genes	Process~name	num_of_Genes	gene_group	percentage%	P-value	Benjamini and Hochberg (FDR)	Hommel singlewise process	Bonferroni single-step process	Hommel singlewise process_1	Hochberg step-up process	Benjamini and Yekutieli
up	PES1; MPHOSPH10; WDR46; SUV39H1; RRP9; UTP20; POP7; RPP40; RPS2; RPL7; EIF4A3; RPL5; RPS9; RPL14; SNU13; GEMIN4; RPL27; RPS7; RPS24; NOP14; RPP38; RPP30; EXOSC10; EXOSC9; KRR1; EXOSC2; BOP1; BMS1; NOLC1; EXOSC7; WDR43; DIEXF; ERI1; WDR75; DHX37; PELP1; RBFA; DDX51; UTP15; EMG1; ISG20; EXOSC8; RRP36; IMP4; MPHOSPH6; RPP25; WDR18; NOC4L; REXO4; SENP3; NOL6; WDR55; NOL11; EXOSC4; EXOSC5; EXOSC3; DDX21; DCAF13; IMP3; LYAR; UTP6; MRM2; NOB1; WDR3; PA2G4; DIS3; RCL1; NOP58; UTP11; RRP7A; SBDS; EXOSC1; UTP18; DDX49; POP5; DDX54; DDX10; EBNA1BP2; PIH1D1;	GO:0006364~rRNA processing	79	139	56.8345323741007	0	0	0	0	0	0	0
up	KLLN; PANO1; TNFRSF10A; HIP1; TNFRSF11B; EI24; APAF1; TNFRSF10B; KLF11; BIRC5; CFLAR; SIAH2; TNFSF12; TRIAP1; CD5L; OPA1; TLR2; JAK2; NOL3; GADD45B; NME6; PPP1R15A; PSMD10; TNFSF15; UNC5C; GADD45G; PAK4; IFNG; IL1A; IL1B; IL2RA; ITGB2; S100A8; CEACAM5; CD14; LGALS1; PAEP; IFI6; CGB7; GZMB; IRF1; PIM1; NCF1; GJA1; IGFBP3; ERCC2; ERCC3; CSNK2A2; NFKB1; GZMH; TNFAIP3; VDAC1; FGFR2; PAX3; GADD45A; MT3; NFKBIA; PRDX5; AHR; NSG1; MAP2K4; IER3; ARRB1; MCM2; COMP; TAF6; SERPINB9; NUDT2; EFNA5; CASP7; CASP9; UBE2D3; PSME3; EIF5A; CSNK2A1; DAB2; MAP3K10; RASSF7; PPARD; NOTCH2; BAX; AIMP1; TAF10; BNIP1; NAIP; TRAF1; PAK1; AIMP2; FADD; BIK; ITGB3BP; TCIRG1; SQSTM1; PMAIP1; TNFAIP1; DOCK1; FKBP8; BECN1; MELK; CASP8; MEF2D; ARL6IP1; PEA15; EPHA7; SHB; SIX1; TRADD; MAPK14; BAK1; PDCD4; EMC4; C3orf38; KANK2; STEAP3; ZFAND6; XAF1; TMEM214; SHC4; RRAGA; G2E3; SHF; RNF144B; SH3RF1; ATG4D; TAX1BP1; THOC6; TRIM69; MT-RNR2; RYBP; NOA1; LGALS14; SH3RF3; MZB1; PPP1R13L; CKAP2; TFAP2B; TNFRSF25; MYDGF; ZDHHC16; RELT; TP53INP1; SH3KBP1; IFI27L1; EAF2; APIP; PAWR; ELMO2; KREMEN1; NLRP3; BBC3; ZNF385A; GSDMA; DLC1; CSRNP1; MYD88; BAG1; SPIN2B; BCL7B; MIEN1; HTATIP2; CDCA7; HINT2; CARD6; CARD14; CADM1; BCL2L14; API5; CSRNP2; MAGEH1; SLK; GHITM; EGLN3; EVA1A; BCL2L12; PIDD1; RRAGC; NEK6; BRMS1; NLRC4; TIGAR; AVEN; TNFRSF19; SLTM; NLRP2; MTCH1; BFAR; STK26; UXT; TNFRSF10D; DAXX; DDX41; TPX2; BOK; EDAR; PRELID1; ZNF443; SH3GLB1; CHMP3; FAM32A; IKBKG; CASP6;	GO:0006915~apoptotic process	201	552	36.4130434782609	0	0	0	0	0	0	0
up	GDI1; RAB19; RAB5A; RAB27A; RAB1A; RAB38; RABL3; RAB11A; RAB40B; RAB23; RAB26; RAB39A; RAB9A; RAB28; RAB6C; RAB1B; RAB4A; RAB2B; RAB7A; RAB32; RAB44; RAB7B; RAB20; IFT27; RAB27B; RAB5C; RAB5B; RAB35; RAB2A; RAB13; RAB18; RAB10;	GO:0032482~Rab protein signal transduction	32	72	44.4444444444444	1.06789408896968e-4	0.00864890533027676	0.879944729311015	0.890837249018506	0.652931942339138	0.879944729311015	0.0830842722656418
up	CIT; AURKA; XRCC2; ENSA; TADA3; DCTN3; ABL1; CCNO; CDC25B; CETN2; CENPF; NEK2; NEK3; NEK4; PLK1; CLTCL1; GEM; CDH13; CLTC; CENPE; DCTN1; KIF22; NOLC1; SKA3; DIS3L2; CDCA5; CDC5L; RNF2; NUP88; TBCD; RAB6C; CDT1; AZI2; PRDM5; KIF15; ANAPC11; FBXL7; CDC23; TPX2; TUBA1B; MYBL2; WDHD1; TUBB4B; TUBB8; TUBB3; TUBA1A; TUBG1; TUBB; TUBGCP5;	GO:0000278~mitotic cell cycle	49	134	36.5671641791045	1.11125950236546e-4	0.00882869216069776	0.915566703998901	0.927012676873265	0.65919913680319	0.915455578048664	0.0848113645851963
up	HIP1; DVL2; EREG; ARPC3; ARPC5; PIP5K1C; AP2A2; EPN2; EGFR; LDLR; CD4; PMP2; CLTA; UBC; RALA; IGF2R; RAB5A; M6PR; SFN; ARRB2; WNT5A; PRKCI; ARRB1; AMPH; DNM2; CLTCL1; AP2S1; ARPC4; ACTB; YWHAG; YWHAE; AP2B1; YWHAZ; ACTG1; DAB2; CLTC; OCRL; CLN3; CTTN; EPGN; NECAP1; REPS2; STAM; SH3KBP1; SGIP1; FZD4; SNX9; TMEM33; SAR1A;	GO:0061024~membrane organization	49	134	36.5671641791045	1.11125950236546e-4	0.00882869216069776	0.915566703998901	0.927012676873265	0.65919913680319	0.915455578048664	0.0848113645851963
up	TECPR2; GPR137B; ATG7; ABL1; GBA; TP53; S100A8; DRD2; XBP1; ANXA7; ARFIP2; HAP1; VCP; RAB1A; CLTC; SQSTM1; BECN1; RAB39A; CLEC16A; TBC1D25; LRRK2; ATG4D; SBF2; ULK2; ATG4A; USP13; VTI1A; GRAMD1A; NRBF2; C9orf72; PARK7; TMEM208; PHF23; TMEM59; TRIM5; MAP1LC3B; ATG10; VPS11; RNF41; EVA1A; WDR41; TIGAR; HDAC6; CHMP2B; SH3GLB1; PLEKHM1;	GO:0006914~autophagy	46	123	37.3983739837398	1.16552208441423e-4	0.00917243889451272	0.960040540931999	0.972278522818349	0.667030470367381	0.960040540931999	0.0881135104790506
up	CCL24; HSPB6; TERT; ANGPT2; TNFSF12; DDAH1; SASH1; RAPGEF3; PAK4; IL1A; IL1B; RLN2; HSPB1; CYBB; ITGB2; ITGB1; THBS1; FGF2; HMOX1; RRAS; ENG; XBP1; FLT1; CD40; GRN; NOS3; CDH5; APLNR; KDR; STAT3; WNT5A; CCR3; HK2; HMGA2; CX3CL1; RUNX1; TEK; GAB1; STIM1; ECM1; HIF1A; CCBE1; HIPK1; MYDGF; SMOC2; SPHK1; GDF2; AGO2;	GO:0045766~positive regulation of angiogenesis	48	131	36.6412213740458	1.24738046477169e-4	0.00963485910844945	1	1	0.678865720073835	0.999999985611746	0.0925556734451962
up	APAF1; TNFRSF10B; PPP1R15A; TP53; XBP1; ATF4; PML; DDIT3; BAX; TRAF2; BAK1; DAB2IP; BRSK2; DNAJC10; ERO1A; TRIB3; MAP3K5; RNF186; BBC3; ERN1;	GO:0070059~intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	20	34	58.8235294117647	1.28906793683048e-4	0.00977582248094533	1	1	0.684881794838034	0.999999985611746	0.0939098146656963
up	CFLAR; SIAH2; NOL3; LMNA; IGF1; ITGAV; THBS1; GSTP1; SRC; SCG2; LGALS3; ITGA6; PSME3; RELA; ACVR1; CTTN; SH3RF1; PELI3; PARK7; TCF7L2;	GO:2001237~negative regulation of extrinsic apoptotic signaling pathway	20	34	58.8235294117647	1.28906793683048e-4	0.00977582248094533	1	1	0.684881794838034	0.999999985611746	0.0939098146656963
up	POLR2D; HMGN1; UBC; PCNA; ERCC2; LIG1; XRCC1; POLR2C; ERCC3; POLD1; POLR2B; RFC4; RFC5; RFC3; LIG3; MNAT1; POLR2J; POLR2K; POLR2L; RBX1; GPS1; ERCC8; CUL4A; GTF2H2; GTF2H3; POLD3; GTF2H5; COPS6; COPS8; COPS4; COPS7B; COPS3;	GO:0006283~transcription-coupled nucleotide-excision repair	32	73	43.8356164383562	1.30450884846534e-4	0.00980379532783588	1	1	0.687115590786533	0.999999985611746	0.0941785311723927
up	HAX1; TNFRSF10A; HIP1; APAF1; TNFRSF10B; TNFRSF10C; TP73; BIRC5; TRIAP1; BNIP3L; ESR1; TP53; LGALS1; ACTN1; GJA1; IGFBP3; BCL3; CHM; APEX1; CALR; AKT1; PRDX2; BCL6; TNFSF9; STAT1; SOX9; RABGGTB; GAS1; VCP; CASP6; BID; BCAR1; CDK5; BAX; TRAF2; TARDBP; SKP2; TP53BP2; PMAIP1; CARD17; STEAP3; OLFM4; RASSF3; RABGGTA; TNFRSF25; TP53INP1; OMA1; CARD6; BCL2L14; SLK; PIDD1; SDF2L1; BRMS1; NLRC4; STK26; TNFRSF10D; PRELID1; ANP32A; DUSP1; ABL1; ABL2; ANP32C; DAXX; NME4; NME2P1; JAK2;	GO:0042981~regulation of apoptotic process	66	202	32.6732673267327	1.33474391623256e-4	0.00985348119399294	1	1	0.691504577526384	0.999999985611746	0.094655830191622
up	ADAMTS3; MAFG; XRCC2; ZFAND5; SEC24D; MBD3; MT-ND4; TP53; ITGB1; TPM1; PDGFRB; TGFB3; FGFR1; MYH6; ERCC2; EIF2S2; BTF3; FGFR2; CPT2; EDNRA; MGAT1; NOS3; PCGF2; BMPR1A; ACVR1B; MSH2; SSR2; LIG4; ELL; SOX10; WNT3A; UBE2B; YBX1; PSPH; PKD1; OCRL; GNA12; NOTCH2; ACVR1; BCL2L1; NSUN2; FOXF1; CUL4A; PTCH1; KEAP1; ENDOG; TAB1; DBN1; AMOT; SH3PXD2A; HM13; BRK1; KAT2A; RUNDC1; PRMT1; SLC39A3; SMG9; DHX35; TMEM231; CHST11; SLC39A1; RRN3; FOXD3; MAFF; COPS3; KLF2;	GO:0001701~in utero embryonic development	66	203	32.512315270936	1.49774919921075e-4	0.010959845455979	1	1	0.715025467703213	0.999999985611746	0.105283934680874
up	C3orf70; APAF1; N4BP3; ZEB2; MAFK; FKTN; SERF1A; CSPG5; SEMA4F; LGI1; FOS; IL3; FGF2; SRGAP2B; CHRM1; PCSK2; SMPD1; NDUFV2; CHRM3; MDK; ACHE; GAL; PAX3; EPHB2; ADORA1; L1CAM; GDNF; STAT3; GSS; PPT1; EFNA5; NAGLU; HDAC4; HSD17B7; PRPS1; DLG4; JAG1; NOTCH2; NAIP; GPM6B; MOBP; DOC2A; DCTN1; HES1; MEF2D; PAFAH1B3; EFNB3; ZNF423; GPSM1; PLPPR1; MYLIP; ST8SIA4; NRGN; NELL1; ZBTB45; ATOH8; NDN; SIGMAR1; OLFM1; IRF2BPL; NRN1; NINJ2; CRIM1; CNTN3; ATXN10; INTU; PCDHA4; ARHGAP26; UTP11; NEUROG3; PCDHB4; PCDHB15; RFNG; BZW2; NUMBL; ACTL6A; NTRK1; UNC119; NAV2; UNC119B; ACVR1B; NRSN2; RYK; ROR1; NAV1; DPF3; ACVR1C; RBFOX2;	GO:0007399~nervous system development	88	294	29.9319727891156	1.53657777968053e-4	0.0111462015983434	1	1	0.720654978670167	0.999999985611746	0.107074134004293
