Gene	sample	counts
AC026271.5	CM317	45.136872329619074
AC026271.5	CMCD140	87.80781274814836
AC026271.5	CMCD147	96.60260826447086
AC026271.5	CMCD152	287
AC026271.5	CMCD154	227.18315843622744
AC026271.5	CMCD159	1.0826308846263835
AC026271.5	CMCD161	176.53921902615437
AC026271.5	CMCD174	1.0883603953024104
AC026271.5	CMCD196	26.23071043486849
AC026271.5	CMCD198	75.03878529244372
AC026271.5	CMCD203	86.27340247542172
AC026271.5	CMCD211	109.01170193492172
AC026271.5	CMCD227	105.6890808849292
AC026271.5	CMCD240	143.47898925530714
AC026271.5	CMCD259	155
AC026271.5	CMCD270	135.69806603345552
AC026271.5	CMCD275	60.50573610978797
AC026271.5	CMCD282	132.6647861231371
AC026271.5	CMCD286	109.51503642287128
AC026271.5	CMCD287	145
AC026271.5	CMCD294	30.772790295720444
AC026271.5	CMCD327	139.70638401756224
AC026271.5	CMCD335	145.6749311605518
AC026271.5	CMCD337	158.04181571333223
AC026271.5	CMCD357	76.52757163340624
AC026271.5	CMCD398	60.348335800494965
AC026271.5	CMCD403	106.7559874167739
AC026271.5	CMCD422	134.2796348973035
AC026271.5	CMCD426	11.099960276049138
AC026271.5	CMCD71	175.10066395072215
AC026271.5	CMCD72	8.008283970056326
AC026271.5	CMCD76	173.39221938605252
AC026271.5	CMCD88	234.04211086041678
AC026271.5	CMSA256	198
AC026271.5	CMSA316	194.5468119098542
AC026271.5	CMUC110	199
AC026271.5	CMUC192	130.6968461097397
AC026271.5	CMUC199	37.984440283632736
AC026271.5	CMUC200	239.55650165946335
AC026271.5	CMUC208	171.41782732816688
AC026271.5	CMUC231	188
AC026271.5	CMUC234	181
AC026271.5	CMUC285	101.09066424484114
AC026271.5	CMUC291	190.23995194054274
AC026271.5	CMUC295	147.13231890823567
AC026271.5	CMUC299	193.56238856577394
AC026271.5	CMUC301	128.0691174386568
AC026271.5	CMUC307	267.73506688902944
AC026271.5	CMUC313	40.584179202592985
AC026271.5	CMUC314	50.552367814915115
AC026271.5	CMUC323	59.34815905101339
AC026271.5	CMUC324	202.18182598274564
AC026271.5	CMUC331	83.74531334168974
AC026271.5	CMUC333	80.79215481608878
AC026271.5	CMUC334	111.62401559312222
AC026271.5	CMUC346	258.7427943065333
AC026271.5	CMUC352	162.96436870803797
AC026271.5	CMUC360	155.1953630698784
AC026271.5	CMUC363	167.16248704053544
AC026271.5	CMUC365	85.55621687582968
AC026271.5	CMUC366	190.6222373733871
AC026271.5	CMUC368	127
AC026271.5	CMUC377	158.64127938471535
AC026271.5	CMUC379	10.664515526402573
AC026271.5	CMUC380	99.73336961820904
AC026271.5	CMUC383	68.93731557618347
AC026271.5	CMUC394	50.3632669167378
AC026271.5	CMUC419	82.96190521115048
AC026271.5	CMUC427	158
AC026271.5	CMUC428	81.50566582334862
AC026271.5	CMUC431	114.20881381576423
AC026271.5	CMUC435	60.29324763921502
AC026271.5	CMUC439	112.70760937
AC026271.5	CMUC89	217
AC026271.5	CS219	129.31573176011716
AC026271.5	CS256	102.23125073628529
AC026271.5	CS257	3.2699399576345187
AC026271.5	CS259	177.27067414817913
AC026271.5	CS261	41.9324773351329
AC026271.5	CS266	8.2755254905937
AC026271.5	CS270	93.15730127207367
AC026271.5	CS277	3.7740803784811825
AC026271.5	CS288	136.20392693992798
AC026271.5	CS290	144.13475631230293
AC026271.5	CS292	67.9113101402505
AC026271.5	CS293	53.84738455570373
AC026271.5	CS301	56.40258143586673
AC026271.5	CS306	13.480841346347233
AC026271.5	CS308	67.67649370991904
AC026271.5	CS315	65.7013507547542
AC026271.5	CS317	1.0691022518554174
AC026271.5	CS322	66.86907415092072
AC026271.5	CS327	85.39826049327242
AC026271.5	CS328	6.319336678770976
AC026271.5	CS330	1.0732794536999326
AC026271.5	CS331	132.38474107994347
AC026271.5	CS335	11.099715526548817
AC026271.5	CS338	43.23691523125587
AC026271.5	CS339	4.656841699589673
AC026271.5	CS343	103.81692642860347
AC026271.5	CS344	61.83479397665157
AC026271.5	CS350	31.676101107800566
AC026271.5	CS351	134.09285072943388
AC026271.5	CS361	20.463087150314085
AC026271.5	CS388	43.391825646923685
AC026271.5	CS396	38.402390419106766
AC026271.5	CS405	97.27351075016519
AC026271.5	CS415	67.57285432975512
AC026271.5	CS424	17.599279883402662
AC026271.5	IM293	140.7387338415565
AC026271.5	IM296	1.064463289332191
AC026271.5	IM297	1.0944885764691814
AC026271.5	IM300	233
AC026271.5	IM305	96.94880740512352
AC026271.5	IM309	4.259857759127106
AC026271.5	IM310	50.66886692647897
AC026271.5	IM311	193.3547759147572
AC026271.5	IM316	122.6141880571579
AC026271.5	IM320	65.86154534774418
AC026271.5	IM330	81.81961211680145
AC026271.5	IM332	1.0290904121726339
AC026271.5	IM340	97.98367530266685
AC026271.5	IM348	63.126045085401
AC026271.5	IM354	93.66327197886767
AC026271.5	IM356	6.047798846117707
AC026271.5	IM364	66.09285849107461
AC026271.5	IM372	31.328039936978023
AC026271.5	IM374	3.1423798083383723
AC026271.5	IM376	38.535022314247826
AC026271.5	IM381	75.92335591259383
AC026271.5	IM382	115.4460278882786
AC026271.5	IM385	264
AC026271.5	IM390	65.75123266637091
AC026271.5	IM397	93.02359240924073
AC026271.5	IM404	144.4127705185239
AC026271.5	IM409	131.74085387444092
AC026271.5	IM412	96
AC026271.5	IM421	167.5670245831043
AC026271.5	IM425	1.0520033799095727
AC026271.5	IM432	39.49443017952525
AC026271.5	IM438	176
AC026271.5	IM442	43.717314032646385
AC026271.5	IM445	52.58694823895841
AC026271.5	IM448	13.283526271013141
AC026271.5	IM449	103.85724763579205
AC026271.5	IM451	120.61351588543812
AC026271.5	IMSA256	171.69348917402218
AC026271.5	IMSA276	167
AC026271.5	IMSA286	154
AC026271.5	IMSA343	203.49234506576
AC026271.5	IS_238	201
AC026271.5	IS238	402.6225078532213
AC026271.5	IS243	192
AC026271.5	IS253	142
AC026271.5	IS283	163
AC026271.5	IS322	83.85599450415371
AC026271.5	IS399	43.29842317092782
AC026271.5	IS418	10.908267191361551
AC026271.5	IS430	18.391822787643072
AC026271.5	IS437	30.216431669154087
AC026271.5	IS444	33.173806090452985
AC026271.5	R276CMSA	45.65392118789784
AC026271.5	R286CMSA	155
AC026271.5	R292CMSA	108.44790900900328
AC026271.5	R292IMSA	36.50434327641484
AC026271.5	R308CMSA	35.216652462892235
AC026271.5	R316IMSA	44.84717362221073
AC026271.5	R347CMSA	19.142958462389082
AC026271.5	R347IMSA	46.736718459326596
AC026271.5	R371CMSA	173.68862794398567
AC026271.5	SRR10104064	2.2189030545026593
AC026271.5	SRR10104065	8.046858022307363
AC026271.5	SRR10104066	9.168655549613808
AC026271.5	SRR10104067	8.184457171787816
AC026271.5	SRR10104068	16.074493750649943
AC026271.5	SRR10104069	17.194773588009284
AC026271.5	SRR10104070	4.117561999416774
AC026271.5	SRR10104071	1.1606052908522344
AC026271.5	SRR10104072	3.2096624537871463
AC026271.5	SRR10104073	9.401886352123768
AC026271.5	SRR10104074	4.383289371347184
AC026271.5	SRR10104075	1.1510100695372476
AC026271.5	SRR10104076	6.165928549939829
AC026271.5	SRR10104077	3.302333332974504
AC026271.5	SRR10104078	10.414272361609768
AC026271.5	SRR10104079	3.268521407192801
AC026271.5	SRR10104080	4.486072648143464
AC026271.5	SRR10104081	15.237661088208789
AC026271.5	SRR10104082	1.0822514404163561
AC026271.5	SRR10104083	3.189596517100969
AC026271.5	SRR10104084	2.135693470715922
AC026271.5	SRR10104085	3.0666519813561703
AC026271.5	SRR10104086	7.1734915616052355
AC026271.5	SRR10104087	20.064000158761306
AC026271.5	SRR10104088	24.218723798429902
AC026271.5	SRR10104089	5.673728064298087
AC026271.5	SRR10104090	2.0526070554697817
AC026271.5	SRR10104091	3.1262589993764953
AC026271.5	SRR10104092	12.152806626621748
AC026271.5	SRR10104093	11.377274090825027
AC026271.5	SRR10104094	4.136089797499214
AC026271.5	SRR10104095	2.1081232107012204
AC026271.5	SRR10104096	4.582874300639316
AC026271.5	SRR10104097	6.378725566434568
AC026271.5	SRR10104098	9.26785600183524
AC026271.5	SRR10104099	1.0474771062612767
AC026271.5	SRR10104100	8.23251282224177
AC026271.5	SRR10104101	15.083642378150001
AC026271.5	SRR10104102	22.336972475231104
AC026271.5	SRR10104103	3.1562435189663702
AC026271.5	SRR10104104	5.077488038542306
AC026271.5	SRR10104105	4.3233407553082825
AC026271.5	SRR10104106	1.1304558697538387
AC026271.5	SRR10104107	14.134058497948061
AC026271.5	SRR10104108	15.102858239295117
AC026271.5	SRR10104109	2.2367929995383564
AC026271.5	SRR10104110	1.1898566945611233
AC026271.5	SRR10104111	4.130840881887969
AC026271.5	SRR10104112	1.186621143391241
AC026271.5	SRR10104113	9.322554677370242
AC026271.5	SRR10104114	2.3456122370451067
AC026271.5	SRR10104115	4.57688801591592
AC026271.5	SRR10104116	8.37383755856593
AC026271.5	SRR10104117	3.116545904474742
AC026271.5	SRR10104118	1.143352850751477
AC026271.5	SRR10104119	1.1898188257203337
AC026271.5	SRR10104120	3.081211645128761
AC026271.5	SRR10104121	1.0817747165060128
AC026271.5	SRR10104122	1.0894989096112995
AC026271.5	SRR10104123	1.082048079369872
AC026271.5	SRR10104124	1.1164136874736872
AC026271.5	SRR10104125	6.598849411361259
AC026271.5	SRR10104126	5.1972735884469135
AC026271.5	SRR10104127	1.1858382433832468
AC026271.5	SRR10104128	6.172660190059079
AC026271.5	SRR10104129	9.23666189043376
AC026271.5	SRR10104130	5.205734591730386
AC026271.5	SRR10104131	22.249239021991084
AC026271.5	SRR10104132	21.151482179874083
AC026271.5	SRR10104133	3.4913052822663455
AC026271.5	SRR10104134	10.301069188305016
AC026271.5	SRR10104135	2.201612160640634
AC026271.5	SRR10104136	15.225243702392085
AC026271.5	SRR10104137	3.3232211394181173
AC026271.5	SRR10104138	1.195501466366171
AC026271.5	SRR10104139	16.181707341841904
AC026271.5	SRR10104140	2.2846126026965154
AC026271.5	SRR10104141	5.297582515819374
AC026271.5	SRR10104142	5.256598852465496
AC026271.5	SRR10104143	13.106319203985363
AC026271.5	SRR10104144	1.0594651714413874
AC026271.5	SRR10104145	2.124685739773927
AC026271.5	SRR10104146	13.125081196536453
AC026271.5	SRR10104147	35.059831401687994
AC026271.5	SRR10104148	11.568123018294834
AC026271.5	SRR10104149	5.233724950026036
AC026271.5	SRR10104150	6.069762452078927
AC026271.5	SRR10104151	21.160775591376616
AC026271.5	SRR10104152	21.1180551760148
AC026271.5	SRR10104153	6.611578497103255
AC026271.5	SRR10104154	6.183153291141625
AC026271.5	SRR10104155	5.439372959792702
