Gene	sample	counts
ACTR10	CM317	439.822081537451
ACTR10	CMCD140	499.5961759808442
ACTR10	CMCD147	456.00586051723343
ACTR10	CMCD152	1097
ACTR10	CMCD154	689.6270987197482
ACTR10	CMCD159	352.937668388201
ACTR10	CMCD161	684.0894737263482
ACTR10	CMCD174	355.89384926388817
ACTR10	CMCD196	427.7623547840093
ACTR10	CMCD198	395.75249777521685
ACTR10	CMCD203	692.1935780004766
ACTR10	CMCD211	681.3231370932607
ACTR10	CMCD227	730.8113189872623
ACTR10	CMCD240	896.0494296718535
ACTR10	CMCD259	864
ACTR10	CMCD270	605.112857423261
ACTR10	CMCD275	597.9983585517377
ACTR10	CMCD282	423.31206564481914
ACTR10	CMCD286	763.7971771031022
ACTR10	CMCD287	851
ACTR10	CMCD294	374.57913704790747
ACTR10	CMCD327	616.1152043364435
ACTR10	CMCD335	622.8859125485664
ACTR10	CMCD337	638.2070774665772
ACTR10	CMCD357	481.6135174795699
ACTR10	CMCD398	481.7808808072848
ACTR10	CMCD403	607.3005699274969
ACTR10	CMCD422	682.4211295900275
ACTR10	CMCD426	434.00844679352133
ACTR10	CMCD71	651.0926987133174
ACTR10	CMCD72	399.2701579356654
ACTR10	CMCD76	828.8749446951758
ACTR10	CMCD88	969.1743821527515
ACTR10	CMSA256	960
ACTR10	CMSA316	663.2735867185703
ACTR10	CMUC110	1024
ACTR10	CMUC192	454.9060767695592
ACTR10	CMUC199	388.05725478954525
ACTR10	CMUC200	810.883723190401
ACTR10	CMUC208	639.5589113179559
ACTR10	CMUC231	1131
ACTR10	CMUC234	824
ACTR10	CMUC285	493.32244151482473
ACTR10	CMUC291	674.3955968262626
ACTR10	CMUC295	877.7894128062769
ACTR10	CMUC299	886.5759144670682
ACTR10	CMUC301	862.4654627509543
ACTR10	CMUC307	749.0565354535768
ACTR10	CMUC313	507.82255002218915
ACTR10	CMUC314	443.38639270998465
ACTR10	CMUC323	462.50634294927676
ACTR10	CMUC324	788.7093013584334
ACTR10	CMUC331	496.4180019772452
ACTR10	CMUC333	499.07052595254845
ACTR10	CMUC334	576.3858259717583
ACTR10	CMUC346	643.8248436455536
ACTR10	CMUC352	612.6253119950316
ACTR10	CMUC360	518.6528907754646
ACTR10	CMUC363	468.67028575168524
ACTR10	CMUC365	506.29149515932147
ACTR10	CMUC366	838.7378444429032
ACTR10	CMUC368	705
ACTR10	CMUC377	727.9425794551812
ACTR10	CMUC379	398.8528806874562
ACTR10	CMUC380	459.9947251778621
ACTR10	CMUC383	432.8857904563285
ACTR10	CMUC394	436.1458914989493
ACTR10	CMUC419	505.965199682819
ACTR10	CMUC427	943
ACTR10	CMUC428	585.633302582579
ACTR10	CMUC431	687.2565462948619
ACTR10	CMUC435	545.653891134896
ACTR10	CMUC439	664.1698409303572
ACTR10	CMUC89	847
ACTR10	CS219	627.5321556731267
ACTR10	CS256	680.5394044111541
ACTR10	CS257	365.1432952691879
ACTR10	CS259	596.9114225554506
ACTR10	CS261	398.86990635858126
ACTR10	CS266	467.5671902185441
ACTR10	CS270	475.91229997689805
ACTR10	CS277	346.2718747256485
ACTR10	CS288	591.2259347170208
ACTR10	CS290	631.9754699847127
ACTR10	CS292	472.3383660501005
ACTR10	CS293	436.8750067726906
ACTR10	CS301	433.7871263158478
ACTR10	CS306	384.7224722688326
ACTR10	CS308	453.2274275724881
ACTR10	CS315	430.1385307225314
ACTR10	CS317	362.4256633789865
ACTR10	CS322	540.01843215819315
ACTR10	CS327	617.8815318042651
ACTR10	CS328	350.72318567178917
ACTR10	CS330	377.79436770237623
ACTR10	CS331	667.0154262104844
ACTR10	CS335	181.12717609231933
ACTR10	CS338	427.221900499314
ACTR10	CS339	403.9810174394042
ACTR10	CS343	548.3146405549542
ACTR10	CS344	538.2668131410161
ACTR10	CS350	372.9605453015228
ACTR10	CS351	593.8397675160643
ACTR10	CS361	431.7711388716272
ACTR10	CS388	411.1892049398959
ACTR10	CS396	460.8286850292812
ACTR10	CS405	445.41028606654584
ACTR10	CS415	392.56610610619634
ACTR10	CS424	410.99494786534456
ACTR10	IM293	570.9971487286006
ACTR10	IM296	358.72412850494834
ACTR10	IM297	349.1418558936689
ACTR10	IM300	1081
ACTR10	IM305	482.72427020467757
ACTR10	IM309	375.93244724296716
ACTR10	IM310	476.28734910890233
ACTR10	IM311	567.9163837077424
ACTR10	IM316	547.7437089438612
ACTR10	IM320	457.894553370031
ACTR10	IM330	470.71529933863553
ACTR10	IM332	354.00710178738603
ACTR10	IM340	378.23805842642366
ACTR10	IM348	427.3943708241084
ACTR10	IM354	595.2149864463527
ACTR10	IM356	363.8758972414154
ACTR10	IM364	492.1375924566171
ACTR10	IM372	393.55850170828643
ACTR10	IM374	369.7533574478151
ACTR10	IM376	415.7726091800423
ACTR10	IM381	495.0202805501118
ACTR10	IM382	466.93795208384114
ACTR10	IM385	918
ACTR10	IM390	428.41037534182294
ACTR10	IM397	531.8522783397893
ACTR10	IM404	683.9549270391201
ACTR10	IM409	609.4271560909251
ACTR10	IM412	514
ACTR10	IM421	564.6500949588242
ACTR10	IM425	395.55327084599935
ACTR10	IM432	441.71402174469034
ACTR10	IM438	741
ACTR10	IM442	428.84603289167404
ACTR10	IM445	496.5421458717035
ACTR10	IM448	384.2004521462262
ACTR10	IM449	544.494307993473
ACTR10	IM451	608.0931425890839
ACTR10	IMSA256	668.7009578356652
ACTR10	IMSA276	754
ACTR10	IMSA286	863
ACTR10	IMSA343	566.943846949381
ACTR10	IS_238	934
ACTR10	IS238	1403.2954752749504
ACTR10	IS243	1219
ACTR10	IS253	912
ACTR10	IS283	946
ACTR10	IS322	478.8884505417935
ACTR10	IS399	485.3451155438886
ACTR10	IS418	418.87746014828355
ACTR10	IS430	414.35694868631157
ACTR10	IS437	413.317618903072
ACTR10	IS444	487.2402769535282
ACTR10	R276CMSA	363.1079313083968
ACTR10	R286CMSA	824
ACTR10	R292CMSA	566.3390803803505
ACTR10	R292IMSA	340.34931819480903
ACTR10	R308CMSA	432.2043711354956
ACTR10	R316IMSA	478.03010065492805
ACTR10	R347CMSA	408.3831138643004
ACTR10	R347IMSA	435.50124018917967
ACTR10	R371CMSA	615.4400516165504
ACTR10	SRR10104064	373.8851646836981
ACTR10	SRR10104065	1059.1676871862066
ACTR10	SRR10104066	870.0035377077991
ACTR10	SRR10104067	733.531974021483
ACTR10	SRR10104068	1089.0469516065336
ACTR10	SRR10104069	1040.7895307095032
ACTR10	SRR10104070	638.2221099095999
ACTR10	SRR10104071	270.4210327685706
ACTR10	SRR10104072	462.19139334534907
ACTR10	SRR10104073	488.8980903104359
ACTR10	SRR10104074	374.7712412501842
ACTR10	SRR10104075	382.13534308636616
ACTR10	SRR10104076	581.6525932109905
ACTR10	SRR10104077	444.7142221738999
ACTR10	SRR10104078	517.5893363720054
ACTR10	SRR10104079	419.46024725640945
ACTR10	SRR10104080	435.14904686991605
ACTR10	SRR10104081	832.99213948874706
ACTR10	SRR10104082	416.6668045602971
ACTR10	SRR10104083	512.4618404142224
ACTR10	SRR10104084	464.513329880713
ACTR10	SRR10104085	591.8638324017409
ACTR10	SRR10104086	622.044196842054
ACTR10	SRR10104087	1355.3232107243261
ACTR10	SRR10104088	1096.9063653705543
ACTR10	SRR10104089	382.4092715336911
ACTR10	SRR10104090	617.8347236964042
ACTR10	SRR10104091	472.0651089058508
ACTR10	SRR10104092	924.6260375088046
ACTR10	SRR10104093	609.2013126814492
ACTR10	SRR10104094	574.9164818523908
ACTR10	SRR10104095	577.6257597321344
ACTR10	SRR10104096	379.2328483779034
ACTR10	SRR10104097	462.4576035665062
ACTR10	SRR10104098	661.1070614642471
ACTR10	SRR10104099	576.1124084437022
ACTR10	SRR10104100	645.2231924431986
ACTR10	SRR10104101	1182.5575624469602
ACTR10	SRR10104102	758.4417472271651
ACTR10	SRR10104103	493.42607013174256
ACTR10	SRR10104104	717.9568086498821
ACTR10	SRR10104105	432.3340755308282
ACTR10	SRR10104106	353.8326872329515
ACTR10	SRR10104107	864.1967195888243
ACTR10	SRR10104108	1064.2480772623292
ACTR10	SRR10104109	430.5826524111336
ACTR10	SRR10104110	318.881594142381
ACTR10	SRR10104111	813.7756537319298
ACTR10	SRR10104112	348.86661615702485
ACTR10	SRR10104113	713.6933525231218
ACTR10	SRR10104114	361.2242845049464
ACTR10	SRR10104115	411.9199214324329
ACTR10	SRR10104116	687.7014094972269
ACTR10	SRR10104117	791.6026597365844
ACTR10	SRR10104118	387.5966164047507
ACTR10	SRR10104119	335.5289088531341
ACTR10	SRR10104120	512.5082036397505
ACTR10	SRR10104121	471.65377639662154
ACTR10	SRR10104122	423.8150758387955
ACTR10	SRR10104123	467.44477028778465
ACTR10	SRR10104124	371.7657579287378
ACTR10	SRR10104125	454.22080114870005
ACTR10	SRR10104126	441.76825501798766
ACTR10	SRR10104127	329.6630316605426
ACTR10	SRR10104128	632.6976694810556
ACTR10	SRR10104129	637.3296704399295
ACTR10	SRR10104130	438.3228526236985
ACTR10	SRR10104131	858.618360439565
ACTR10	SRR10104132	1134.1223302161056
ACTR10	SRR10104133	360.76821250085567
ACTR10	SRR10104134	501.6620694704543
ACTR10	SRR10104135	377.5764855498688
ACTR10	SRR10104136	750.0970064045167
ACTR10	SRR10104137	363.33884457638084
ACTR10	SRR10104138	323.9808973852323
ACTR10	SRR10104139	903.1415410165512
ACTR10	SRR10104140	362.11109752739765
ACTR10	SRR10104141	390.9615896674698
ACTR10	SRR10104142	452.0675013120326
ACTR10	SRR10104143	883.1642786685521
ACTR10	SRR10104144	389.8831830904306
ACTR10	SRR10104145	410.06434777636787
ACTR10	SRR10104146	1003.5639007197873
ACTR10	SRR10104147	1808.085590858481
ACTR10	SRR10104148	518.4622407290321
ACTR10	SRR10104149	445.9133657422183
