Gene	sample	counts
AMMECR1	CM317	186.84565755051617
AMMECR1	CMCD140	174.60634029229502
AMMECR1	CMCD147	170.35298661691635
AMMECR1	CMCD152	389
AMMECR1	CMCD154	172.65920041153285
AMMECR1	CMCD159	146.15516942456176
AMMECR1	CMCD161	287.8792946619676
AMMECR1	CMCD174	146.9286533658254
AMMECR1	CMCD196	177.5617321744944
AMMECR1	CMCD198	173.71992759483544
AMMECR1	CMCD203	277.88061029874206
AMMECR1	CMCD211	500.17133828964086
AMMECR1	CMCD227	448.1544747601261
AMMECR1	CMCD240	788.6716054549786
AMMECR1	CMCD259	536
AMMECR1	CMCD270	303.56159957113755
AMMECR1	CMCD275	190.59306874583208
AMMECR1	CMCD282	192.41457529309963
AMMECR1	CMCD286	738.5244763901319
AMMECR1	CMCD287	689
AMMECR1	CMCD294	151.74169007889736
AMMECR1	CMCD327	250.26539295232374
AMMECR1	CMCD335	275.27538715855997
AMMECR1	CMCD337	208.3736041570686
AMMECR1	CMCD357	152.03477564503373
AMMECR1	CMCD398	228.31787044520595
AMMECR1	CMCD403	269.91136441222085
AMMECR1	CMCD422	315.65735069142244
AMMECR1	CMCD426	163.16941605792235
AMMECR1	CMCD71	223.40429538540414
AMMECR1	CMCD72	154.445476565372
AMMECR1	CMCD76	449.0156895083903
AMMECR1	CMCD88	589.1059969948097
AMMECR1	CMSA256	370
AMMECR1	CMSA316	221.76320528584415
AMMECR1	CMUC110	482
AMMECR1	CMUC192	186.42030762939618
AMMECR1	CMUC199	155.01758061698766
AMMECR1	CMUC200	328.76373449499573
AMMECR1	CMUC208	266.64995362159294
AMMECR1	CMUC231	370
AMMECR1	CMUC234	426
AMMECR1	CMUC285	213.3013015566148
AMMECR1	CMUC291	193.25963371737674
AMMECR1	CMUC295	327.29434206117736
AMMECR1	CMUC299	451.31126867667496
AMMECR1	CMUC301	543.2932091343018
AMMECR1	CMUC307	272.7488321865768
AMMECR1	CMUC313	210.20523586984058
AMMECR1	CMUC314	166.40154405742894
AMMECR1	CMUC323	206.69531255697768
AMMECR1	CMUC324	300.2700385882361
AMMECR1	CMUC331	214.9126715877098
AMMECR1	CMUC333	253.62600499227872
AMMECR1	CMUC334	295.29625943271424
AMMECR1	CMUC346	240.54994158185522
AMMECR1	CMUC352	226.33940098338604
AMMECR1	CMUC360	323.4071114294885
AMMECR1	CMUC363	201.00519914076654
AMMECR1	CMUC365	286.8649624660171
AMMECR1	CMUC366	271.8875069904626
AMMECR1	CMUC368	351
AMMECR1	CMUC377	274.1080333672613
AMMECR1	CMUC379	155.70192668547756
AMMECR1	CMUC380	193.36061456591548
AMMECR1	CMUC383	209.8532988863232
AMMECR1	CMUC394	192.3876796219384
AMMECR1	CMUC419	216.11064196978705
AMMECR1	CMUC427	483
AMMECR1	CMUC428	313.94774983808355
AMMECR1	CMUC431	297.54401494107
AMMECR1	CMUC435	266.2951770731997
AMMECR1	CMUC439	199.25095227910714
AMMECR1	CMUC89	538
AMMECR1	CS219	314.7685253695875
AMMECR1	CS256	244.55318803581972
AMMECR1	CS257	167.8569178252386
AMMECR1	CS259	261.39912967612855
AMMECR1	CS261	153.41150244560816
AMMECR1	CS266	205.8536965785183
AMMECR1	CS270	211.6290865854717
AMMECR1	CS277	138.69745390918345
AMMECR1	CS288	222.9708729905488
AMMECR1	CS290	276.1742883186783
AMMECR1	CS292	199.67952384521416
AMMECR1	CS293	142.23837429808532
AMMECR1	CS301	147.67221321390562
AMMECR1	CS306	153.4741937891839
AMMECR1	CS308	196.87707261067357
AMMECR1	CS315	184.78504899774617
AMMECR1	CS317	305.7632440306494
AMMECR1	CS322	182.37020222978379
AMMECR1	CS327	292.363456512262
AMMECR1	CS328	231.70901155493578
AMMECR1	CS330	144.8927262494909
AMMECR1	CS331	258.65941718696644
AMMECR1	CS335	94.34758197566495
AMMECR1	CS338	187.3599660021088
AMMECR1	CS339	162.98945948563858
AMMECR1	CS343	238.87972391824292
AMMECR1	CS344	198.6822888430116
AMMECR1	CS350	201.29651349150683
AMMECR1	CS351	180.470829177208
AMMECR1	CS361	192.3530192129524
AMMECR1	CS388	181.83241223472783
AMMECR1	CS396	236.47787784397323
AMMECR1	CS405	152.5658221239433
AMMECR1	CS415	169.46842831906838
AMMECR1	CS424	214.29711387437362
AMMECR1	IM293	201.0553340593664
AMMECR1	IM296	143.7025440598458
AMMECR1	IM297	155.41737785862375
AMMECR1	IM300	390
AMMECR1	IM305	201.97668209400734
AMMECR1	IM309	269.43600326478946
AMMECR1	IM310	216.86275044533
AMMECR1	IM311	210.56436329984032
AMMECR1	IM316	222.11258656255654
AMMECR1	IM320	180.857894367615
AMMECR1	IM330	187.88207226821075
AMMECR1	IM332	403.4034415716725
AMMECR1	IM340	385.6131737717857
AMMECR1	IM348	172.82048408626176
AMMECR1	IM354	222.57616244440598
AMMECR1	IM356	335.65283595953275
AMMECR1	IM364	191.16088302033887
AMMECR1	IM372	166.43021216519574
AMMECR1	IM374	167.59358977804652
AMMECR1	IM376	192.6751115712391
AMMECR1	IM381	208.53615090659108
AMMECR1	IM382	178.32288236314463
AMMECR1	IM385	245
AMMECR1	IM390	184.92534187416817
AMMECR1	IM397	203.23632689410204
AMMECR1	IM404	232.66501916873295
AMMECR1	IM409	235.32335730243645
AMMECR1	IM412	215
AMMECR1	IM421	254.90498891126776
AMMECR1	IM425	539.6777338936108
AMMECR1	IM432	179.80359002783865
AMMECR1	IM438	298
AMMECR1	IM442	161.33770654905214
AMMECR1	IM445	203.26878069289694
AMMECR1	IM448	175.7512706626354
AMMECR1	IM449	206.7061724790036
AMMECR1	IM451	200.01741384335153
AMMECR1	IMSA256	236.9570961699955
AMMECR1	IMSA276	393
AMMECR1	IMSA286	448
AMMECR1	IMSA343	177.1699521716816
AMMECR1	IS_238	410
AMMECR1	IS238	494.19738575122204
AMMECR1	IS243	504
AMMECR1	IS253	392
AMMECR1	IS283	360
AMMECR1	IS322	170.74292856869852
AMMECR1	IS399	187.2908537161064
AMMECR1	IS418	166.89648802783174
AMMECR1	IS430	191.49133137722492
AMMECR1	IS437	158.63626626305896
AMMECR1	IS444	235.32668695415086
AMMECR1	R276CMSA	158.196145511553
AMMECR1	R286CMSA	443
AMMECR1	R292CMSA	249.02853179845198
AMMECR1	R292IMSA	146.01737310565937
AMMECR1	R308CMSA	178.21760488796977
AMMECR1	R316IMSA	249.71721676003705
AMMECR1	R347CMSA	221.2075200098294
AMMECR1	R347IMSA	208.1908367733639
AMMECR1	R371CMSA	258.02299064511163
AMMECR1	SRR10104064	156.4326653424375
AMMECR1	SRR10104065	478.7880523272881
AMMECR1	SRR10104066	399.345886160957
AMMECR1	SRR10104067	289.525172451994
AMMECR1	SRR10104068	447.07185743995154
AMMECR1	SRR10104069	447.0641132882414
AMMECR1	SRR10104070	257.34762496354836
AMMECR1	SRR10104071	83.56358094136087
AMMECR1	SRR10104072	180.8109848966759
AMMECR1	SRR10104073	192.2163431989748
AMMECR1	SRR10104074	153.41512799715142
AMMECR1	SRR10104075	132.36615799678347
AMMECR1	SRR10104076	241.4988682059766
AMMECR1	SRR10104077	168.4189999816997
AMMECR1	SRR10104078	209.32687446835632
AMMECR1	SRR10104079	141.63592764502138
AMMECR1	SRR10104080	106.54422539340729
AMMECR1	SRR10104081	358.59295760918013
AMMECR1	SRR10104082	138.52818437329358
AMMECR1	SRR10104083	132.89985487920703
AMMECR1	SRR10104084	165.51624398048395
AMMECR1	SRR10104085	242.26550652713746
AMMECR1	SRR10104086	255.17134269138623
AMMECR1	SRR10104087	807.5760063901425
AMMECR1	SRR10104088	423.8276664725233
AMMECR1	SRR10104089	159.99913141320607
AMMECR1	SRR10104090	229.89199021261553
AMMECR1	SRR10104091	161.52338163445228
AMMECR1	SRR10104092	414.2081591906913
AMMECR1	SRR10104093	245.12854177504832
AMMECR1	SRR10104094	158.20543475434496
AMMECR1	SRR10104095	156.0011175918903
AMMECR1	SRR10104096	171.85778627397434
AMMECR1	SRR10104097	224.31851575294897
AMMECR1	SRR10104098	251.26187382753315
AMMECR1	SRR10104099	213.68532967730042
AMMECR1	SRR10104100	269.61479492841795
