Gene	sample	counts
ANO4	CM317	1.0496947053399786
ANO4	CMCD140	4.037140816006821
ANO4	CMCD147	1.0387377232738804
ANO4	CMCD152	16
ANO4	CMCD154	2.0194058527664662
ANO4	CMCD159	22.735248577154053
ANO4	CMCD161	4.012254977867145
ANO4	CMCD174	1.0883603953024104
ANO4	CMCD196	7.062114347849209
ANO4	CMCD198	6.167571393899483
ANO4	CMCD203	30.095372956542462
ANO4	CMCD211	16.03113263748849
ANO4	CMCD227	13.108723210533853
ANO4	CMCD240	7.4053671873706906
ANO4	CMCD259	5
ANO4	CMCD270	2.010341719014156
ANO4	CMCD275	4.033715740652531
ANO4	CMCD282	1.0127082910163139
ANO4	CMCD286	0.9360259523322331
ANO4	CMCD287	3
ANO4	CMCD294	1.061130699852429
ANO4	CMCD327	1.0050818994069226
ANO4	CMCD335	3.013964092976934
ANO4	CMCD337	8.053086150997819
ANO4	CMCD357	1.0203676217787498
ANO4	CMCD398	2.0116111933498324
ANO4	CMCD403	7.049923697334126
ANO4	CMCD422	4.008347310367268
ANO4	CMCD426	1.109996027604914
ANO4	CMCD71	1.0063256548892079
ANO4	CMCD72	1.1440405671509037
ANO4	CMCD76	3.006801492243685
ANO4	CMCD88	4.000719843767808
ANO4	CMSA256	30
ANO4	CMSA316	8.064116555848878
ANO4	CMUC110	9
ANO4	CMUC192	1.0131538458119358
ANO4	CMUC199	1.0266064941522361
ANO4	CMUC200	1.0023284588262065
ANO4	CMUC208	2.004886869335285
ANO4	CMUC231	25
ANO4	CMUC234	14
ANO4	CMUC285	4.043626569793645
ANO4	CMUC291	3.0196817768340116
ANO4	CMUC295	3.002700385882361
ANO4	CMUC299	9.0262253735335
ANO4	CMUC301	10.005399799895061
ANO4	CMUC307	4.011012238037894
ANO4	CMUC313	1.0406199795536664
ANO4	CMUC314	1.0531743294773983
ANO4	CMUC323	1.0232441215691963
ANO4	CMUC324	4.003600514509815
ANO4	CMUC331	1.008979678815539
ANO4	CMUC333	1.0226855040011238
ANO4	CMUC334	1.0147637781192929
ANO4	CMUC346	1.0107140402598958
ANO4	CMUC352	3.0178586797784805
ANO4	CMUC360	7.008822848317089
ANO4	CMUC363	1.0255367303100333
ANO4	CMUC365	1.0065437279509373
ANO4	CMUC366	3.009824800632428
ANO4	CMUC368	3
ANO4	CMUC377	4.0162349211320345
ANO4	CMUC379	1.0664515526402574
ANO4	CMUC380	2.0353748901675313
ANO4	CMUC383	2.0275681051818664
ANO4	CMUC394	1.007265338334756
ANO4	CMUC419	1.024221051989512
ANO4	CMUC427	9
ANO4	CMUC428	1.0062427879425755
ANO4	CMUC431	3.005495100414848
ANO4	CMUC435	4.019549842614334
ANO4	CMUC439	3.0189538224107144
ANO4	CMUC89	17
ANO4	CS219	3.007342599072492
ANO4	CS256	33.074816414680534
ANO4	CS257	1.089979985878173
ANO4	CS259	1.0015292324755884
ANO4	CS261	1.0227433496373879
ANO4	CS266	1.0344406863242126
ANO4	CS270	1.0125793616529746
ANO4	CS277	23.588002365507393
ANO4	CS288	6.053507863996799
ANO4	CS290	4.031741435309172
ANO4	CS292	2.0272032877686716
ANO4	CS293	7.111918714904266
ANO4	CS301	1.0255014806521223
ANO4	CS306	1.0369877958728642
ANO4	CS308	3.0762042595417745
ANO4	CS315	1.0265836055430344
ANO4	CS317	1.0691022518554174
ANO4	CS322	1.0131677901654654
ANO4	CS327	5.023427087839554
ANO4	CS328	1.0532227797951625
ANO4	CS330	1.0732794536999326
ANO4	CS331	1.0183441621534113
ANO4	CS335	40.36260191472297
ANO4	CS338	3.0883510879468483
ANO4	CS339	1.1642104248974183
ANO4	CS343	1.0079313245495483
ANO4	CS344	5.068425735791112
ANO4	CS350	14.305335984167998
ANO4	CS351	1.0082169227776983
ANO4	CS361	1.0231543575157043
ANO4	CS388	6.198832235274812
ANO4	CS396	2.021178443110882
ANO4	CS405	1.023931692107002
ANO4	CS415	8.580679914889538
ANO4	CS424	1.0352517578472156
ANO4	IM293	1.005276670296832
ANO4	IM296	1.064463289332191
ANO4	IM297	1.0944885764691814
ANO4	IM300	5
ANO4	IM305	5.049417052350184
ANO4	IM309	1.0649644397817766
ANO4	IM310	1.0133773385295795
ANO4	IM311	1.0123286697107707
ANO4	IM316	1.00503432833736
ANO4	IM320	1.0454213547260982
ANO4	IM330	1.01011866810866
ANO4	IM332	14.407265770416874
ANO4	IM340	1.0535879064802887
ANO4	IM348	3.104559594363984
ANO4	IM354	13.092715437906234
ANO4	IM356	1.007966474352951
ANO4	IM364	1.016813207554994
ANO4	IM372	7.832009984244506
ANO4	IM374	1.0474599361127908
ANO4	IM376	1.014079534585469
ANO4	IM381	8.098491297343342
ANO4	IM382	1.0307681061453446
ANO4	IM385	6
ANO4	IM390	1.0273630104120455
ANO4	IM397	2.0222520088965377
ANO4	IM404	1.0028664619341938
