Gene	sample	counts
APITD1-CORT	CM317	1.0496947053399786
APITD1-CORT	CMCD140	1.0092852040017053
APITD1-CORT	CMCD147	1.0387377232738804
APITD1-CORT	CMCD152	4
APITD1-CORT	CMCD154	4.0388117055329325
APITD1-CORT	CMCD159	1.0826308846263835
APITD1-CORT	CMCD161	2.0061274889335725
APITD1-CORT	CMCD174	1.0883603953024104
APITD1-CORT	CMCD196	1.0088734782641728
APITD1-CORT	CMCD198	1.027928565649914
APITD1-CORT	CMCD203	1.0031790985514153
APITD1-CORT	CMCD211	0.8015566318744244
APITD1-CORT	CMCD227	4.096476003291829
APITD1-CORT	CMCD240	3.7026835936853453
APITD1-CORT	CMCD259	2
APITD1-CORT	CMCD270	4.020683438028312
APITD1-CORT	CMCD275	1.0084289351631328
APITD1-CORT	CMCD282	1.0127082910163139
APITD1-CORT	CMCD286	2.8080778569966993
APITD1-CORT	CMCD287	4
APITD1-CORT	CMCD294	1.061130699852429
APITD1-CORT	CMCD327	1.0050818994069226
APITD1-CORT	CMCD335	1.0046546976589779
APITD1-CORT	CMCD337	1.0066357688747274
APITD1-CORT	CMCD357	1.0203676217787498
APITD1-CORT	CMCD398	1.0058055966749162
APITD1-CORT	CMCD403	4.028527827048072
APITD1-CORT	CMCD422	1.002086827591817
APITD1-CORT	CMCD426	1.109996027604914
APITD1-CORT	CMCD71	3.0189769646676234
APITD1-CORT	CMCD72	1.1440405671509037
APITD1-CORT	CMCD76	1.0022671640812284
APITD1-CORT	CMCD88	1.000179960941952
APITD1-CORT	CMSA256	2
APITD1-CORT	CMSA316	1.0080145694811098
APITD1-CORT	CMUC110	1
APITD1-CORT	CMUC192	1.0131538458119358
APITD1-CORT	CMUC199	1.0266064941522361
APITD1-CORT	CMUC200	3.0069853764786196
APITD1-CORT	CMUC208	1.0024434346676425
APITD1-CORT	CMUC231	1
APITD1-CORT	CMUC234	2
APITD1-CORT	CMUC285	1.0109066424484112
APITD1-CORT	CMUC291	2.0131211845560077
APITD1-CORT	CMUC295	2.0018002572549074
APITD1-CORT	CMUC299	2.0058278607852222
APITD1-CORT	CMUC301	1.0005399799895063
APITD1-CORT	CMUC307	1.0027530595094736
APITD1-CORT	CMUC313	1.0406199795536664
APITD1-CORT	CMUC314	1.0531743294773983
APITD1-CORT	CMUC323	1.0232441215691963
APITD1-CORT	CMUC324	1.0009001286274537
APITD1-CORT	CMUC331	1.008979678815539
APITD1-CORT	CMUC333	1.0226855040011238
APITD1-CORT	CMUC334	1.0147637781192929
APITD1-CORT	CMUC346	1.0107140402598958
APITD1-CORT	CMUC352	1.0059528932594937
APITD1-CORT	CMUC360	8.010083255219529
APITD1-CORT	CMUC363	1.0255367303100333
APITD1-CORT	CMUC365	1.0065437279509373
APITD1-CORT	CMUC366	2.0065498670882853
APITD1-CORT	CMUC368	3
APITD1-CORT	CMUC377	1.0040587302830086
APITD1-CORT	CMUC379	1.0664515526402574
APITD1-CORT	CMUC380	2.0353748901675313
APITD1-CORT	CMUC383	1.0137840525909332
APITD1-CORT	CMUC394	2.014530676669512
APITD1-CORT	CMUC419	7.1695473639265845
APITD1-CORT	CMUC427	1
APITD1-CORT	CMUC428	1.0062427879425755
APITD1-CORT	CMUC431	1.0018317001382826
APITD1-CORT	CMUC435	1.0048874606535836
APITD1-CORT	CMUC439	1.0063179408035714
APITD1-CORT	CMUC89	5
APITD1-CORT	CS219	1.002447533024164
APITD1-CORT	CS256	1.0022671640812284
APITD1-CORT	CS257	1.089979985878173
APITD1-CORT	CS259	1.0015292324755884
APITD1-CORT	CS261	2.0454866992747758
APITD1-CORT	CS266	1.0344406863242126
APITD1-CORT	CS270	1.0125793616529746
APITD1-CORT	CS277	4.717600473101478
APITD1-CORT	CS288	1.0089179773327999
APITD1-CORT	CS290	4.031741435309172
APITD1-CORT	CS292	1.0136016438843358
APITD1-CORT	CS293	1.0159883878434666
APITD1-CORT	CS301	1.0255014806521223
APITD1-CORT	CS306	1.0369877958728642
APITD1-CORT	CS308	1.0254014198472583
APITD1-CORT	CS315	1.0265836055430344
APITD1-CORT	CS317	1.0691022518554174
APITD1-CORT	CS322	1.0131677901654654
APITD1-CORT	CS327	1.0046854175679107
APITD1-CORT	CS328	8.4257822383613
APITD1-CORT	CS330	1.0732794536999326
APITD1-CORT	CS331	2.0366883243068226
APITD1-CORT	CS335	0.5045325239340371
APITD1-CORT	CS338	1.0294503626489493
APITD1-CORT	CS339	1.1642104248974183
APITD1-CORT	CS343	1.0079313245495483
APITD1-CORT	CS344	1.0136851471582224
APITD1-CORT	CS350	1.021809713154857
APITD1-CORT	CS351	1.0082169227776983
APITD1-CORT	CS361	1.0231543575157043
APITD1-CORT	CS388	1.0331387058791355
APITD1-CORT	CS396	1.010589221555441
APITD1-CORT	CS405	1.023931692107002
APITD1-CORT	CS415	1.0725849893611923
APITD1-CORT	CS424	1.0352517578472156
APITD1-CORT	IM293	1.005276670296832
APITD1-CORT	IM296	1.064463289332191
APITD1-CORT	IM297	3.283465729407544
APITD1-CORT	IM300	1
APITD1-CORT	IM305	1.0098834104700367
APITD1-CORT	IM309	1.0649644397817766
APITD1-CORT	IM310	1.0133773385295795
APITD1-CORT	IM311	1.0123286697107707
APITD1-CORT	IM316	1.00503432833736
APITD1-CORT	IM320	1.0454213547260982
APITD1-CORT	IM330	1.01011866810866
APITD1-CORT	IM332	1.0290904121726339
APITD1-CORT	IM340	1.0535879064802887
APITD1-CORT	IM348	1.034853198121328
APITD1-CORT	IM354	1.007131956762018
APITD1-CORT	IM356	3.0238994230588534
APITD1-CORT	IM364	1.016813207554994
APITD1-CORT	IM372	0.9790012480305632
APITD1-CORT	IM374	1.0474599361127908
APITD1-CORT	IM376	1.014079534585469
APITD1-CORT	IM381	1.0123114121679178
APITD1-CORT	IM382	1.0307681061453446
APITD1-CORT	IM385	1
APITD1-CORT	IM390	1.0273630104120455
APITD1-CORT	IM397	3.0333780133448065
APITD1-CORT	IM404	1.0028664619341938
APITD1-CORT	IM409	6.033932238524011
APITD1-CORT	IM412	1
APITD1-CORT	IM421	1.0155577247460867
APITD1-CORT	IM425	1.0520033799095727
APITD1-CORT	IM432	1.0393271099875068
APITD1-CORT	IM438	4
APITD1-CORT	IM442	1.0408884293487235
APITD1-CORT	IM445	1.0112874661338156
APITD1-CORT	IM448	1.021809713154857
APITD1-CORT	IM449	5.0416139629025265
APITD1-CORT	IM451	1.005112632378651
APITD1-CORT	IMSA256	1.0040554922457436
APITD1-CORT	IMSA276	1
APITD1-CORT	IMSA286	3
APITD1-CORT	IMSA343	1.0123997266953233
APITD1-CORT	IS_238	1
APITD1-CORT	IS238	2.0463659865475035
APITD1-CORT	IS243	1
APITD1-CORT	IS253	2
APITD1-CORT	IS283	1
APITD1-CORT	IS322	1.0103131867970327
APITD1-CORT	IS399	5.034700368712538
APITD1-CORT	IS418	1.0908267191361551
APITD1-CORT	IS430	1.0818719286848866
APITD1-CORT	IS437	1.0791582738983603
APITD1-CORT	IS444	3.1100443209799673
APITD1-CORT	R276CMSA	1.061719097392973
APITD1-CORT	R286CMSA	2
APITD1-CORT	R292CMSA	1.0041473056389194
APITD1-CORT	R292IMSA	1.073657155188672
APITD1-CORT	R308CMSA	1.06717128675431
APITD1-CORT	R316IMSA	1.0192539459593348
APITD1-CORT	R347CMSA	1.063497692354949
APITD1-CORT	R347IMSA	1.0621981468028772
APITD1-CORT	R371CMSA	1.003980508346738
APITD1-CORT	SRR10104064	1.1094515272513297
APITD1-CORT	SRR10104065	1.0058572527884204
APITD1-CORT	SRR10104066	1.0187395055126454
APITD1-CORT	SRR10104067	1.023057146473477
APITD1-CORT	SRR10104068	3.0139675782468647
APITD1-CORT	SRR10104069	1.0114572698828992
APITD1-CORT	SRR10104070	2.058780999708387
APITD1-CORT	SRR10104071	1.1606052908522344
APITD1-CORT	SRR10104072	1.0698874845957154
APITD1-CORT	SRR10104073	1.044654039124863
APITD1-CORT	SRR10104074	1.095822342836796
APITD1-CORT	SRR10104075	1.1510100695372476
APITD1-CORT	SRR10104076	1.0276547583233047
APITD1-CORT	SRR10104077	1.100777777658168
APITD1-CORT	SRR10104078	1.0414272361609767
APITD1-CORT	SRR10104079	1.0895071357309336
APITD1-CORT	SRR10104080	1.121518162035866
APITD1-CORT	SRR10104081	1.0158440725472526
APITD1-CORT	SRR10104082	2.1645028808327123
APITD1-CORT	SRR10104083	1.0631988390336564
APITD1-CORT	SRR10104084	1.067846735357961
APITD1-CORT	SRR10104085	1.0222173271187234
APITD1-CORT	SRR10104086	1.024784508800748
APITD1-CORT	SRR10104087	1.0032000079380652
APITD1-CORT	SRR10104088	2.0182269832024917
APITD1-CORT	SRR10104089	1.1347456128596176
APITD1-CORT	SRR10104090	2.0526070554697817
APITD1-CORT	SRR10104091	1.0420863331254986
APITD1-CORT	SRR10104092	1.0127338855518124
APITD1-CORT	SRR10104093	2.068595289240914
APITD1-CORT	SRR10104094	1.0340224493748036
APITD1-CORT	SRR10104095	1.0540616053506102
APITD1-CORT	SRR10104096	1.145718575159829
APITD1-CORT	SRR10104097	1.0631209277390947
APITD1-CORT	SRR10104098	1.0297617779816932
APITD1-CORT	SRR10104099	1.0474771062612767
APITD1-CORT	SRR10104100	1.0290641027802212
