Gene	sample	counts
ATG12	CM317	459.7662809389106
ATG12	CMCD140	517.7633096528749
ATG12	CMCD147	461.19954913360283
ATG12	CMCD152	1090
ATG12	CMCD154	625.0061114312213
ATG12	CMCD159	380.0034405038606
ATG12	CMCD161	708.163003593551
ATG12	CMCD174	396.16318389007733
ATG12	CMCD196	419.69136695789587
ATG12	CMCD198	446.12099749206266
ATG12	CMCD203	803.5464579396837
ATG12	CMCD211	1095.727915772338
ATG12	CMCD227	921.7071007406615
ATG12	CMCD240	1158.0142939250918
ATG12	CMCD259	1241
ATG12	CMCD270	567.9215356214991
ATG12	CMCD275	604.0489321627165
ATG12	CMCD282	479.01102165071643
ATG12	CMCD286	1100.766519942706
ATG12	CMCD287	997
ATG12	CMCD294	411.7187115427425
ATG12	CMCD327	721.6488037741705
ATG12	CMCD335	649.0069346876998
ATG12	CMCD337	604.9880970937112
ATG12	CMCD357	509.16344326759616
ATG12	CMCD398	559.2279117512534
ATG12	CMCD403	750.3133077877035
ATG12	CMCD422	759.5818153145974
ATG12	CMCD426	438.44843090394096
ATG12	CMCD71	589.7068337650758
ATG12	CMCD72	450.75198345745605
ATG12	CMCD76	1062.4031939261022
ATG12	CMCD88	1039.1869794186882
ATG12	CMSA256	976
ATG12	CMSA316	793.3074661816335
ATG12	CMUC110	1042
ATG12	CMUC192	481.2480767606695
ATG12	CMUC199	444.5206119679182
ATG12	CMUC200	844.9628907904921
ATG12	CMUC208	610.4880517125944
ATG12	CMUC231	1157
ATG12	CMUC234	1102
ATG12	CMUC285	596.4349190445627
ATG12	CMUC291	713.6514599251047
ATG12	CMUC295	787.708401229806
ATG12	CMUC299	855.4855826248972
ATG12	CMUC301	887.478962250692
ATG12	CMUC307	801.1996945480695
ATG12	CMUC313	571.3003687749627
ATG12	CMUC314	505.5236781491512
ATG12	CMUC323	493.20366659635266
ATG12	CMUC324	968.8713245113752
ATG12	CMUC331	584.199234034197
ATG12	CMUC333	633.0423269766957
ATG12	CMUC334	591.6072826435477
ATG12	CMUC346	601.3748539546381
ATG12	CMUC352	730.3218005063924
ATG12	CMUC360	576.7259943758062
ATG12	CMUC363	564.0452016705184
ATG12	CMUC365	570.7102937481815
ATG12	CMUC366	820.6788956391086
ATG12	CMUC368	947
ATG12	CMUC377	782.1617508904636
ATG12	CMUC379	414.8496539770601
ATG12	CMUC380	529.1974714435581
ATG12	CMUC383	595.0912388708779
ATG12	CMUC394	571.1194468358067
ATG12	CMUC419	458.8510312913014
ATG12	CMUC427	1219
ATG12	CMUC428	790.9068313228644
ATG12	CMUC431	757.3847653045417
ATG12	CMUC435	784.8171067704488
ATG12	CMUC439	640.0182103510714
ATG12	CMUC89	959
ATG12	CS219	622.5199180080058
ATG12	CS256	743.6822357482714
ATG12	CS257	415.28237461958383
ATG12	CS259	712.0872842901433
ATG12	CS261	424.43849009951595
ATG12	CS266	526.5303093390243
ATG12	CS270	513.3777363580581
ATG12	CS277	348.1589149148891
ATG12	CS288	601.3151144903487
ATG12	CS290	629.9595992670583
ATG12	CS292	489.5695939961342
ATG12	CS293	432.81105322131674
ATG12	CS301	433.7871263158478
ATG12	CS306	407.5362037780356
ATG12	CS308	488.0910758472949
ATG12	CS315	477.36137657751095
ATG12	CS317	391.29142417908275
ATG12	CS322	627.1508621124232
ATG12	CS327	855.99197576786
ATG12	CS328	386.53276018482467
ATG12	CS330	433.60489929477274
ATG12	CS331	591.6579582111319
ATG12	CS335	197.27221685820854
ATG12	CS338	460.16431210408035
ATG12	CS339	421.4441738128655
ATG12	CS343	611.8143140015758
ATG12	CS344	525.0889062279592
ATG12	CS350	399.5275978435491
ATG12	CS351	794.4749351488263
ATG12	CS361	511.57717875785215
ATG12	CS388	475.2438047044023
ATG12	CS396	592.2052838314885
ATG12	CS405	467.9367832928999
ATG12	CS415	426.8888257657545
ATG12	CS424	434.8057382958305
ATG12	IM293	556.923275344445
ATG12	IM296	403.4315866569004
ATG12	IM297	377.5985588818676
ATG12	IM300	1039
ATG12	IM305	502.9219384140783
ATG12	IM309	384.45216276122136
ATG12	IM310	529.99634805097
ATG12	IM311	689.3958240730349
ATG12	IM316	610.0558373007775
ATG12	IM320	452.6674465964005
ATG12	IM330	488.8974353645914
ATG12	IM332	379.7343620917019
ATG12	IM340	467.79303047724824
ATG12	IM348	484.3112967207815
ATG12	IM354	633.4860008033094
ATG12	IM356	432.4176174974161
ATG12	IM364	479.93583396595716
ATG12	IM372	405.30651668465316
ATG12	IM374	418.9839744451163
ATG12	IM376	456.3357905634611
ATG12	IM381	541.586605509836
ATG12	IM382	524.6609660279804
ATG12	IM385	880
ATG12	IM390	566.077018737037
ATG12	IM397	620.831366731237
ATG12	IM404	708.0237221255408
ATG12	IM409	655.6873032529426
ATG12	IM412	594
ATG12	IM421	662.1436365344485
ATG12	IM425	536.521723753882
ATG12	IM432	417.8094982149777
ATG12	IM438	952
ATG12	IM442	450.70468990799725
ATG12	IM445	518.7904701266474
ATG12	IM448	434.2691280908142
ATG12	IM449	585.8355424892736
ATG12	IM451	624.1749447071422
ATG12	IMSA256	693.8023451418088
ATG12	IMSA276	986
ATG12	IMSA286	863
ATG12	IMSA343	678.3078168858666
ATG12	IS_238	988
ATG12	IS238	1391.0172793556653
ATG12	IS243	1209
ATG12	IS253	970
ATG12	IS283	929
ATG12	IS322	563.7547582327443
ATG12	IS399	495.4145162813137
ATG12	IS418	427.60407390137277
ATG12	IS430	452.2224661902826
ATG12	IS437	430.5841512854457
ATG12	IS444	465.46996670666846
ATG12	R276CMSA	438.4899872232979
ATG12	R286CMSA	845
ATG12	R292CMSA	621.567182190491
ATG12	R292IMSA	470.26183397263833
ATG12	R308CMSA	456.7493107308447
ATG12	R316IMSA	530.0120518988541
ATG12	R347CMSA	405.19262078723557
ATG12	R347IMSA	435.50124018917967
ATG12	R371CMSA	628.491798225058
ATG12	SRR10104064	404.94980744673535
ATG12	SRR10104065	1170.8178422457213
ATG12	SRR10104066	882.2284117739508
ATG12	SRR10104067	612.8112307376127
ATG12	SRR10104068	976.5254953519841
ATG12	SRR10104069	860.7501366703472
ATG12	SRR10104070	756.6020173928322
ATG12	SRR10104071	265.7786116051617
ATG12	SRR10104072	457.9118434069662
ATG12	SRR10104073	516.0590953276824
ATG12	SRR10104074	458.05373930578065
ATG12	SRR10104075	371.77625246053094
ATG12	SRR10104076	757.3815568842756
ATG12	SRR10104077	421.59788884307835
ATG12	SRR10104078	575.9092615970202
ATG12	SRR10104079	497.9047610290367
ATG12	SRR10104080	473.2806643791355
ATG12	SRR10104081	942.7032993238504
ATG12	SRR10104082	461.0391136173677
ATG12	SRR10104083	446.54351239413563
ATG12	SRR10104084	462.3776364099971
ATG12	SRR10104085	626.6192215237775
ATG12	SRR10104086	577.9784629636218
ATG12	SRR10104087	1585.0560125421432
ATG12	SRR10104088	1330.0115819304422
ATG12	SRR10104089	357.4448680507795
ATG12	SRR10104090	590.1245284475622
ATG12	SRR10104091	562.7266198877692
ATG12	SRR10104092	921.5878358521493
ATG12	SRR10104093	585.4124668551786
ATG12	SRR10104094	635.9238063655042
ATG12	SRR10104095	756.8162326417381
ATG12	SRR10104096	380.3785669530632
ATG12	SRR10104097	520.9292545921563
ATG12	SRR10104098	720.8332445871853
ATG12	SRR10104099	478.6970375614034
ATG12	SRR10104100	553.6364872957589
ATG12	SRR10104101	1340.4330193382634
ATG12	SRR10104102	859.9734402963975
ATG12	SRR10104103	519.7280994564622
ATG12	SRR10104104	819.5065694207282
ATG12	SRR10104105	453.9507793073696
ATG12	SRR10104106	335.7453933168901
ATG12	SRR10104107	1024.7192411012345
ATG12	SRR10104108	1186.077800392643
ATG12	SRR10104109	376.89962042221305
ATG12	SRR10104110	364.0961485357037
ATG12	SRR10104111	559.7289394958198
ATG12	SRR10104112	323.9475721458088
ATG12	SRR10104113	614.2527692978392
ATG12	SRR10104114	307.275203052909
ATG12	SRR10104115	358.1414872454208
ATG12	SRR10104116	586.168629099615
ATG12	SRR10104117	717.8444066640155
ATG12	SRR10104118	383.0232050017448
ATG12	SRR10104119	333.14927120169347
ATG12	SRR10104120	712.7869605731199
ATG12	SRR10104121	414.31971642180287
ATG12	SRR10104122	440.157559482965
ATG12	SRR10104123	402.5218855255923
ATG12	SRR10104124	337.1569336170535
ATG12	SRR10104125	459.7198423248344
ATG12	SRR10104126	509.3328116677975
ATG12	SRR10104127	365.23817896203997
ATG12	SRR10104128	785.9853975341895
ATG12	SRR10104129	640.4085577367407
ATG12	SRR10104130	590.3303027022258
ATG12	SRR10104131	958.7399360385249
ATG12	SRR10104132	1159.3026661445272
ATG12	SRR10104133	389.8624231864086
ATG12	SRR10104134	671.6297110774871
ATG12	SRR10104135	457.9353294132519
ATG12	SRR10104136	902.3494434284376
ATG12	SRR10104137	433.1264885041613
ATG12	SRR10104138	310.83038125520443
ATG12	SRR10104139	1064.9586144349703
ATG12	SRR10104140	389.52644875975585
ATG12	SRR10104141	463.00871188261334
ATG12	SRR10104142	505.6848096071807
ATG12	SRR10104143	1098.9144563341574
ATG12	SRR10104144	511.7216778061901
ATG12	SRR10104145	450.4333768320725
ATG12	SRR10104146	1107.554928661576
ATG12	SRR10104147	1622.7693391638445
ATG12	SRR10104148	480.60292903279446
ATG12	SRR10104149	497.2038702524734
ATG12	SRR10104150	898.3248429076812
ATG12	SRR10104151	1354.2896378481034
ATG12	SRR10104152	1738.7198761585519
ATG12	SRR10104153	440.77189980688365
ATG12	SRR10104154	649.2310955698707
ATG12	SRR10104155	463.4345761743382
ATG12	SRR10104156	1340.4184049278165
ATG12	SRR10104157	488.7946269744889
ATG12	SRR10104158	757.2225338329627
ATG12	SRR10104159	982.2224529613625
ATG12	SRR10104160	412.7448065200753
ATG12	SRR10104161	1794.09171724283
ATG12	SRR10104162	821.3720854785894
ATG12	SRR10104163	570.6747416328589
ATG12	SRR10104164	670.9195838552096
ATG12	SRR10104165	617.7723710954812
ATG12	SRR10104166	539.1065640144536
ATG12	SRR10104167	802.726828083638
ATG12	SRR10104168	693.2893105413065
ATG12	SRR10104169	537.9609926816435
ATG12	SRR10104170	520.1813874653641
ATG12	SRR10104171	571.3794145240932
ATG12	SRR10104172	611.001468080914
ATG12	SRR10104173	582.1533826351907
ATG12	SRR10104174	561.370131754997
ATG12	SRR10104175	610.4191908851703
ATG12	SRR10104176	685.0690853247416
ATG12	SRR10104177	719.7817577635257
ATG12	SRR10104178	541.0140777960914
ATG12	SRR10104179	583.539795447827
ATG12	SRR10104180	706.16757687598
ATG12	SRR10104181	709.4956728194684
ATG12	SRR10104182	538.2698806611614
ATG12	SRR10104183	584.5876571325697
ATG12	SRR10104184	648.5086775622882
ATG12	SRR10104185	441.39690254468866
ATG12	SRR10104186	502.011396573473
ATG12	SRR10104187	557.8772866724364
ATG12	SRR10104188	569.0873931581119
ATG12	SRR10104189	419.5842788927597
ATG12	SRR10104190	455.9863077976217
ATG12	SRR10104191	350.3628082699487
ATG12	SRR10104192	714.1328644106293
ATG12	SRR10104193	588.5507978799791
ATG12	SRR10104194	529.7829916820288
ATG12	SRR10104195	554.2770583097414
ATG12	SRR10104196	576.5192409470797
ATG12	SRR10104197	629.4163947050107
ATG12	SRR10104198	627.8177055340501
ATG12	SRR10104199	480.5328738312325
ATG12	SRR10104200	507.3174143274899
ATG12	SRR10104201	659.8487867748597
ATG12	SRR10104202	482.9689035456139
ATG12	SRR10104203	595.1745823627084
ATG12	SRR10104204	613.6508429918583
ATG12	SRR10104205	606.8772160242943
ATG12	SRR10104206	641.950034716889
ATG12	SRR10104207	655.7784762340444
ATG12	SRR10104208	683.8507985710604
ATG12	SRR10104209	725.4224618691806
ATG12	SRR10104210	703.0188796002251
ATG12	SRR10104211	675.4399012169355
ATG12	SRR10104212	742.6718939084562
ATG12	SRR10104213	419.33291533491365
ATG12	SRR10104214	631.3743311389426
ATG12	SRR10104215	1004.6497560183365
ATG12	SRR10104216	558.9573699039108
ATG12	SRR10104217	757.4113782162744
ATG12	SRR10104218	453.1089516203708
ATG12	SRR10104219	623.1229937303708
ATG12	SRR10104220	522.7340442494036
ATG12	SRR10104221	404.45192603293526
ATG12	SRR10104222	574.0905731169591
ATG12	SRR10104223	321.220734128921
ATG12	SRR10104224	634.7133810680011
ATG12	SRR10104225	598.2215731101755
ATG12	SRR10104226	572.4280351960099
ATG12	SRR10104227	423.5258145999435
ATG12	SRR10104228	364.7653303371768
ATG12	SRR10104229	612.966155141998
ATG12	SRR10104230	397.52064249278743
ATG12	SRR10104231	581.0861765530601
ATG12	SRR10104232	695.2108532603525
ATG12	SRR10104233	618.4363149820097
ATG12	SRR10104234	783.8928833979247
ATG12	SRR10104235	501.9732744118869
ATG12	SRR10104236	1863.1823402408488
ATG12	SRR10104237	770.9976842930497
ATG12	SRR10104238	507.32381551297215
ATG12	SRR10104239	524.222133501276
ATG12	SRR10104240	535.1182212294146
ATG12	SRR10104241	668.7584844296194
ATG12	SRR10104242	654.2650685371175
ATG12	SRR10104243	509.1053703816372
ATG12	SRR10104244	673.6034854602434
ATG12	SRR10104245	514.1452260266923
ATG12	SRR10104246	417.99247824234294
ATG12	SRR10104247	492.2958229631499
ATG12	SRR10104248	506.96848363740486
ATG12	SRR10104249	698.483531801929
ATG12	SRR10104250	347.057077850547
ATG12	SRR10104251	522.2557691780877
ATG12	SRR10104252	358.6272151688572
ATG12	SRR10104253	388.0496229178549
ATG12	SRR10104254	494.7511319315822
ATG12	SRR10104255	554.675716157285
ATG12	SRR10104256	689.6876442542773
ATG12	SRR10104257	512.5334536965265
ATG12	SRR10104258	728.7704199800856
ATG12	SRR10224277	493.7691416320296
ATG12	SRR10224278	500.4398862289049
ATG12	SRR10224279	460.75310668218526
ATG12	SRR10224280	1756.1334407030583
ATG12	SRR10224281	781.3887897940211
ATG12	SRR10224282	483.0808349765736
ATG12	SRR10224283	833.7967393634232
ATG12	SRR10224284	462.53676464212936
ATG12	SRR10224285	455.69830872081866
ATG12	SRR10224286	867.5073740099882
ATG12	SRR10224287	474.515765401006
ATG12	SRR10224288	461.5299745568557
ATG12	SRR10224289	463.6460006388279
ATG12	SRR10224290	459.02672343726636
ATG12	SRR10224291	930.152637690863
ATG12	SRR10224292	695.1465768960321
ATG12	SRR10224293	518.4014879589731
ATG12	SRR10224294	644.3249192880595
ATG12	SRR10224295	561.5025121242428
ATG12	SRR10224296	523.1425851942178
ATG12	SRR10224297	457.75721363721476
ATG12	SRR10224298	773.8835791182465
ATG12	SRR10318388	441.2130918232664
ATG12	SRR10318389	504.3611131107412
ATG12	SRR10318390	475.7820393527217
ATG12	SRR10318391	730.556901525746
ATG12	SRR10318392	627.5764471915783
ATG12	SRR10318393	620.7383799739682
ATG12	SRR10318394	335.3618960618948
ATG12	SRR10318395	790.4761052638754
ATG12	SRR10318396	203.6057568171607
ATG12	SRR10318397	371.1473953460199
ATG12	SRR10318398	563.9247384680277
ATG12	SRR10318399	178.51826578634297
ATG12	SRR10318400	382.57041834753727
ATG12	SRR10318401	587.1091466079434
ATG12	SRR10318402	727.0471099249924
ATG12	SRR10318403	616.9528329308397
ATG12	SRR10318404	879.5156492122863
ATG12	SRR10318405	653.5669642091824
ATG12	SRR10318406	378.7090478142291
ATG12	SRR10318407	381.70911397769225
ATG12	SRR10318408	925.7714908125805
ATG12	SRR10318409	527.658228644147
ATG12	SRR10318410	571.3075750878281
ATG12	SRR10318411	754.7347044222221
ATG12	SRR10318412	875.2034542044884
ATG12	SRR10318413	643.4464931185591
ATG12	SRR10318414	808.7392751471058
ATG12	SRR10318415	514.3102889567765
ATG12	SRR10318416	577.6636887597896
ATG12	SRR10318417	761.4103756208467
ATG12	SRR10318418	769.8740171015096
ATG12	SRR10318419	865.4339891745616
ATG12	SRR10318420	1395.5088870086295
ATG12	SRR10318421	481.2721939547943
ATG12	SRR10318422	687.4315637279866
ATG12	SRR10318423	450.66204733403237
ATG12	SRR10318424	755.5734680042301
ATG12	SRR10318425	641.1296738733441
ATG12	SRR10318426	1.0953414278907072
ATG12	SRR10318427	1.108018223770156
ATG12	SRR10318428	949.2498535026664
ATG12	SRR10318429	1152.5733405712258
ATG12	SRR10318430	289.4681208398971
ATG12	SRR10318431	821.2076510805726
ATG12	SRR10318432	1276.138841784498
ATG12	SRR10318433	1.2750020383966563
ATG12	SRR10318434	803.4405979205958
ATG12	SRR10318435	977.7726968296497
ATG12	SRR10318436	651.7767603954541
ATG12	SRR10318437	1109.7985222604032
ATG12	SRR10318438	725.9137950042699
ATG12	SRR10318439	874.5713503500735
ATG12	SRR10318440	591.1571145410509
ATG12	SRR10318441	814.2418547234745
ATG12	SRR10318442	833.1927630527331
ATG12	SRR10318443	746.6969504018084
ATG12	SRR10318444	464.91363209213114
ATG12	SRR10318445	309.6872511755532
ATG12	SRR10318446	603.3738358049297
ATG12	SRR10318447	507.2342527037399
ATG12	SRR10318448	441.02763464057176
ATG12	SRR10318449	1183.4645433859362
ATG12	SRR10318450	376.9453878120603
ATG12	SRR10318451	970
ATG12	SRR10318452	679.2232704031227
ATG12	SRR10318453	722.0212489383467
ATG12	SRR10318454	591.7983201388046
ATG12	SRR10318455	1037.2039012868893
ATG12	SRR10318456	740.8285959166109
ATG12	SRR10318457	623.9631659658917
ATG12	SRR10318458	727.113618327826
ATG12	SRR10318459	737.7247888054961
ATG12	SRR10318460	610.4117115618717
ATG12	SRR10318461	664.3260131130928
ATG12	SRR10318462	768.0865771616976
ATG12	SRR10318463	575.7761946279991
ATG12	SRR10318464	447.7569782362733
ATG12	SRR10318465	718.6462923545117
ATG12	SRR10318466	465.31975876155536
ATG12	SRR10318467	555.7987057905157
ATG12	SRR10318468	569.4901520429124
ATG12	SRR10318469	437.53193612886474
ATG12	SRR10318470	853
ATG12	SRR10318471	720
ATG12	SRR10318472	710.1108550727985
ATG12	SRR10318473	627.4217712406361
ATG12	SRR10318474	838.4886383775821
ATG12	SRR10318475	690.7501628527658
ATG12	SRR10318476	731.6061647557324
ATG12	SRR10318495	790.8533987303471
ATG12	SRR10318496	526.5964440069297
ATG12	SRR10318497	447.4342907227179
ATG12	SRR10318498	1245.1197600125524
