Gene	sample	counts
BCL7C	CM317	276.06970750441434
BCL7C	CMCD140	2969.3170701730173
BCL7C	CMCD147	1399.1797132499166
BCL7C	CMCD152	543
BCL7C	CMCD154	2123.405254183939
BCL7C	CMCD159	1661.8384079014986
BCL7C	CMCD161	1751.3492978390086
BCL7C	CMCD174	1585.7410959556119
BCL7C	CMCD196	2028.8445647892515
BCL7C	CMCD198	4259.735976053244
BCL7C	CMCD203	343.08725170458405
BCL7C	CMCD211	241.26854619420175
BCL7C	CMCD227	191.7150769540576
BCL7C	CMCD240	340.64689061905176
BCL7C	CMCD259	561
BCL7C	CMCD270	832.2814716718606
BCL7C	CMCD275	2493.8447566584273
BCL7C	CMCD282	1694.260970870293
BCL7C	CMCD286	226.5182804644004
BCL7C	CMCD287	368
BCL7C	CMCD294	1460.1158429969423
BCL7C	CMCD327	542.7442256797382
BCL7C	CMCD335	564.6159400843457
BCL7C	CMCD337	775.1095420335402
BCL7C	CMCD357	705.0740266491161
BCL7C	CMCD398	275.590733488927
BCL7C	CMCD403	595.2149864463527
BCL7C	CMCD422	454.947419726685
BCL7C	CMCD426	38.84986096617199
BCL7C	CMCD71	1641.317143124298
BCL7C	CMCD72	20.592730208716265
BCL7C	CMCD76	662.498595457692
BCL7C	CMCD88	424.0763034393877
BCL7C	CMSA256	579
BCL7C	CMSA316	514.087430435366
BCL7C	CMUC110	533
BCL7C	CMUC192	817.6151535702322
BCL7C	CMUC199	1324.3223774563846
BCL7C	CMUC200	826.9209785316203
BCL7C	CMUC208	1854.5203541351389
BCL7C	CMUC231	454
BCL7C	CMUC234	450
BCL7C	CMUC285	542.8568669947969
BCL7C	CMUC291	548.5755227915121
BCL7C	CMUC295	732.658894155296
BCL7C	CMUC299	336.9790806119173
BCL7C	CMUC301	397.21437205583396
BCL7C	CMUC307	321.88373210254105
BCL7C	CMUC313	191.47407623787458
BCL7C	CMUC314	470.76892527639706
BCL7C	CMUC323	247.62507741974554
BCL7C	CMUC324	648.58328335059
BCL7C	CMUC331	317.8285988268948
BCL7C	CMUC333	309.87370771234055
BCL7C	CMUC334	268.9124012016126
BCL7C	CMUC346	1982.0102329496558
BCL7C	CMUC352	537.1788450005696
BCL7C	CMUC360	519.654151182367
BCL7C	CMUC363	365.09107599037185
BCL7C	CMUC365	369.401548157994
BCL7C	CMUC366	513.676765974601
BCL7C	CMUC368	627
BCL7C	CMUC377	715.8938746917851
BCL7C	CMUC379	368.992237213529
BCL7C	CMUC380	434.55253905076796
BCL7C	CMUC383	2419.9025335345577
BCL7C	CMUC394	1308.437674496848
BCL7C	CMUC419	763.0446837321865
BCL7C	CMUC427	811
BCL7C	CMUC428	371.3035887508104
BCL7C	CMUC431	469.8590673648546
BCL7C	CMUC435	329.60308709437544
BCL7C	CMUC439	501.1463345201786
BCL7C	CMUC89	376
BCL7C	CS219	848.0706129384427
BCL7C	CS256	483.09277308715207
BCL7C	CS257	394.57275488789855
BCL7C	CS259	1333.0354084250082
BCL7C	CS261	2387.0829780536633
BCL7C	CS266	1626.1407589016621
BCL7C	CS270	1266.7367814278712
BCL7C	CS277	833.1282435497211
BCL7C	CS288	1101.7384312474176
BCL7C	CS290	1079.498769304031
BCL7C	CS292	1905.5710905025514
BCL7C	CS293	2092.9360789575408
BCL7C	CS301	1859.2341844222979
BCL7C	CS306	1611.4790347864307
BCL7C	CS308	181.4960513129647
BCL7C	CS315	621.0830813535358
BCL7C	CS317	189.23109857840888
BCL7C	CS322	481.25470032859613
BCL7C	CS327	430.00535871906584
BCL7C	CS328	152.71730307029858
BCL7C	CS330	89.0821946570944
BCL7C	CS331	355.4021125915405
BCL7C	CS335	171.0365256136386
BCL7C	CS338	402.51509179573924
BCL7C	CS339	20.95578764815353
BCL7C	CS343	533.195670686711
BCL7C	CS344	204.76439972596094
BCL7C	CS350	536.4500994063
