Gene	sample	counts
BRI3BP	CM317	98.67130230195798
BRI3BP	CMCD140	418.8533596607077
BRI3BP	CMCD147	73.7503783524455
BRI3BP	CMCD152	1610
BRI3BP	CMCD154	53.51425509831135
BRI3BP	CMCD159	142.9072767706826
BRI3BP	CMCD161	687.0986649597486
BRI3BP	CMCD174	117.54292269266031
BRI3BP	CMCD196	394.46953000129156
BRI3BP	CMCD198	299.12721260412496
BRI3BP	CMCD203	161.5118348667779
BRI3BP	CMCD211	513.7978010315061
BRI3BP	CMCD227	988.8893071946476
BRI3BP	CMCD240	2791.8234296387504
BRI3BP	CMCD259	1956
BRI3BP	CMCD270	704.6247725144617
BRI3BP	CMCD275	585.8972113297801
BRI3BP	CMCD282	324.0666531252204
BRI3BP	CMCD286	2040.536576084268
BRI3BP	CMCD287	3357
BRI3BP	CMCD294	132.64133748155365
BRI3BP	CMCD327	233.17900066240605
BRI3BP	CMCD335	204.9495583224315
BRI3BP	CMCD337	238.57267722331042
BRI3BP	CMCD357	308.15102177718245
BRI3BP	CMCD398	170.98695143473574
BRI3BP	CMCD403	304.15385094212945
BRI3BP	CMCD422	412.8597729678287
BRI3BP	CMCD426	29.969892745332675
BRI3BP	CMCD71	509.20078137393915
BRI3BP	CMCD72	41.18546041743253
BRI3BP	CMCD76	1055.3873237775335
BRI3BP	CMCD88	1760.3167312578355
BRI3BP	CMSA256	1414
BRI3BP	CMSA316	91.729325822780993
BRI3BP	CMUC110	1399
BRI3BP	CMUC192	294.8277691312733
BRI3BP	CMUC199	220.72039624273074
BRI3BP	CMUC200	933.1677951671983
BRI3BP	CMUC208	478.1655183364655
BRI3BP	CMUC231	296
BRI3BP	CMUC234	1762
BRI3BP	CMUC285	390.20996398508674
BRI3BP	CMUC291	218.42364852432684
BRI3BP	CMUC295	1048.9433348015714
BRI3BP	CMUC299	1192.4646632368147
BRI3BP	CMUC301	1378.7440924255395
BRI3BP	CMUC307	435.19482782711157
BRI3BP	CMUC313	85.33083832340064
BRI3BP	CMUC314	41.073798849618534
BRI3BP	CMUC323	150.41688587067188
BRI3BP	CMUC324	210.18902701176526
BRI3BP	CMUC331	169.50858604101055
BRI3BP	CMUC333	139.08522854415284
BRI3BP	CMUC334	225.27755874248302
BRI3BP	CMUC346	49.5249879727349
BRI3BP	CMUC352	265.5715638205063
BRI3BP	CMUC360	173.21805039412234
BRI3BP	CMUC363	106.65581995224348
BRI3BP	CMUC365	157.0208215603462
BRI3BP	CMUC366	179.5862131044015
BRI3BP	CMUC368	1227
BRI3BP	CMUC377	291.17703178207245
BRI3BP	CMUC379	55.45548073729338
BRI3BP	CMUC380	270.70486039228166
BRI3BP	CMUC383	399.4309167208277
BRI3BP	CMUC394	253.8308652603585
BRI3BP	CMUC419	210.98953670983948
BRI3BP	CMUC427	1401
BRI3BP	CMUC428	449.7905262103313
BRI3BP	CMUC431	347.6355999479841
BRI3BP	CMUC435	582.8347271790785
BRI3BP	CMUC439	239.50366991125
BRI3BP	CMUC89	1174
BRI3BP	CS219	887.1660667263851
BRI3BP	CS256	1233.7908789839921
BRI3BP	CS257	67.57875912444672
BRI3BP	CS259	690.0536411756804
BRI3BP	CS261	158.5252191937951
BRI3BP	CS266	239.99023922721733
BRI3BP	CS270	514.3903157197111
BRI3BP	CS277	210.40498110032593
BRI3BP	CS288	560.9583953970367
BRI3BP	CS290	792.2371920382524
BRI3BP	CS292	349.69256714009583
BRI3BP	CS293	196.08575885378903
BRI3BP	CS301	375.3335419186768
BRI3BP	CS306	155.5481693809296
BRI3BP	CS308	181.4960513129647
BRI3BP	CS315	106.76469497647557
BRI3BP	CS317	43.83319232607211
BRI3BP	CS322	603.8480029386175
BRI3BP	CS327	1579.3654764167559
BRI3BP	CS328	54.767584549348456
BRI3BP	CS330	9.659515083299393
BRI3BP	CS331	303.46656032171654
BRI3BP	CS335	33.299146579646454
BRI3BP	CS338	120.44569242992708
BRI3BP	CS339	26.776839772640624
BRI3BP	CS343	228.80041067274743
BRI3BP	CS344	124.68327310046136
BRI3BP	CS350	63.35220221560113
BRI3BP	CS351	427.4839752577441
BRI3BP	CS361	311.0389246847741
BRI3BP	CS388	98.14817705851786
BRI3BP	CS396	438.5957221550615
BRI3BP	CS405	60.41196983431312
BRI3BP	CS415	31.104964691474574
BRI3BP	CS424	95.24316172194382
BRI3BP	IM293	523.7491452246495
BRI3BP	IM296	64.93226064926365
BRI3BP	IM297	61.29136028227416
BRI3BP	IM300	1817
BRI3BP	IM305	345.38012638075253
BRI3BP	IM309	28.754039874107967
BRI3BP	IM310	360.7623325165303
BRI3BP	IM311	87.06026559512628
BRI3BP	IM316	241.20823880096637
BRI3BP	IM320	51.22564638157881
BRI3BP	IM330	255.56002303149097
BRI3BP	IM332	49.396339784286425
BRI3BP	IM340	31.607637194408664
BRI3BP	IM348	57.95177909479437
BRI3BP	IM354	188.33367591449738
BRI3BP	IM356	72.57358615341248
BRI3BP	IM364	83.37868301950951
BRI3BP	IM372	59.719076129864355
BRI3BP	IM374	78.55949520845931
BRI3BP	IM376	43.60541998717517
BRI3BP	IM381	199.4253481970798
BRI3BP	IM382	81.43068038548223
BRI3BP	IM385	173
BRI3BP	IM390	63.69650664554681
BRI3BP	IM397	195.1473188585159
BRI3BP	IM404	277.7940099557717
BRI3BP	IM409	148.8369952169256
BRI3BP	IM412	206
BRI3BP	IM421	177.72260183056517
BRI3BP	IM425	9.468030419186155
BRI3BP	IM432	73.79222480911298
BRI3BP	IM438	879
BRI3BP	IM442	124.90661152184681
BRI3BP	IM445	205.29135562516458
BRI3BP	IM448	87.8756353313177
BRI3BP	IM449	184.5230710422325
BRI3BP	IM451	109.55727692927296
BRI3BP	IMSA256	986.986548877566
BRI3BP	IMSA276	386
BRI3BP	IMSA286	1559
BRI3BP	IMSA343	238.92633550009631
BRI3BP	IS_238	2204
BRI3BP	IS238	2843.425538307756
BRI3BP	IS243	2802
BRI3BP	IS253	2010
BRI3BP	IS283	1434
BRI3BP	IS322	159.62948351393118
BRI3BP	IS399	108.7495279641908
BRI3BP	IS418	46.90554892285467
BRI3BP	IS430	74.64916307925718
BRI3BP	IS437	53.95791369491801
BRI3BP	IS444	152.3921717280184
BRI3BP	R276CMSA	131.65316807672866
BRI3BP	R286CMSA	1555
BRI3BP	R292CMSA	406.6796587837623
BRI3BP	R292IMSA	7.5156000863207035
BRI3BP	R308CMSA	59.76159205824136
BRI3BP	R316IMSA	76.44404594695011
BRI3BP	R347CMSA	14.888967692969286
BRI3BP	R347IMSA	60.545294367764
BRI3BP	R371CMSA	236.93939996983016
BRI3BP	SRR10104064	430.46719257351594
BRI3BP	SRR10104065	859.002093881311
BRI3BP	SRR10104066	1131.819590624549
BRI3BP	SRR10104067	670.1024309401275
BRI3BP	SRR10104068	1024.748976603934
BRI3BP	SRR10104069	1461.5557549807893
BRI3BP	SRR10104070	897.6285158728566
BRI3BP	SRR10104071	13.927263490226812
BRI3BP	SRR10104072	333.8048951938632
BRI3BP	SRR10104073	543.2201003449288
BRI3BP	SRR10104074	284.9138091375669
BRI3BP	SRR10104075	263.58130592402966
BRI3BP	SRR10104076	690.5839975932607
BRI3BP	SRR10104077	384.1714444027007
BRI3BP	SRR10104078	1087.2500345520598
BRI3BP	SRR10104079	293.07741951162114
BRI3BP	SRR10104080	279.25802234693066
BRI3BP	SRR10104081	1015.8440725472525
BRI3BP	SRR10104082	219.6970424045203
BRI3BP	SRR10104083	224.3349550361015
BRI3BP	SRR10104084	255.21536975055267
BRI3BP	SRR10104085	840.2626428915906
BRI3BP	SRR10104086	851.5959268134216
BRI3BP	SRR10104087	1734.5328137249148
BRI3BP	SRR10104088	1857.7779380378936
BRI3BP	SRR10104089	469.78468372388164
BRI3BP	SRR10104090	737.9122364413864
BRI3BP	SRR10104091	533.5482025602553
BRI3BP	SRR10104092	1303.3885107051824
BRI3BP	SRR10104093	402.3417837573578
BRI3BP	SRR10104094	167.51163679871817
BRI3BP	SRR10104095	484.8683384612807
BRI3BP	SRR10104096	277.2638951886786
BRI3BP	SRR10104097	466.71008727746255
BRI3BP	SRR10104098	965.9165477468283
BRI3BP	SRR10104099	530.023415768206
BRI3BP	SRR10104100	764.5946283657042
BRI3BP	SRR10104101	2101.654171355567
BRI3BP	SRR10104102	1608.2620182166393
BRI3BP	SRR10104103	600.7383497765991
BRI3BP	SRR10104104	1065.2569904861757
BRI3BP	SRR10104105	345.86726042466256
BRI3BP	SRR10104106	131.1328808914453
BRI3BP	SRR10104107	1352.8313133750287
BRI3BP	SRR10104108	1918.0629963904796
BRI3BP	SRR10104109	233.74486845175824
BRI3BP	SRR10104110	120.17552615067345
BRI3BP	SRR10104111	680.5560352910428
BRI3BP	SRR10104112	149.51426406729635
BRI3BP	SRR10104113	551.066565373441
BRI3BP	SRR10104114	48.08505085942468
BRI3BP	SRR10104115	276.9017249629132
BRI3BP	SRR10104116	524.4115771051913
BRI3BP	SRR10104117	431.1221834523393
BRI3BP	SRR10104118	189.7965732247452
BRI3BP	SRR10104119	70.19931071749969
BRI3BP	SRR10104120	597.7550591549796
BRI3BP	SRR10104121	194.71944897108227
BRI3BP	SRR10104122	273.46422631243615
BRI3BP	SRR10104123	336.5169526840301
BRI3BP	SRR10104124	155.1815025588425
BRI3BP	SRR10104125	380.53364938849927
BRI3BP	SRR10104126	434.49207199416196
BRI3BP	SRR10104127	152.97313339643884
BRI3BP	SRR10104128	850.7983295298097
BRI3BP	SRR10104129	934.9554424650173
BRI3BP	SRR10104130	547.6432790500367
BRI3BP	SRR10104131	1478.5630659159528
BRI3BP	SRR10104132	2276.302367929306
BRI3BP	SRR10104133	236.24499076668937
BRI3BP	SRR10104134	759.1887991780796
