Gene	sample	counts
BROX	CM317	632.9659073200071
BROX	CMCD140	1198.0215371500242
BROX	CMCD147	631.5525357505192
BROX	CMCD152	1899
BROX	CMCD154	753.2383830818919
BROX	CMCD159	427.6391994274215
BROX	CMCD161	1338.0870351186927
BROX	CMCD174	358.070570054493
BROX	CMCD196	376.30980739253647
BROX	CMCD198	530.4111398753556
BROX	CMCD203	1224.8816793312783
BROX	CMCD211	1520.5529306657832
BROX	CMCD227	1562.3959476555037
BROX	CMCD240	2045.7326855111532
BROX	CMCD259	1750
BROX	CMCD270	927.772703325033
BROX	CMCD275	915.6534731281246
BROX	CMCD282	454.7060226663249
BROX	CMCD286	2198.7249620284156
BROX	CMCD287	2274
BROX	CMCD294	401.1074045442182
BROX	CMCD327	1105.5900893476148
BROX	CMCD335	804.7284128248414
BROX	CMCD337	858.6603108501425
BROX	CMCD357	585.6910149010024
BROX	CMCD398	701.0465008824166
BROX	CMCD403	1040.3673113351647
BROX	CMCD422	963.0054413157363
BROX	CMCD426	446.2184030971754
BROX	CMCD71	853.3641553460483
BROX	CMCD72	392.40591453276
BROX	CMCD76	1713.8768505789005
BROX	CMCD88	2177.3917749706297
BROX	CMSA256	2061
BROX	CMSA316	805.4036410154067
BROX	CMUC110	1564
BROX	CMUC192	656.5236920861344
BROX	CMUC199	476.34541328663755
BROX	CMUC200	1244.8919458621485
BROX	CMUC208	1083.6413528757216
BROX	CMUC231	1147
BROX	CMUC234	1577
BROX	CMUC285	640.9148113122927
BROX	CMUC291	960.2588050332157
BROX	CMUC295	1372.234076348239
BROX	CMUC299	1497.3504980761684
BROX	CMUC301	1488.803490224385
BROX	CMUC307	1086.9843165082693
BROX	CMUC313	605.6408281002338
BROX	CMUC314	508.68320113758335
BROX	CMUC323	627.2486465219174
BROX	CMUC324	1045.9406344156891
BROX	CMUC331	738.5731248929745
BROX	CMUC333	743.492361408817
BROX	CMUC334	812.8257862735536
BROX	CMUC346	961.189052287161
BROX	CMUC352	908.3754626133227
BROX	CMUC360	822.0347940669043
BROX	CMUC363	646.088140095321
BROX	CMUC365	829.3920318315724
BROX	CMUC366	1039.3928311517318
BROX	CMUC368	1251
BROX	CMUC377	1006.0668477435745
BROX	CMUC379	444.7102974509873
BROX	CMUC380	606.5417172699243
BROX	CMUC383	670.1112587626069
BROX	CMUC394	624.5045097675487
BROX	CMUC419	650.3803680133402
BROX	CMUC427	1645
BROX	CMUC428	924.7371221192269
BROX	CMUC431	986.8042246362085
BROX	CMUC435	1045.082959079727
BROX	CMUC439	703.4162406216964
BROX	CMUC89	1533
BROX	CS219	1064.5992800716622
BROX	CS256	1354.0629386737396
BROX	CS257	340.0737555939899
BROX	CS259	980.497118593601
BROX	CS261	504.2124713712322
BROX	CS266	636.1810220893908
BROX	CS270	762.4722593246898
BROX	CS277	401.939560308246
BROX	CS288	1009.9268953101327
BROX	CS290	986.76871629192
BROX	CS292	650.7322553737436
BROX	CS293	616.7049514209841
BROX	CS301	543.5157847456248
BROX	CS306	482.1993250808818
BROX	CS308	576.2755979541591
BROX	CS315	592.3387403983309
BROX	CS317	462.92127505339573
BROX	CS322	748.730996932279
