Gene	sample	counts
C4orf50	CM317	1.0496947053399786
C4orf50	CMCD140	18.167133672030698
C4orf50	CMCD147	1.0387377232738804
C4orf50	CMCD152	25
C4orf50	CMCD154	11.106732190215563
C4orf50	CMCD159	34.64418830804427
C4orf50	CMCD161	48.14705973440574
C4orf50	CMCD174	1.0883603953024104
C4orf50	CMCD196	1.0088734782641728
C4orf50	CMCD198	3.0837856969497417
C4orf50	CMCD203	93.29565616528163
C4orf50	CMCD211	50.498067808088734
C4orf50	CMCD227	31.133217625017902
C4orf50	CMCD240	11.108050781056036
C4orf50	CMCD259	26
C4orf50	CMCD270	5.02585429753539
C4orf50	CMCD275	11.09271828679446
C4orf50	CMCD282	44.5591648047178
C4orf50	CMCD286	61.77771285392738
C4orf50	CMCD287	10
C4orf50	CMCD294	1.061130699852429
C4orf50	CMCD327	26.13212938457999
C4orf50	CMCD335	7.032582883612846
C4orf50	CMCD337	20.13271537749455
C4orf50	CMCD357	1.0203676217787498
C4orf50	CMCD398	17.098695143473574
C4orf50	CMCD403	23.164035005526415
C4orf50	CMCD422	11.02295510350999
C4orf50	CMCD426	1.109996027604914
C4orf50	CMCD71	9.056930894002871
C4orf50	CMCD72	1.1440405671509037
C4orf50	CMCD76	2.004534328162457
C4orf50	CMCD88	12.002159531303425
C4orf50	CMSA256	8
C4orf50	CMSA316	4.032058277924439
C4orf50	CMUC110	14
C4orf50	CMUC192	20.263076916238717
C4orf50	CMUC199	7.186245459065653
C4orf50	CMUC200	10.023284588262065
C4orf50	CMUC208	8.01954747734114
C4orf50	CMUC231	49
C4orf50	CMUC234	33
C4orf50	CMUC285	17.18541292162299
C4orf50	CMUC291	39.25586309884215
C4orf50	CMUC295	8.00720102901963
C4orf50	CMUC299	11.032053234318722
C4orf50	CMUC301	29.01565941969568
C4orf50	CMUC307	33.09085096381263
C4orf50	CMUC313	1.0406199795536664
C4orf50	CMUC314	1.0531743294773983
C4orf50	CMUC323	4.092976486276785
C4orf50	CMUC324	15.013501929411804
C4orf50	CMUC331	8.071837430524312
C4orf50	CMUC333	1.0226855040011238
C4orf50	CMUC334	6.088582668715757
C4orf50	CMUC346	9.096426362339063
C4orf50	CMUC352	16.0952462921519
C4orf50	CMUC360	24.03024976565859
C4orf50	CMUC363	28.715028448680933
C4orf50	CMUC365	4.026174911803749
C4orf50	CMUC366	36.117897607589136
C4orf50	CMUC368	11
C4orf50	CMUC377	5.0202936514150425
C4orf50	CMUC379	5.332257763201286
C4orf50	CMUC380	23.40681123692661
C4orf50	CMUC383	1.0137840525909332
C4orf50	CMUC394	1.007265338334756
C4orf50	CMUC419	13.314873675863657
C4orf50	CMUC427	39
C4orf50	CMUC428	6.037456727655453
C4orf50	CMUC431	12.021980401659391
