Gene	sample	counts
CALM1	CM317	5123.559856764436
CALM1	CMCD140	6142.5097515543785
CALM1	CMCD147	5460.644211250788
CALM1	CMCD152	12826
CALM1	CMCD154	8648.105564472391
CALM1	CMCD159	4072.8573879644546
CALM1	CMCD161	7584.16497191337
CALM1	CMCD174	4333.851094094198
CALM1	CMCD196	6040.125514367603
CALM1	CMCD198	4621.566831162013
CALM1	CMCD203	14014.412006763272
CALM1	CMCD211	7315.807379117871
CALM1	CMCD227	7086.084190494206
CALM1	CMCD240	10971.9771589881
CALM1	CMCD259	9094
CALM1	CMCD270	6386.855641307974
CALM1	CMCD275	6685.883840131571
CALM1	CMCD282	4876.190421243551
CALM1	CMCD286	8515.964114318656
CALM1	CMCD287	10229
CALM1	CMCD294	4309.251772100714
CALM1	CMCD327	5926.967960802623
CALM1	CMCD335	6314.2547747866765
CALM1	CMCD337	9829.798283061713
CALM1	CMCD357	4470.2305510127035
CALM1	CMCD398	5484.6579186683175
CALM1	CMCD403	5680.224236137781
CALM1	CMCD422	6921.413718176681
CALM1	CMCD426	4669.753288133873
CALM1	CMCD71	6114.4346791068265
CALM1	CMCD72	4457.182049619921
CALM1	CMCD76	9468.417899075364
CALM1	CMCD88	9517.712508323615
CALM1	CMSA256	10792
CALM1	CMSA316	7648.814553222661
CALM1	CMUC110	8544
CALM1	CMUC192	4819.572844527379
CALM1	CMUC199	4561.212653518385
CALM1	CMUC200	7033.338795583491
CALM1	CMUC208	6340.4547242728395
CALM1	CMUC231	11696
CALM1	CMUC234	7887
CALM1	CMUC285	5049.478679029815
CALM1	CMUC291	5872.274495349874
CALM1	CMUC295	8446.596185487082
CALM1	CMUC299	8512.733441172482
CALM1	CMUC301	8539.608729210435
CALM1	CMUC307	6708.417968118379
CALM1	CMUC313	5407.06141376085
CALM1	CMUC314	4650.817838972191
CALM1	CMUC323	4746.829479959502
CALM1	CMUC324	6691.017359874528
CALM1	CMUC331	5539.29843669731
CALM1	CMUC333	6047.139385158645
CALM1	CMUC334	6181.940936302733
CALM1	CMUC346	6343.241316671107
CALM1	CMUC352	6408.925882956233
CALM1	CMUC360	5198.544032637475
CALM1	CMUC363	4909.24432799413
CALM1	CMUC365	5539.010134914008
CALM1	CMUC366	7742.272662160149
CALM1	CMUC368	7093
CALM1	CMUC377	7117.772338976248
CALM1	CMUC379	4536.684904931654
CALM1	CMUC380	4871.669799615986
CALM1	CMUC383	4650.227449234611
CALM1	CMUC394	4654.5731284449075
CALM1	CMUC419	5294.198617733788
CALM1	CMUC427	8365
CALM1	CMUC428	5708.415335998231
CALM1	CMUC431	6910.635067553874
CALM1	CMUC435	5833.371709094053
CALM1	CMUC439	6292.506083844732
CALM1	CMUC89	8452
CALM1	CS219	6996.08133297564
CALM1	CS256	9287.007542376663
CALM1	CS257	4178.983265856915
CALM1	CS259	6038.219742595322
CALM1	CS261	4454.047287670824
CALM1	CS266	5309.7840429021835
