Gene	sample	counts
CDC37L1-AS1	CM317	2.099389410679957
CDC37L1-AS1	CMCD140	37.3435525480631
CDC37L1-AS1	CMCD147	27.007180805120885
CDC37L1-AS1	CMCD152	27
CDC37L1-AS1	CMCD154	26.25227608596406
CDC37L1-AS1	CMCD159	1.0826308846263835
CDC37L1-AS1	CMCD161	27.082721100603226
CDC37L1-AS1	CMCD174	35.91589304497954
CDC37L1-AS1	CMCD196	22.1952165218118
CDC37L1-AS1	CMCD198	7.195499959549397
CDC37L1-AS1	CMCD203	22.06994016813114
CDC37L1-AS1	CMCD211	22.443585692483882
CDC37L1-AS1	CMCD227	19.66308481580078
CDC37L1-AS1	CMCD240	17.58774707000539
CDC37L1-AS1	CMCD259	42
CDC37L1-AS1	CMCD270	9.046537735563701
CDC37L1-AS1	CMCD275	20.168578703262657
CDC37L1-AS1	CMCD282	18.22874923829365
CDC37L1-AS1	CMCD286	23.400648808305828
CDC37L1-AS1	CMCD287	29
CDC37L1-AS1	CMCD294	1.061130699852429
CDC37L1-AS1	CMCD327	31.157538881614602
CDC37L1-AS1	CMCD335	13.060511069566713
CDC37L1-AS1	CMCD337	11.072993457622003
CDC37L1-AS1	CMCD357	25.509190544468748
CDC37L1-AS1	CMCD398	19.110306336823406
CDC37L1-AS1	CMCD403	15.10697935143027
CDC37L1-AS1	CMCD422	21.04382337942816
CDC37L1-AS1	CMCD426	3.3299880828147415
CDC37L1-AS1	CMCD71	13.082233513559702
CDC37L1-AS1	CMCD72	1.1440405671509037
CDC37L1-AS1	CMCD76	17.038541789380883
CDC37L1-AS1	CMCD88	15.00269941412928
CDC37L1-AS1	CMSA256	24
CDC37L1-AS1	CMSA316	11.088160264292208
CDC37L1-AS1	CMUC110	22
CDC37L1-AS1	CMUC192	18.236769224614843
CDC37L1-AS1	CMUC199	8.21285195321789
CDC37L1-AS1	CMUC200	18.04191225887172
CDC37L1-AS1	CMUC208	27.06597273602635
CDC37L1-AS1	CMUC231	16
CDC37L1-AS1	CMUC234	18
CDC37L1-AS1	CMUC285	11.119973066932525
CDC37L1-AS1	CMUC291	22.144333030116083
CDC37L1-AS1	CMUC295	17.015302186666712
CDC37L1-AS1	CMUC299	10.02913930392611
CDC37L1-AS1	CMUC301	20.010799599790122
CDC37L1-AS1	CMUC307	20.055061190189473
CDC37L1-AS1	CMUC313	5.203099897768332
CDC37L1-AS1	CMUC314	8.425394635819186
CDC37L1-AS1	CMUC323	23.534614796091518
CDC37L1-AS1	CMUC324	13.011701672156898
CDC37L1-AS1	CMUC331	7.062857751708774
CDC37L1-AS1	CMUC333	4.090742016004495
