Gene	sample	counts
CEP44	CM317	35.68961998155927
CEP44	CMCD140	133.2256469282251
CEP44	CMCD147	25.968443081847006
CEP44	CMCD152	340
CEP44	CMCD154	187.80474430728137
CEP44	CMCD159	28.14840300028597
CEP44	CMCD161	135.41360550301613
CEP44	CMCD174	1.0883603953024104
CEP44	CMCD196	27.239583913132666
CEP44	CMCD198	25.69821414124785
CEP44	CMCD203	503.5959074728105
CEP44	CMCD211	547.4631795702319
CEP44	CMCD227	372.77931629955646
CEP44	CMCD240	414.70056249275865
CEP44	CMCD259	503
CEP44	CMCD270	114.58947798380689
CEP44	CMCD275	97.81760671082388
CEP44	CMCD282	43.54645651370149
CEP44	CMCD286	435.2520678344884
CEP44	CMCD287	493
CEP44	CMCD294	1.061130699852429
CEP44	CMCD327	146.7419573134107
CEP44	CMCD335	131.60976539332611
CEP44	CMCD337	187.23425301069932
CEP44	CMCD357	64.28316017206124
CEP44	CMCD398	148.85922830788758
CEP44	CMCD403	123.87723068172822
CEP44	CMCD422	234.4883176564852
CEP44	CMCD426	27.749900690122846
CEP44	CMCD71	64.4048419129093
CEP44	CMCD72	6.864243402905422
CEP44	CMCD76	303.6869507166122
CEP44	CMCD88	294.0529085169339
CEP44	CMSA256	387
CEP44	CMSA316	186.4826953540053
CEP44	CMUC110	441
CEP44	CMUC192	52.68399998222066
CEP44	CMUC199	27.718375342110374
CEP44	CMUC200	148.34461190627857
CEP44	CMUC208	163.39827985082573
CEP44	CMUC231	533
CEP44	CMUC234	389
CEP44	CMUC285	82.89434468076973
CEP44	CMUC291	89.58389271274234
CEP44	CMUC295	216.19442778353
CEP44	CMUC299	182.5303353314552
CEP44	CMUC301	206.11123587783828
CEP44	CMUC307	202.5561180209137
CEP44	CMUC313	81.16835840518597
CEP44	CMUC314	16.850789271638373
CEP44	CMUC323	71.62708850984374
CEP44	CMUC324	226.2034290698045
CEP44	CMUC331	108.96980531207822
CEP44	CMUC333	73.63335628808092
CEP44	CMUC334	107.56496048064504
CEP44	CMUC346	141.4999656363854
CEP44	CMUC352	180.06556789344936
CEP44	CMUC360	98.12351987643925
CEP44	CMUC363	23.58734479713077
CEP44	CMUC365	112.73289753050497
CEP44	CMUC366	250.81873338603563
CEP44	CMUC368	406
CEP44	CMUC377	156.63316192414933
CEP44	CMUC379	26.661288816006433
CEP44	CMUC380	51.90205969927205
CEP44	CMUC383	135.84706304718506
CEP44	CMUC394	75.54490037510669
CEP44	CMUC419	31.750852611674876
CEP44	CMUC427	521
CEP44	CMUC428	192.19237249703193
CEP44	CMUC431	204.37366682820968
CEP44	CMUC435	221.0752413437884
CEP44	CMUC439	127.80237848205357
CEP44	CMUC89	343
CEP44	CS219	164.4013954159629
CEP44	CS256	167.37861640156513
CEP44	CS257	18.52965975992894
CEP44	CS259	133.20338791925326
CEP44	CS261	24.545840391297308
CEP44	CS266	70.34196667004646
CEP44	CS270	68.85539659240227
CEP44	CS277	46.23248463639449
CEP44	CS288	98.87396177861439
CEP44	CS290	62.491992247292174
CEP44	CS292	45.61207397479511
CEP44	CS293	21.335756144712796
CEP44	CS301	19.484528132390327
CEP44	CS306	4.147951183491457
CEP44	CS308	65.62569087022453
CEP44	CS315	37.98359340509227
CEP44	CS317	11.760124770409591
CEP44	CS322	142.85665841333065
CEP44	CS327	331.54618779741054
CEP44	CS328	25.277346715083905
CEP44	CS330	35.418221972097776
CEP44	CS331	46.843831459056915
CEP44	CS335	29.76741891210819
CEP44	CS338	38.08966341801113
CEP44	CS339	9.313683399179347
CEP44	CS343	114.9041709986485
CEP44	CS344	105.42325530445514
CEP44	CS350	21.458003976251995
CEP44	CS351	94.77239074110364
CEP44	CS361	54.227180948332325
CEP44	CS388	52.6900739998359
CEP44	CS396	181.9060598799794
CEP44	CS405	56.31624306588511
CEP44	CS415	13.9436048616955
CEP44	CS424	10.352517578472154
CEP44	IM293	74.39047360196557
CEP44	IM296	1.064463289332191
CEP44	IM297	14.228351494099359
CEP44	IM300	294
CEP44	IM305	84.83020647948308
CEP44	IM309	1.0649644397817766
CEP44	IM310	67.89628168148182
CEP44	IM311	85.03560825570474
CEP44	IM316	103.51853581874806
CEP44	IM320	36.589747415413434
CEP44	IM330	100.00174814275734
CEP44	IM332	104.96722204160865
CEP44	IM340	18.9645823166452
CEP44	IM348	40.35927472673179
CEP44	IM354	144.01986981696857
CEP44	IM356	68.54172025600067
CEP44	IM364	43.72296792486474
CEP44	IM372	30.34903868894746
CEP44	IM374	36.66109776394768
