Gene	sample	counts
CHID1	CM317	201.54138342527588
CHID1	CMCD140	6205.085434202485
CHID1	CMCD147	813.3316373234483
CHID1	CMCD152	1832
CHID1	CMCD154	2570.7036505717115
CHID1	CMCD159	4902.152645588265
CHID1	CMCD161	3918.9700496317337
CHID1	CMCD174	2173.4557094189136
CHID1	CMCD196	6513.287175673499
CHID1	CMCD198	3040.6126971924455
CHID1	CMCD203	1128.5764858703424
CHID1	CMCD211	744.6461110113403
CHID1	CMCD227	894.6703591189355
CHID1	CMCD240	1476.4450829820314
CHID1	CMCD259	1414
CHID1	CMCD270	2025.4192819067623
CHID1	CMCD275	4031.6988827822047
CHID1	CMCD282	6872.238462836705
CHID1	CMCD286	1241.1704127925411
CHID1	CMCD287	1508
CHID1	CMCD294	4982.008635807155
CHID1	CMCD327	970.9091148270873
CHID1	CMCD335	1166.4041039820734
CHID1	CMCD337	1439.4891494908602
CHID1	CMCD357	788.7441716349737
CHID1	CMCD398	466.6937968571611
CHID1	CMCD403	1044.3958391622127
CHID1	CMCD422	814.6965908321474
CHID1	CMCD426	78.80971795994888
CHID1	CMCD71	4496.2630260449805
CHID1	CMCD72	85.80304253631778
CHID1	CMCD76	1287.9133058443786
CHID1	CMCD88	1995.3590220791943
CHID1	CMSA256	1968
CHID1	CMSA316	1028.174860870732
CHID1	CMUC110	1835
CHID1	CMUC192	3792.234844874076
CHID1	CMUC199	4541.707130129493
CHID1	CMUC200	2257.243689276617
CHID1	CMUC208	4906.960612698111
CHID1	CMUC231	2265
CHID1	CMUC234	1596
CHID1	CMUC285	1427.4001791371568
CHID1	CMUC291	2559.683586162964
CHID1	CMUC295	2076.867766901966
CHID1	CMUC299	1834.3295786880856
CHID1	CMUC301	1657.8947468426118
CHID1	CMUC307	2454.7394896791916
CHID1	CMUC313	197.7177961151966
CHID1	CMUC314	366.5046666581346
CHID1	CMUC323	292.64781876879016
CHID1	CMUC324	1289.1593656721602
CHID1	CMUC331	328.92737529386574
CHID1	CMUC333	257.7167470082832
CHID1	CMUC334	585.518699974832
CHID1	CMUC346	2933.092144834218
CHID1	CMUC352	763.5182459839556
CHID1	CMUC360	436.5495374094644
CHID1	CMUC363	1291.150743460332
CHID1	CMUC365	638.1487235208942
CHID1	CMUC366	1028.3568068827462
CHID1	CMUC368	1094
CHID1	CMUC377	1284.191116031968
CHID1	CMUC379	303.9386925024733
CHID1	CMUC380	2891.2500314829786
CHID1	CMUC383	1947.479165027183
CHID1	CMUC394	1486.7236393821
CHID1	CMUC419	1367.3351044059987
CHID1	CMUC427	1590
CHID1	CMUC428	674.1826679215256
CHID1	CMUC431	1457.6651237012013
CHID1	CMUC435	499.42906794483105
CHID1	CMUC439	701.4036047400892
CHID1	CMUC89	2351
CHID1	CS219	2502.1090424283134
CHID1	CS256	1977.4731147322636
CHID1	CS257	1171.7284848190359
CHID1	CS259	2370.6196932697176
CHID1	CS261	5318.265418114416
CHID1	CS266	3250.212636430676
CHID1	CS270	3324.2980443067154
CHID1	CS277	2003.0931608788876
CHID1	CS288	2586.865693881299
CHID1	CS290	2804.0761682575294
CHID1	CS292	3170.5459420702023
CHID1	CS293	4048.713725556214
CHID1	CS301	3373.8998713454826
CHID1	CS306	3835.817856933724
CHID1	CS308	246.09634076334197
CHID1	CS315	577.9665699207284
CHID1	CS317	99.42650942255382
CHID1	CS322	545.0842711090204
CHID1	CS327	313.46185028118816
CHID1	CS328	290.6894872234649
CHID1	CS330	185.67734549008833
CHID1	CS331	646.6485429674161
CHID1	CS335	184.6589037598576
CHID1	CS338	440.60475521375037
CHID1	CS339	24.448418922845786
CHID1	CS343	745.8691801666656
CHID1	CS344	493.66466666605436
CHID1	CS350	968.6756080708044
CHID1	CS351	1696.8290810348662
CHID1	CS361	205.65402586065656
CHID1	CS388	473.177527292644
CHID1	CS396	198.07548742486648
CHID1	CS405	380.90258946380476
CHID1	CS415	365.75148137216655
CHID1	CS424	467.93379454694144
CHID1	IM293	2642.8723662103716
CHID1	IM296	5215.870117727735
CHID1	IM297	2433.04810549099
CHID1	IM300	2808
CHID1	IM305	3060.9566171346814
CHID1	IM309	545.2617931682696
CHID1	IM310	462.1000663694882
CHID1	IM311	1286.6697392023896
CHID1	IM316	661.3125880459828
CHID1	IM320	307.35387828947285
CHID1	IM330	482.83672335593945
CHID1	IM332	1056.875853301295
CHID1	IM340	519.4188378947823
CHID1	IM348	264.92241871906
CHID1	IM354	693.9139182090304
CHID1	IM356	526.1584996122405
CHID1	IM364	484.0030867961772
CHID1	IM372	493.41662900740386
CHID1	IM374	919.6698239070303
CHID1	IM376	863.9957634668197
CHID1	IM381	1140.8749615132433
CHID1	IM382	823.5837168101305
CHID1	IM385	1490
CHID1	IM390	709.9078401947233
CHID1	IM397	470.173592068445
CHID1	IM404	2014.7587220257951
CHID1	IM409	1229.916521285811
CHID1	IM412	1023
CHID1	IM421	450.9076297872625
CHID1	IM425	143.07245966770188
CHID1	IM432	271.26437570673926
CHID1	IM438	1231
CHID1	IM442	248.7723346143449
CHID1	IM445	674.528739911255
CHID1	IM448	976.8500857760432
CHID1	IM449	688.6844673324852
CHID1	IM451	1136.7823872202541
CHID1	IMSA256	1543.233291581708
CHID1	IMSA276	1521
