Gene	sample	counts
CTA-242H14.1	CM317	1.0496947053399786
CTA-242H14.1	CMCD140	1.0092852040017053
CTA-242H14.1	CMCD147	4.1549508930955215
CTA-242H14.1	CMCD152	1
CTA-242H14.1	CMCD154	1.0097029263832331
CTA-242H14.1	CMCD159	1.0826308846263835
CTA-242H14.1	CMCD161	1.0030637444667863
CTA-242H14.1	CMCD174	1.0883603953024104
CTA-242H14.1	CMCD196	2.0177469565283457
CTA-242H14.1	CMCD198	1.027928565649914
CTA-242H14.1	CMCD203	1.0031790985514153
CTA-242H14.1	CMCD211	0.8015566318744244
CTA-242H14.1	CMCD227	0.8192952006583658
CTA-242H14.1	CMCD240	0.9256708984213363
CTA-242H14.1	CMCD259	1
CTA-242H14.1	CMCD270	1.005170859507078
CTA-242H14.1	CMCD275	1.0084289351631328
CTA-242H14.1	CMCD282	1.0127082910163139
CTA-242H14.1	CMCD286	0.9360259523322331
CTA-242H14.1	CMCD287	1
CTA-242H14.1	CMCD294	1.061130699852429
CTA-242H14.1	CMCD327	1.0050818994069226
CTA-242H14.1	CMCD335	1.0046546976589779
CTA-242H14.1	CMCD337	1.0066357688747274
CTA-242H14.1	CMCD357	1.0203676217787498
CTA-242H14.1	CMCD398	1.0058055966749162
CTA-242H14.1	CMCD403	1.007131956762018
CTA-242H14.1	CMCD422	1.002086827591817
CTA-242H14.1	CMCD426	1.109996027604914
CTA-242H14.1	CMCD71	1.0063256548892079
CTA-242H14.1	CMCD72	1.1440405671509037
CTA-242H14.1	CMCD76	1.0022671640812284
CTA-242H14.1	CMCD88	1.000179960941952
CTA-242H14.1	CMSA256	1
CTA-242H14.1	CMSA316	1.0080145694811098
CTA-242H14.1	CMUC110	1
CTA-242H14.1	CMUC192	1.0131538458119358
CTA-242H14.1	CMUC199	1.0266064941522361
CTA-242H14.1	CMUC200	1.0023284588262065
CTA-242H14.1	CMUC208	1.0024434346676425
CTA-242H14.1	CMUC231	1
CTA-242H14.1	CMUC234	1
CTA-242H14.1	CMUC285	1.0109066424484112
CTA-242H14.1	CMUC291	1.0065605922780039
CTA-242H14.1	CMUC295	1.0009001286274537
CTA-242H14.1	CMUC299	1.0029139303926111
CTA-242H14.1	CMUC301	1.0005399799895063
CTA-242H14.1	CMUC307	1.0027530595094736
CTA-242H14.1	CMUC313	1.0406199795536664
CTA-242H14.1	CMUC314	1.0531743294773983
CTA-242H14.1	CMUC323	1.0232441215691963
CTA-242H14.1	CMUC324	1.0009001286274537
CTA-242H14.1	CMUC331	1.008979678815539
CTA-242H14.1	CMUC333	1.0226855040011238
CTA-242H14.1	CMUC334	1.0147637781192929
CTA-242H14.1	CMUC346	1.0107140402598958
CTA-242H14.1	CMUC352	1.0059528932594937
CTA-242H14.1	CMUC360	1.0012604069024411
CTA-242H14.1	CMUC363	1.0255367303100333
CTA-242H14.1	CMUC365	1.0065437279509373
CTA-242H14.1	CMUC366	1.0032749335441427
CTA-242H14.1	CMUC368	1
CTA-242H14.1	CMUC377	1.0040587302830086
CTA-242H14.1	CMUC379	1.0664515526402574
CTA-242H14.1	CMUC380	1.0176874450837656
CTA-242H14.1	CMUC383	1.0137840525909332
CTA-242H14.1	CMUC394	1.007265338334756
CTA-242H14.1	CMUC419	1.024221051989512
CTA-242H14.1	CMUC427	1
CTA-242H14.1	CMUC428	1.0062427879425755
CTA-242H14.1	CMUC431	1.0018317001382826
CTA-242H14.1	CMUC435	1.0048874606535836
CTA-242H14.1	CMUC439	1.0063179408035714
CTA-242H14.1	CMUC89	1
CTA-242H14.1	CS219	1.002447533024164
CTA-242H14.1	CS256	1.0022671640812284
CTA-242H14.1	CS257	1.089979985878173
CTA-242H14.1	CS259	1.0015292324755884
CTA-242H14.1	CS261	1.0227433496373879
CTA-242H14.1	CS266	1.0344406863242126
CTA-242H14.1	CS270	1.0125793616529746
CTA-242H14.1	CS277	2.830560283860887
CTA-242H14.1	CS288	1.0089179773327999
CTA-242H14.1	CS290	1.007935358827293
CTA-242H14.1	CS292	1.0136016438843358
CTA-242H14.1	CS293	1.0159883878434666
CTA-242H14.1	CS301	2.0510029613042446
CTA-242H14.1	CS306	1.0369877958728642
CTA-242H14.1	CS308	1.0254014198472583
CTA-242H14.1	CS315	1.0265836055430344
CTA-242H14.1	CS317	1.0691022518554174
CTA-242H14.1	CS322	1.0131677901654654
CTA-242H14.1	CS327	1.0046854175679107
CTA-242H14.1	CS328	1.0532227797951625
CTA-242H14.1	CS330	1.0732794536999326
CTA-242H14.1	CS331	1.0183441621534113
CTA-242H14.1	CS335	2.0181300957361485
CTA-242H14.1	CS338	1.0294503626489493
CTA-242H14.1	CS339	1.1642104248974183
CTA-242H14.1	CS343	1.0079313245495483
CTA-242H14.1	CS344	1.0136851471582224
CTA-242H14.1	CS350	1.021809713154857
CTA-242H14.1	CS351	1.0082169227776983
CTA-242H14.1	CS361	1.0231543575157043
CTA-242H14.1	CS388	1.0331387058791355
CTA-242H14.1	CS396	1.010589221555441
CTA-242H14.1	CS405	5.1196584605350095
CTA-242H14.1	CS415	1.0725849893611923
CTA-242H14.1	CS424	1.0352517578472156
CTA-242H14.1	IM293	1.005276670296832
CTA-242H14.1	IM296	1.064463289332191
CTA-242H14.1	IM297	1.0944885764691814
CTA-242H14.1	IM300	1
CTA-242H14.1	IM305	1.0098834104700367
CTA-242H14.1	IM309	1.0649644397817766
CTA-242H14.1	IM310	1.0133773385295795
CTA-242H14.1	IM311	1.0123286697107707
CTA-242H14.1	IM316	1.00503432833736
CTA-242H14.1	IM320	1.0454213547260982
CTA-242H14.1	IM330	1.01011866810866
CTA-242H14.1	IM332	1.0290904121726339
CTA-242H14.1	IM340	1.0535879064802887
CTA-242H14.1	IM348	1.034853198121328
CTA-242H14.1	IM354	1.007131956762018
CTA-242H14.1	IM356	1.007966474352951
CTA-242H14.1	IM364	1.016813207554994
CTA-242H14.1	IM372	2.9370037440916894
CTA-242H14.1	IM374	1.0474599361127908
CTA-242H14.1	IM376	1.014079534585469
CTA-242H14.1	IM381	1.0123114121679178
CTA-242H14.1	IM382	1.0307681061453446
CTA-242H14.1	IM385	1
CTA-242H14.1	IM390	1.0273630104120455
CTA-242H14.1	IM397	1.0111260044482688
CTA-242H14.1	IM404	1.0028664619341938
CTA-242H14.1	IM409	1.0056553730873352
CTA-242H14.1	IM412	1
CTA-242H14.1	IM421	2.0311154494921735
CTA-242H14.1	IM425	1.0520033799095727
CTA-242H14.1	IM432	1.0393271099875068
CTA-242H14.1	IM438	1
CTA-242H14.1	IM442	1.0408884293487235
CTA-242H14.1	IM445	1.0112874661338156
CTA-242H14.1	IM448	1.021809713154857
CTA-242H14.1	IM449	1.0083227925805054
CTA-242H14.1	IM451	1.005112632378651
CTA-242H14.1	IMSA256	1.0040554922457436
CTA-242H14.1	IMSA276	1
CTA-242H14.1	IMSA286	1
CTA-242H14.1	IMSA343	1.0123997266953233
CTA-242H14.1	IS_238	1
CTA-242H14.1	IS238	0.5115914966368759
CTA-242H14.1	IS243	1
CTA-242H14.1	IS253	1
CTA-242H14.1	IS283	1
CTA-242H14.1	IS322	1.0103131867970327
CTA-242H14.1	IS399	1.0069400737425076
CTA-242H14.1	IS418	1.0908267191361551
CTA-242H14.1	IS430	1.0818719286848866
CTA-242H14.1	IS437	1.0791582738983603
CTA-242H14.1	IS444	1.0366814403266558
CTA-242H14.1	R276CMSA	1.061719097392973
CTA-242H14.1	R286CMSA	1
CTA-242H14.1	R292CMSA	1.0041473056389194
CTA-242H14.1	R292IMSA	1.073657155188672
CTA-242H14.1	R308CMSA	1.06717128675431
CTA-242H14.1	R316IMSA	1.0192539459593348
CTA-242H14.1	R347CMSA	1.063497692354949
CTA-242H14.1	R347IMSA	1.0621981468028772
CTA-242H14.1	R371CMSA	4.015922033386952
CTA-242H14.1	SRR10104064	1.1094515272513297
CTA-242H14.1	SRR10104065	1.0058572527884204
CTA-242H14.1	SRR10104066	1.0187395055126454
CTA-242H14.1	SRR10104067	2.046114292946954
CTA-242H14.1	SRR10104068	1.0046558594156214
CTA-242H14.1	SRR10104069	1.0114572698828992
CTA-242H14.1	SRR10104070	1.0293904998541934
CTA-242H14.1	SRR10104071	1.1606052908522344
CTA-242H14.1	SRR10104072	1.0698874845957154
CTA-242H14.1	SRR10104073	1.044654039124863
CTA-242H14.1	SRR10104074	1.095822342836796
CTA-242H14.1	SRR10104075	1.1510100695372476
CTA-242H14.1	SRR10104076	1.0276547583233047
CTA-242H14.1	SRR10104077	1.100777777658168
CTA-242H14.1	SRR10104078	1.0414272361609767
CTA-242H14.1	SRR10104079	1.0895071357309336
CTA-242H14.1	SRR10104080	1.121518162035866
CTA-242H14.1	SRR10104081	1.0158440725472526
CTA-242H14.1	SRR10104082	1.0822514404163561
CTA-242H14.1	SRR10104083	1.0631988390336564
CTA-242H14.1	SRR10104084	1.067846735357961
CTA-242H14.1	SRR10104085	1.0222173271187234
CTA-242H14.1	SRR10104086	1.024784508800748
CTA-242H14.1	SRR10104087	2.0064000158761304
CTA-242H14.1	SRR10104088	2.0182269832024917
CTA-242H14.1	SRR10104089	1.1347456128596176
CTA-242H14.1	SRR10104090	1.0263035277348909
CTA-242H14.1	SRR10104091	1.0420863331254986
CTA-242H14.1	SRR10104092	1.0127338855518124
CTA-242H14.1	SRR10104093	1.034297644620457
CTA-242H14.1	SRR10104094	1.0340224493748036
CTA-242H14.1	SRR10104095	1.0540616053506102
CTA-242H14.1	SRR10104096	1.145718575159829
CTA-242H14.1	SRR10104097	1.0631209277390947
CTA-242H14.1	SRR10104098	1.0297617779816932
CTA-242H14.1	SRR10104099	1.0474771062612767
CTA-242H14.1	SRR10104100	1.0290641027802212
CTA-242H14.1	SRR10104101	1.0055761585433334
CTA-242H14.1	SRR10104102	1.0153169306923229
CTA-242H14.1	SRR10104103	1.05208117298879
CTA-242H14.1	SRR10104104	1.0154976077084612
CTA-242H14.1	SRR10104105	1.0808351888270706
CTA-242H14.1	SRR10104106	1.1304558697538387
CTA-242H14.1	SRR10104107	1.00957560699629
CTA-242H14.1	SRR10104108	2.0137144319060156
CTA-242H14.1	SRR10104109	1.1183964997691782
CTA-242H14.1	SRR10104110	1.1898566945611233
CTA-242H14.1	SRR10104111	1.0327102204719922
CTA-242H14.1	SRR10104112	1.186621143391241
CTA-242H14.1	SRR10104113	1.0358394085966935
CTA-242H14.1	SRR10104114	1.1728061185225533
CTA-242H14.1	SRR10104115	1.14422200397898
CTA-242H14.1	SRR10104116	1.0467296948207412
CTA-242H14.1	SRR10104117	1.038848634824914
CTA-242H14.1	SRR10104118	1.143352850751477
CTA-242H14.1	SRR10104119	1.1898188257203337
CTA-242H14.1	SRR10104120	1.0270705483762537
CTA-242H14.1	SRR10104121	1.0817747165060128
CTA-242H14.1	SRR10104122	1.0894989096112995
CTA-242H14.1	SRR10104123	1.082048079369872
CTA-242H14.1	SRR10104124	1.1164136874736872
CTA-242H14.1	SRR10104125	1.0998082352268765
CTA-242H14.1	SRR10104126	1.0394547176893827
CTA-242H14.1	SRR10104127	1.1858382433832468
CTA-242H14.1	SRR10104128	1.0287766983431799
CTA-242H14.1	SRR10104129	1.026295765603751
CTA-242H14.1	SRR10104130	1.041146918346077
CTA-242H14.1	SRR10104131	1.0113290464541402
CTA-242H14.1	SRR10104132	1.007213437136861
CTA-242H14.1	SRR10104133	1.1637684274221152
CTA-242H14.1	SRR10104134	1.0301069188305016
CTA-242H14.1	SRR10104135	1.100806080320317
CTA-242H14.1	SRR10104136	1.015016246826139
CTA-242H14.1	SRR10104137	1.107740379806039
CTA-242H14.1	SRR10104138	1.195501466366171
CTA-242H14.1	SRR10104139	1.011356708865119
CTA-242H14.1	SRR10104140	1.1423063013482577
CTA-242H14.1	SRR10104141	1.059516503163875
