Gene	sample	counts
CTA-390C10.10	CM317	1.0496947053399786
CTA-390C10.10	CMCD140	13.120707652022169
CTA-390C10.10	CMCD147	1.0387377232738804
CTA-390C10.10	CMCD152	41
CTA-390C10.10	CMCD154	27.261979012347293
CTA-390C10.10	CMCD159	27.065772115659588
CTA-390C10.10	CMCD161	17.052083655935366
CTA-390C10.10	CMCD174	22.855568301350615
CTA-390C10.10	CMCD196	7.062114347849209
CTA-390C10.10	CMCD198	1.027928565649914
CTA-390C10.10	CMCD203	69.21935780004766
CTA-390C10.10	CMCD211	32.06226527497698
CTA-390C10.10	CMCD227	58.98925444740234
CTA-390C10.10	CMCD240	68.49964648317889
CTA-390C10.10	CMCD259	48
CTA-390C10.10	CMCD270	18.093075471127403
CTA-390C10.10	CMCD275	46.38773101750411
CTA-390C10.10	CMCD282	4.0508331640652555
CTA-390C10.10	CMCD286	64.58579071092409
CTA-390C10.10	CMCD287	50
CTA-390C10.10	CMCD294	1.061130699852429
CTA-390C10.10	CMCD327	29.147375082800757
CTA-390C10.10	CMCD335	10.046546976589779
CTA-390C10.10	CMCD337	14.092900764246185
CTA-390C10.10	CMCD357	4.081470487114999
CTA-390C10.10	CMCD398	8.04644477339933
CTA-390C10.10	CMCD403	31.221090659622558
CTA-390C10.10	CMCD422	23.047997034611797
CTA-390C10.10	CMCD426	2.219992055209828
CTA-390C10.10	CMCD71	4.0253026195568316
CTA-390C10.10	CMCD72	1.1440405671509037
CTA-390C10.10	CMCD76	19.04307611754334
CTA-390C10.10	CMCD88	8.001439687535616
CTA-390C10.10	CMSA256	57
CTA-390C10.10	CMSA316	15.120218542216646
CTA-390C10.10	CMUC110	61
CTA-390C10.10	CMUC192	7.09207692068355
CTA-390C10.10	CMUC199	11.292671435674597
CTA-390C10.10	CMUC200	28.06519684713378
CTA-390C10.10	CMUC208	11.026877781344067
CTA-390C10.10	CMUC231	47
CTA-390C10.10	CMUC234	41
CTA-390C10.10	CMUC285	6.065439854690468
CTA-390C10.10	CMUC291	6.039363553668023
CTA-390C10.10	CMUC295	23.020702958431436
CTA-390C10.10	CMUC299	16.046622886281778
CTA-390C10.10	CMUC301	17.009179659821605
CTA-390C10.10	CMUC307	9.024777535585264
CTA-390C10.10	CMUC313	13.528059734197662
CTA-390C10.10	CMUC314	1.0531743294773983
CTA-390C10.10	CMUC323	8.18595297255357
CTA-390C10.10	CMUC324	38.03420488784324
CTA-390C10.10	CMUC331	11.098776466970929
CTA-390C10.10	CMUC333	6.136113024006743
CTA-390C10.10	CMUC334	6.088582668715757
CTA-390C10.10	CMUC346	7.074998281819271
CTA-390C10.10	CMUC352	29.172633904525313
CTA-390C10.10	CMUC360	24.03024976565859
CTA-390C10.10	CMUC363	1.0255367303100333
CTA-390C10.10	CMUC365	15.098155919264059
CTA-390C10.10	CMUC366	31.10152293986842
CTA-390C10.10	CMUC368	34
CTA-390C10.10	CMUC377	11.044646033113095
CTA-390C10.10	CMUC379	1.0664515526402574
CTA-390C10.10	CMUC380	4.0707497803350625
CTA-390C10.10	CMUC383	9.124056473318399
CTA-390C10.10	CMUC394	20.145306766695118
CTA-390C10.10	CMUC419	2.048442103979024
CTA-390C10.10	CMUC427	56
CTA-390C10.10	CMUC428	27.168555274449538
CTA-390C10.10	CMUC431	19.03480230262737
CTA-390C10.10	CMUC435	23.112411595032423
CTA-390C10.10	CMUC439	24.151630579285715
CTA-390C10.10	CMUC89	37
CTA-390C10.10	CS219	25.0611883256041
CTA-390C10.10	CS256	19.04307611754334
CTA-390C10.10	CS257	1.089979985878173
CTA-390C10.10	CS259	8.012233859804708
CTA-390C10.10	CS261	7.1592034474617146
CTA-390C10.10	CS266	1.0344406863242126
CTA-390C10.10	CS270	9.113214254876771
CTA-390C10.10	CS277	25.475042554747983
CTA-390C10.10	CS288	13.1159337053264
CTA-390C10.10	CS290	13.103159664754811
CTA-390C10.10	CS292	27.36724438487707
CTA-390C10.10	CS293	1.0159883878434666
CTA-390C10.10	CS301	4.102005922608489
CTA-390C10.10	CS306	4.147951183491457
CTA-390C10.10	CS308	13.330218458014356
CTA-390C10.10	CS315	7.18608523880124
CTA-390C10.10	CS317	52.38601034091545
CTA-390C10.10	CS322	18.23702022297838
CTA-390C10.10	CS327	41.192102120284346
CTA-390C10.10	CS328	3.159668339385488
CTA-390C10.10	CS330	1.0732794536999326
CTA-390C10.10	CS331	1.0183441621534113
CTA-390C10.10	CS335	9.08158543081267
CTA-390C10.10	CS338	2.0589007252978986
CTA-390C10.10	CS339	1.1642104248974183
CTA-390C10.10	CS343	19.150695166441416
CTA-390C10.10	CS344	8.10948117726578
CTA-390C10.10	CS350	30.654291394645707
CTA-390C10.10	CS351	10.082169227776983
CTA-390C10.10	CS361	13.301006647704156
CTA-390C10.10	CS388	1.0331387058791355
