Gene	sample	counts
DNAJB1	CM317	239.3303928175151
DNAJB1	CMCD140	2749.292895700645
DNAJB1	CMCD147	190.08900335912008
DNAJB1	CMCD152	24331
DNAJB1	CMCD154	3476.4071755374716
DNAJB1	CMCD159	1.0826308846263835
DNAJB1	CMCD161	5878.956606319834
DNAJB1	CMCD174	1.0883603953024104
DNAJB1	CMCD196	3772.177935229742
DNAJB1	CMCD198	1592.2613481917167
DNAJB1	CMCD203	14932.320881937818
DNAJB1	CMCD211	6668.951177195211
DNAJB1	CMCD227	6183.220879368687
DNAJB1	CMCD240	5988.165041887624
DNAJB1	CMCD259	3402
DNAJB1	CMCD270	3558.3048426550563
DNAJB1	CMCD275	2443.423309900271
DNAJB1	CMCD282	2146.9415769545853
DNAJB1	CMCD286	4501.348804765709
DNAJB1	CMCD287	5363
DNAJB1	CMCD294	348.05086955159675
DNAJB1	CMCD327	1435.2569523530856
DNAJB1	CMCD335	2556.8462055420987
DNAJB1	CMCD337	2293.116281496629
DNAJB1	CMCD357	3285.5837421275746
DNAJB1	CMCD398	4353.126622409037
DNAJB1	CMCD403	858.0764271612394
DNAJB1	CMCD422	11263.455942132025
DNAJB1	CMCD426	1.109996027604914
DNAJB1	CMCD71	2695.9464294481877
DNAJB1	CMCD72	1.1440405671509037
DNAJB1	CMCD76	6179.979333724854
DNAJB1	CMCD88	7284.310655540236
DNAJB1	CMSA256	4620
DNAJB1	CMSA316	10014.624747794825
DNAJB1	CMUC110	9030
DNAJB1	CMUC192	869.285999706641
DNAJB1	CMUC199	359.3122729532826
DNAJB1	CMUC200	3670.526816221568
DNAJB1	CMUC208	2199.3608956608077
DNAJB1	CMUC231	14485
DNAJB1	CMUC234	3131
DNAJB1	CMUC285	53.5780520497658
DNAJB1	CMUC291	5033.809521982297
DNAJB1	CMUC295	6251.622203407075
DNAJB1	CMUC299	9906.783804418212
DNAJB1	CMUC301	5658.053586840658
DNAJB1	CMUC307	2606.155201665122
DNAJB1	CMUC313	147.76803709662062
DNAJB1	CMUC314	1.0531743294773983
DNAJB1	CMUC323	1.0232441215691963
DNAJB1	CMUC324	2347.1108016313788
DNAJB1	CMUC331	711.3306735649551
DNAJB1	CMUC333	625.8835284486878
DNAJB1	CMUC334	1517.0718482883428
DNAJB1	CMUC346	2272.085162504246
DNAJB1	CMUC352	1612.5424878949682
DNAJB1	CMUC360	1.0012604069024411
DNAJB1	CMUC363	1.0255367303100333
DNAJB1	CMUC365	545.546700549408
DNAJB1	CMUC366	11051.07339298873
DNAJB1	CMUC368	1668
DNAJB1	CMUC377	2652.7231654077086
DNAJB1	CMUC379	1.0664515526402574
DNAJB1	CMUC380	1.0176874450837656
DNAJB1	CMUC383	1.0137840525909332
DNAJB1	CMUC394	3155.7623050027905
DNAJB1	CMUC419	870.5878941910853
DNAJB1	CMUC427	4097
DNAJB1	CMUC428	1229.6286868658274
DNAJB1	CMUC431	3737.8340732159327
DNAJB1	CMUC435	710.4554346820836
DNAJB1	CMUC439	3828.0334468167857
DNAJB1	CMUC89	5103
DNAJB1	CS219	5467.34884511379
DNAJB1	CS256	1565.5413102948787
DNAJB1	CS257	1.089979985878173
DNAJB1	CS259	1744.663922972475
DNAJB1	CS261	371.25583591837176
DNAJB1	CS266	359.985358840826
DNAJB1	CS270	816.1389654922975
DNAJB1	CS277	0.9435200946202956
DNAJB1	CS288	1900.801469294995
DNAJB1	CS290	4216.193605974567
DNAJB1	CS292	2135.6586636642955
DNAJB1	CS293	903.2136767928417
DNAJB1	CS301	1142.4086494464643
DNAJB1	CS306	847.21902922813
DNAJB1	CS308	1.0254014198472583
DNAJB1	CS315	1.0265836055430344
DNAJB1	CS317	1.0691022518554174
DNAJB1	CS322	95.23777227555375
DNAJB1	CS327	701.2704214624017
DNAJB1	CS328	1.0532227797951625
DNAJB1	CS330	1.0732794536999326
DNAJB1	CS331	3845.267556291281
DNAJB1	CS335	0.5045325239340371
DNAJB1	CS338	1.0294503626489493
DNAJB1	CS339	1.1642104248974183
DNAJB1	CS343	282.2207708738735
DNAJB1	CS344	123.66958795330314
DNAJB1	CS350	1.021809713154857
DNAJB1	CS351	1895.4478148220728
DNAJB1	CS361	1.0231543575157043
DNAJB1	CS388	1.0331387058791355
DNAJB1	CS396	66.69888862265911
DNAJB1	CS405	1.023931692107002
DNAJB1	CS415	1.0725849893611923
DNAJB1	CS424	1.0352517578472156
DNAJB1	IM293	2562.4502325866247
DNAJB1	IM296	1.064463289332191
DNAJB1	IM297	1.0944885764691814
DNAJB1	IM300	5619
DNAJB1	IM305	1074.515948740119
