Gene	sample	counts
DTX2	CM317	248.7776451655749
DTX2	CMCD140	1437.2221304984284
DTX2	CMCD147	351.0933504665715
DTX2	CMCD152	341
DTX2	CMCD154	395.8035471422274
DTX2	CMCD159	389.7471184654981
DTX2	CMCD161	774.365210728359
DTX2	CMCD174	520.2362689545521
DTX2	CMCD196	1114.805193481911
DTX2	CMCD198	1724.8641331605556
DTX2	CMCD203	252.8011328349567
DTX2	CMCD211	266.91835841418333
DTX2	CMCD227	367.0442498949479
DTX2	CMCD240	344.3495742127371
DTX2	CMCD259	317
DTX2	CMCD270	700.6040890764334
DTX2	CMCD275	767.4144196591441
DTX2	CMCD282	810.166632813051
DTX2	CMCD286	425.8918083111661
DTX2	CMCD287	597
DTX2	CMCD294	904.0833562742696
DTX2	CMCD327	522.6425876915998
DTX2	CMCD335	587.7229981305021
DTX2	CMCD337	334.20307526640954
DTX2	CMCD357	361.2101381096774
DTX2	CMCD398	242.39914879865478
DTX2	CMCD403	451.1951166293841
DTX2	CMCD422	292.60935365681064
DTX2	CMCD426	184.25934058241572
DTX2	CMCD71	678.2634913953261
DTX2	CMCD72	169.31800393833376
DTX2	CMCD76	469.0610327900149
DTX2	CMCD88	640.1151750028494
DTX2	CMSA256	452
DTX2	CMSA316	234.86739468909857
DTX2	CMUC110	577
DTX2	CMUC192	470.10338445673824
DTX2	CMUC199	475.3188067924853
DTX2	CMUC200	520.2084701308012
DTX2	CMUC208	874.1306750301843
DTX2	CMUC231	249
DTX2	CMUC234	351
DTX2	CMUC285	289.11929974024565
DTX2	CMUC291	450.93914534054574
DTX2	CMUC295	513.4617659858837
DTX2	CMUC299	430.25007613843013
DTX2	CMUC301	435.2348912954352
DTX2	CMUC307	376.0323973160526
DTX2	CMUC313	187.31159631965994
DTX2	CMUC314	250.6554904156208
DTX2	CMUC323	254.7877862707299
DTX2	CMUC324	304.2736391027459
DTX2	CMUC331	239.12818387928274
DTX2	CMUC333	224.99081088024724
DTX2	CMUC334	325.739172776293
DTX2	CMUC346	633.7177032429547
DTX2	CMUC352	267.5834696070253
DTX2	CMUC360	284.3579555602933
DTX2	CMUC363	377.3975167540923
DTX2	CMUC365	286.8649624660171
DTX2	CMUC366	266.8711323227419
DTX2	CMUC368	327
DTX2	CMUC377	320.2947349602797
DTX2	CMUC379	324.20127200263823
DTX2	CMUC380	328.7130447620563
DTX2	CMUC383	594.0774548182869
DTX2	CMUC394	546.9450787157725
DTX2	CMUC419	583.8059996340219
DTX2	CMUC427	469
DTX2	CMUC428	281.74798062392114
DTX2	CMUC431	307.5623319424528
DTX2	CMUC435	295.4369134321536
DTX2	CMUC439	236.4847160888393
DTX2	CMUC89	482
DTX2	CS219	863.1073259338052
DTX2	CS256	415.9408730937098
DTX2	CS257	392.39279491614224
DTX2	CS259	559.8548409538539
DTX2	CS261	951.1513151627706
DTX2	CS266	1130.6436701523644
DTX2	CS270	1393.309201634493
DTX2	CS277	512.3314113788206
DTX2	CS288	535.7354459637168
DTX2	CS290	817.4355760089347
DTX2	CS292	866.6294055211072
DTX2	CS293	732.5276276351393
DTX2	CS301	897.3137955706071
DTX2	CS306	698.9297744183104
DTX2	CS308	216.35969958777147
DTX2	CS315	370.5966816010354
DTX2	CS317	158.22713327460175
DTX2	CS322	271.52896776434477
DTX2	CS327	266.24163565549634
DTX2	CS328	226.44289765595997
DTX2	CS330	288.7121730452819
DTX2	CS331	1008.1607205318771
DTX2	CS335	138.2419115579262
DTX2	CS338	259.42149138753524
