Gene	sample	counts
DUS3L	CM317	139.60939581021714
DUS3L	CMCD140	380.5005219086429
DUS3L	CMCD147	127.76473996268727
DUS3L	CMCD152	1038
DUS3L	CMCD154	584.617994375892
DUS3L	CMCD159	1.0826308846263835
DUS3L	CMCD161	636.9454777364092
DUS3L	CMCD174	58.771461346330156
DUS3L	CMCD196	1913.8329882671358
DUS3L	CMCD198	103.8207851306413
DUS3L	CMCD203	587.8629517511295
DUS3L	CMCD211	686.9340335163818
DUS3L	CMCD227	672.6413597405184
DUS3L	CMCD240	907.1574804529096
DUS3L	CMCD259	964
DUS3L	CMCD270	703.6196016549546
DUS3L	CMCD275	731.1109779932713
DUS3L	CMCD282	361.536859892824
DUS3L	CMCD286	658.0262444895599
DUS3L	CMCD287	829
DUS3L	CMCD294	42.445227994097166
DUS3L	CMCD327	634.2066785257682
DUS3L	CMCD335	848.9332195218363
DUS3L	CMCD337	549.6231298056013
DUS3L	CMCD357	344.8842561612174
DUS3L	CMCD398	473.73443603388546
DUS3L	CMCD403	892.3189136911479
DUS3L	CMCD422	580.2082731756622
DUS3L	CMCD426	67.70975768389975
DUS3L	CMCD71	339.13174569766306
DUS3L	CMCD72	27.456973611621688
DUS3L	CMCD76	313.7096223574245
DUS3L	CMCD88	928.1670037541315
DUS3L	CMSA256	1057
DUS3L	CMSA316	636.0571933425803
DUS3L	CMUC110	975
DUS3L	CMUC192	347.511769113494
DUS3L	CMUC199	125.2459922865728
DUS3L	CMUC200	653.5181551546866
DUS3L	CMUC208	313.7647950509721
DUS3L	CMUC231	739
DUS3L	CMUC234	930
DUS3L	CMUC285	382.12271084549945
DUS3L	CMUC291	399.6045551343675
DUS3L	CMUC295	1224.1008573113759
DUS3L	CMUC299	566.6463706718253
DUS3L	CMUC301	487.2629702548895
DUS3L	CMUC307	473.29944408847155
DUS3L	CMUC313	87.41207828250796
DUS3L	CMUC314	174.8269386932481
DUS3L	CMUC323	172.9282565451942
DUS3L	CMUC324	307.27633948862825
DUS3L	CMUC331	420.7445260660798
DUS3L	CMUC333	199.42367328021916
DUS3L	CMUC334	409.96456636019434
DUS3L	CMUC346	336.5677754065453
DUS3L	CMUC352	481.85143587129744
DUS3L	CMUC360	217.27350829782975
DUS3L	CMUC363	24.612881527440802
DUS3L	CMUC365	414.6960159157862
DUS3L	CMUC366	597.951860392309
DUS3L	CMUC368	927
DUS3L	CMUC377	661.6747032565027
DUS3L	CMUC379	104.51225215874521
DUS3L	CMUC380	200.48442668150184
DUS3L	CMUC383	277.7768304099157
DUS3L	CMUC394	243.75821187701095
DUS3L	CMUC419	195.6262209299968
DUS3L	CMUC427	1481
DUS3L	CMUC428	534.3149203975076
DUS3L	CMUC431	887.6228863225184
DUS3L	CMUC435	746.6313832656126
DUS3L	CMUC439	567.5633186132143
DUS3L	CMUC89	653
DUS3L	CS219	1045.552776944203
DUS3L	CS256	789.786525296008
