Gene	sample	counts
DYNLRB2	CM317	1.0496947053399786
DYNLRB2	CMCD140	4.037140816006821
DYNLRB2	CMCD147	1.0387377232738804
DYNLRB2	CMCD152	9
DYNLRB2	CMCD154	14.135840969365264
DYNLRB2	CMCD159	1.0826308846263835
DYNLRB2	CMCD161	5.015318722333931
DYNLRB2	CMCD174	1.0883603953024104
DYNLRB2	CMCD196	1.0088734782641728
DYNLRB2	CMCD198	1.027928565649914
DYNLRB2	CMCD203	11.03497008406557
DYNLRB2	CMCD211	5.610896423120971
DYNLRB2	CMCD227	1.6385904013167316
DYNLRB2	CMCD240	3.7026835936853453
DYNLRB2	CMCD259	7
DYNLRB2	CMCD270	1.005170859507078
DYNLRB2	CMCD275	5.042144675815664
DYNLRB2	CMCD282	13.165207783212079
DYNLRB2	CMCD286	2.8080778569966993
DYNLRB2	CMCD287	5
DYNLRB2	CMCD294	1.061130699852429
DYNLRB2	CMCD327	2.010163798813845
DYNLRB2	CMCD335	6.027928185953868
DYNLRB2	CMCD337	6.039814613248365
DYNLRB2	CMCD357	1.0203676217787498
DYNLRB2	CMCD398	4.023222386699665
DYNLRB2	CMCD403	5.0356597838100905
DYNLRB2	CMCD422	17.03547606906089
DYNLRB2	CMCD426	1.109996027604914
DYNLRB2	CMCD71	2.0126513097784158
DYNLRB2	CMCD72	1.1440405671509037
DYNLRB2	CMCD76	6.01360298448737
DYNLRB2	CMCD88	5.000899804709761
DYNLRB2	CMSA256	11
DYNLRB2	CMSA316	6.048087416886659
DYNLRB2	CMUC110	7
DYNLRB2	CMUC192	3.0394615374358076
DYNLRB2	CMUC199	2.0532129883044723
DYNLRB2	CMUC200	12.027941505914479
DYNLRB2	CMUC208	5.012217173338213
DYNLRB2	CMUC231	6
DYNLRB2	CMUC234	7
DYNLRB2	CMUC285	1.0109066424484112
DYNLRB2	CMUC291	6.039363553668023
DYNLRB2	CMUC295	5.004500643137268
DYNLRB2	CMUC299	8.023311443140889
DYNLRB2	CMUC301	6.003239879937037
DYNLRB2	CMUC307	5.013765297547368
DYNLRB2	CMUC313	1.0406199795536664
DYNLRB2	CMUC314	5.265871647386992
DYNLRB2	CMUC323	2.0464882431383926
DYNLRB2	CMUC324	11.009901414901991
DYNLRB2	CMUC331	1.008979678815539
DYNLRB2	CMUC333	3.0680565120033716
DYNLRB2	CMUC334	5.073818890596464
DYNLRB2	CMUC346	15.160710603898437
DYNLRB2	CMUC352	7.041670252816455
DYNLRB2	CMUC360	1.0012604069024411
DYNLRB2	CMUC363	1.0255367303100333
DYNLRB2	CMUC365	3.019631183852812
DYNLRB2	CMUC366	19.06222373733871
DYNLRB2	CMUC368	12
DYNLRB2	CMUC377	4.0162349211320345
DYNLRB2	CMUC379	1.0664515526402574
DYNLRB2	CMUC380	2.0353748901675313
DYNLRB2	CMUC383	6.0827043155456
DYNLRB2	CMUC394	8.058122706678049
DYNLRB2	CMUC419	1.024221051989512
DYNLRB2	CMUC427	13
DYNLRB2	CMUC428	4.024971151770302
DYNLRB2	CMUC431	6.010990200829696
DYNLRB2	CMUC435	3.014662381960751
DYNLRB2	CMUC439	5.031589704017857
DYNLRB2	CMUC89	6
DYNLRB2	CS219	1.002447533024164
DYNLRB2	CS256	10.022671640812284
DYNLRB2	CS257	1.089979985878173
DYNLRB2	CS259	11.016821557231472
DYNLRB2	CS261	2.0454866992747758
DYNLRB2	CS266	1.0344406863242126
DYNLRB2	CS270	2.025158723305949
DYNLRB2	CS277	16.039841608545025
DYNLRB2	CS288	11.098097750660799
DYNLRB2	CS290	4.031741435309172
DYNLRB2	CS292	3.0408049316530072
DYNLRB2	CS293	3.0479651635303995
DYNLRB2	CS301	1.0255014806521223
DYNLRB2	CS306	5.18493897936432
DYNLRB2	CS308	1.0254014198472583
DYNLRB2	CS315	5.132918027715172
DYNLRB2	CS317	1.0691022518554174
DYNLRB2	CS322	4.052671160661862
DYNLRB2	CS327	4.018741670271643
DYNLRB2	CS328	11.585450577746789
DYNLRB2	CS330	1.0732794536999326
DYNLRB2	CS331	4.073376648613645
DYNLRB2	CS335	4.036260191472297
DYNLRB2	CS338	10.294503626489494
DYNLRB2	CS339	3.492631274692255
DYNLRB2	CS343	10.079313245495483
DYNLRB2	CS344	4.05474058863289
DYNLRB2	CS350	1.021809713154857
DYNLRB2	CS351	11.09038615055468
DYNLRB2	CS361	1.0231543575157043
DYNLRB2	CS388	3.099416117637406
DYNLRB2	CS396	2.021178443110882
DYNLRB2	CS405	4.095726768428008
DYNLRB2	CS415	1.0725849893611923
DYNLRB2	CS424	1.0352517578472156
DYNLRB2	IM293	4.021106681187328
DYNLRB2	IM296	1.064463289332191
DYNLRB2	IM297	1.0944885764691814
DYNLRB2	IM300	10
DYNLRB2	IM305	3.02965023141011
DYNLRB2	IM309	1.0649644397817766
DYNLRB2	IM310	1.0133773385295795
DYNLRB2	IM311	14.17260137595079
DYNLRB2	IM316	6.030205970024159
DYNLRB2	IM320	1.0454213547260982
DYNLRB2	IM330	14.14166135352124
DYNLRB2	IM332	12.349084946071606
DYNLRB2	IM340	1.0535879064802887
DYNLRB2	IM348	2.069706396242656
DYNLRB2	IM354	13.092715437906234
DYNLRB2	IM356	1.007966474352951
DYNLRB2	IM364	3.050439622664982
DYNLRB2	IM372	1.9580024960611264
DYNLRB2	IM374	1.0474599361127908
DYNLRB2	IM376	1.014079534585469
DYNLRB2	IM381	6.073868473007507
DYNLRB2	IM382	8.246144849162757
DYNLRB2	IM385	13
DYNLRB2	IM390	1.0273630104120455
DYNLRB2	IM397	5.055630022241344
DYNLRB2	IM404	23.065928624486457
DYNLRB2	IM409	14.079175223222693
DYNLRB2	IM412	8
DYNLRB2	IM421	6.09334634847652
DYNLRB2	IM425	1.0520033799095727
DYNLRB2	IM432	3.1179813299625203
DYNLRB2	IM438	10
DYNLRB2	IM442	3.1226652880461705
DYNLRB2	IM445	5.056437330669079
DYNLRB2	IM448	12.261716557858284
DYNLRB2	IM449	5.0416139629025265
DYNLRB2	IM451	3.015337897135953
DYNLRB2	IMSA256	4.016221968982975
DYNLRB2	IMSA276	6
DYNLRB2	IMSA286	10
DYNLRB2	IMSA343	12.14879672034388
DYNLRB2	IS_238	5
DYNLRB2	IS238	11.255012926011268
DYNLRB2	IS243	3
DYNLRB2	IS253	8
DYNLRB2	IS283	10
DYNLRB2	IS322	9.092818681173295
DYNLRB2	IS399	4.02776029497003
DYNLRB2	IS418	3.272480157408465
DYNLRB2	IS430	1.0818719286848866
DYNLRB2	IS437	1.0791582738983603
DYNLRB2	IS444	1.0366814403266558
DYNLRB2	R276CMSA	1.061719097392973
DYNLRB2	R286CMSA	3
DYNLRB2	R292CMSA	9.037325750750274
DYNLRB2	R292IMSA	1.073657155188672
DYNLRB2	R308CMSA	1.06717128675431
DYNLRB2	R316IMSA	1.0192539459593348
DYNLRB2	R347CMSA	1.063497692354949
DYNLRB2	R347IMSA	2.1243962936057543
DYNLRB2	R371CMSA	10.03980508346738
DYNLRB2	SRR10104064	1.1094515272513297
DYNLRB2	SRR10104065	3.017571758365261
DYNLRB2	SRR10104066	2.0374790110252907
DYNLRB2	SRR10104067	2.046114292946954
DYNLRB2	SRR10104068	2.009311718831243
DYNLRB2	SRR10104069	3.034371809648697
DYNLRB2	SRR10104070	1.0293904998541934
DYNLRB2	SRR10104071	1.1606052908522344
DYNLRB2	SRR10104072	2.1397749691914307
DYNLRB2	SRR10104073	1.044654039124863
DYNLRB2	SRR10104074	1.095822342836796
DYNLRB2	SRR10104075	1.1510100695372476
DYNLRB2	SRR10104076	6.165928549939829
DYNLRB2	SRR10104077	2.201555555316336
DYNLRB2	SRR10104078	1.0414272361609767
DYNLRB2	SRR10104079	1.0895071357309336
DYNLRB2	SRR10104080	1.121518162035866
DYNLRB2	SRR10104081	3.0475322176417574
DYNLRB2	SRR10104082	1.0822514404163561
DYNLRB2	SRR10104083	1.0631988390336564
DYNLRB2	SRR10104084	2.135693470715922
DYNLRB2	SRR10104085	2.0444346542374467
DYNLRB2	SRR10104086	1.024784508800748
DYNLRB2	SRR10104087	7.0224000555664565
DYNLRB2	SRR10104088	3.027340474803738
DYNLRB2	SRR10104089	1.1347456128596176
DYNLRB2	SRR10104090	1.0263035277348909
DYNLRB2	SRR10104091	3.1262589993764953
DYNLRB2	SRR10104092	1.0127338855518124
DYNLRB2	SRR10104093	2.068595289240914
DYNLRB2	SRR10104094	1.0340224493748036
DYNLRB2	SRR10104095	1.0540616053506102
DYNLRB2	SRR10104096	1.145718575159829
DYNLRB2	SRR10104097	1.0631209277390947
DYNLRB2	SRR10104098	1.0297617779816932
DYNLRB2	SRR10104099	1.0474771062612767
