Gene	sample	counts
FAAP100	CM317	287.6163492631541
FAAP100	CMCD140	1098.1023019538554
FAAP100	CMCD147	424.84372881901703
FAAP100	CMCD152	805
FAAP100	CMCD154	680.5397723822991
FAAP100	CMCD159	929.9799298940634
FAAP100	CMCD161	915.7971986981757
FAAP100	CMCD174	635.6024708566076
FAAP100	CMCD196	1224.7724026127057
FAAP100	CMCD198	1024.8447799529642
FAAP100	CMCD203	599.9011009337464
FAAP100	CMCD211	582.7316713727065
FAAP100	CMCD227	610.3749244904825
FAAP100	CMCD240	654.4493251838848
FAAP100	CMCD259	744
FAAP100	CMCD270	683.516184464813
FAAP100	CMCD275	949.9400569236711
FAAP100	CMCD282	878.0180883111441
FAAP100	CMCD286	636.4976475859185
FAAP100	CMCD287	675
FAAP100	CMCD294	760.8307117941916
FAAP100	CMCD327	647.2727432180582
FAAP100	CMCD335	796.6911752435695
FAAP100	CMCD337	563.7160305698474
FAAP100	CMCD357	528.5504280813924
FAAP100	CMCD398	495.86215916073365
FAAP100	CMCD403	745.2776480038933
FAAP100	CMCD422	555.1561024858668
FAAP100	CMCD426	258.62907443194496
FAAP100	CMCD71	836.2566192129317
FAAP100	CMCD72	259.69720874325515
FAAP100	CMCD76	499.1290477124517
FAAP100	CMCD88	770.138569925303
FAAP100	CMSA256	905
FAAP100	CMSA316	550.375954936686
FAAP100	CMUC110	824
FAAP100	CMUC192	593.7081536457944
FAAP100	CMUC199	645.7354848217565
FAAP100	CMUC200	691.6066365900825
FAAP100	CMUC208	887.1624396808637
FAAP100	CMUC231	605
FAAP100	CMUC234	725
FAAP100	CMUC285	523.6496407882771
FAAP100	CMUC291	551.595204568346
FAAP100	CMUC295	758.6822974996098
FAAP100	CMUC299	543.5793502727952
FAAP100	CMUC301	643.3472071332525
FAAP100	CMUC307	590.62155205108
FAAP100	CMUC313	277.8455345408289
FAAP100	CMUC314	325.43086780851604
FAAP100	CMUC323	400.08845153355577
FAAP100	CMUC324	664.5976854086292
FAAP100	CMUC331	396.52901377450684
FAAP100	CMUC333	288.3973121283169
FAAP100	CMUC334	393.72834591028567
FAAP100	CMUC346	753.9926740338823
FAAP100	CMUC352	600.5538772759177
FAAP100	CMUC360	459.5785267682205
FAAP100	CMUC363	505.58960804284646
FAAP100	CMUC365	528.4354571742421
FAAP100	CMUC366	605.9780598606621
FAAP100	CMUC368	972
FAAP100	CMUC377	767.1008699362185
FAAP100	CMUC379	325.26772355527845
FAAP100	CMUC380	489.5076610852913
FAAP100	CMUC383	1014.7978366435242
FAAP100	CMUC394	704.0784714959944
FAAP100	CMUC419	710.8094100807214
FAAP100	CMUC427	1205
FAAP100	CMUC428	579.5958458549235
FAAP100	CMUC431	845.5459549167106
FAAP100	CMUC435	648.1524121215615
FAAP100	CMUC439	505.17160628339286
FAAP100	CMUC89	748
FAAP100	CS219	787.9237609569929
FAAP100	CS256	729.6504954511342
FAAP100	CS257	452.3416941394417
FAAP100	CS259	811.2386783052266
FAAP100	CS261	876.4910506392413
FAAP100	CS266	678.5930902286835
FAAP100	CS270	758.421941878078
FAAP100	CS277	584.038938569963
FAAP100	CS288	643.6896695383264
FAAP100	CS290	575.5310898903844
FAAP100	CS292	622.3514093449822
FAAP100	CS293	780.2790818637823
FAAP100	CS301	710.6725260919209
FAAP100	CS306	639.8214700535572
FAAP100	CS308	302.4934188549412
FAAP100	CS315	482.4942946052261
FAAP100	CS317	228.78788189705932
FAAP100	CS322	453.89916999412856
FAAP100	CS327	610.8487338812897
FAAP100	CS328	278.0508138659229
FAAP100	CS330	303.7380853970809
FAAP100	CS331	536.6673734548477
FAAP100	CS335	186.67703385559375
FAAP100	CS338	418.9862975981224
FAAP100	CS339	253.79787262763722
FAAP100	CS343	585.6080995632875
FAAP100	CS344	326.40661738494765
FAAP100	CS350	372.9605453015228
FAAP100	CS351	779.3516813071608
FAAP100	CS361	319.22415954489975
FAAP100	CS388	373.996211528247
FAAP100	CS396	383.0133149695122
FAAP100	CS405	301.0359174794586
FAAP100	CS415	283.16243719135474
FAAP100	CS424	356.1266046994421
FAAP100	IM293	685.5986891424394
FAAP100	IM296	1259.260071279982
FAAP100	IM297	879.9688154812219
FAAP100	IM300	1131
FAAP100	IM305	633.196898364713
FAAP100	IM309	397.23173603860266
FAAP100	IM310	541.1434987747954
FAAP100	IM311	509.2013208645177
FAAP100	IM316	484.42654625860746
FAAP100	IM320	344.9890470596124
FAAP100	IM330	489.9075540327001
FAAP100	IM332	468.2361375385484
FAAP100	IM340	405.63134399491116
FAAP100	IM348	307.3513998420344
FAAP100	IM354	427.0239496670956
FAAP100	IM356	420.3220198051806
FAAP100	IM364	386.3890188708977
FAAP100	IM372	354.3984517870639
FAAP100	IM374	593.9097837759524
FAAP100	IM376	414.75852964545686
FAAP100	IM381	519.3157544421418
FAAP100	IM382	370.04575010617873
FAAP100	IM385	585
FAAP100	IM390	466.4228067270686
FAAP100	IM397	415.57278782823846
FAAP100	IM404	629.8001380946737
FAAP100	IM409	620.4893651948859
FAAP100	IM412	766
FAAP100	IM421	395.0519549262277
FAAP100	IM425	234.5967537198347
FAAP100	IM432	286.85428235655183
FAAP100	IM438	907
FAAP100	IM442	261.26299576652957
FAAP100	IM445	357.99576301137074
FAAP100	IM448	547.6900062510033
FAAP100	IM449	471.8950669276765
FAAP100	IM451	623.1698320747636
FAAP100	IMSA256	547.2102432739302
FAAP100	IMSA276	609
FAAP100	IMSA286	725
FAAP100	IMSA343	589.2166409366782
FAAP100	IS_238	651
FAAP100	IS238	1772.664535846775
FAAP100	IS243	885
FAAP100	IS253	637
FAAP100	IS283	1013
FAAP100	IS322	762.7864560317597
FAAP100	IS399	329.26940411379996
FAAP100	IS418	237.8002247716818
FAAP100	IS430	235.84808045330527
FAAP100	IS437	238.49397853153764
FAAP100	IS444	296.49089193342354
FAAP100	R276CMSA	709.228357058506
FAAP100	R286CMSA	725
FAAP100	R292CMSA	775.2017199532457
FAAP100	R292IMSA	1063.9942407919739
FAAP100	R308CMSA	260.38979396805166
FAAP100	R316IMSA	359.7966429236452
FAAP100	R347CMSA	276.50940001228673
FAAP100	R347IMSA	242.181177471056
FAAP100	R371CMSA	642.5475253419123
FAAP100	SRR10104064	307.3180730486183
FAAP100	SRR10104065	1486.6570196212851
FAAP100	SRR10104066	746.736057540769
FAAP100	SRR10104067	730.4628025820626
FAAP100	SRR10104068	812.7665902672378
FAAP100	SRR10104069	972.010436357466
FAAP100	SRR10104070	704.1031019002683
FAAP100	SRR10104071	203.10592589914103
FAAP100	SRR10104072	426.88510635369045
FAAP100	SRR10104073	500.38928474080944
FAAP100	SRR10104074	391.2085763927361
FAAP100	SRR10104075	306.16867849690783
FAAP100	SRR10104076	585.7632122442837
FAAP100	SRR10104077	392.977666623966
FAAP100	SRR10104078	387.41093185188333
FAAP100	SRR10104079	384.5960189130196
FAAP100	SRR10104080	319.63267618022184
FAAP100	SRR10104081	922.3864178729053
FAAP100	SRR10104082	419.9135588815462
FAAP100	SRR10104083	476.313079887078
FAAP100	SRR10104084	1018.7257855314948
FAAP100	SRR10104085	788.1295592085357
FAAP100	SRR10104086	521.6153149795807
FAAP100	SRR10104087	1578.0336124865767
FAAP100	SRR10104088	905.1748019663175
FAAP100	SRR10104089	280.2821663763255
FAAP100	SRR10104090	573.703672003804
FAAP100	SRR10104091	427.25539658145436
FAAP100	SRR10104092	1084.637991425991
FAAP100	SRR10104093	541.9719657811195
FAAP100	SRR10104094	687.6249288342444
FAAP100	SRR10104095	1557.9030527082018
FAAP100	SRR10104096	278.4096137638384
FAAP100	SRR10104097	392.29162233572595
FAAP100	SRR10104098	480.8987503174508
FAAP100	SRR10104099	537.3557555120349
FAAP100	SRR10104100	477.4857436900226
FAAP100	SRR10104101	1401.7731650094067
FAAP100	SRR10104102	917.8465053458598
FAAP100	SRR10104103	408.20749511965056
FAAP100	SRR10104104	763.6542009967628
FAAP100	SRR10104105	426.92989958669284
FAAP100	SRR10104106	412.61639246015113
FAAP100	SRR10104107	844.0052074488985
FAAP100	SRR10104108	1056.1932195347051
FAAP100	SRR10104109	408.21472241575003
FAAP100	SRR10104110	280.8061799164251
FAAP100	SRR10104111	870.5747158578894
FAAP100	SRR10104112	355.9863430173723
FAAP100	SRR10104113	763.4136441357631
FAAP100	SRR10104114	521.8987227425362
FAAP100	SRR10104115	395.90081337672717
FAAP100	SRR10104116	680.3743016334818
FAAP100	SRR10104117	931.8472254379478
FAAP100	SRR10104118	352.15267803145497
FAAP100	SRR10104119	587.7704999058449
FAAP100	SRR10104120	550.509813929672
FAAP100	SRR10104121	456.50893036553737
FAAP100	SRR10104122	513.1539864269221
FAAP100	SRR10104123	534.5317512087167
FAAP100	SRR10104124	555.9740163618961
FAAP100	SRR10104125	334.34170350897045
FAAP100	SRR10104126	557.1477286815091
FAAP100	SRR10104127	225.30926624281688
FAAP100	SRR10104128	590.5178248489852
FAAP100	SRR10104129	651.6978111583819
FAAP100	SRR10104130	446.6520279704671
FAAP100	SRR10104131	715.009635843077
FAAP100	SRR10104132	1259.0167964210764
FAAP100	SRR10104133	252.53774875059898
FAAP100	SRR10104134	520.2039940094033
FAAP100	SRR10104135	318.1329572125716
FAAP100	SRR10104136	663.8206254242949
FAAP100	SRR10104137	324.56793128316946
FAAP100	SRR10104138	272.57433433148697
FAAP100	SRR10104139	956.7434465864026
FAAP100	SRR10104140	247.88046739257192
FAAP100	SRR10104141	458.77064586995783
FAAP100	SRR10104142	455.2214606235119
FAAP100	SRR10104143	869.0497810642602
FAAP100	SRR10104144	471.4620012914174
FAAP100	SRR10104145	395.1915475979504
FAAP100	SRR10104146	905.6306025610153
FAAP100	SRR10104147	1773.025759456793
FAAP100	SRR10104148	379.6447645094941
FAAP100	SRR10104149	441.72638578219744
FAAP100	SRR10104150	1049.057277134308
FAAP100	SRR10104151	991.5334848530758
FAAP100	SRR10104152	1437.0333736440546
FAAP100	SRR10104153	314.04997861240463
FAAP100	SRR10104154	595.6437670466432
FAAP100	SRR10104155	339.4168726910646
FAAP100	SRR10104156	1030.1642572703668
FAAP100	SRR10104157	402.7835552751153
FAAP100	SRR10104158	760.2840804657105
FAAP100	SRR10104159	808.0551726424404
FAAP100	SRR10104160	268.790214600267
FAAP100	SRR10104161	1548.668785515028
FAAP100	SRR10104162	1682.5373527381291
FAAP100	SRR10104163	469.7250580949163
FAAP100	SRR10104164	445.5803315269401
FAAP100	SRR10104165	679.0304717587305
FAAP100	SRR10104166	419.42074381819464
FAAP100	SRR10104167	446.86831066566856
FAAP100	SRR10104168	1363.9489996702855
FAAP100	SRR10104169	549.2325563378303
FAAP100	SRR10104170	469.70834194892285
FAAP100	SRR10104171	462.8378053134232
FAAP100	SRR10104172	482.8048825613991
FAAP100	SRR10104173	552.4624997321209
FAAP100	SRR10104174	829.1323124631815
FAAP100	SRR10104175	481.5869998440791
FAAP100	SRR10104176	357.871910244268
FAAP100	SRR10104177	381.4228118063128
FAAP100	SRR10104178	394.5975999280513
FAAP100	SRR10104179	495.59496811969706
FAAP100	SRR10104180	423.0873760154207
FAAP100	SRR10104181	550.3468605372432
FAAP100	SRR10104182	688.3643666147545
FAAP100	SRR10104183	665.2565632243401
FAAP100	SRR10104184	892.5930459676218
FAAP100	SRR10104185	570.0933488288026
FAAP100	SRR10104186	623.8989373053039
FAAP100	SRR10104187	466.33371646556947
FAAP100	SRR10104188	576.4644519583096
FAAP100	SRR10104189	374.0233597200611
FAAP100	SRR10104190	478.9001926115725
FAAP100	SRR10104191	311.6863943700193
FAAP100	SRR10104192	471.9843644093239
FAAP100	SRR10104193	482.4868731736931
FAAP100	SRR10104194	297.22077289247676
FAAP100	SRR10104195	625.1245018530918
FAAP100	SRR10104196	604.6167490798796
FAAP100	SRR10104197	931.414244830032
FAAP100	SRR10104198	697.5752283711668
FAAP100	SRR10104199	834.438841720451
FAAP100	SRR10104200	633.6290970784161
FAAP100	SRR10104201	857.9060431474071
FAAP100	SRR10104202	454.18267750647135
FAAP100	SRR10104203	423.3716101342977
FAAP100	SRR10104204	662.1241028584421
FAAP100	SRR10104205	374.80572563260137
FAAP100	SRR10104206	379.61468399123726
FAAP100	SRR10104207	506.03378481052243
FAAP100	SRR10104208	406.0364116515671
FAAP100	SRR10104209	494.187657380556
FAAP100	SRR10104210	452.6004757718237
FAAP100	SRR10104211	662.1959815852309
FAAP100	SRR10104212	731.4655964695083
FAAP100	SRR10104213	398.1544852674938
FAAP100	SRR10104214	571.6358136739203
FAAP100	SRR10104215	1094.6033056014671
FAAP100	SRR10104216	334.1016537376317
FAAP100	SRR10104217	720.5144775183234
FAAP100	SRR10104218	287.18172990023504
FAAP100	SRR10104219	715.6344279531392
FAAP100	SRR10104220	979.2206056632393
FAAP100	SRR10104221	215.27279934011068
FAAP100	SRR10104222	536.7175882485857
FAAP100	SRR10104223	344.75338864386026
FAAP100	SRR10104224	580.3679704111287
FAAP100	SRR10104225	666.2950624640921
FAAP100	SRR10104226	750.0781150844267
FAAP100	SRR10104227	383.7530858177153
FAAP100	SRR10104228	314.4142878059714
FAAP100	SRR10104229	299.7414870322122
FAAP100	SRR10104230	255.47032980145897
FAAP100	SRR10104231	331.43433773767134
FAAP100	SRR10104232	962.2735590859756
FAAP100	SRR10104233	264.7379026006177
FAAP100	SRR10104234	614.0153133665207
FAAP100	SRR10104235	436.2262551022219
FAAP100	SRR10104236	1315.128163236092
