Gene	sample	counts
FAM179A	CM317	5.248473526699892
FAM179A	CMCD140	3.027855612005116
FAM179A	CMCD147	33.23960714476417
FAM179A	CMCD152	114
FAM179A	CMCD154	52.50455217192812
FAM179A	CMCD159	1.0826308846263835
FAM179A	CMCD161	49.15012347887252
FAM179A	CMCD174	35.91589304497954
FAM179A	CMCD196	17.150849130490936
FAM179A	CMCD198	4.111714262599656
FAM179A	CMCD203	88.27976067252456
FAM179A	CMCD211	100.99613561617747
FAM179A	CMCD227	154.02749772377277
FAM179A	CMCD240	43.50653222580281
FAM179A	CMCD259	95
FAM179A	CMCD270	26.134442347184027
FAM179A	CMCD275	63.53102291527737
FAM179A	CMCD282	40.50833164065255
FAM179A	CMCD286	65.52181666325632
FAM179A	CMCD287	42
FAM179A	CMCD294	4.244522799409716
FAM179A	CMCD327	82.41671575136766
FAM179A	CMCD335	51.237389580607875
FAM179A	CMCD337	33.21898037286601
FAM179A	CMCD357	15.305514326681248
FAM179A	CMCD398	35.203195883622065
FAM179A	CMCD403	51.36372979486292
FAM179A	CMCD422	50.104341379590856
FAM179A	CMCD426	4.439984110419656
FAM179A	CMCD71	21.132838752673365
FAM179A	CMCD72	9.15232453720723
FAM179A	CMCD76	35.07935074284299
FAM179A	CMCD88	47.008458164271744
FAM179A	CMSA256	91
FAM179A	CMSA316	44.35264105716883
FAM179A	CMUC110	68
FAM179A	CMUC192	16.210461532990973
FAM179A	CMUC199	4.106425976608945
FAM179A	CMUC200	61.1420359883986
FAM179A	CMUC208	17.041538389349924
FAM179A	CMUC231	48
FAM179A	CMUC234	93
FAM179A	CMUC285	45.49079891017851
FAM179A	CMUC291	36.236181322008136
FAM179A	CMUC295	28.025203601568702
FAM179A	CMUC299	53.15443831080839
FAM179A	CMUC301	78.04211843918148
FAM179A	CMUC307	39.10736932086947
FAM179A	CMUC313	3.121859938660999
FAM179A	CMUC314	1.0531743294773983
FAM179A	CMUC323	25.58110303922991
FAM179A	CMUC324	50.045006431372684
FAM179A	CMUC331	55.493882334854646
FAM179A	CMUC333	12.272226048013486
FAM179A	CMUC334	19.280511784266565
FAM179A	CMUC346	10.107140402598958
FAM179A	CMUC352	45.26788019667721
FAM179A	CMUC360	34.042853834683
FAM179A	CMUC363	34.868248830541134
FAM179A	CMUC365	51.3337301254978
FAM179A	CMUC366	76.24889494935483
FAM179A	CMUC368	133
FAM179A	CMUC377	50.20293651415043
FAM179A	CMUC379	1.0664515526402574
FAM179A	CMUC380	17.300686566424016
FAM179A	CMUC383	8.110272420727465
FAM179A	CMUC394	31.225225488377436
FAM179A	CMUC419	10.24221051989512
FAM179A	CMUC427	177
FAM179A	CMUC428	56.34959612478423
FAM179A	CMUC431	101.18500171396656
FAM179A	CMUC435	45.21993572941126
FAM179A	CMUC439	29.18322028330357
FAM179A	CMUC89	30
FAM179A	CS219	30.073425990724918
FAM179A	CS256	54.122426860386334
FAM179A	CS257	1.089979985878173
FAM179A	CS259	55.08410778615736
FAM179A	CS261	1.0227433496373879
FAM179A	CS266	24.826576471781102
FAM179A	CS270	14.176111063141644
FAM179A	CS277	105.67425059747312
FAM179A	CS288	14.1248516826592
FAM179A	CS290	9.071418229445639
FAM179A	CS292	13.176821370496366
FAM179A	CS293	7.111918714904266
FAM179A	CS301	4.102005922608489
FAM179A	CS306	1.0369877958728642
FAM179A	CS308	8.203211358778066
FAM179A	CS315	6.159501633258206
FAM179A	CS317	38.48768106679503
FAM179A	CS322	25.329194754136637
FAM179A	CS327	45.210843790555984
FAM179A	CS328	20.01123281610809
FAM179A	CS330	31.125104157298043
FAM179A	CS331	11.201785783687523
FAM179A	CS335	67.10282568322694
FAM179A	CS338	12.353404351787393
FAM179A	CS339	1.1642104248974183
FAM179A	CS343	44.34897828018012
FAM179A	CS344	25.34212867895556
FAM179A	CS350	32.69791082095542
FAM179A	CS351	19.156121532776268
FAM179A	CS361	9.208389217641338
FAM179A	CS388	7.231970941153948
FAM179A	CS396	29.307087425107795
FAM179A	CS405	4.095726768428008
FAM179A	CS415	4.290339957444769
FAM179A	CS424	5.176258789236077
FAM179A	IM293	40.21106681187328
FAM179A	IM296	1.064463289332191
FAM179A	IM297	1.0944885764691814
FAM179A	IM300	109
FAM179A	IM305	33.32615254551121
FAM179A	IM309	12.779573277381319
FAM179A	IM310	31.414697494416963
FAM179A	IM311	30.369860091323122
FAM179A	IM316	27.13592686510872
FAM179A	IM320	7.317949483082687
FAM179A	IM330	31.313678711368457
FAM179A	IM332	111.14176451464446
FAM179A	IM340	24.23252184904664
FAM179A	IM348	19.662210764305232
FAM179A	IM354	41.29241022724274
FAM179A	IM356	63.50188788423593
FAM179A	IM364	13.218571698214921
FAM179A	IM372	62.656079873956045
FAM179A	IM374	40.85093750839884
FAM179A	IM376	27.380147433807664
FAM179A	IM381	22.270851067694192
FAM179A	IM382	7.215376743017413
FAM179A	IM385	111
FAM179A	IM390	57.53232858307454
FAM179A	IM397	23.255898102310184
FAM179A	IM404	50.143323096709686
FAM179A	IM409	43.24318104275542
FAM179A	IM412	60
FAM179A	IM421	49.76232851255825
FAM179A	IM425	46.2881487160212
FAM179A	IM432	9.353943989887561
FAM179A	IM438	49
FAM179A	IM442	9.36799586413851
FAM179A	IM445	23.25961172107776
FAM179A	IM448	35.76333996041999
FAM179A	IM449	25.208069814512633
FAM179A	IM451	80.40901059029207
FAM179A	IMSA256	33.13383124410954
FAM179A	IMSA276	70
FAM179A	IMSA286	61
FAM179A	IMSA343	18.223195080515822
FAM179A	IS_238	39
FAM179A	IS238	180.0802068161803
FAM179A	IS243	57
FAM179A	IS253	61
FAM179A	IS283	69
FAM179A	IS322	23.237203296331753
FAM179A	IS399	15.104101106137612
FAM179A	IS418	11.999093910497706
FAM179A	IS430	2.163743857369773
FAM179A	IS437	8.633266191186882
FAM179A	IS444	2.0733628806533115
FAM179A	R276CMSA	7.432033681750812
FAM179A	R286CMSA	69
FAM179A	R292CMSA	53.219807198862725
FAM179A	R292IMSA	1.073657155188672
FAM179A	R308CMSA	2.13434257350862
FAM179A	R316IMSA	7.134777621715345
FAM179A	R347CMSA	5.3174884617747455
