Gene	sample	counts
FAM187B	CM317	1.0496947053399786
FAM187B	CMCD140	5.046426020008527
FAM187B	CMCD147	1.0387377232738804
FAM187B	CMCD152	1
FAM187B	CMCD154	4.0388117055329325
FAM187B	CMCD159	1.0826308846263835
FAM187B	CMCD161	2.0061274889335725
FAM187B	CMCD174	1.0883603953024104
FAM187B	CMCD196	3.0266204347925183
FAM187B	CMCD198	1.027928565649914
FAM187B	CMCD203	1.0031790985514153
FAM187B	CMCD211	1.6031132637488488
FAM187B	CMCD227	0.8192952006583658
FAM187B	CMCD240	2.777012695264009
FAM187B	CMCD259	1
FAM187B	CMCD270	4.020683438028312
FAM187B	CMCD275	5.042144675815664
FAM187B	CMCD282	3.0381248730489414
FAM187B	CMCD286	0.9360259523322331
FAM187B	CMCD287	3
FAM187B	CMCD294	10.611306998524292
FAM187B	CMCD327	4.02032759762769
FAM187B	CMCD335	1.0046546976589779
FAM187B	CMCD337	5.033178844373637
FAM187B	CMCD357	12.244411461344997
FAM187B	CMCD398	2.0116111933498324
FAM187B	CMCD403	1.007131956762018
FAM187B	CMCD422	3.0062604827754513
FAM187B	CMCD426	1.109996027604914
FAM187B	CMCD71	3.0189769646676234
FAM187B	CMCD72	1.1440405671509037
FAM187B	CMCD76	3.006801492243685
FAM187B	CMCD88	1.000179960941952
FAM187B	CMSA256	2
FAM187B	CMSA316	1.0080145694811098
FAM187B	CMUC110	4
FAM187B	CMUC192	3.0394615374358076
FAM187B	CMUC199	1.0266064941522361
FAM187B	CMUC200	1.0023284588262065
FAM187B	CMUC208	4.00977373867057
FAM187B	CMUC231	2
FAM187B	CMUC234	2
FAM187B	CMUC285	1.0109066424484112
FAM187B	CMUC291	1.0065605922780039
FAM187B	CMUC295	5.004500643137268
FAM187B	CMUC299	1.0029139303926111
FAM187B	CMUC301	1.0005399799895063
FAM187B	CMUC307	4.011012238037894
FAM187B	CMUC313	1.0406199795536664
FAM187B	CMUC314	3.1595229884321947
FAM187B	CMUC323	1.0232441215691963
FAM187B	CMUC324	2.0018002572549074
FAM187B	CMUC331	1.008979678815539
FAM187B	CMUC333	1.0226855040011238
FAM187B	CMUC334	1.0147637781192929
FAM187B	CMUC346	13.139282523378647
FAM187B	CMUC352	1.0059528932594937
FAM187B	CMUC360	9.011343662121972
FAM187B	CMUC363	1.0255367303100333
FAM187B	CMUC365	2.0130874559018745
FAM187B	CMUC366	7.022924534808998
FAM187B	CMUC368	3
FAM187B	CMUC377	8.032469842264069
FAM187B	CMUC379	1.0664515526402574
FAM187B	CMUC380	4.0707497803350625
FAM187B	CMUC383	10.137840525909333
FAM187B	CMUC394	21.152572105029876
FAM187B	CMUC419	1.024221051989512
FAM187B	CMUC427	5
FAM187B	CMUC428	6.037456727655453
FAM187B	CMUC431	1.0018317001382826
FAM187B	CMUC435	1.0048874606535836
FAM187B	CMUC439	2.012635881607143
FAM187B	CMUC89	2
FAM187B	CS219	1.002447533024164
FAM187B	CS256	2.004534328162457
FAM187B	CS257	1.089979985878173
FAM187B	CS259	3.004587697426765
FAM187B	CS261	10.227433496373878
FAM187B	CS266	1.0344406863242126
FAM187B	CS270	1.0125793616529746
FAM187B	CS277	52.83712529873656
FAM187B	CS288	5.044589886663999
FAM187B	CS290	3.0238060764818795
FAM187B	CS292	3.0408049316530072
FAM187B	CS293	2.031976775686933
FAM187B	CS301	15.382522209781836
FAM187B	CS306	6.2219267752371845
FAM187B	CS308	1.0254014198472583
FAM187B	CS315	6.159501633258206
FAM187B	CS317	1.0691022518554174
FAM187B	CS322	1.0131677901654654
FAM187B	CS327	1.0046854175679107
FAM187B	CS328	6.319336678770976
FAM187B	CS330	1.0732794536999326
FAM187B	CS331	10.183441621534113
FAM187B	CS335	2.522662619670186
FAM187B	CS338	1.0294503626489493
FAM187B	CS339	1.1642104248974183
FAM187B	CS343	1.0079313245495483
FAM187B	CS344	6.082110882949335
FAM187B	CS350	1.021809713154857
FAM187B	CS351	3.0246507683330948
FAM187B	CS361	4.092617430062817
FAM187B	CS388	1.0331387058791355
FAM187B	CS396	1.010589221555441
FAM187B	CS405	1.023931692107002
FAM187B	CS415	1.0725849893611923
FAM187B	CS424	1.0352517578472156
FAM187B	IM293	2.010553340593664
FAM187B	IM296	35.1272885479623
FAM187B	IM297	8.755908611753451
FAM187B	IM300	4
FAM187B	IM305	2.0197668209400734
FAM187B	IM309	1.0649644397817766
FAM187B	IM310	4.053509354118318
FAM187B	IM311	13.16027270624002
FAM187B	IM316	8.04027462669888
FAM187B	IM320	1.0454213547260982
FAM187B	IM330	4.04047467243464
FAM187B	IM332	11.319994533898972
FAM187B	IM340	1.0535879064802887
FAM187B	IM348	5.1742659906066395
FAM187B	IM354	2.014263913524036
FAM187B	IM356	1.007966474352951
FAM187B	IM364	7.117692452884958
FAM187B	IM372	8.811011232275069
FAM187B	IM374	1.0474599361127908
FAM187B	IM376	3.0422386037564073
FAM187B	IM381	1.0123114121679178
FAM187B	IM382	7.215376743017413
FAM187B	IM385	4
FAM187B	IM390	2.054726020824091
FAM187B	IM397	2.0222520088965377
FAM187B	IM404	7.0200652335393565
FAM187B	IM409	4.022621492349341
FAM187B	IM412	3
FAM187B	IM421	4.062230898984347
FAM187B	IM425	1.0520033799095727
FAM187B	IM432	1.0393271099875068
FAM187B	IM438	2
FAM187B	IM442	2.081776858697447
FAM187B	IM445	2.022574932267631
FAM187B	IM448	1.021809713154857
FAM187B	IM449	1.0083227925805054
FAM187B	IM451	4.020450529514604
FAM187B	IMSA256	1.0040554922457436
FAM187B	IMSA276	1
FAM187B	IMSA286	1
FAM187B	IMSA343	1.0123997266953233
FAM187B	IS_238	2
FAM187B	IS238	8.185463946190014
FAM187B	IS243	1
FAM187B	IS253	2
FAM187B	IS283	2
FAM187B	IS322	7.072192307579229
FAM187B	IS399	1.0069400737425076
FAM187B	IS418	1.0908267191361551
FAM187B	IS430	1.0818719286848866
FAM187B	IS437	1.0791582738983603
FAM187B	IS444	1.0366814403266558
FAM187B	R276CMSA	1.061719097392973
FAM187B	R286CMSA	6
FAM187B	R292CMSA	3.012441916916758
FAM187B	R292IMSA	1.073657155188672
FAM187B	R308CMSA	1.06717128675431
FAM187B	R316IMSA	2.0385078919186697
FAM187B	R347CMSA	9.571479231194541
FAM187B	R347IMSA	1.0621981468028772
FAM187B	R371CMSA	6.0238830500804275
FAM187B	SRR10104064	1.1094515272513297
FAM187B	SRR10104065	1.0058572527884204
FAM187B	SRR10104066	1.0187395055126454
FAM187B	SRR10104067	1.023057146473477
FAM187B	SRR10104068	1.0046558594156214
FAM187B	SRR10104069	1.0114572698828992
FAM187B	SRR10104070	1.0293904998541934
FAM187B	SRR10104071	1.1606052908522344
FAM187B	SRR10104072	1.0698874845957154
FAM187B	SRR10104073	1.044654039124863
FAM187B	SRR10104074	1.095822342836796
FAM187B	SRR10104075	1.1510100695372476
FAM187B	SRR10104076	1.0276547583233047
FAM187B	SRR10104077	1.100777777658168
FAM187B	SRR10104078	1.0414272361609767
FAM187B	SRR10104079	1.0895071357309336
FAM187B	SRR10104080	1.121518162035866
FAM187B	SRR10104081	1.0158440725472526
FAM187B	SRR10104082	1.0822514404163561
FAM187B	SRR10104083	1.0631988390336564
FAM187B	SRR10104084	1.067846735357961
FAM187B	SRR10104085	1.0222173271187234
FAM187B	SRR10104086	1.024784508800748
FAM187B	SRR10104087	1.0032000079380652
FAM187B	SRR10104088	1.0091134916012459
FAM187B	SRR10104089	1.1347456128596176
FAM187B	SRR10104090	1.0263035277348909
FAM187B	SRR10104091	1.0420863331254986
FAM187B	SRR10104092	3.038201656655437
FAM187B	SRR10104093	1.034297644620457
FAM187B	SRR10104094	1.0340224493748036
FAM187B	SRR10104095	2.1081232107012204
FAM187B	SRR10104096	1.145718575159829
FAM187B	SRR10104097	1.0631209277390947
FAM187B	SRR10104098	1.0297617779816932
FAM187B	SRR10104099	1.0474771062612767
FAM187B	SRR10104100	1.0290641027802212
FAM187B	SRR10104101	2.0111523170866668
FAM187B	SRR10104102	1.0153169306923229
FAM187B	SRR10104103	1.05208117298879
FAM187B	SRR10104104	1.0154976077084612
FAM187B	SRR10104105	1.0808351888270706
FAM187B	SRR10104106	1.1304558697538387
FAM187B	SRR10104107	1.00957560699629
FAM187B	SRR10104108	1.0068572159530078
FAM187B	SRR10104109	1.1183964997691782
FAM187B	SRR10104110	1.1898566945611233
FAM187B	SRR10104111	1.0327102204719922
FAM187B	SRR10104112	1.186621143391241
FAM187B	SRR10104113	1.0358394085966935
FAM187B	SRR10104114	2.3456122370451067
FAM187B	SRR10104115	1.14422200397898
FAM187B	SRR10104116	1.0467296948207412
FAM187B	SRR10104117	1.038848634824914
FAM187B	SRR10104118	1.143352850751477
FAM187B	SRR10104119	1.1898188257203337
FAM187B	SRR10104120	1.0270705483762537
FAM187B	SRR10104121	1.0817747165060128
FAM187B	SRR10104122	1.0894989096112995
FAM187B	SRR10104123	1.082048079369872
FAM187B	SRR10104124	1.1164136874736872
FAM187B	SRR10104125	1.0998082352268765
FAM187B	SRR10104126	1.0394547176893827
FAM187B	SRR10104127	1.1858382433832468
FAM187B	SRR10104128	1.0287766983431799
FAM187B	SRR10104129	1.026295765603751
FAM187B	SRR10104130	1.041146918346077
FAM187B	SRR10104131	1.0113290464541402
FAM187B	SRR10104132	1.007213437136861
FAM187B	SRR10104133	1.1637684274221152
FAM187B	SRR10104134	1.0301069188305016
FAM187B	SRR10104135	1.100806080320317
FAM187B	SRR10104136	1.015016246826139
FAM187B	SRR10104137	1.107740379806039
FAM187B	SRR10104138	1.195501466366171
FAM187B	SRR10104139	1.011356708865119
FAM187B	SRR10104140	1.1423063013482577
FAM187B	SRR10104141	2.11903300632775
FAM187B	SRR10104142	1.0513197704930992
FAM187B	SRR10104143	1.0081784003065664
FAM187B	SRR10104144	1.0594651714413874
FAM187B	SRR10104145	1.0623428698869635
FAM187B	SRR10104146	1.009621630502804
FAM187B	SRR10104147	3.0051284058589713
FAM187B	SRR10104148	1.0516475471177122
FAM187B	SRR10104149	1.0467449900052073
FAM187B	SRR10104150	1.0116270753464878
FAM187B	SRR10104151	1.0076559805417438
FAM187B	SRR10104152	1.0056216750483238
FAM187B	SRR10104153	1.1019297495172091
FAM187B	SRR10104154	1.0305255485236042
FAM187B	SRR10104155	1.0878745919585404
FAM187B	SRR10104156	3.0121761908490257
FAM187B	SRR10104157	1.048915508528946
FAM187B	SRR10104158	1.020515544249276
FAM187B	SRR10104159	1.0126004669704767
FAM187B	SRR10104160	1.1246452493735022
FAM187B	SRR10104161	1.0017262519502124
FAM187B	SRR10104162	1.0203379943833408
FAM187B	SRR10104163	1.0300988116116585
FAM187B	SRR10104164	1.0196346259197715
FAM187B	SRR10104165	4.153091570389789
FAM187B	SRR10104166	1.0407462625761652
FAM187B	SRR10104167	1.0225819466033605
FAM187B	SRR10104168	1.028619155105796
FAM187B	SRR10104169	1.0246876051078921
FAM187B	SRR10104170	1.0300621533967607
FAM187B	SRR10104171	1.0239774453836796
FAM187B	SRR10104172	1.0338434316089917
FAM187B	SRR10104173	1.0603886751096372
FAM187B	SRR10104174	1.0338308135451142
FAM187B	SRR10104175	1.0224777066753272
FAM187B	SRR10104176	5.112455860632401
FAM187B	SRR10104177	1.0253301392642815
FAM187B	SRR10104178	1.0384147366527665
FAM187B	SRR10104179	1.0346450273897643
FAM187B	SRR10104180	1.0219501836121274
FAM187B	SRR10104181	1.0267665308530658
FAM187B	SRR10104182	1.035134385886849
FAM187B	SRR10104183	1.0476481310619528
FAM187B	SRR10104184	1.0212735079721074
FAM187B	SRR10104185	1.063606994083587
FAM187B	SRR10104186	1.0329452604392448
FAM187B	SRR10104187	4.3079327156172695
FAM187B	SRR10104188	1.0538655428853925
FAM187B	SRR10104189	1.0595562598302013
FAM187B	SRR10104190	1.1456942406975419
FAM187B	SRR10104191	1.1375415852920412
