Gene	sample	counts
FGA	CM317	1.0496947053399786
FGA	CMCD140	1.0092852040017053
FGA	CMCD147	1.0387377232738804
FGA	CMCD152	4
FGA	CMCD154	1.0097029263832331
FGA	CMCD159	1.0826308846263835
FGA	CMCD161	1.0030637444667863
FGA	CMCD174	37.00425344028195
FGA	CMCD196	1.0088734782641728
FGA	CMCD198	1.027928565649914
FGA	CMCD203	1.0031790985514153
FGA	CMCD211	0.8015566318744244
FGA	CMCD227	0.8192952006583658
FGA	CMCD240	1.8513417968426726
FGA	CMCD259	2
FGA	CMCD270	1.005170859507078
FGA	CMCD275	1.0084289351631328
FGA	CMCD282	1.0127082910163139
FGA	CMCD286	5.616155713993399
FGA	CMCD287	1
FGA	CMCD294	1.061130699852429
FGA	CMCD327	1.0050818994069226
FGA	CMCD335	1.0046546976589779
FGA	CMCD337	1.0066357688747274
FGA	CMCD357	1.0203676217787498
FGA	CMCD398	1.0058055966749162
FGA	CMCD403	1.007131956762018
FGA	CMCD422	1.002086827591817
FGA	CMCD426	1.109996027604914
FGA	CMCD71	1.0063256548892079
FGA	CMCD72	1.1440405671509037
FGA	CMCD76	1.0022671640812284
FGA	CMCD88	1.000179960941952
FGA	CMSA256	4
FGA	CMSA316	3.0240437084433296
FGA	CMUC110	2
FGA	CMUC192	1.0131538458119358
FGA	CMUC199	1.0266064941522361
FGA	CMUC200	2.004656917652413
FGA	CMUC208	1.0024434346676425
FGA	CMUC231	1
FGA	CMUC234	1
FGA	CMUC285	1.0109066424484112
FGA	CMUC291	1.0065605922780039
FGA	CMUC295	2.0018002572549074
FGA	CMUC299	1.0029139303926111
FGA	CMUC301	1.0005399799895063
FGA	CMUC307	2.005506119018947
FGA	CMUC313	1.0406199795536664
FGA	CMUC314	1.0531743294773983
FGA	CMUC323	1.0232441215691963
FGA	CMUC324	1.0009001286274537
FGA	CMUC331	1.008979678815539
FGA	CMUC333	1.0226855040011238
FGA	CMUC334	2.0295275562385857
FGA	CMUC346	1.0107140402598958
FGA	CMUC352	1.0059528932594937
FGA	CMUC360	1.0012604069024411
FGA	CMUC363	1.0255367303100333
FGA	CMUC365	2.0130874559018745
FGA	CMUC366	1.0032749335441427
FGA	CMUC368	1
FGA	CMUC377	1.0040587302830086
FGA	CMUC379	1.0664515526402574
FGA	CMUC380	1.0176874450837656
FGA	CMUC383	1.0137840525909332
FGA	CMUC394	1.007265338334756
FGA	CMUC419	1.024221051989512
FGA	CMUC427	3
FGA	CMUC428	1.0062427879425755
FGA	CMUC431	1.0018317001382826
FGA	CMUC435	1.0048874606535836
FGA	CMUC439	1.0063179408035714
FGA	CMUC89	1
FGA	CS219	3.007342599072492
FGA	CS256	1.0022671640812284
FGA	CS257	1.089979985878173
FGA	CS259	1.0015292324755884
FGA	CS261	1.0227433496373879
FGA	CS266	1.0344406863242126
FGA	CS270	1.0125793616529746
FGA	CS277	0.9435200946202956
FGA	CS288	1.0089179773327999
FGA	CS290	4.031741435309172
FGA	CS292	1.0136016438843358
FGA	CS293	1.0159883878434666
FGA	CS301	1.0255014806521223
FGA	CS306	1.0369877958728642
FGA	CS308	1.0254014198472583
FGA	CS315	1.0265836055430344
FGA	CS317	1.0691022518554174
FGA	CS322	1.0131677901654654
FGA	CS327	1.0046854175679107
FGA	CS328	1.0532227797951625
FGA	CS330	1.0732794536999326
FGA	CS331	1.0183441621534113
FGA	CS335	7.063455335076521
FGA	CS338	1.0294503626489493
FGA	CS339	1.1642104248974183
FGA	CS343	1.0079313245495483
FGA	CS344	1.0136851471582224
FGA	CS350	1.021809713154857
FGA	CS351	1.0082169227776983
FGA	CS361	1.0231543575157043
FGA	CS388	1.0331387058791355
FGA	CS396	1.010589221555441
FGA	CS405	1.023931692107002
FGA	CS415	1.0725849893611923
FGA	CS424	1.0352517578472156
FGA	IM293	1.005276670296832
FGA	IM296	1.064463289332191
FGA	IM297	1.0944885764691814
FGA	IM300	1
FGA	IM305	2.0197668209400734
FGA	IM309	1.0649644397817766
FGA	IM310	1.0133773385295795
FGA	IM311	1.0123286697107707
FGA	IM316	1.00503432833736
FGA	IM320	1.0454213547260982
FGA	IM330	1.01011866810866
FGA	IM332	1.0290904121726339
FGA	IM340	1.0535879064802887
FGA	IM348	1.034853198121328
FGA	IM354	1.007131956762018
FGA	IM356	1.007966474352951
FGA	IM364	1.016813207554994
FGA	IM372	7.832009984244506
FGA	IM374	1.0474599361127908
FGA	IM376	1.014079534585469
FGA	IM381	1.0123114121679178
FGA	IM382	1.0307681061453446
FGA	IM385	1
FGA	IM390	1.0273630104120455
FGA	IM397	1.0111260044482688
FGA	IM404	1.0028664619341938
FGA	IM409	1.0056553730873352
FGA	IM412	2
FGA	IM421	1.0155577247460867
FGA	IM425	1.0520033799095727
FGA	IM432	1.0393271099875068
FGA	IM438	1
FGA	IM442	1.0408884293487235
FGA	IM445	1.0112874661338156
FGA	IM448	1.021809713154857
FGA	IM449	1.0083227925805054
FGA	IM451	1.005112632378651
FGA	IMSA256	1.0040554922457436
FGA	IMSA276	2
FGA	IMSA286	1
FGA	IMSA343	1.0123997266953233
FGA	IS_238	2
FGA	IS238	2.0463659865475035
FGA	IS243	3
FGA	IS253	1
FGA	IS283	1
FGA	IS322	1.0103131867970327
FGA	IS399	1.0069400737425076
FGA	IS418	1.0908267191361551
FGA	IS430	1.0818719286848866
FGA	IS437	1.0791582738983603
FGA	IS444	1.0366814403266558
FGA	R276CMSA	1.061719097392973
FGA	R286CMSA	2
FGA	R292CMSA	1.0041473056389194
FGA	R292IMSA	1.073657155188672
FGA	R308CMSA	1.06717128675431
FGA	R316IMSA	1.0192539459593348
FGA	R347CMSA	1.063497692354949
FGA	R347IMSA	1.0621981468028772
FGA	R371CMSA	1.003980508346738
FGA	SRR10104064	1.1094515272513297
FGA	SRR10104065	1.0058572527884204
FGA	SRR10104066	1.0187395055126454
FGA	SRR10104067	1.023057146473477
FGA	SRR10104068	16.074493750649943
FGA	SRR10104069	2.0229145397657984
FGA	SRR10104070	1.0293904998541934
FGA	SRR10104071	2.321210581704469
FGA	SRR10104072	4.2795499383828615
FGA	SRR10104073	1.044654039124863
FGA	SRR10104074	1.095822342836796
FGA	SRR10104075	1.1510100695372476
FGA	SRR10104076	2.0553095166466093
FGA	SRR10104077	1.100777777658168
FGA	SRR10104078	2.0828544723219533
FGA	SRR10104079	1.0895071357309336
FGA	SRR10104080	3.364554486107598
FGA	SRR10104081	1.0158440725472526
FGA	SRR10104082	1.0822514404163561
FGA	SRR10104083	2.126397678067313
FGA	SRR10104084	1.067846735357961
FGA	SRR10104085	1.0222173271187234
FGA	SRR10104086	1.024784508800748
FGA	SRR10104087	1.0032000079380652
FGA	SRR10104088	1.0091134916012459
FGA	SRR10104089	1.1347456128596176
FGA	SRR10104090	1.0263035277348909
FGA	SRR10104091	1.0420863331254986
FGA	SRR10104092	1.0127338855518124
FGA	SRR10104093	1.034297644620457
FGA	SRR10104094	5.170112246874018
FGA	SRR10104095	1.0540616053506102
FGA	SRR10104096	1.145718575159829
FGA	SRR10104097	1.0631209277390947
FGA	SRR10104098	1.0297617779816932
FGA	SRR10104099	1.0474771062612767
FGA	SRR10104100	1.0290641027802212
FGA	SRR10104101	4.0223046341733335
FGA	SRR10104102	1.0153169306923229
FGA	SRR10104103	1.05208117298879
FGA	SRR10104104	2.0309952154169224
FGA	SRR10104105	1.0808351888270706
FGA	SRR10104106	1.1304558697538387
FGA	SRR10104107	1.00957560699629
FGA	SRR10104108	1.0068572159530078
FGA	SRR10104109	1.1183964997691782
FGA	SRR10104110	1.1898566945611233
FGA	SRR10104111	1.0327102204719922
FGA	SRR10104112	2.373242286782482
FGA	SRR10104113	1.0358394085966935
FGA	SRR10104114	1.1728061185225533
FGA	SRR10104115	1.14422200397898
FGA	SRR10104116	1.0467296948207412
FGA	SRR10104117	1.038848634824914
FGA	SRR10104118	1.143352850751477
FGA	SRR10104119	1.1898188257203337
FGA	SRR10104120	1.0270705483762537
FGA	SRR10104121	1.0817747165060128
FGA	SRR10104122	1.0894989096112995
FGA	SRR10104123	1.082048079369872
FGA	SRR10104124	1.1164136874736872
FGA	SRR10104125	1.0998082352268765
FGA	SRR10104126	1.0394547176893827
FGA	SRR10104127	1.1858382433832468
FGA	SRR10104128	1.0287766983431799
FGA	SRR10104129	13.341844952848765
FGA	SRR10104130	1.041146918346077
FGA	SRR10104131	1.0113290464541402
FGA	SRR10104132	2.014426874273722
FGA	SRR10104133	1.1637684274221152
FGA	SRR10104134	1.0301069188305016
FGA	SRR10104135	1.100806080320317
FGA	SRR10104136	1.015016246826139
FGA	SRR10104137	1.107740379806039
FGA	SRR10104138	1.195501466366171
FGA	SRR10104139	1.011356708865119
FGA	SRR10104140	1.1423063013482577
FGA	SRR10104141	1.059516503163875
FGA	SRR10104142	1.0513197704930992
FGA	SRR10104143	1.0081784003065664
FGA	SRR10104144	18.010907914503587
FGA	SRR10104145	1.0623428698869635
FGA	SRR10104146	13.125081196536453
FGA	SRR10104147	2.003418937239314
FGA	SRR10104148	1.0516475471177122
FGA	SRR10104149	1.0467449900052073
FGA	SRR10104150	2.0232541506929755
FGA	SRR10104151	2.0153119610834875
FGA	SRR10104152	1.0056216750483238
FGA	SRR10104153	1.1019297495172091
FGA	SRR10104154	1.0305255485236042
FGA	SRR10104155	3.263623775875621
FGA	SRR10104156	1.0040587302830086
FGA	SRR10104157	1.048915508528946
FGA	SRR10104158	1.020515544249276
FGA	SRR10104159	1.0126004669704767
FGA	SRR10104160	1.1246452493735022
FGA	SRR10104161	2.0034525039004247
FGA	SRR10104162	1.0203379943833408
FGA	SRR10104163	1.0300988116116585
FGA	SRR10104164	1.0196346259197715
FGA	SRR10104165	1.0382728925974472
FGA	SRR10104166	1.0407462625761652
FGA	SRR10104167	1.0225819466033605
FGA	SRR10104168	1.028619155105796
FGA	SRR10104169	1.0246876051078921
FGA	SRR10104170	1.0300621533967607
FGA	SRR10104171	2.0479548907673593
FGA	SRR10104172	1.0338434316089917
FGA	SRR10104173	1.0603886751096372
FGA	SRR10104174	12.40596976254137
FGA	SRR10104175	5.112388533376636
FGA	SRR10104176	1.02249117212648
FGA	SRR10104177	2.050660278528563
FGA	SRR10104178	1.0384147366527665
FGA	SRR10104179	1.0346450273897643
FGA	SRR10104180	1.0219501836121274
FGA	SRR10104181	1.0267665308530658
FGA	SRR10104182	1.035134385886849
FGA	SRR10104183	1.0476481310619528
FGA	SRR10104184	2.0425470159442147
FGA	SRR10104185	1.063606994083587
FGA	SRR10104186	2.0658905208784897
FGA	SRR10104187	1.0769831789043174
FGA	SRR10104188	10.538655428853925
FGA	SRR10104189	1.0595562598302013
FGA	SRR10104190	3.437082722092626
FGA	SRR10104191	3.4126247558761236
FGA	SRR10104192	4.104211864428904
FGA	SRR10104193	5.199211995406175
FGA	SRR10104194	1.0428799048858834
FGA	SRR10104195	1.041874169755153
FGA	SRR10104196	1.0406484493629597
FGA	SRR10104197	6.100966669192349
FGA	SRR10104198	1.025845924075245
FGA	SRR10104199	1.0822812473676409
FGA	SRR10104200	1.0353416618928366
FGA	SRR10104201	2.052406801788055
FGA	SRR10104202	1.0661565199682426
FGA	SRR10104203	1.0226367394548255
FGA	SRR10104204	1.0313459546081654
FGA	SRR10104205	7.1880550121320805
FGA	SRR10104206	1.0287660812770658
FGA	SRR10104207	1.0327220098173928
FGA	SRR10104208	1.0176351169212208
FGA	SRR10104209	1.0231628517195777
FGA	SRR10104210	1.0263049337229564
FGA	SRR10104211	1.0187630485926629
FGA	SRR10104212	1.0187543126316272
FGA	SRR10104213	1.058921503370994
FGA	SRR10104214	1.0299744390521086
FGA	SRR10104215	1.0107140402598958
FGA	SRR10104216	1.060640170595656
FGA	SRR10104217	1.02491390827642
FGA	SRR10104218	1.0636360366675373
FGA	SRR10104219	3.1900494559575296
FGA	SRR10104220	2.0702338386115
FGA	SRR10104221	2.1744727206071786
FGA	SRR10104222	1.0381384685659298
FGA	SRR10104223	1.1766327257469633
FGA	SRR10104224	4.101540426933771
FGA	SRR10104225	1.0314165053623716
FGA	SRR10104226	1.0388893560726131
FGA	SRR10104227	1.074938615735897
FGA	SRR10104228	1.1189120562490085
FGA	SRR10104229	1.0371677751979662
FGA	SRR10104230	1.101165214661461
FGA	SRR10104231	1.0760855121352966
FGA	SRR10104232	1.0597726421651714
FGA	SRR10104233	1.0718133708527031
FGA	SRR10104234	1.0233588556108677
FGA	SRR10104235	1.043603481105794
FGA	SRR10104236	1.0093078766201782
FGA	SRR10104237	1.0184909964241078
FGA	SRR10104238	1.0703034082552154
FGA	SRR10104239	1.0611784078973197
FGA	SRR10104240	1.0723812048685664
FGA	SRR10104241	1.0400598513679928
FGA	SRR10104242	1.063845639897752
FGA	SRR10104243	1.06730685614599
FGA	SRR10104244	1.039511551636178
FGA	SRR10104245	1.040779809770632
FGA	SRR10104246	5.5290010349516265
FGA	SRR10104247	1.0564288046419525
FGA	SRR10104248	1.0740857704182307
FGA	SRR10104249	1.0271816644146015
FGA	SRR10104250	1.153013547676236
FGA	SRR10104251	2.0932094957037584
FGA	SRR10104252	2.3593895734793238
FGA	SRR10104253	1.0961853754741664
FGA	SRR10104254	1.0372141130641137
FGA	SRR10104255	1.0309957549391915
FGA	SRR10104256	1.0293845436631004
FGA	SRR10104257	1.037517112746005
FGA	SRR10104258	1.0307926732391595
FGA	SRR10224277	1.0244173062905177
FGA	SRR10224278	1.0926635070500108
FGA	SRR10224279	1.089250843220296
FGA	SRR10224280	1.0227917534671278
FGA	SRR10224281	1.0161102598101706
FGA	SRR10224282	1.0501757282099426
FGA	SRR10224283	1.042245924204279
FGA	SRR10224284	1.1092008744415571
FGA	SRR10224285	1.1279661106950958
FGA	SRR10224286	1.0254224279077875
FGA	SRR10224287	1.033803410459708
FGA	SRR10224288	1.0962707234129587
FGA	SRR10224289	1.0935047184878017
FGA	SRR10224290	1.095529172881304
FGA	SRR10224291	2.0624226999797406
FGA	SRR10224292	1.0118581905327977
FGA	SRR10224293	1.0306192603558113
FGA	SRR10224294	1.0580047935764523
FGA	SRR10224295	1.0860783600082067
FGA	SRR10224296	1.0547229540206002
FGA	SRR10224297	1.1274808217665389
FGA	SRR10224298	1.0332224020270313
FGA	SRR10318388	1.007335826080517
FGA	SRR10318389	2.009406825142395
FGA	SRR10318390	2.0246044227775393
FGA	SRR10318391	1.011851664163083
FGA	SRR10318392	2.0277106532845823
FGA	SRR10318393	2.0056167365879425
FGA	SRR10318394	1.0131779337217366
FGA	SRR10318395	1.0044169063073385
FGA	SRR10318396	3.0238478735221888
FGA	SRR10318397	2.0116389991654193
FGA	SRR10318398	1.0034248015445335
FGA	SRR10318399	1.0501074458020174
FGA	SRR10318400	1.0147756454841836
FGA	SRR10318401	1.0036053788169974
FGA	SRR10318402	14.058922015124162
FGA	SRR10318403	1.004809174154462
FGA	SRR10318404	1.0017262519502124
FGA	SRR10318405	1.0024033193392368
FGA	SRR10318406	1.0045332833268676
FGA	SRR10318407	1.0098124708404557
FGA	SRR10318408	9.027024287446613
FGA	SRR10318409	1.003152525939443
FGA	SRR10318410	5.020277461228718
FGA	SRR10318411	1.0036365750295506
FGA	SRR10318412	10.048260094196193
FGA	SRR10318413	1.0038166819322296
FGA	SRR10318414	1.0058946208297335
FGA	SRR10318415	1.006478060580776
FGA	SRR10318416	1.009901553775856
FGA	SRR10318417	1.0071565815090566
FGA	SRR10318418	1.003747088789452
FGA	SRR10318419	1.0039837461421828
FGA	SRR10318420	1.0018010674864533
FGA	SRR10318421	1.0047436199473785
FGA	SRR10318422	1.002086827591817
FGA	SRR10318423	1.0014712162978496
FGA	SRR10318424	1.002086827591817
FGA	SRR10318425	1.0064830045107445
FGA	SRR10318426	1.0953414278907072
FGA	SRR10318427	1.108018223770156
FGA	SRR10318428	2.002636821735583
FGA	SRR10318429	1.0039837461421828
FGA	SRR10318430	1.0085997241808262
FGA	SRR10318431	1.0051501237216312
FGA	SRR10318432	1.0016788397052576
FGA	SRR10318433	1.2750020383966563
FGA	SRR10318434	1.0030469387273355
FGA	SRR10318435	1.00593898850787
FGA	SRR10318436	1.0027334775314678
FGA	SRR10318437	3.002160114320297
FGA	SRR10318438	1.0012604069024411
FGA	SRR10318439	2.0082005748566556
FGA	SRR10318440	1.0157338737818744
FGA	SRR10318441	1.002760904831865
FGA	SRR10318442	1.0286330408058433
FGA	SRR10318443	1.0022777857742395
FGA	SRR10318444	1.0084894405469222
FGA	SRR10318445	1.012049840442984
FGA	SRR10318446	1.0039498099915638
FGA	SRR10318447	1.0104267982146213
FGA	SRR10318448	1.0069124078551868
FGA	SRR10318449	1.002086827591817
FGA	SRR10318450	1.0051877008321608
FGA	SRR10318451	4
FGA	SRR10318452	1.006256696893515
FGA	SRR10318453	2.039608047848437
FGA	SRR10318454	1.0047509679775968
FGA	SRR10318455	1.0060173630328704
FGA	SRR10318456	6.039363553668023
FGA	SRR10318457	1.001546012786343
FGA	SRR10318458	1.0126930617379193
FGA	SRR10318459	1.006445823745561
FGA	SRR10318460	2.0079332617166834
FGA	SRR10318461	1.0035136149744603
FGA	SRR10318462	1.006666549360023
FGA	SRR10318463	2.0061888314564427
FGA	SRR10318464	1.0061954567107265
FGA	SRR10318465	1.0009001286274537
FGA	SRR10318466	1.0093704094610745
FGA	SRR10318467	1.0050609507965924
FGA	SRR10318468	3.0292029363984705
FGA	SRR10318469	1.0035136149744603
FGA	SRR10318470	1
FGA	SRR10318471	1
FGA	SRR10318472	2.0088001557929234
FGA	SRR10318473	1.0038748339850176
FGA	SRR10318474	7.029246070231227
FGA	SRR10318475	1.0039973297278573
FGA	SRR10318476	1.0035749859475067
FGA	SRR10318495	1.0010802515574013
FGA	SRR10318496	3.026416344867412
FGA	SRR10318497	1.0054703162308267
FGA	SRR10318498	4.003600514509815
FGA	SRR10318499	2.0020109797048735
FGA	SRR10318500	4.022923106893468
FGA	SRR10318501	11.053086103615811
FGA	SRR10318502	3.0016199399685184
FGA	SRR10318503	98.17650461367244
FGA	SRR10318504	1.006604989330596
FGA	SRR10318505	1.0005399799895063
FGA	SRR10318506	1.0119197753671667
FGA	SRR10318507	1.0119742595178156
FGA	SRR10318508	1.0309684455084223
FGA	SRR10318509	1.0068435936744917
FGA	SRR10318510	1.007927987508717
FGA	SRR10318511	2.0025208138048822
FGA	SRR10318512	14.10663968605892
FGA	SRR10318513	1.0033056112632286
FGA	SRR10318514	3.0137929863597304
FGA	SRR10318515	1.0119306087919657
FGA	SRR10318516	1.005925378652516
FGA	SRR10318517	1.0026279344264644
FGA	SRR10318518	1.0071731309246519
FGA	SRR10318519	1.0047192251993753
FGA	SRR10318520	1.0019813525502068
FGA	SRR10318521	2.00723850262386
FGA	SRR10318522	2.0027316121052943
FGA	SRR10318523	2.004534328162457
FGA	SRR10318524	2.0153492452333106
FGA	SRR10318525	1.0061984068651417
FGA	SRR10318526	1.0065161971835763
FGA	SRR10318527	4.001439817079379
FGA	SRR10318528	3.007608779867284
FGA	SRR10318529	3.006801492243685
FGA	SRR10318530	1.0067403310744534
FGA	SRR10318531	1.0089179773327999
FGA	SRR10318532	1.0082536977318846
FGA	SRR10318533	1.0231907162447254
FGA	SRR10318534	1.0175665606361486
FGA	SRR10318535	1.0154976077084612
FGA	SRR10318536	1.0040554922457436
FGA	SRR10318537	1.0108415032166953
FGA	SRR10318538	1.0018317001382826
FGA	SRR10318539	1.0072166853583673
FGA	SRR10318540	2.010900455270923
FGA	SRR10318541	2.0141809784742475
FGA	SRR10318542	1.0080340885316075
FGA	SRR10318543	1.010007862549104
FGA	SRR10318544	1.0024781854433447
FGA	SRR10318545	1.0086306245764651
FGA	SRR10318546	3.00432178400522
FGA	SRR10318547	1.0039530476880079
FGA	SRR10318548	3.014519696360737
FGA	SRR10318549	1.0068752498555544
FGA	SRR10318568	4.012610103757772
FGA	SRR10318569	1.000825380374255
FGA	SRR10318570	1.0106355959208053
FGA	SRR10318571	1.000825380374255
FGA	SRR10318572	4.019003871910387
FGA	SRR10318573	1.0014712162978496
FGA	SRR10318574	3.007292212826914
FGA	SRR10318575	1.0046970709565088
FGA	SRR10318576	1.0043070800365925
FGA	SRR10318577	2.005794254326413
FGA	SRR10318578	1.0009001286274537
FGA	SRR10318579	1.003152525939443
FGA	SRR10318580	1.0013658060526471
FGA	SRR10318581	1
FGA	SRR10875803	0.8111500939089954
FGA	SRR10875804	0.5526998687141053
FGA	SRR10875805	2.0776268754371006
FGA	SRR10875806	0.8631412234827924
FGA	SRR10875807	0.9606906001395203
FGA	SRR10875808	1.8178669615558274
FGA	SRR10875809	1.2645219145261386
FGA	SRR10875810	0.903646390841777
FGA	SRR10875812	1
FGA	SRR10875813	0.8096197169317331
FGA	SRR10875814	1.0039973297278573
FGA	SRR10875815	1
FGA	SRR10875816	1
FGA	SRR10875817	0.7672308450228666
FGA	SRR10875818	0.7224371096255142
FGA	SRR10875819	1
FGA	SRR10875820	0.6201780358882866
FGA	SRR10875821	0.9476438352519748
FGA	SRR10875822	1.5301792974660129
FGA	SRR10875823	1
FGA	SRR10875824	1.8097019318242369
FGA	SRR10875825	1.0017568823143634
FGA	SRR10875826	0.8418328143680529
FGA	SRR10875827	2.550792784170681
FGA	SRR10875829	0.7509930762994443
FGA	SRR10875830	1
FGA	SRR10875831	1.0035717494702923
FGA	SRR10875832	1
FGA	SRR10875834	1.0033362899203648
FGA	SRR10875835	7
FGA	SRR10875836	1.8750348534628665
FGA	SRR10875837	0.8027033939846714
FGA	SRR10875838	1
FGA	SRR10875839	0.7386586543325293
FGA	SRR10875840	1.6245030662072326
FGA	SRR10875841	2.0076333638644592
FGA	SRR10875842	0.6930808109926465
FGA	SRR10875843	2.205186787090755
FGA	SRR10875844	0.7998780887339916
FGA	SRR10875845	2.7014320126775657
FGA	SRR10875846	1.6016694330680534
FGA	SRR10875847	2.5090134470424936
FGA	SRR10875848	2
FGA	SRR10875849	1.9221163115396647
FGA	SRR10875850	1.000179960941952
FGA	SRR10875851	2.6137346980766756
FGA	SRR10875852	0.806845693372095
FGA	SRR10875853	1.002192313736413
FGA	SRR10875854	0.8385638626920141
FGA	SRR10875855	0.7288685075160425
FGA	SRR10875856	0.6734806395790469
FGA	SRR10875857	0.5786171871917298
FGA	SRR10875858	8.376290502170102
FGA	SRR10875859	1
FGA	SRR10875860	3.915640019676157
FGA	SRR10875861	3.540513776343332
FGA	SRR10875862	5.2171306028312
FGA	SRR10875863	1.0054141363639215
FGA	SRR10875864	1
FGA	SRR10875865	4.214379125734211
FGA	SRR10875866	2.9624342392437084
FGA	SRR10875867	0.9579402303203833
FGA	SRR10875868	1.8420590371729382
FGA	SRR10875869	2
FGA	SRR10875870	0.6740919321963792
FGA	SRR10875871	2.000359921883904
FGA	SRR10875872	1.7491842668831639
FGA	SRR10875873	4.820480417923551
FGA	SRR10875874	2.3358443428690485
FGA	SRR10875875	0.9855354753510438
FGA	SRR10875876	1
FGA	SRR10875877	0.8053776302508535
FGA	SRR10875878	2.0158369429336536
FGA	SRR10875879	1
FGA	SRR10875880	1.0039973297278573
FGA	SRR10875881	0.7772391911693253
