Gene	sample	counts
GOT2P3	CM317	1.0496947053399786
GOT2P3	CMCD140	1.0092852040017053
GOT2P3	CMCD147	1.0387377232738804
GOT2P3	CMCD152	1
GOT2P3	CMCD154	1.0097029263832331
GOT2P3	CMCD159	1.0826308846263835
GOT2P3	CMCD161	1.0030637444667863
GOT2P3	CMCD174	1.0883603953024104
GOT2P3	CMCD196	1.0088734782641728
GOT2P3	CMCD198	1.027928565649914
GOT2P3	CMCD203	1.0031790985514153
GOT2P3	CMCD211	0.8015566318744244
GOT2P3	CMCD227	1.6385904013167316
GOT2P3	CMCD240	0.9256708984213363
GOT2P3	CMCD259	2
GOT2P3	CMCD270	1.005170859507078
GOT2P3	CMCD275	1.0084289351631328
GOT2P3	CMCD282	1.0127082910163139
GOT2P3	CMCD286	0.9360259523322331
GOT2P3	CMCD287	1
GOT2P3	CMCD294	1.061130699852429
GOT2P3	CMCD327	1.0050818994069226
GOT2P3	CMCD335	1.0046546976589779
GOT2P3	CMCD337	1.0066357688747274
GOT2P3	CMCD357	1.0203676217787498
GOT2P3	CMCD398	1.0058055966749162
GOT2P3	CMCD403	1.007131956762018
GOT2P3	CMCD422	1.002086827591817
GOT2P3	CMCD426	1.109996027604914
GOT2P3	CMCD71	1.0063256548892079
GOT2P3	CMCD72	1.1440405671509037
GOT2P3	CMCD76	1.0022671640812284
GOT2P3	CMCD88	1.000179960941952
GOT2P3	CMSA256	1
GOT2P3	CMSA316	1.0080145694811098
GOT2P3	CMUC110	2
GOT2P3	CMUC192	1.0131538458119358
GOT2P3	CMUC199	1.0266064941522361
GOT2P3	CMUC200	1.0023284588262065
GOT2P3	CMUC208	1.0024434346676425
GOT2P3	CMUC231	1
GOT2P3	CMUC234	2
GOT2P3	CMUC285	1.0109066424484112
GOT2P3	CMUC291	1.0065605922780039
GOT2P3	CMUC295	1.0009001286274537
GOT2P3	CMUC299	1.0029139303926111
GOT2P3	CMUC301	2.0010799599790126
GOT2P3	CMUC307	1.0027530595094736
GOT2P3	CMUC313	1.0406199795536664
GOT2P3	CMUC314	1.0531743294773983
GOT2P3	CMUC323	1.0232441215691963
GOT2P3	CMUC324	1.0009001286274537
GOT2P3	CMUC331	1.008979678815539
GOT2P3	CMUC333	1.0226855040011238
GOT2P3	CMUC334	1.0147637781192929
GOT2P3	CMUC346	1.0107140402598958
GOT2P3	CMUC352	1.0059528932594937
GOT2P3	CMUC360	1.0012604069024411
GOT2P3	CMUC363	1.0255367303100333
GOT2P3	CMUC365	1.0065437279509373
GOT2P3	CMUC366	1.0032749335441427
GOT2P3	CMUC368	1
GOT2P3	CMUC377	1.0040587302830086
GOT2P3	CMUC379	1.0664515526402574
GOT2P3	CMUC380	1.0176874450837656
GOT2P3	CMUC383	1.0137840525909332
GOT2P3	CMUC394	1.007265338334756
GOT2P3	CMUC419	1.024221051989512
GOT2P3	CMUC427	1
GOT2P3	CMUC428	1.0062427879425755
GOT2P3	CMUC431	1.0018317001382826
GOT2P3	CMUC435	1.0048874606535836
GOT2P3	CMUC439	1.0063179408035714
GOT2P3	CMUC89	1
GOT2P3	CS219	1.002447533024164
GOT2P3	CS256	1.0022671640812284
GOT2P3	CS257	1.089979985878173
GOT2P3	CS259	1.0015292324755884
GOT2P3	CS261	1.0227433496373879
GOT2P3	CS266	1.0344406863242126
GOT2P3	CS270	1.0125793616529746
GOT2P3	CS277	0.9435200946202956
GOT2P3	CS288	1.0089179773327999
GOT2P3	CS290	1.007935358827293
GOT2P3	CS292	1.0136016438843358
GOT2P3	CS293	1.0159883878434666
GOT2P3	CS301	1.0255014806521223
GOT2P3	CS306	1.0369877958728642
GOT2P3	CS308	1.0254014198472583
GOT2P3	CS315	1.0265836055430344
GOT2P3	CS317	1.0691022518554174
GOT2P3	CS322	1.0131677901654654
GOT2P3	CS327	1.0046854175679107
GOT2P3	CS328	1.0532227797951625
GOT2P3	CS330	1.0732794536999326
GOT2P3	CS331	1.0183441621534113
GOT2P3	CS335	5.549857763274408
GOT2P3	CS338	1.0294503626489493
GOT2P3	CS339	1.1642104248974183
GOT2P3	CS343	1.0079313245495483
GOT2P3	CS344	1.0136851471582224
GOT2P3	CS350	1.021809713154857
GOT2P3	CS351	1.0082169227776983
GOT2P3	CS361	1.0231543575157043
GOT2P3	CS388	1.0331387058791355
GOT2P3	CS396	2.021178443110882
GOT2P3	CS405	1.023931692107002
GOT2P3	CS415	1.0725849893611923
GOT2P3	CS424	1.0352517578472156
GOT2P3	IM293	1.005276670296832
GOT2P3	IM296	1.064463289332191
GOT2P3	IM297	1.0944885764691814
GOT2P3	IM300	1
GOT2P3	IM305	1.0098834104700367
GOT2P3	IM309	1.0649644397817766
GOT2P3	IM310	1.0133773385295795
GOT2P3	IM311	1.0123286697107707
GOT2P3	IM316	1.00503432833736
GOT2P3	IM320	1.0454213547260982
GOT2P3	IM330	1.01011866810866
GOT2P3	IM332	1.0290904121726339
GOT2P3	IM340	1.0535879064802887
GOT2P3	IM348	1.034853198121328
GOT2P3	IM354	2.014263913524036
GOT2P3	IM356	1.007966474352951
GOT2P3	IM364	1.016813207554994
GOT2P3	IM372	0.9790012480305632
GOT2P3	IM374	1.0474599361127908
GOT2P3	IM376	1.014079534585469
GOT2P3	IM381	1.0123114121679178
GOT2P3	IM382	1.0307681061453446
GOT2P3	IM385	1
GOT2P3	IM390	1.0273630104120455
GOT2P3	IM397	1.0111260044482688
GOT2P3	IM404	1.0028664619341938
GOT2P3	IM409	1.0056553730873352
GOT2P3	IM412	1
GOT2P3	IM421	1.0155577247460867
GOT2P3	IM425	1.0520033799095727
GOT2P3	IM432	1.0393271099875068
GOT2P3	IM438	2
GOT2P3	IM442	1.0408884293487235
GOT2P3	IM445	1.0112874661338156
GOT2P3	IM448	1.021809713154857
GOT2P3	IM449	1.0083227925805054
GOT2P3	IM451	1.005112632378651
GOT2P3	IMSA256	1.0040554922457436
GOT2P3	IMSA276	1
GOT2P3	IMSA286	1
GOT2P3	IMSA343	1.0123997266953233
GOT2P3	IS_238	1
GOT2P3	IS238	0.5115914966368759
GOT2P3	IS243	1
GOT2P3	IS253	1
GOT2P3	IS283	1
GOT2P3	IS322	1.0103131867970327
GOT2P3	IS399	1.0069400737425076
GOT2P3	IS418	1.0908267191361551
GOT2P3	IS430	1.0818719286848866
GOT2P3	IS437	1.0791582738983603
GOT2P3	IS444	1.0366814403266558
GOT2P3	R276CMSA	1.061719097392973
GOT2P3	R286CMSA	1
GOT2P3	R292CMSA	1.0041473056389194
GOT2P3	R292IMSA	1.073657155188672
GOT2P3	R308CMSA	1.06717128675431
GOT2P3	R316IMSA	1.0192539459593348
GOT2P3	R347CMSA	1.063497692354949
GOT2P3	R347IMSA	1.0621981468028772
GOT2P3	R371CMSA	1.003980508346738
GOT2P3	SRR10104064	1.1094515272513297
