Gene	sample	counts
GP6	CM317	2.099389410679957
GP6	CMCD140	46.427119384078445
GP6	CMCD147	2.0774754465477607
GP6	CMCD152	8
GP6	CMCD154	8.077623411065865
GP6	CMCD159	2.165261769252767
GP6	CMCD161	24.07352986720287
GP6	CMCD174	2.1767207906048207
GP6	CMCD196	28.248457391396837
GP6	CMCD198	8.223428525199312
GP6	CMCD203	4.012716394205661
GP6	CMCD211	20.840472428735033
GP6	CMCD227	27.85603682238444
GP6	CMCD240	14.810734374741381
GP6	CMCD259	10
GP6	CMCD270	10.05170859507078
GP6	CMCD275	10.084289351631329
GP6	CMCD282	6.076249746097883
GP6	CMCD286	20.592570951309128
GP6	CMCD287	62
GP6	CMCD294	2.122261399704858
GP6	CMCD327	8.04065519525538
GP6	CMCD335	4.018618790635911
GP6	CMCD337	8.053086150997819
GP6	CMCD357	2.0407352435574997
GP6	CMCD398	2.0116111933498324
GP6	CMCD403	18.128375221716325
GP6	CMCD422	14.02921558628544
GP6	CMCD426	2.219992055209828
GP6	CMCD71	4.0253026195568316
GP6	CMCD72	2.2880811343018075
GP6	CMCD76	12.02720596897474
GP6	CMCD88	20.003599218839042
GP6	CMSA256	28
GP6	CMSA316	6.048087416886659
GP6	CMUC110	8
GP6	CMUC192	6.078923074871615
GP6	CMUC199	2.0532129883044723
GP6	CMUC200	8.018627670609652
GP6	CMUC208	10.024434346676426
GP6	CMUC231	8
GP6	CMUC234	12
GP6	CMUC285	4.043626569793645
GP6	CMUC291	4.0262423691120155
GP6	CMUC295	20.018002572549072
GP6	CMUC299	12.034967164711333
GP6	CMUC301	4.002159919958025
GP6	CMUC307	8.022024476075789
GP6	CMUC313	2.0812399591073327
GP6	CMUC314	2.1063486589547966
GP6	CMUC323	2.0464882431383926
GP6	CMUC324	22.019802829803982
GP6	CMUC331	12.10775614578647
GP6	CMUC333	2.0453710080022476
GP6	CMUC334	4.059055112477171
GP6	CMUC346	8.085712322079166
GP6	CMUC352	8.04762314607595
GP6	CMUC360	6.007562441414647
GP6	CMUC363	2.0510734606200667
GP6	CMUC365	10.065437279509373
GP6	CMUC366	10.032749335441427
GP6	CMUC368	2
GP6	CMUC377	14.05682222396212
GP6	CMUC379	2.1329031052805147
GP6	CMUC380	2.0353748901675313
GP6	CMUC383	10.137840525909333
GP6	CMUC394	2.014530676669512
GP6	CMUC419	4.096884207958048
GP6	CMUC427	12
GP6	CMUC428	6.037456727655453
GP6	CMUC431	14.025643801935958
GP6	CMUC435	14.068424449150172
GP6	CMUC439	4.025271763214286
GP6	CMUC89	14
GP6	CS219	30.073425990724918
GP6	CS256	10.022671640812284
GP6	CS257	2.179959971756346
GP6	CS259	12.01835078970706
GP6	CS261	20.454866992747757
GP6	CS266	59.99755980680433
GP6	CS270	6.075476169917847
GP6	CS277	41.51488416329301
GP6	CS288	16.142687637324798
GP6	CS290	10.079353588272932
GP6	CS292	6.0816098633060145
GP6	CS293	20.31976775686933
GP6	CS301	10.255014806521224
GP6	CS306	2.0739755917457283
GP6	CS308	6.152408519083549
GP6	CS315	2.053167211086069
GP6	CS317	2.138204503710835
GP6	CS322	4.052671160661862
GP6	CS327	10.046854175679108
GP6	CS328	12.638673357541952
GP6	CS330	10.732794536999325
GP6	CS331	16.29350659445458
GP6	CS335	8.072520382944594
GP6	CS338	2.0589007252978986
GP6	CS339	2.3284208497948367
GP6	CS343	10.079313245495483
GP6	CS344	10.136851471582224
GP6	CS350	2.043619426309714
GP6	CS351	10.082169227776983
GP6	CS361	2.0463087150314085
GP6	CS388	2.066277411758271
GP6	CS396	2.021178443110882
GP6	CS405	8.191453536856017
GP6	CS415	2.1451699787223846
GP6	CS424	26.916545704027605
GP6	IM293	5.02638335148416
GP6	IM296	3.193389867996573
GP6	IM297	3.283465729407544
GP6	IM300	14
GP6	IM305	12.11860092564044
GP6	IM309	3.1948933193453297
GP6	IM310	3.040132015588738
GP6	IM311	18.221916054793873
GP6	IM316	3.0151029850120796
GP6	IM320	3.1362640641782944
GP6	IM330	14.14166135352124
GP6	IM332	3.0872712365179016
GP6	IM340	3.160763719440866
GP6	IM348	5.1742659906066395
GP6	IM354	14.099847394668252
GP6	IM356	10.079664743529511
GP6	IM364	10.16813207554994
GP6	IM372	7.832009984244506
GP6	IM374	3.1423798083383723
GP6	IM376	3.0422386037564073
GP6	IM381	3.0369342365037535
GP6	IM382	3.0923043184360344
