Gene	sample	counts
GPA33	CM317	836.6066801559629
GPA33	CMCD140	4896.042524612273
GPA33	CMCD147	158.92687166090369
GPA33	CMCD152	6406
GPA33	CMCD154	48.46574046639519
GPA33	CMCD159	55.21417511594556
GPA33	CMCD161	4737.470065116631
GPA33	CMCD174	380.9261383558436
GPA33	CMCD196	6286.2906430640605
GPA33	CMCD198	894.2978521154251
GPA33	CMCD203	20.063581971028306
GPA33	CMCD211	30.459152011228127
GPA33	CMCD227	3677.8161557554045
GPA33	CMCD240	10861.822322075961
GPA33	CMCD259	2839
GPA33	CMCD270	6386.855641307974
GPA33	CMCD275	2806.4577265589987
GPA33	CMCD282	1699.3245123253746
GPA33	CMCD286	9166.50215118956
GPA33	CMCD287	10967
GPA33	CMCD294	567.7049244210496
GPA33	CMCD327	426.1547253485352
GPA33	CMCD335	790.6632470576156
GPA33	CMCD337	2125.0081080945497
GPA33	CMCD357	539.7744719209587
GPA33	CMCD398	308.78231817919925
GPA33	CMCD403	1693.9959512737144
GPA33	CMCD422	553.1519288306831
GPA33	CMCD426	961.2565599058554
GPA33	CMCD71	3608.6837984326994
GPA33	CMCD72	149.86931429676838
GPA33	CMCD76	6343.348881470094
GPA33	CMCD88	16537.975654175178
GPA33	CMSA256	6227
GPA33	CMSA316	1.0080145694811098
GPA33	CMUC110	3759
GPA33	CMUC192	1699.0589994266163
GPA33	CMUC199	987.595447374451
GPA33	CMUC200	5438.634217590997
GPA33	CMUC208	3381.2417051339585
GPA33	CMUC231	202
GPA33	CMUC234	812
GPA33	CMUC285	324.50103222594004
GPA33	CMUC291	174.13498246409466
GPA33	CMUC295	7757.976896991393
GPA33	CMUC299	4193.183142971507
GPA33	CMUC301	4624.495787511498
GPA33	CMUC307	963.6456901886041
GPA33	CMUC313	305.9422739887779
GPA33	CMUC314	58.9777624507343
GPA33	CMUC323	121.76605046673437
GPA33	CMUC324	131.11791685019642
GPA33	CMUC331	1228.9372487973264
GPA33	CMUC333	443.8455087364878
GPA33	CMUC334	455.6289363755625
GPA33	CMUC346	156.66067624028386
GPA33	CMUC352	27.160728118006325
GPA33	CMUC360	294.3705596293177
GPA33	CMUC363	1252.1803477085507
GPA33	CMUC365	257.67519435543994
GPA33	CMUC366	25.081873338603565
GPA33	CMUC368	94
GPA33	CMUC377	215.87262701084683
GPA33	CMUC379	1345.8618594320046
GPA33	CMUC380	639.1077155126048
GPA33	CMUC383	31.427305630318934
GPA33	CMUC394	79.57396172844572
GPA33	CMUC419	2743.888198279903
GPA33	CMUC427	366
GPA33	CMUC428	29.18104085033469
GPA33	CMUC431	66.12089220912665
GPA33	CMUC435	157.76733132261262
GPA33	CMUC439	317.99646929392856
GPA33	CMUC89	5664
GPA33	CS219	5722.972966034952
GPA33	CS256	6903.6162261915015
GPA33	CS257	456.7016140829544
GPA33	CS259	1962.997295652153
GPA33	CS261	499.09875462304524
GPA33	CS266	2837.470802587315
GPA33	CS270	3420.493083663748
GPA33	CS277	213.23554138418683
GPA33	CS288	4591.585714841573
GPA33	CS290	5466.03345092041
GPA33	CS292	3175.613950289624
GPA33	CS293	1706.8604915770236
GPA33	CS301	973.2009051388642
GPA33	CS306	1115.7988683592018
GPA33	CS308	1529.8989184121092
GPA33	CS315	635.4552518311383
GPA33	CS317	1.0691022518554174
