Gene	sample	counts
GPR79	CM317	1.0496947053399786
GPR79	CMCD140	1.0092852040017053
GPR79	CMCD147	1.0387377232738804
GPR79	CMCD152	1
GPR79	CMCD154	1.0097029263832331
GPR79	CMCD159	1.0826308846263835
GPR79	CMCD161	1.0030637444667863
GPR79	CMCD174	1.0883603953024104
GPR79	CMCD196	1.0088734782641728
GPR79	CMCD198	1.027928565649914
GPR79	CMCD203	2.0063581971028306
GPR79	CMCD211	0.8015566318744244
GPR79	CMCD227	0.8192952006583658
GPR79	CMCD240	0.9256708984213363
GPR79	CMCD259	1
GPR79	CMCD270	1.005170859507078
GPR79	CMCD275	1.0084289351631328
GPR79	CMCD282	1.0127082910163139
GPR79	CMCD286	0.9360259523322331
GPR79	CMCD287	5
GPR79	CMCD294	1.061130699852429
GPR79	CMCD327	1.0050818994069226
GPR79	CMCD335	1.0046546976589779
GPR79	CMCD337	1.0066357688747274
GPR79	CMCD357	1.0203676217787498
GPR79	CMCD398	1.0058055966749162
GPR79	CMCD403	1.007131956762018
GPR79	CMCD422	1.002086827591817
GPR79	CMCD426	1.109996027604914
GPR79	CMCD71	1.0063256548892079
GPR79	CMCD72	1.1440405671509037
GPR79	CMCD76	1.0022671640812284
GPR79	CMCD88	1.000179960941952
GPR79	CMSA256	1
GPR79	CMSA316	1.0080145694811098
GPR79	CMUC110	1
GPR79	CMUC192	1.0131538458119358
GPR79	CMUC199	1.0266064941522361
GPR79	CMUC200	1.0023284588262065
GPR79	CMUC208	1.0024434346676425
GPR79	CMUC231	4
GPR79	CMUC234	3
GPR79	CMUC285	1.0109066424484112
GPR79	CMUC291	1.0065605922780039
GPR79	CMUC295	1.0009001286274537
GPR79	CMUC299	1.0029139303926111
GPR79	CMUC301	1.0005399799895063
GPR79	CMUC307	1.0027530595094736
GPR79	CMUC313	1.0406199795536664
GPR79	CMUC314	1.0531743294773983
GPR79	CMUC323	1.0232441215691963
GPR79	CMUC324	1.0009001286274537
GPR79	CMUC331	1.008979678815539
GPR79	CMUC333	1.0226855040011238
GPR79	CMUC334	1.0147637781192929
GPR79	CMUC346	1.0107140402598958
GPR79	CMUC352	1.0059528932594937
GPR79	CMUC360	1.0012604069024411
GPR79	CMUC363	1.0255367303100333
GPR79	CMUC365	1.0065437279509373
GPR79	CMUC366	1.0032749335441427
GPR79	CMUC368	1
GPR79	CMUC377	1.0040587302830086
GPR79	CMUC379	1.0664515526402574
GPR79	CMUC380	1.0176874450837656
GPR79	CMUC383	1.0137840525909332
GPR79	CMUC394	1.007265338334756
GPR79	CMUC419	1.024221051989512
GPR79	CMUC427	1
GPR79	CMUC428	1.0062427879425755
GPR79	CMUC431	1.0018317001382826
GPR79	CMUC435	1.0048874606535836
GPR79	CMUC439	1.0063179408035714
GPR79	CMUC89	2
GPR79	CS219	1.002447533024164
GPR79	CS256	1.0022671640812284
GPR79	CS257	1.089979985878173
GPR79	CS259	1.0015292324755884
GPR79	CS261	1.0227433496373879
GPR79	CS266	1.0344406863242126
GPR79	CS270	1.0125793616529746
GPR79	CS277	3.7740803784811825
GPR79	CS288	1.0089179773327999
GPR79	CS290	1.007935358827293
GPR79	CS292	1.0136016438843358
GPR79	CS293	1.0159883878434666
GPR79	CS301	1.0255014806521223
GPR79	CS306	1.0369877958728642
GPR79	CS308	1.0254014198472583
GPR79	CS315	1.0265836055430344
GPR79	CS317	1.0691022518554174
GPR79	CS322	1.0131677901654654
GPR79	CS327	1.0046854175679107
GPR79	CS328	1.0532227797951625
GPR79	CS330	1.0732794536999326
GPR79	CS331	1.0183441621534113
GPR79	CS335	2.0181300957361485
GPR79	CS338	1.0294503626489493
GPR79	CS339	1.1642104248974183
GPR79	CS343	1.0079313245495483
GPR79	CS344	1.0136851471582224
GPR79	CS350	1.021809713154857
GPR79	CS351	1.0082169227776983
GPR79	CS361	1.0231543575157043
GPR79	CS388	1.0331387058791355
GPR79	CS396	1.010589221555441
GPR79	CS405	1.023931692107002
GPR79	CS415	1.0725849893611923
GPR79	CS424	1.0352517578472156
GPR79	IM293	1.005276670296832
GPR79	IM296	1.064463289332191
GPR79	IM297	1.0944885764691814
GPR79	IM300	1
GPR79	IM305	1.0098834104700367
GPR79	IM309	1.0649644397817766
