Gene	sample	counts
GTF3C2	CM317	219.3861934160555
GTF3C2	CMCD140	490.5126091448288
GTF3C2	CMCD147	269.033070327935
GTF3C2	CMCD152	1235
GTF3C2	CMCD154	379.64830032009564
GTF3C2	CMCD159	51.96628246206641
GTF3C2	CMCD161	729.2273422273536
GTF3C2	CMCD174	1.0883603953024104
GTF3C2	CMCD196	903.9506365246988
GTF3C2	CMCD198	236.4235700994802
GTF3C2	CMCD203	644.0409812700087
GTF3C2	CMCD211	1038.817394909254
GTF3C2	CMCD227	987.2507167933309
GTF3C2	CMCD240	1556.9784511446876
GTF3C2	CMCD259	1618
GTF3C2	CMCD270	606.118028282768
GTF3C2	CMCD275	541.5263381826023
GTF3C2	CMCD282	428.3756070999007
GTF3C2	CMCD286	1166.2883366059625
GTF3C2	CMCD287	1254
GTF3C2	CMCD294	120.96889978317691
GTF3C2	CMCD327	652.2981527150928
GTF3C2	CMCD335	890.1240621258545
GTF3C2	CMCD337	502.311248668489
GTF3C2	CMCD357	299.9880808029525
GTF3C2	CMCD398	427.46737858683935
GTF3C2	CMCD403	873.1834065126696
GTF3C2	CMCD422	557.1602761410503
GTF3C2	CMCD426	102.11963453965208
GTF3C2	CMCD71	356.2392818307796
GTF3C2	CMCD72	33.177176447376205
GTF3C2	CMCD76	815.8454715621199
GTF3C2	CMCD88	1281.2305299666405
GTF3C2	CMSA256	1234
GTF3C2	CMSA316	340.7089244846151
GTF3C2	CMUC110	1230
GTF3C2	CMUC192	398.1694614040908
GTF3C2	CMUC199	229.95985469010088
GTF3C2	CMUC200	759.7649717902646
GTF3C2	CMUC208	655.5980062726383
GTF3C2	CMUC231	910
GTF3C2	CMUC234	1197
GTF3C2	CMUC285	417.5044433311939
GTF3C2	CMUC291	507.30653850811393
GTF3C2	CMUC295	1060.9541363451008
GTF3C2	CMUC299	787.2874353581997
GTF3C2	CMUC301	968.522700629842
GTF3C2	CMUC307	718.9739436682926
GTF3C2	CMUC313	224.77391558359193
GTF3C2	CMUC314	135.85948850258438
GTF3C2	CMUC323	287.53159816094416
GTF3C2	CMUC324	683.6147878525509
GTF3C2	CMUC331	402.58289184740005
GTF3C2	CMUC333	241.35377894426523
GTF3C2	CMUC334	499.2637788346921
GTF3C2	CMUC346	532.6462992169651
GTF3C2	CMUC352	524.1014573881962
GTF3C2	CMUC360	300.3781220707324
GTF3C2	CMUC363	139.47299532216454
GTF3C2	CMUC365	495.2195141518612
GTF3C2	CMUC366	564.8437875853523
GTF3C2	CMUC368	1057
GTF3C2	CMUC377	757.0602826333884
GTF3C2	CMUC379	121.57547700098932
GTF3C2	CMUC380	350.0844811088154
GTF3C2	CMUC383	440.996062877056
GTF3C2	CMUC394	311.2449895454396
GTF3C2	CMUC419	299.07254718093753
GTF3C2	CMUC427	1468
GTF3C2	CMUC428	772.794461139898
GTF3C2	CMUC431	812.4855088121473
GTF3C2	CMUC435	777.7828945458738
GTF3C2	CMUC439	398.5019045582143
GTF3C2	CMUC89	1063
GTF3C2	CS219	845.0632703393702
GTF3C2	CS256	851.9270894690442
GTF3C2	CS257	41.419239463370566
GTF3C2	CS259	712.0872842901433
GTF3C2	CS261	214.77610342385142
GTF3C2	CS266	262.74793432635
GTF3C2	CS270	269.3461101996912
GTF3C2	CS277	77.36864775886424
GTF3C2	CS288	494.369808893072
GTF3C2	CS290	585.6104434786573
GTF3C2	CS292	377.05981152497293
GTF3C2	CS293	158.49418850358077
GTF3C2	CS301	216.38081241759784
GTF3C2	CS306	170.06599852314972
GTF3C2	CS308	271.7313762595234
GTF3C2	CS315	218.66230798066633
GTF3C2	CS317	1.0691022518554174
GTF3C2	CS322	423.5041362891646
GTF3C2	CS327	633.9564984853517
GTF3C2	CS328	83.20459960381785
GTF3C2	CS330	40.784619240597436
GTF3C2	CS331	416.5027623207452
GTF3C2	CS335	61.0484353960185
GTF3C2	CS338	281.0399490031632
GTF3C2	CS339	25.612629347743205
GTF3C2	CS343	489.85462373108044
GTF3C2	CS344	279.7771006156694
GTF3C2	CS350	153.27145697322854
GTF3C2	CS351	568.6343444466219
GTF3C2	CS361	254.76543502141035
GTF3C2	CS388	272.74861835209174
GTF3C2	CS396	427.4792407179516
GTF3C2	CS405	217.07351872668443
GTF3C2	CS415	58.99217441486557
GTF3C2	CS424	198.76833750666538
GTF3C2	IM293	503.6436118187128
GTF3C2	IM296	41.514068283955446
GTF3C2	IM297	6.566931458815088
GTF3C2	IM300	1508
GTF3C2	IM305	385.775462799554
GTF3C2	IM309	76.67743966428792
GTF3C2	IM310	429.67199153654167
GTF3C2	IM311	406.9561252237298
GTF3C2	IM316	412.06407461831753
GTF3C2	IM320	240.44691158700257
GTF3C2	IM330	312.12666844557594
GTF3C2	IM332	33.95998360169692
GTF3C2	IM340	94.82291158322599
GTF3C2	IM348	238.01623556790543
GTF3C2	IM354	448.17372075909805
GTF3C2	IM356	139.09937346070726
GTF3C2	IM364	300.9767094362782
GTF3C2	IM372	149.78719094867617
GTF3C2	IM374	287.0040224949047
GTF3C2	IM376	192.6751115712391
GTF3C2	IM381	363.41979696828247
GTF3C2	IM382	266.9689394916443
GTF3C2	IM385	664
GTF3C2	IM390	302.0447250611413
GTF3C2	IM397	410.5171578059971
GTF3C2	IM404	580.6596814598981
GTF3C2	IM409	552.104799824947
GTF3C2	IM412	639
GTF3C2	IM421	341.22739551468516
GTF3C2	IM425	1.0520033799095727
GTF3C2	IM432	168.3709918179761
GTF3C2	IM438	1171
GTF3C2	IM442	138.43816110338022
GTF3C2	IM445	338.7813011548282
GTF3C2	IM448	171.66403181001596
GTF3C2	IM449	415.4289905431682
GTF3C2	IM451	435.21376981995587
GTF3C2	IMSA256	618.4981832233781
GTF3C2	IMSA276	869
GTF3C2	IMSA286	1018
GTF3C2	IMSA343	426.22028493873114
GTF3C2	IS_238	1166
GTF3C2	IS238	2924.2569947763823
GTF3C2	IS243	1603
GTF3C2	IS253	1104
GTF3C2	IS283	1254
GTF3C2	IS322	338.454917577006
GTF3C2	IS399	214.47823570715408
GTF3C2	IS418	76.35787033953085
GTF3C2	IS430	143.88896651508992
GTF3C2	IS437	128.41983459390488
GTF3C2	IS444	251.91358999937736
GTF3C2	R276CMSA	100.86331425233244
GTF3C2	R286CMSA	1046
GTF3C2	R292CMSA	686.8367570570208
GTF3C2	R292IMSA	120.24960138113126
GTF3C2	R308CMSA	145.13529499858618
GTF3C2	R316IMSA	311.8917074635565
GTF3C2	R347CMSA	146.76268154498297
GTF3C2	R347IMSA	179.51148680968623
GTF3C2	R371CMSA	509.0181177317961
GTF3C2	SRR10104064	31.064642763037234
GTF3C2	SRR10104065	162.9488749517241
GTF3C2	SRR10104066	148.7359678048462
GTF3C2	SRR10104067	82.86762886435164
GTF3C2	SRR10104068	106.49352109805588
GTF3C2	SRR10104069	155.76441956196646
GTF3C2	SRR10104070	75.14550648935612
GTF3C2	SRR10104071	4.642421163408938
GTF3C2	SRR10104072	44.93527435302005
GTF3C2	SRR10104073	57.45597215186747
GTF3C2	SRR10104074	36.16213731361426
GTF3C2	SRR10104075	26.473231599356694
GTF3C2	SRR10104076	64.7422497743682
GTF3C2	SRR10104077	45.13188888398489
GTF3C2	SRR10104078	85.39703336520009
GTF3C2	SRR10104079	44.66979256496828
GTF3C2	SRR10104080	34.76706302311185
GTF3C2	SRR10104081	100.568563182178
GTF3C2	SRR10104082	42.20780617623789
GTF3C2	SRR10104083	34.022362849077005
GTF3C2	SRR10104084	35.238942266812714
GTF3C2	SRR10104085	87.91069013221022
GTF3C2	SRR10104086	79.93319168645834
GTF3C2	SRR10104087	178.56960141297563
GTF3C2	SRR10104088	201.82269832024917
GTF3C2	SRR10104089	32.90762277292891
GTF3C2	SRR10104090	76.9727645801168
GTF3C2	SRR10104091	34.38884899314145
GTF3C2	SRR10104092	148.8718811761164
GTF3C2	SRR10104093	64.12645396646833
GTF3C2	SRR10104094	55.83721226623939
GTF3C2	SRR10104095	50.59495705682929
GTF3C2	SRR10104096	28.642964378995725
GTF3C2	SRR10104097	29.76738597669465
GTF3C2	SRR10104098	82.38094223853547
GTF3C2	SRR10104099	48.183946888018724
GTF3C2	SRR10104100	65.86010257793416
GTF3C2	SRR10104101	189.04831780614668
GTF3C2	SRR10104102	135.03715178207892
GTF3C2	SRR10104103	59.968626860361034
GTF3C2	SRR10104104	85.30179904751074
GTF3C2	SRR10104105	29.182550098330903
GTF3C2	SRR10104106	21.478661525322934
GTF3C2	SRR10104107	167.58955076138415
GTF3C2	SRR10104108	204.39201483846057
GTF3C2	SRR10104109	19.012740496076027
GTF3C2	SRR10104110	16.657993723855725
GTF3C2	SRR10104111	102.23831182672723
GTF3C2	SRR10104112	22.545801724433577
GTF3C2	SRR10104113	72.50875860176855
GTF3C2	SRR10104114	12.900867303748086
GTF3C2	SRR10104115	27.461328095495524
GTF3C2	SRR10104116	71.1776192478104
GTF3C2	SRR10104117	82.0690421511682
GTF3C2	SRR10104118	22.86705701502954
GTF3C2	SRR10104119	14.277825908644004
GTF3C2	SRR10104120	97.57170209574409
GTF3C2	SRR10104121	31.371466778674368
GTF3C2	SRR10104122	46.84845311328588
GTF3C2	SRR10104123	42.199875095425
GTF3C2	SRR10104124	23.44468743694743
GTF3C2	SRR10104125	28.595014115898792
GTF3C2	SRR10104126	64.44619249674173
GTF3C2	SRR10104127	27.274279597814676
GTF3C2	SRR10104128	97.73378634260209
GTF3C2	SRR10104129	85.18254854511135
GTF3C2	SRR10104130	65.59225585580286
GTF3C2	SRR10104131	137.54075031776307
GTF3C2	SRR10104132	174.24792462467698
GTF3C2	SRR10104133	20.947831693598072
GTF3C2	SRR10104134	66.9569497239826
GTF3C2	SRR10104135	37.42740673089078
GTF3C2	SRR10104136	115.71185213817985
GTF3C2	SRR10104137	28.801249874957016
GTF3C2	SRR10104138	11.955014663661709
GTF3C2	SRR10104139	193.1691313932377
GTF3C2	SRR10104140	35.411495341795984
GTF3C2	SRR10104141	65.69002319616024
GTF3C2	SRR10104142	33.642232655779175
GTF3C2	SRR10104143	140.13679764261272
GTF3C2	SRR10104144	59.33004960071769
GTF3C2	SRR10104145	48.867772014800316
GTF3C2	SRR10104146	185.77038001251594
GTF3C2	SRR10104147	313.5350636779527
GTF3C2	SRR10104148	54.68567245012104
GTF3C2	SRR10104149	64.89818938032285
GTF3C2	SRR10104150	94.08131800722336
GTF3C2	SRR10104151	192.46229228347306
GTF3C2	SRR10104152	259.45039216246755
GTF3C2	SRR10104153	29.752103236964647
GTF3C2	SRR10104154	79.35046723631753
GTF3C2	SRR10104155	31.54836316679767
GTF3C2	SRR10104156	210.85233335943178
GTF3C2	SRR10104157	55.59252195203415
GTF3C2	SRR10104158	90.82588343818556
GTF3C2	SRR10104159	133.66326164010295
GTF3C2	SRR10104160	21.36825973809654
GTF3C2	SRR10104161	244.4212054758518
GTF3C2	SRR10104162	135.70495325298435
GTF3C2	SRR10104163	80.34770730570936
GTF3C2	SRR10104164	122.35615511037257
GTF3C2	SRR10104165	60.21982777065194
GTF3C2	SRR10104166	114.48208888337818
GTF3C2	SRR10104167	161.56794756333096
GTF3C2	SRR10104168	91.54710480441584
GTF3C2	SRR10104169	107.59219853632868
GTF3C2	SRR10104170	104.03627749307283
GTF3C2	SRR10104171	97.27785731144957
GTF3C2	SRR10104172	80.63978766550134
GTF3C2	SRR10104173	57.260988455920405
GTF3C2	SRR10104174	69.26666450752265
GTF3C2	SRR10104175	133.94457957446787
GTF3C2	SRR10104176	160.53111402385738
GTF3C2	SRR10104177	108.68499476201384
GTF3C2	SRR10104178	126.68659787163753
GTF3C2	SRR10104179	98.29127760202759
GTF3C2	SRR10104180	134.89742423680082
GTF3C2	SRR10104181	102.67665308530657
GTF3C2	SRR10104182	53.826988066116144
GTF3C2	SRR10104183	64.95418412584108
GTF3C2	SRR10104184	106.21244482909916
GTF3C2	SRR10104185	34.035423810674786
GTF3C2	SRR10104186	84.70151135601807
GTF3C2	SRR10104187	46.31027669288565
GTF3C2	SRR10104188	50.585546058498835
GTF3C2	SRR10104189	50.858700471849666
GTF3C2	SRR10104190	14.894025129068044
GTF3C2	SRR10104191	23.888373291132865
GTF3C2	SRR10104192	80.03213135636362
GTF3C2	SRR10104193	91.50613111914869
GTF3C2	SRR10104194	90.73055172507185
GTF3C2	SRR10104195	63.55432435506433
GTF3C2	SRR10104196	68.68279765795535
GTF3C2	SRR10104197	114.9015389364559
GTF3C2	SRR10104198	113.86889757235222
GTF3C2	SRR10104199	35.71528116313215
GTF3C2	SRR10104200	68.33254968492722
GTF3C2	SRR10104201	179.58559515645481
GTF3C2	SRR10104202	49.04319991853916
GTF3C2	SRR10104203	117.60322503730492
GTF3C2	SRR10104204	116.54209287072268
GTF3C2	SRR10104205	118.08947519931276
GTF3C2	SRR10104206	106.99167245281484
GTF3C2	SRR10104207	103.27220098173927
GTF3C2	SRR10104208	100.74587657520087
GTF3C2	SRR10104209	144.26596209246046
GTF3C2	SRR10104210	103.65679830601859
GTF3C2	SRR10104211	88.63238522756167
GTF3C2	SRR10104212	154.85065552000734
GTF3C2	SRR10104213	47.65146765169473
GTF3C2	SRR10104214	104.02741834426297
GTF3C2	SRR10104215	135.43568139482605
GTF3C2	SRR10104216	50.91072818859149
GTF3C2	SRR10104217	83.01802657039002
GTF3C2	SRR10104218	69.13634238338992
GTF3C2	SRR10104219	40.40729310879538
GTF3C2	SRR10104220	160.4431224923912
GTF3C2	SRR10104221	83.71719974337638
GTF3C2	SRR10104222	89.27990829666996
GTF3C2	SRR10104223	35.2989817724089
GTF3C2	SRR10104224	101.51312556661084
GTF3C2	SRR10104225	82.51332042898973
GTF3C2	SRR10104226	67.52780814471986
GTF3C2	SRR10104227	38.6977901664923
GTF3C2	SRR10104228	36.92409785621728
GTF3C2	SRR10104229	206.39638726439526
GTF3C2	SRR10104230	51.75476508908867
GTF3C2	SRR10104231	62.4129597038472
GTF3C2	SRR10104232	72.06453966723166
