Gene	sample	counts
HCK	CM317	667.6058325962264
HCK	CMCD140	1227.2908080660736
HCK	CMCD147	621.1651585177804
HCK	CMCD152	2135
HCK	CMCD154	467.4924549154369
HCK	CMCD159	547.81122762095
HCK	CMCD161	911.7849437203087
HCK	CMCD174	479.966934328363
HCK	CMCD196	1085.54786261225
HCK	CMCD198	594.1427109456503
HCK	CMCD203	1551.9180654590396
HCK	CMCD211	2195.4636147040483
HCK	CMCD227	4579.860171680265
HCK	CMCD240	854.3942392428934
HCK	CMCD259	2313
HCK	CMCD270	954.9123165317241
HCK	CMCD275	870.2741710457836
HCK	CMCD282	1112.9664118269288
HCK	CMCD286	1545.3788473005168
HCK	CMCD287	1583
HCK	CMCD294	668.5123409070303
HCK	CMCD327	4102.744313379058
HCK	CMCD335	2768.8283467481433
HCK	CMCD337	892.8859269918833
HCK	CMCD357	857.1088022941499
HCK	CMCD398	686.9652225289677
HCK	CMCD403	1351.5710859746282
HCK	CMCD422	943.9657915914918
HCK	CMCD426	472.85830775969333
HCK	CMCD71	1368.6028906493227
HCK	CMCD72	596.0451354856208
HCK	CMCD76	1881.2554669804656
HCK	CMCD88	3842.6914099389796
HCK	CMSA256	2319
HCK	CMSA316	743.914752277059
HCK	CMUC110	2624
HCK	CMUC192	1049.6273842611656
HCK	CMUC199	614.9372899971894
HCK	CMUC200	2194.096996370566
HCK	CMUC208	1188.897913515824
HCK	CMUC231	1252
HCK	CMUC234	1724
HCK	CMUC285	1374.8330337298394
HCK	CMUC291	6427.895942287332
HCK	CMUC295	883.7948135780416
HCK	CMUC299	2408.9992608030516
HCK	CMUC301	1864.00598272045
HCK	CMUC307	641.7619580860631
HCK	CMUC313	907.420622170797
HCK	CMUC314	927.8465842695879
HCK	CMUC323	1069.2901070398102
HCK	CMUC324	824.7417059890219
HCK	CMUC331	711.3306735649551
HCK	CMUC333	1216.9957497613375
HCK	CMUC334	1375.0049193516418
HCK	CMUC346	936.9319153209234
HCK	CMUC352	1072.3457842146202
HCK	CMUC360	722.9100137835626
HCK	CMUC363	554.8153710977281
HCK	CMUC365	1123.3028003932461
HCK	CMUC366	1397.5619824269907
HCK	CMUC368	1678
HCK	CMUC377	1405.682222396212
HCK	CMUC379	493.7670688724391
HCK	CMUC380	570.9226566919925
HCK	CMUC383	979.3153948028415
HCK	CMUC394	636.5916938275658
HCK	CMUC419	791.7228731878928
HCK	CMUC427	2039
HCK	CMUC428	1458.045799728792
HCK	CMUC431	1151.1046234588869
HCK	CMUC435	861.1885537801212
HCK	CMUC439	628.9487130022321
HCK	CMUC89	879
HCK	CS219	981.3961348306565
HCK	CS256	1516.4302192548985
HCK	CS257	394.57275488789855
HCK	CS259	1793.7388553637788
HCK	CS261	1001.2657392950026
HCK	CS266	734.4528872901909
HCK	CS270	603.4972995451728
HCK	CS277	455.7202057016028
HCK	CS288	958.4720784661599
HCK	CS290	1295.1969360930716
HCK	CS292	721.6843704456471
HCK	CS293	618.7369281966711
HCK	CS301	587.6123484136662
HCK	CS306	472.866434918026
HCK	CS308	729.0604095114006
HCK	CS315	468.12212412762364
HCK	CS317	394.498730934649
HCK	CS322	840.9292658373364
HCK	CS327	1165.4350843787765
HCK	CS328	409.70366134031826
HCK	CS330	389.60044169307554
HCK	CS331	485.7501653471772
HCK	CS335	241.6710789644038
HCK	CS338	669.1427357218171
HCK	CS339	396.99575489001967
HCK	CS343	1304.2631339671154
HCK	CS344	422.70670636497874
HCK	CS350	500.6867594458799
HCK	CS351	966.8800289438126
