Gene	sample	counts
HELLPAR	CM317	13.646031169419722
HELLPAR	CMCD140	1.0092852040017053
HELLPAR	CMCD147	30.123393974942527
HELLPAR	CMCD152	1
HELLPAR	CMCD154	1.0097029263832331
HELLPAR	CMCD159	23.817879461780436
HELLPAR	CMCD161	1.0030637444667863
HELLPAR	CMCD174	28.29737027786267
HELLPAR	CMCD196	1.0088734782641728
HELLPAR	CMCD198	2.055857131299828
HELLPAR	CMCD203	1.0031790985514153
HELLPAR	CMCD211	4.0077831593721225
HELLPAR	CMCD227	6.5543616052669265
HELLPAR	CMCD240	0.9256708984213363
HELLPAR	CMCD259	5
HELLPAR	CMCD270	1.005170859507078
HELLPAR	CMCD275	1.0084289351631328
HELLPAR	CMCD282	1.0127082910163139
HELLPAR	CMCD286	6.552181666325631
HELLPAR	CMCD287	3
HELLPAR	CMCD294	1.061130699852429
HELLPAR	CMCD327	1.0050818994069226
HELLPAR	CMCD335	1.0046546976589779
HELLPAR	CMCD337	1.0066357688747274
HELLPAR	CMCD357	1.0203676217787498
HELLPAR	CMCD398	1.0058055966749162
HELLPAR	CMCD403	1.007131956762018
HELLPAR	CMCD422	1.002086827591817
HELLPAR	CMCD426	1.109996027604914
HELLPAR	CMCD71	1.0063256548892079
HELLPAR	CMCD72	1.1440405671509037
HELLPAR	CMCD76	1.0022671640812284
HELLPAR	CMCD88	1.000179960941952
HELLPAR	CMSA256	1
HELLPAR	CMSA316	1.0080145694811098
HELLPAR	CMUC110	1
HELLPAR	CMUC192	1.0131538458119358
HELLPAR	CMUC199	1.0266064941522361
HELLPAR	CMUC200	1.0023284588262065
HELLPAR	CMUC208	1.0024434346676425
HELLPAR	CMUC231	1
HELLPAR	CMUC234	3
HELLPAR	CMUC285	1.0109066424484112
HELLPAR	CMUC291	1.0065605922780039
HELLPAR	CMUC295	1.0009001286274537
HELLPAR	CMUC299	1.0029139303926111
HELLPAR	CMUC301	1.0005399799895063
HELLPAR	CMUC307	1.0027530595094736
HELLPAR	CMUC313	1.0406199795536664
HELLPAR	CMUC314	1.0531743294773983
HELLPAR	CMUC323	1.0232441215691963
HELLPAR	CMUC324	1.0009001286274537
HELLPAR	CMUC331	1.008979678815539
HELLPAR	CMUC333	1.0226855040011238
HELLPAR	CMUC334	1.0147637781192929
HELLPAR	CMUC346	3.0321421207796875
HELLPAR	CMUC352	1.0059528932594937
HELLPAR	CMUC360	138.1739361525369
HELLPAR	CMUC363	7.178757112170233
HELLPAR	CMUC365	1.0065437279509373
HELLPAR	CMUC366	1.0032749335441427
HELLPAR	CMUC368	7
HELLPAR	CMUC377	1.0040587302830086
HELLPAR	CMUC379	6.398709315841543
HELLPAR	CMUC380	1.0176874450837656
HELLPAR	CMUC383	18.248112946636798
HELLPAR	CMUC394	89.64661511179328
HELLPAR	CMUC419	1.024221051989512
HELLPAR	CMUC427	2
HELLPAR	CMUC428	1.0062427879425755
HELLPAR	CMUC431	1.0018317001382826
HELLPAR	CMUC435	1.0048874606535836
HELLPAR	CMUC439	1.0063179408035714
HELLPAR	CMUC89	5
HELLPAR	CS219	1.002447533024164
HELLPAR	CS256	1.0022671640812284
HELLPAR	CS257	9.809819872903555
HELLPAR	CS259	1.0015292324755884
HELLPAR	CS261	1.0227433496373879
HELLPAR	CS266	8.2755254905937
HELLPAR	CS270	1.0125793616529746
HELLPAR	CS277	157.5678558015894
HELLPAR	CS288	2.0178359546655997
HELLPAR	CS290	1.007935358827293
HELLPAR	CS292	1.0136016438843358
HELLPAR	CS293	6.095930327060799
HELLPAR	CS301	2.0510029613042446
HELLPAR	CS306	1.0369877958728642
HELLPAR	CS308	1.0254014198472583
HELLPAR	CS315	1.0265836055430344
HELLPAR	CS317	230.92608640077015
HELLPAR	CS322	1.0131677901654654
HELLPAR	CS327	4.018741670271643
HELLPAR	CS328	142.18507527234695
HELLPAR	CS330	62.25020831459609
HELLPAR	CS331	29.531980702448926
HELLPAR	CS335	88.2931916884565
HELLPAR	CS338	1.0294503626489493
HELLPAR	CS339	1.1642104248974183
HELLPAR	CS343	1.0079313245495483
HELLPAR	CS344	1.0136851471582224
HELLPAR	CS350	139.9879307022154
HELLPAR	CS351	9.073952304999285
HELLPAR	CS361	1.0231543575157043
HELLPAR	CS388	1.0331387058791355
HELLPAR	CS396	1.010589221555441
HELLPAR	CS405	1.023931692107002
HELLPAR	CS415	10.725849893611922
HELLPAR	CS424	37.26906328249976
HELLPAR	IM293	1.005276670296832
HELLPAR	IM296	9.580169603989718
HELLPAR	IM297	22.984260105852808
HELLPAR	IM300	1
HELLPAR	IM305	1.0098834104700367
HELLPAR	IM309	117.14608837599543
HELLPAR	IM310	8.107018708236636
HELLPAR	IM311	17.209587385083104
HELLPAR	IM316	29.145995521783437
HELLPAR	IM320	1.0454213547260982
HELLPAR	IM330	13.13154268541258
HELLPAR	IM332	396.19980868646405
HELLPAR	IM340	141.1807794683587
HELLPAR	IM348	1.034853198121328
HELLPAR	IM354	1.007131956762018
HELLPAR	IM356	361.8599642927095
HELLPAR	IM364	8.134505660439952
HELLPAR	IM372	93.98411981093406
HELLPAR	IM374	41.89839744451163
HELLPAR	IM376	56.78845393678627
HELLPAR	IM381	2.0246228243358355
HELLPAR	IM382	1.0307681061453446
HELLPAR	IM385	1
HELLPAR	IM390	1.0273630104120455
HELLPAR	IM397	1.0111260044482688
HELLPAR	IM404	1.0028664619341938
HELLPAR	IM409	1.0056553730873352
HELLPAR	IM412	12
HELLPAR	IM421	4.062230898984347
HELLPAR	IM425	817.406626189738
HELLPAR	IM432	6.235962659925041
HELLPAR	IM438	7
HELLPAR	IM442	1.0408884293487235
HELLPAR	IM445	1.0112874661338156
HELLPAR	IM448	82.76658676554341
HELLPAR	IM449	1.0083227925805054
HELLPAR	IM451	1.005112632378651
HELLPAR	IMSA256	1.0040554922457436
HELLPAR	IMSA276	3
HELLPAR	IMSA286	1
HELLPAR	IMSA343	1.0123997266953233
HELLPAR	IS_238	1
HELLPAR	IS238	4.092731973095007
HELLPAR	IS243	1
HELLPAR	IS253	1
HELLPAR	IS283	1
HELLPAR	IS322	12.123758241564392
HELLPAR	IS399	32.22208235976024
HELLPAR	IS418	1.0908267191361551
HELLPAR	IS430	1.0818719286848866
HELLPAR	IS437	1.0791582738983603
HELLPAR	IS444	1.0366814403266558
HELLPAR	R276CMSA	1.061719097392973
HELLPAR	R286CMSA	1
