Gene	sample	counts
HMGB3P24	CM317	1.0496947053399786
HMGB3P24	CMCD140	3.027855612005116
HMGB3P24	CMCD147	1.0387377232738804
HMGB3P24	CMCD152	4
HMGB3P24	CMCD154	1.0097029263832331
HMGB3P24	CMCD159	2.165261769252767
HMGB3P24	CMCD161	1.0030637444667863
HMGB3P24	CMCD174	1.0883603953024104
HMGB3P24	CMCD196	15.133102173962591
HMGB3P24	CMCD198	3.0837856969497417
HMGB3P24	CMCD203	7.022253689859908
HMGB3P24	CMCD211	10.420236214367517
HMGB3P24	CMCD227	13.108723210533853
HMGB3P24	CMCD240	11.108050781056036
HMGB3P24	CMCD259	8
HMGB3P24	CMCD270	6.0310251570424684
HMGB3P24	CMCD275	3.025286805489398
HMGB3P24	CMCD282	1.0127082910163139
HMGB3P24	CMCD286	14.040389284983496
HMGB3P24	CMCD287	7
HMGB3P24	CMCD294	1.061130699852429
HMGB3P24	CMCD327	12.060982792883072
HMGB3P24	CMCD335	9.041892278930801
HMGB3P24	CMCD337	1.0066357688747274
HMGB3P24	CMCD357	2.0407352435574997
HMGB3P24	CMCD398	6.034833580049496
HMGB3P24	CMCD403	3.021395870286054
HMGB3P24	CMCD422	4.008347310367268
HMGB3P24	CMCD426	1.109996027604914
HMGB3P24	CMCD71	2.0126513097784158
HMGB3P24	CMCD72	1.1440405671509037
HMGB3P24	CMCD76	2.004534328162457
HMGB3P24	CMCD88	3.0005398828258563
HMGB3P24	CMSA256	9
HMGB3P24	CMSA316	7.056101986367769
HMGB3P24	CMUC110	8
HMGB3P24	CMUC192	1.0131538458119358
HMGB3P24	CMUC199	1.0266064941522361
HMGB3P24	CMUC200	7.016299211783445
HMGB3P24	CMUC208	3.007330304002928
HMGB3P24	CMUC231	10
HMGB3P24	CMUC234	6
HMGB3P24	CMUC285	3.032719927345234
HMGB3P24	CMUC291	3.0196817768340116
HMGB3P24	CMUC295	5.004500643137268
HMGB3P24	CMUC299	2.0058278607852222
HMGB3P24	CMUC301	6.003239879937037
HMGB3P24	CMUC307	8.022024476075789
HMGB3P24	CMUC313	1.0406199795536664
HMGB3P24	CMUC314	1.0531743294773983
HMGB3P24	CMUC323	2.0464882431383926
HMGB3P24	CMUC324	6.005400771764722
HMGB3P24	CMUC331	4.035918715262156
HMGB3P24	CMUC333	1.0226855040011238
HMGB3P24	CMUC334	3.0442913343578786
HMGB3P24	CMUC346	1.0107140402598958
HMGB3P24	CMUC352	8.04762314607595
HMGB3P24	CMUC360	11.013864475926853
HMGB3P24	CMUC363	1.0255367303100333
HMGB3P24	CMUC365	1.0065437279509373
HMGB3P24	CMUC366	4.013099734176571
HMGB3P24	CMUC368	5
HMGB3P24	CMUC377	1.0040587302830086
HMGB3P24	CMUC379	1.0664515526402574
HMGB3P24	CMUC380	4.0707497803350625
HMGB3P24	CMUC383	1.0137840525909332
HMGB3P24	CMUC394	10.072653383347559
HMGB3P24	CMUC419	1.024221051989512
HMGB3P24	CMUC427	25
HMGB3P24	CMUC428	13.081156243253481
HMGB3P24	CMUC431	13.023812101797676
HMGB3P24	CMUC435	15.073311909803754
HMGB3P24	CMUC439	9.056861467232142
HMGB3P24	CMUC89	1
HMGB3P24	CS219	2.004895066048328
HMGB3P24	CS256	13.02947313305597
HMGB3P24	CS257	1.089979985878173
HMGB3P24	CS259	3.004587697426765
HMGB3P24	CS261	1.0227433496373879
HMGB3P24	CS266	9.309966176917914
HMGB3P24	CS270	1.0125793616529746
HMGB3P24	CS277	12.265761230063843
HMGB3P24	CS288	4.0356719093311995
HMGB3P24	CS290	4.031741435309172
HMGB3P24	CS292	6.0816098633060145
HMGB3P24	CS293	1.0159883878434666
HMGB3P24	CS301	1.0255014806521223
HMGB3P24	CS306	1.0369877958728642
HMGB3P24	CS308	1.0254014198472583
HMGB3P24	CS315	4.106334422172138
HMGB3P24	CS317	1.0691022518554174
HMGB3P24	CS322	8.105342321323723
HMGB3P24	CS327	10.046854175679108
HMGB3P24	CS328	1.0532227797951625
HMGB3P24	CS330	1.0732794536999326
HMGB3P24	CS331	1.0183441621534113
HMGB3P24	CS335	3.5317276675382603
HMGB3P24	CS338	1.0294503626489493
HMGB3P24	CS339	1.1642104248974183
HMGB3P24	CS343	2.0158626490990965
HMGB3P24	CS344	4.05474058863289
HMGB3P24	CS350	12.261716557858284
HMGB3P24	CS351	6.0493015366661895
HMGB3P24	CS361	2.0463087150314085
HMGB3P24	CS388	1.0331387058791355
HMGB3P24	CS396	13.137659880220735
HMGB3P24	CS405	3.071795076321006
HMGB3P24	CS415	1.0725849893611923
HMGB3P24	CS424	1.0352517578472156
HMGB3P24	IM293	1.005276670296832
HMGB3P24	IM296	1.064463289332191
HMGB3P24	IM297	1.0944885764691814
HMGB3P24	IM300	9
HMGB3P24	IM305	1.0098834104700367
HMGB3P24	IM309	1.0649644397817766
HMGB3P24	IM310	1.0133773385295795
HMGB3P24	IM311	2.0246573394215415
HMGB3P24	IM316	3.0151029850120796
HMGB3P24	IM320	1.0454213547260982
HMGB3P24	IM330	3.03035600432598
HMGB3P24	IM332	1.0290904121726339
HMGB3P24	IM340	1.0535879064802887
HMGB3P24	IM348	2.069706396242656
HMGB3P24	IM354	2.014263913524036
HMGB3P24	IM356	1.007966474352951
HMGB3P24	IM364	1.016813207554994
HMGB3P24	IM372	0.9790012480305632
HMGB3P24	IM374	1.0474599361127908
HMGB3P24	IM376	6.084477207512815
HMGB3P24	IM381	1.0123114121679178
HMGB3P24	IM382	1.0307681061453446
HMGB3P24	IM385	8
HMGB3P24	IM390	1.0273630104120455
HMGB3P24	IM397	1.0111260044482688
HMGB3P24	IM404	2.0057329238683876
HMGB3P24	IM409	3.0169661192620056
HMGB3P24	IM412	6
HMGB3P24	IM421	5.0777886237304335
HMGB3P24	IM425	14.728047318734017
HMGB3P24	IM432	3.1179813299625203
HMGB3P24	IM438	11
HMGB3P24	IM442	1.0408884293487235
HMGB3P24	IM445	3.033862398401447
HMGB3P24	IM448	1.021809713154857
HMGB3P24	IM449	6.049936755483032
HMGB3P24	IM451	3.015337897135953
HMGB3P24	IMSA256	8.03244393796595
HMGB3P24	IMSA276	6
HMGB3P24	IMSA286	10
HMGB3P24	IMSA343	1.0123997266953233
HMGB3P24	IS_238	15
HMGB3P24	IS238	10.743421429374393
HMGB3P24	IS243	12
HMGB3P24	IS253	12
HMGB3P24	IS283	14
HMGB3P24	IS322	1.0103131867970327
HMGB3P24	IS399	1.0069400737425076
HMGB3P24	IS418	1.0908267191361551
HMGB3P24	IS430	2.163743857369773
HMGB3P24	IS437	1.0791582738983603
HMGB3P24	IS444	1.0366814403266558
HMGB3P24	R276CMSA	1.061719097392973
HMGB3P24	R286CMSA	4
HMGB3P24	R292CMSA	2.008294611277839
HMGB3P24	R292IMSA	1.073657155188672
HMGB3P24	R308CMSA	1.06717128675431
HMGB3P24	R316IMSA	1.0192539459593348
HMGB3P24	R347CMSA	1.063497692354949
HMGB3P24	R347IMSA	1.0621981468028772
HMGB3P24	R371CMSA	1.003980508346738
HMGB3P24	SRR10104064	1.1094515272513297
HMGB3P24	SRR10104065	1.0058572527884204
HMGB3P24	SRR10104066	1.0187395055126454
HMGB3P24	SRR10104067	1.023057146473477
HMGB3P24	SRR10104068	1.0046558594156214
HMGB3P24	SRR10104069	2.0229145397657984
HMGB3P24	SRR10104070	2.058780999708387
HMGB3P24	SRR10104071	1.1606052908522344
HMGB3P24	SRR10104072	4.2795499383828615
HMGB3P24	SRR10104073	1.044654039124863
HMGB3P24	SRR10104074	1.095822342836796
HMGB3P24	SRR10104075	1.1510100695372476
HMGB3P24	SRR10104076	2.0553095166466093
HMGB3P24	SRR10104077	1.100777777658168
HMGB3P24	SRR10104078	2.0828544723219533
HMGB3P24	SRR10104079	1.0895071357309336
HMGB3P24	SRR10104080	1.121518162035866
HMGB3P24	SRR10104081	1.0158440725472526
HMGB3P24	SRR10104082	1.0822514404163561
HMGB3P24	SRR10104083	1.0631988390336564
HMGB3P24	SRR10104084	1.067846735357961
HMGB3P24	SRR10104085	2.0444346542374467
