Gene	sample	counts
HNRNPD	CM317	1948.2333731110002
HNRNPD	CMCD140	2037.7468268794432
HNRNPD	CMCD147	1733.653260144106
HNRNPD	CMCD152	4927
HNRNPD	CMCD154	2249.6181199818434
HNRNPD	CMCD159	1424.7422441683207
HNRNPD	CMCD161	3015.2096158671593
HNRNPD	CMCD174	1433.3706406132744
HNRNPD	CMCD196	2437.4383234862416
HNRNPD	CMCD198	1581.9820625352174
HNRNPD	CMCD203	3552.257187970562
HNRNPD	CMCD211	3907.588580387819
HNRNPD	CMCD227	3323.061333870332
HNRNPD	CMCD240	4370.092311447129
HNRNPD	CMCD259	5280
HNRNPD	CMCD270	2646.6148730821365
HNRNPD	CMCD275	2307.2854036532476
HNRNPD	CMCD282	1925.1584612220124
HNRNPD	CMCD286	3872.339364798448
HNRNPD	CMCD287	3827
HNRNPD	CMCD294	1459.05471229709
HNRNPD	CMCD327	3321.7956775398793
HNRNPD	CMCD335	3119.4528362311266
HNRNPD	CMCD337	2822.606695924736
HNRNPD	CMCD357	2494.7988352490433
HNRNPD	CMCD398	2527.589464444064
HNRNPD	CMCD403	3112.0377463946356
HNRNPD	CMCD422	3566.4270193992775
HNRNPD	CMCD426	1627.2541764688037
HNRNPD	CMCD71	2439.3333874514396
HNRNPD	CMCD72	1578.775982668247
HNRNPD	CMCD76	2477.6044296087966
HNRNPD	CMCD88	3661.6588370084864
HNRNPD	CMSA256	4214
HNRNPD	CMSA316	2555.316933634613
HNRNPD	CMUC110	5214
HNRNPD	CMUC192	1855.0846916816545
HNRNPD	CMUC199	1552.229019158181
HNRNPD	CMUC200	3154.3276599260716
HNRNPD	CMUC208	2601.3407129625325
HNRNPD	CMUC231	4243
HNRNPD	CMUC234	5493
HNRNPD	CMUC285	2895.23662397225
HNRNPD	CMUC291	2710.6676750046645
HNRNPD	CMUC295	3648.2809688470684
HNRNPD	CMUC299	3318.64219566915
HNRNPD	CMUC301	4111.218777776881
HNRNPD	CMUC307	3210.8152965493346
HNRNPD	CMUC313	1931.3906820516047
HNRNPD	CMUC314	1831.4701589611957
HNRNPD	CMUC323	2089.464496244299
HNRNPD	CMUC324	3379.0388342462834
HNRNPD	CMUC331	2483.0989895650414
HNRNPD	CMUC333	2044.3483224982465
HNRNPD	CMUC334	2482.1122012797905
HNRNPD	CMUC346	2562.1600920588357
HNRNPD	CMUC352	3191.888530312373
HNRNPD	CMUC360	2422.048924297005
HNRNPD	CMUC363	1673.6759438659744
HNRNPD	CMUC365	2365.3777606847025
HNRNPD	CMUC366	3613.7963106260017
HNRNPD	CMUC368	6285
HNRNPD	CMUC377	3585.4937258406235
HNRNPD	CMUC379	1537.823138907251
HNRNPD	CMUC380	2038.4279525027828
HNRNPD	CMUC383	2412.8060451664214
HNRNPD	CMUC394	2245.194439148171
HNRNPD	CMUC419	1764.7328725779294
HNRNPD	CMUC427	7110
HNRNPD	CMUC428	3902.209531641308
HNRNPD	CMUC431	3976.270017848844
HNRNPD	CMUC435	3764.308427608324
HNRNPD	CMUC439	3191.034190288125
HNRNPD	CMUC89	4046
HNRNPD	CS219	2846.9509937886255
HNRNPD	CS256	3129.078086261595
HNRNPD	CS257	1451.8533411897263
HNRNPD	CS259	3474.304907457816
HNRNPD	CS261	1524.9103343093452
HNRNPD	CS266	1623.0374368426897
HNRNPD	CS270	1680.8817403439377
HNRNPD	CS277	1245.4465248987904
HNRNPD	CS288	2300.332988318784
HNRNPD	CS290	2598.4573550567616
HNRNPD	CS292	1865.0270247471778
HNRNPD	CS293	1437.6235687985052
HNRNPD	CS301	1572.0937698397036
HNRNPD	CS306	1449.708938630264
HNRNPD	CS308	2055.929846793753
HNRNPD	CS315	1813.9732309945416
HNRNPD	CS317	1379.1419048934883
HNRNPD	CS322	3311.032338260741
HNRNPD	CS327	4991.2771544773805
HNRNPD	CS328	1388.1476237700244
HNRNPD	CS330	1398.4831281710121
HNRNPD	CS331	1528.5345873922704
HNRNPD	CS335	725.5177694171455
HNRNPD	CS338	2037.282267682271
HNRNPD	CS339	1578.6693361608993
HNRNPD	CS343	2845.3901292033747
HNRNPD	CS344	1888.4954291557685
HNRNPD	CS350	1465.2751286640648
HNRNPD	CS351	2767.555453024782
HNRNPD	CS361	2319.4909284881014
HNRNPD	CS388	2054.9128859936004
HNRNPD	CS396	2969.111132929886
HNRNPD	CS405	1927.0394445453778
HNRNPD	CS415	1645.3453736800689
HNRNPD	CS424	1655.3675607976977
HNRNPD	IM293	2113.091560963941
HNRNPD	IM296	1347.6105242945537
HNRNPD	IM297	1301.3469174218567
HNRNPD	IM300	4673
HNRNPD	IM305	1836.9779236449967
HNRNPD	IM309	1312.0361898111487
HNRNPD	IM310	2500.0018941524727
HNRNPD	IM311	2478.180583451967
HNRNPD	IM316	2452.2837611431582
HNRNPD	IM320	1960.165040111434
HNRNPD	IM330	2350.5461406888517
HNRNPD	IM332	1234.9084946071607
HNRNPD	IM340	1510.845057892734
HNRNPD	IM348	1794.4354455423827
HNRNPD	IM354	2057.570587664803
HNRNPD	IM356	1327.4918467228367
HNRNPD	IM364	2023.4582830344382
HNRNPD	IM372	1438.1528333568974
HNRNPD	IM374	1635.0849602720664
HNRNPD	IM376	1591.090789764601
HNRNPD	IM381	2460.929042980208
HNRNPD	IM382	1921.3517498549227
HNRNPD	IM385	3527
HNRNPD	IM390	1845.1439667000334
HNRNPD	IM397	2401.424260564638
HNRNPD	IM404	2927.3672023859117
HNRNPD	IM409	2698.1733659933207
HNRNPD	IM412	2748
HNRNPD	IM421	2365.233940933636
HNRNPD	IM425	1250.8320187124818
HNRNPD	IM432	1604.7210578207105
HNRNPD	IM438	5218
HNRNPD	IM442	1616.4997307785675
HNRNPD	IM445	1992.2363082836168
HNRNPD	IM448	1696.2041238370625
HNRNPD	IM449	2308.050872216777
HNRNPD	IM451	2421.31633140017
HNRNPD	IMSA256	2665.767331912449
HNRNPD	IMSA276	3358
HNRNPD	IMSA286	3957
HNRNPD	IMSA343	2663.623680935396
HNRNPD	IS_238	3680
HNRNPD	IS238	7150.002756996977
HNRNPD	IS243	4376
HNRNPD	IS253	4201
HNRNPD	IS283	4131
HNRNPD	IS322	1903.4300439256097
HNRNPD	IS399	1717.839765804718
HNRNPD	IS418	1553.337248049885
HNRNPD	IS430	1592.515479024153
HNRNPD	IS437	1551.829597865842
HNRNPD	IS444	1786.202121682828
HNRNPD	R276CMSA	1474.7278262788395
HNRNPD	R286CMSA	3613
HNRNPD	R292CMSA	2701.156252168693
HNRNPD	R292IMSA	1378.5757872622548
HNRNPD	R308CMSA	1983.8714220762624
HNRNPD	R316IMSA	2002.834003810093
HNRNPD	R347CMSA	1515.4842116058023
HNRNPD	R347IMSA	1788.7416792160452
HNRNPD	R371CMSA	2690.6677623692576
HNRNPD	SRR10104064	1389.0333121186648
HNRNPD	SRR10104065	4721.493944588845
HNRNPD	SRR10104066	3042.9749029662717
HNRNPD	SRR10104067	2773.5079240895966
HNRNPD	SRR10104068	3202.842879817001
HNRNPD	SRR10104069	4640.565954222741
HNRNPD	SRR10104070	3065.524908565788
HNRNPD	SRR10104071	732.3419385277599
HNRNPD	SRR10104072	1594.132352047616
HNRNPD	SRR10104073	1821.8766442337612
HNRNPD	SRR10104074	1367.5862838603211
HNRNPD	SRR10104075	1287.98026781218
HNRNPD	SRR10104076	2368.7442179352174
HNRNPD	SRR10104077	1460.732110952389
HNRNPD	SRR10104078	2242.192839454583
HNRNPD	SRR10104079	1529.668018566231
HNRNPD	SRR10104080	1279.6522228829233
HNRNPD	SRR10104081	2931.725993371371
HNRNPD	SRR10104082	1536.7970453912258
HNRNPD	SRR10104083	1622.4414283653596
HNRNPD	SRR10104084	1440.5252459978894
HNRNPD	SRR10104085	3178.073670012111
HNRNPD	SRR10104086	2455.383683086592
HNRNPD	SRR10104087	7031.4288556379
HNRNPD	SRR10104088	4589.448159802466
HNRNPD	SRR10104089	1367.368463495839
HNRNPD	SRR10104090	2279.4201350991925
HNRNPD	SRR10104091	1964.3327379415646
HNRNPD	SRR10104092	3655.969326842043
HNRNPD	SRR10104093	2966.3656447714707
HNRNPD	SRR10104094	2529.2189111707694
HNRNPD	SRR10104095	1849.878117390321
HNRNPD	SRR10104096	1259.144714100652
HNRNPD	SRR10104097	1575.5452149093383
HNRNPD	SRR10104098	2068.791411965222
HNRNPD	SRR10104099	1549.218640160428
HNRNPD	SRR10104100	2682.7701159480366
HNRNPD	SRR10104101	5203.856620461751
HNRNPD	SRR10104102	3879.5259921753654
HNRNPD	SRR10104103	1659.132009803322
HNRNPD	SRR10104104	3068.83377049497
HNRNPD	SRR10104105	1517.492605113207
HNRNPD	SRR10104106	1312.4592647842067
HNRNPD	SRR10104107	5623.3361309693355
HNRNPD	SRR10104108	5735.058702068332
HNRNPD	SRR10104109	1306.2871117304
HNRNPD	SRR10104110	928.0882217576761
HNRNPD	SRR10104111	2480.569949573725
HNRNPD	SRR10104112	1060.8393021917693
HNRNPD	SRR10104113	2041.6394743440828
HNRNPD	SRR10104114	960.5282110699711
HNRNPD	SRR10104115	1083.5782377680941
HNRNPD	SRR10104116	1886.2069100669755
HNRNPD	SRR10104117	1642.419691658189
HNRNPD	SRR10104118	1070.1782683033825
HNRNPD	SRR10104119	941.146691144784
HNRNPD	SRR10104120	2100.3592714294386
HNRNPD	SRR10104121	1325.1740277198655
HNRNPD	SRR10104122	1310.6671882623932
HNRNPD	SRR10104123	1536.508272705218
HNRNPD	SRR10104124	1261.5474668452664
HNRNPD	SRR10104125	1600.2209822551054
HNRNPD	SRR10104126	2154.7896297700904
HNRNPD	SRR10104127	1155.0064490552822
HNRNPD	SRR10104128	2766.380541844811
