Gene	sample	counts
HSD3B7	CM317	82.9258817218583
HSD3B7	CMCD140	1541.1785065106042
HSD3B7	CMCD147	675.1795201280222
HSD3B7	CMCD152	541
HSD3B7	CMCD154	853.198972793832
HSD3B7	CMCD159	972.2025343944924
HSD3B7	CMCD161	766.3407007726246
HSD3B7	CMCD174	313.4477938470942
HSD3B7	CMCD196	632.5636708716363
HSD3B7	CMCD198	1708.417276110157
HSD3B7	CMCD203	193.61356602042318
HSD3B7	CMCD211	177.94557227612222
HSD3B7	CMCD227	225.30618018105062
HSD3B7	CMCD240	229.5663828084914
HSD3B7	CMCD259	248
HSD3B7	CMCD270	437.2493238855789
HSD3B7	CMCD275	1429.9522300613223
HSD3B7	CMCD282	1380.3214006552357
HSD3B7	CMCD286	177.8449309431243
HSD3B7	CMCD287	244
HSD3B7	CMCD294	769.3197573930111
HSD3B7	CMCD327	726.6742132712051
HSD3B7	CMCD335	577.6764511539124
HSD3B7	CMCD337	434.8666521538823
HSD3B7	CMCD357	349.9860942701112
HSD3B7	CMCD398	101.58636526416653
HSD3B7	CMCD403	338.39633747203806
HSD3B7	CMCD422	257.536314691097
HSD3B7	CMCD426	34.40987685575233
HSD3B7	CMCD71	1493.3872718555845
HSD3B7	CMCD72	27.456973611621688
HSD3B7	CMCD76	366.82978205372956
HSD3B7	CMCD88	657.1182343388625
HSD3B7	CMSA256	383
HSD3B7	CMSA316	240.91548210598523
HSD3B7	CMUC110	299
HSD3B7	CMUC192	720.3523843722863
HSD3B7	CMUC199	918.8128122662513
HSD3B7	CMUC200	715.6625196019114
HSD3B7	CMUC208	959.3383669769339
HSD3B7	CMUC231	498
HSD3B7	CMUC234	263
HSD3B7	CMUC285	243.62850083006714
HSD3B7	CMUC291	809.274716191515
HSD3B7	CMUC295	398.3582511937266
HSD3B7	CMUC299	331.9645109599543
HSD3B7	CMUC301	299.16145401686236
HSD3B7	CMUC307	343.94429941174945
HSD3B7	CMUC313	53.07161895723698
HSD3B7	CMUC314	149.55075478579056
HSD3B7	CMUC323	102.32441215691964
