Gene	sample	counts
IMPDH1P10	CM317	1.0496947053399786
IMPDH1P10	CMCD140	1.0092852040017053
IMPDH1P10	CMCD147	1.0387377232738804
IMPDH1P10	CMCD152	2
IMPDH1P10	CMCD154	1.0097029263832331
IMPDH1P10	CMCD159	1.0826308846263835
IMPDH1P10	CMCD161	2.0061274889335725
IMPDH1P10	CMCD174	1.0883603953024104
IMPDH1P10	CMCD196	1.0088734782641728
IMPDH1P10	CMCD198	1.027928565649914
IMPDH1P10	CMCD203	1.0031790985514153
IMPDH1P10	CMCD211	8.015566318744245
IMPDH1P10	CMCD227	6.5543616052669265
IMPDH1P10	CMCD240	11.108050781056036
IMPDH1P10	CMCD259	3
IMPDH1P10	CMCD270	2.010341719014156
IMPDH1P10	CMCD275	1.0084289351631328
IMPDH1P10	CMCD282	1.0127082910163139
IMPDH1P10	CMCD286	5.616155713993399
IMPDH1P10	CMCD287	6
IMPDH1P10	CMCD294	1.061130699852429
IMPDH1P10	CMCD327	2.010163798813845
IMPDH1P10	CMCD335	1.0046546976589779
IMPDH1P10	CMCD337	1.0066357688747274
IMPDH1P10	CMCD357	1.0203676217787498
IMPDH1P10	CMCD398	4.023222386699665
IMPDH1P10	CMCD403	1.007131956762018
IMPDH1P10	CMCD422	1.002086827591817
IMPDH1P10	CMCD426	1.109996027604914
IMPDH1P10	CMCD71	1.0063256548892079
IMPDH1P10	CMCD72	1.1440405671509037
IMPDH1P10	CMCD76	1.0022671640812284
IMPDH1P10	CMCD88	4.000719843767808
IMPDH1P10	CMSA256	1
IMPDH1P10	CMSA316	1.0080145694811098
IMPDH1P10	CMUC110	4
IMPDH1P10	CMUC192	2.0263076916238716
IMPDH1P10	CMUC199	1.0266064941522361
IMPDH1P10	CMUC200	3.0069853764786196
IMPDH1P10	CMUC208	3.007330304002928
IMPDH1P10	CMUC231	3
IMPDH1P10	CMUC234	12
IMPDH1P10	CMUC285	4.043626569793645
IMPDH1P10	CMUC291	2.0131211845560077
IMPDH1P10	CMUC295	1.0009001286274537
IMPDH1P10	CMUC299	1.0029139303926111
IMPDH1P10	CMUC301	3.0016199399685184
IMPDH1P10	CMUC307	1.0027530595094736
IMPDH1P10	CMUC313	1.0406199795536664
IMPDH1P10	CMUC314	1.0531743294773983
IMPDH1P10	CMUC323	1.0232441215691963
IMPDH1P10	CMUC324	12.010801543529444
IMPDH1P10	CMUC331	1.008979678815539
IMPDH1P10	CMUC333	1.0226855040011238
IMPDH1P10	CMUC334	1.0147637781192929
IMPDH1P10	CMUC346	1.0107140402598958
IMPDH1P10	CMUC352	1.0059528932594937
IMPDH1P10	CMUC360	1.0012604069024411
IMPDH1P10	CMUC363	1.0255367303100333
IMPDH1P10	CMUC365	1.0065437279509373
IMPDH1P10	CMUC366	4.013099734176571
IMPDH1P10	CMUC368	3
IMPDH1P10	CMUC377	1.0040587302830086
IMPDH1P10	CMUC379	1.0664515526402574
IMPDH1P10	CMUC380	1.0176874450837656
IMPDH1P10	CMUC383	1.0137840525909332
IMPDH1P10	CMUC394	1.007265338334756
IMPDH1P10	CMUC419	1.024221051989512
IMPDH1P10	CMUC427	2
IMPDH1P10	CMUC428	1.0062427879425755
IMPDH1P10	CMUC431	4.00732680055313
IMPDH1P10	CMUC435	1.0048874606535836
IMPDH1P10	CMUC439	3.0189538224107144
IMPDH1P10	CMUC89	2
IMPDH1P10	CS219	1.002447533024164
IMPDH1P10	CS256	1.0022671640812284
IMPDH1P10	CS257	1.089979985878173
IMPDH1P10	CS259	1.0015292324755884
IMPDH1P10	CS261	1.0227433496373879
IMPDH1P10	CS266	1.0344406863242126
IMPDH1P10	CS270	1.0125793616529746
IMPDH1P10	CS277	0.9435200946202956
