Gene	sample	counts
IQCB1	CM317	290.76543337917406
IQCB1	CMCD140	299.7577055885065
IQCB1	CMCD147	259.68443081847005
IQCB1	CMCD152	590
IQCB1	CMCD154	260.50335500687413
IQCB1	CMCD159	251.17036523332098
IQCB1	CMCD161	362.1060117525098
IQCB1	CMCD174	237.26256617592546
IQCB1	CMCD196	263.3159778269491
IQCB1	CMCD198	238.47942723078003
IQCB1	CMCD203	415.316146800286
IQCB1	CMCD211	566.7005387352181
IQCB1	CMCD227	545.6506036384717
IQCB1	CMCD240	617.4224892470313
IQCB1	CMCD259	903
IQCB1	CMCD270	341.7580922324065
IQCB1	CMCD275	312.61296990057116
IQCB1	CMCD282	283.55832148456784
IQCB1	CMCD286	694.531256630517
IQCB1	CMCD287	576
IQCB1	CMCD294	242.99893026620626
IQCB1	CMCD327	388.9666950704791
IQCB1	CMCD335	400.8572243659322
IQCB1	CMCD337	345.2760687240315
IQCB1	CMCD357	284.68256647627123
IQCB1	CMCD398	368.1248483830193
IQCB1	CMCD403	445.15232488881196
IQCB1	CMCD422	404.84307834709415
IQCB1	CMCD426	259.73907045954985
IQCB1	CMCD71	316.9925812901005
IQCB1	CMCD72	259.69720874325515
IQCB1	CMCD76	492.11317756388314
IQCB1	CMCD88	567.1020378540868
IQCB1	CMSA256	567
IQCB1	CMSA316	330.628778789804
IQCB1	CMUC110	718
IQCB1	CMUC192	293.8146152854614
IQCB1	CMUC199	236.11949365501428
IQCB1	CMUC200	367.8545443892178
IQCB1	CMUC208	403.98470417105995
IQCB1	CMUC231	525
IQCB1	CMUC234	742
IQCB1	CMUC285	362.91548463897965
IQCB1	CMUC291	359.34213144324735
IQCB1	CMUC295	449.4041577537267
IQCB1	CMUC299	437.2704736511784
IQCB1	CMUC301	553.2986089341969
IQCB1	CMUC307	577.5857622774569
IQCB1	CMUC313	285.12987439770455
IQCB1	CMUC314	255.9213620630078
IQCB1	CMUC323	311.0662129570357
IQCB1	CMUC324	545.4905701019622
IQCB1	CMUC331	325.90043625741913
IQCB1	CMUC333	304.7602801923349
IQCB1	CMUC334	324.7244089981737
IQCB1	CMUC346	337.57848944680524
IQCB1	CMUC352	490.9050119106329
IQCB1	CMUC360	335.4222363123178
IQCB1	CMUC363	260.4863294987485
IQCB1	CMUC365	368.39500443004306
IQCB1	CMUC366	411.3427227530985
IQCB1	CMUC368	765
IQCB1	CMUC377	416.6843730674485
IQCB1	CMUC379	239.95159934405788
IQCB1	CMUC380	308.359295860381
IQCB1	CMUC383	283.85953472546134
IQCB1	CMUC394	327.3612349587957
IQCB1	CMUC419	240.69194721753533
IQCB1	CMUC427	865
IQCB1	CMUC428	487.02150936420657
IQCB1	CMUC431	539.9872863745344
IQCB1	CMUC435	524.5512544611706
IQCB1	CMUC439	358.24918692607145
IQCB1	CMUC89	546
IQCB1	CS219	369.90313968591647
IQCB1	CS256	358.81164474107976
IQCB1	CS257	250.69539675197976
IQCB1	CS259	459.70191770629503
IQCB1	CS261	241.36743051442352
IQCB1	CS266	277.230103934889
IQCB1	CS270	288.5851180710978
IQCB1	CS277	207.57442081646505
IQCB1	CS288	364.2193898171408
IQCB1	CS290	291.2933187010877
IQCB1	CS292	254.4140126149683
IQCB1	CS293	251.9651201851797
IQCB1	CS301	237.9163435112924
IQCB1	CS306	236.433217459013
IQCB1	CS308	297.36641175570486
IQCB1	CS315	252.53956696358645
IQCB1	CS317	253.3772336897339
IQCB1	CS322	337.3848741251
IQCB1	CS327	605.8253067934502
IQCB1	CS328	231.70901155493578
IQCB1	CS330	233.97492090658528
IQCB1	CS331	242.36591059251188
IQCB1	CS335	124.61953341170718
IQCB1	CS338	262.5098424754821
IQCB1	CS339	257.2905039023295
IQCB1	CS343	410.2280490916661
IQCB1	CS344	287.8865817929352
IQCB1	CS350	259.53966714133367
IQCB1	CS351	309.52259529275335
IQCB1	CS361	325.36308568999397
IQCB1	CS388	291.3451150579162
IQCB1	CS396	357.7485844306262
IQCB1	CS405	271.3418984083555
IQCB1	CS415	246.69454755307422
IQCB1	CS424	237.07265254701235
IQCB1	IM293	295.5513410672686
IQCB1	IM296	237.3753135210786
IQCB1	IM297	225.46464675265136
IQCB1	IM300	513
IQCB1	IM305	252.47085261750917
IQCB1	IM309	218.3177101552642
IQCB1	IM310	357.72220050094154
IQCB1	IM311	282.43969884930505
IQCB1	IM316	259.29885671103887
IQCB1	IM320	246.71943971535916
IQCB1	IM330	284.8534644066421
IQCB1	IM332	218.16716738059839
IQCB1	IM340	244.432394303427
IQCB1	IM348	227.66770358669214
IQCB1	IM354	315.2323024665116
IQCB1	IM356	233.84822204988467
IQCB1	IM364	260.3041811340785
IQCB1	IM372	213.42227207066279
IQCB1	IM374	233.58356575315233
IQCB1	IM376	245.40724736968352
IQCB1	IM381	292.55799811652827
IQCB1	IM382	237.07666441342928
IQCB1	IM385	473
IQCB1	IM390	263.00493066548364
IQCB1	IM397	267.9483911787912
IQCB1	IM404	368.0519915298491
IQCB1	IM409	363.041589684528
IQCB1	IM412	415
IQCB1	IM421	269.122797057713
IQCB1	IM425	255.63682131802616
IQCB1	IM432	241.12388951710156
IQCB1	IM438	614
IQCB1	IM442	245.64966932629872
IQCB1	IM445	297.3185150433418
IQCB1	IM448	241.14709230454625
IQCB1	IM449	333.7548443441473
IQCB1	IM451	313.5951413021391
IQCB1	IMSA256	313.265313580672
IQCB1	IMSA276	522
IQCB1	IMSA286	494
IQCB1	IMSA343	329.0299111759801
IQCB1	IS_238	558
IQCB1	IS238	661.4878051514804
IQCB1	IS243	667
IQCB1	IS253	560
IQCB1	IS283	454
IQCB1	IS322	252.57829669925817
IQCB1	IS399	279.9293405004171
IQCB1	IS418	253.07179883958798
IQCB1	IS430	250.99428745489368
IQCB1	IS437	241.7314533532327
IQCB1	IS444	270.5738559252572
IQCB1	R276CMSA	247.38054969256274
IQCB1	R286CMSA	583
IQCB1	R292CMSA	351.45155697362173
IQCB1	R292IMSA	220.09971681367776
IQCB1	R308CMSA	288.1362474236637
IQCB1	R316IMSA	316.9879771933532
IQCB1	R347CMSA	247.79496231870314
IQCB1	R347IMSA	275.10932002194517
IQCB1	R371CMSA	334.32550927946374
IQCB1	SRR10104064	251.84549668605186
IQCB1	SRR10104065	698.0649334351638
IQCB1	SRR10104066	615.3186613296377
IQCB1	SRR10104067	503.34411606495075
IQCB1	SRR10104068	552.5607226785918
IQCB1	SRR10104069	669.5847126624792
IQCB1	SRR10104070	459.10816293497027
IQCB1	SRR10104071	217.03318938936783
IQCB1	SRR10104072	314.54692047114037
IQCB1	SRR10104073	377.12010812407556
IQCB1	SRR10104074	278.33887508054613
IQCB1	SRR10104075	264.73231599356694
IQCB1	SRR10104076	374.06633202968294
IQCB1	SRR10104077	302.71388885599623
IQCB1	SRR10104078	364.49953265634184
IQCB1	SRR10104079	271.2872767970025
IQCB1	SRR10104080	261.3137317543568
IQCB1	SRR10104081	436.8129511953186
IQCB1	SRR10104082	335.4979465290704
IQCB1	SRR10104083	332.78123661753443
IQCB1	SRR10104084	233.85843504339346
IQCB1	SRR10104085	521.330836830549
IQCB1	SRR10104086	389.4181133442842
IQCB1	SRR10104087	873.7872069140549
IQCB1	SRR10104088	593.3587330615326
IQCB1	SRR10104089	239.4313243133793
IQCB1	SRR10104090	370.49557351229555
IQCB1	SRR10104091	311.58381360452404
IQCB1	SRR10104092	548.9017659690822
IQCB1	SRR10104093	480.94840474851253
IQCB1	SRR10104094	351.56763278743324
IQCB1	SRR10104095	220.29887551827753
IQCB1	SRR10104096	300.1782666918752
IQCB1	SRR10104097	292.358255128251
IQCB1	SRR10104098	421.17256719451257
IQCB1	SRR10104099	249.29955129018384
IQCB1	SRR10104100	313.86455134796745
IQCB1	SRR10104101	763.23230433439
IQCB1	SRR10104102	653.864103365856
IQCB1	SRR10104103	250.39531917133203
IQCB1	SRR10104104	377.76511006754754
IQCB1	SRR10104105	312.3613695710234
IQCB1	SRR10104106	272.4398646106751
IQCB1	SRR10104107	714.7795297533734
IQCB1	SRR10104108	685.6697640639983
IQCB1	SRR10104109	262.82317744575687
IQCB1	SRR10104110	229.64234205029678
IQCB1	SRR10104111	325.3037194486775
IQCB1	SRR10104112	219.52491152737957
IQCB1	SRR10104113	387.40393881516337
IQCB1	SRR10104114	245.11647877121362
IQCB1	SRR10104115	229.98862279977502
IQCB1	SRR10104116	304.5983411928357
IQCB1	SRR10104117	327.2373199698479
IQCB1	SRR10104118	250.3942743145735
IQCB1	SRR10104119	216.54702628110073
IQCB1	SRR10104120	420.0718542858877
IQCB1	SRR10104121	260.70770667794903
IQCB1	SRR10104122	280.00121977010394
IQCB1	SRR10104123	248.87105825507052
IQCB1	SRR10104124	256.77514811894804
IQCB1	SRR10104125	282.65071645330727
IQCB1	SRR10104126	338.86223796673875
IQCB1	SRR10104127	228.8667809729666
IQCB1	SRR10104128	351.8416308333675
IQCB1	SRR10104129	323.2831661651816
IQCB1	SRR10104130	339.41389538082115
IQCB1	SRR10104131	675.5678030313657
IQCB1	SRR10104132	656.7031610132335
IQCB1	SRR10104133	271.1580435893528
IQCB1	SRR10104134	434.70511974647167
IQCB1	SRR10104135	314.8305389716107
IQCB1	SRR10104136	466.90747354002394
IQCB1	SRR10104137	286.9047583697641
IQCB1	SRR10104138	249.85980647052972
IQCB1	SRR10104139	624.0070893697784
IQCB1	SRR10104140	247.88046739257192
IQCB1	SRR10104141	333.74769849662056
IQCB1	SRR10104142	292.26689619708156
IQCB1	SRR10104143	638.1769273940565
IQCB1	SRR10104144	343.26671554700954
IQCB1	SRR10104145	354.8225185422458
IQCB1	SRR10104146	668.3695193928563
IQCB1	SRR10104147	965.6479277493494
IQCB1	SRR10104148	334.4239199834325
IQCB1	SRR10104149	369.50098147183814
IQCB1	SRR10104150	438.03452362502924
IQCB1	SRR10104151	653.9687313715916
IQCB1	SRR10104152	940.2562661701827
IQCB1	SRR10104153	262.2592803850958
IQCB1	SRR10104154	347.28710985245465
IQCB1	SRR10104155	279.5837701333449
IQCB1	SRR10104156	900.6406810638587
IQCB1	SRR10104157	288.4517648454602
IQCB1	SRR10104158	392.8984845359712
IQCB1	SRR10104159	465.7962148064193
IQCB1	SRR10104160	273.288795597761
IQCB1	SRR10104161	1000.724525698262
IQCB1	SRR10104162	242.84044266323514
IQCB1	SRR10104163	368.77537455697376
IQCB1	SRR10104164	379.304080842155
IQCB1	SRR10104165	233.61140083442564
IQCB1	SRR10104166	297.65343109678327
IQCB1	SRR10104167	339.4972062723157
IQCB1	SRR10104168	258.18340793155477
IQCB1	SRR10104169	340.1962848958202
IQCB1	SRR10104170	385.2432453703885
IQCB1	SRR10104171	372.7277901196594
IQCB1	SRR10104172	267.7654487867288
IQCB1	SRR10104173	272.5198895031767
IQCB1	SRR10104174	249.15322606437252
IQCB1	SRR10104175	341.5075540295593
IQCB1	SRR10104176	339.4670691459914
IQCB1	SRR10104177	334.2576254001558
IQCB1	SRR10104178	280.37197889624696
IQCB1	SRR10104179	271.0769971761182
IQCB1	SRR10104180	463.9653833599058
IQCB1	SRR10104181	304.94965966336053
